Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
25-Nov-1996,Mallorca 10K,3,Clay,R32,871,596,0,LL,WC,Rosa Maria Andres Rodriguez,Alena Jecminkova,6-3 6-2,,,,,,,,,,,,,,
5-Aug-1996,Paderborn 10K,3,Clay,R16,750,742,0,,Q,Katarina Markovski,Alena Jecminkova,6-1 6-4,,,,,,,,,,,,,,
5-Aug-1996,Paderborn 10K,3,Clay,R32,750,454,1,,8,Alena Jecminkova,Katja Kovac,6-2 6-3,,,,,,,,,,,,,,
17-Jun-1996,Stare Splavy 10K,3,Clay,R16,666,,0,,,Nikola Hubnerova,Alena Jecminkova,6-3 6-4,,,,,,,,,,,,,,
17-Jun-1996,Stare Splavy 10K,3,Clay,R32,666,462,1,,3,Alena Jecminkova,Sylva Nesvadbova,4-6 6-4 6-2,,,,,,,,,,,,,,
13-May-1996,Presov 10K,3,Clay,R32,676,483,0,,5,Monika Mastalirova,Alena Jecminkova,6-3 6-2,,,,,,,,,,,,,,
11-Dec-1995,ITF Viktovice,3,Carpet,R16,696,,0,,,Eva Sestakova,Alena Jecminkova,6-0 4-6 6-3,,,,,,,,,,,,,,
11-Dec-1995,Ostrava 10K,3,Hard,R16,696,,0,LL,Q,Eva Sestakova,Alena Jecminkova,6-0 4-6 6-3,,,,,,,,,,,,,,
11-Dec-1995,ITF Viktovice,3,Carpet,R32,696,644,1,,,Alena Jecminkova,Stefania Pifferi,7-5 4-6 6-4,,,,,,,,,,,,,,
11-Dec-1995,Ostrava 10K,3,Hard,R32,696,644,1,LL,,Alena Jecminkova,Stefania Pifferi,7-5 4-6 6-4,,,,,,,,,,,,,,
20-Nov-1995,ITF Cairo 2,3,Clay,R16,732,476,0,,3,Alina Tecsor,Alena Jecminkova,6-1 6-2,,,,,,,,,,,,,,
20-Nov-1995,ITF Cairo 2,3,Clay,R32,732,771,1,,,Alena Jecminkova,Anat Ashtamkar,6-1 6-0,,,,,,,,,,,,,,
13-Nov-1995,ITF Cairo 1,3,Clay,R32,733,1062,0,,,Martina Zichova,Alena Jecminkova,6-3 6-1,,,,,,,,,,,,,,
18-Sep-1995,ITF Cluj,3,Clay,QF,,,0,,,Alina Tecsor,Alena Jecminkova,6-4 6-2,,,,,,,,,,,,,,
18-Sep-1995,ITF Cluj,3,Clay,R16,,530,1,,,Alena Jecminkova,Martina Hautova,6-2 6-1,,,,,,,,,,,,,,
18-Sep-1995,ITF Cluj,3,Clay,R32,,664,1,,,Alena Jecminkova,Patrycja Gajdzik,6-2 6-3,,,,,,,,,,,,,,
11-Sep-1995,ITF Umag,3,Clay,R32,,,0,,,Asja Tankic,Alena Jecminkova,6-4 7-5,,,,,,,,,,,,,,
17-Jul-1995,ITF Torun,3,Clay,SF,,486,0,,3,Zuzana Lesenarova,Alena Jecminkova,W/O,,,,,,,,,,,,,,
17-Jul-1995,ITF Torun,3,Clay,QF,,577,1,,8,Alena Jecminkova,Ewa Radzikowska,7-6(5) 6-2,,,,,,,,,,,,,,
17-Jul-1995,ITF Torun,3,Clay,R16,,655,1,,,Alena Jecminkova,Maia Stankova,6-7(7) 6-3 6-4,,,,,,,,,,,,,,
17-Jul-1995,ITF Torun,3,Clay,R32,,471,1,,1,Alena Jecminkova,Katarzyna Teodorowicz Lisowska,6-2 6-0,,,,,,,,,,,,,,
