Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
28-Oct-2019,W15 Antalya,3,Hard,Q2,1244,,0,7,,Annika Chiara Rittberger,Alexa Pirok,6-3 3-3 RET,,,,,,,,,,,,,,
21-Oct-2019,W15 Antalya,3,Hard,R32,1244,1014,0,,,Nika Shytkouskaya,Alexa Pirok,6-3 6-3,,,,,,,,,,,,,,
21-Oct-2019,W15 Antalya,3,Hard,Q3,1244,,1,,,Alexa Pirok,Petra Csabi,6-4 6-4,,,,,,,,,,,,,,
21-Oct-2019,W15 Antalya,3,Hard,Q2,1244,,1,,,Alexa Pirok,Alina Michalitsch,6-0 6-3,,,,,,,,,,,,,,
9-Sep-2019,W15 Szekesfehervar,3,Clay,R32,1158,622,0,Q,,Nefisa Berberovic,Alexa Pirok,6-3 6-4,,,,,,,,,,,,,,
9-Sep-2019,W15 Szekesfehervar,3,Clay,Q2,1158,,1,,,Alexa Pirok,Reka Zadori,6-2 6-4,,,,,,,,,,,,,,
12-Aug-2019,W15 Oldenzaal,3,Clay,Q1,1009,,0,,WC,Anouk Koevermans,Alexa Pirok,6-3 6-4,,,,,,,,,,,,,,
29-Jul-2019,W25 Bad Saulgau,3,Clay,Q1,,838,0,,,Julia Wachaczyk,Alexa Pirok,6-0 7-6(5),,,,,,,,,,,,,,
22-Jul-2019,W25 Horb,3,Clay,Q2,,683,0,16,,Melanie Stokke,Alexa Pirok,7-5 6-4,,,,,,,,,,,,,,
22-Jul-2019,W25 Horb,3,Clay,Q1,,,1,16,,Alexa Pirok,Mia Mack,7-5 6-1,,,,,,,,,,,,,,
15-Jul-2019,W25 Baja,3,Clay,Q2,,,0,12,,Silvia Njiric,Alexa Pirok,6-1 6-1,,,,,,,,,,,,,,
15-Jul-2019,W25 Baja,3,Clay,Q1,,,1,12,,Alexa Pirok,Livia Lukacs,6-2 6-0,,,,,,,,,,,,,,
24-Jun-2019,W15 Budapest,3,Clay,Q1,,,0,,,Karolina Vlckova,Alexa Pirok,1-6 6-4 [14-12],,,,,,,,,,,,,,
27-May-2019,W15 Tabarka,3,Clay,R16,,,0,,7,Mayar Sherif,Alexa Pirok,6-3 6-0,,,,,,,,,,,,,,
27-May-2019,W15 Tabarka,3,Clay,R32,,,1,,,Alexa Pirok,Pilar Astigarraga Harper,6-0 6-4,,,,,,,,,,,,,,
15-Apr-2019,W15 Antalya,3,Clay,R32,,514,0,WC,,Chanel Simmonds,Alexa Pirok,6-0 6-1,,,,,,,,,,,,,,
8-Apr-2019,W15 Antalya,3,Clay,R32,,733,0,,,Manca Pislak,Alexa Pirok,6-4 6-3,,,,,,,,,,,,,,
1-Apr-2019,W15 Antalya,3,Clay,R32,,,0,,Q,Iuliia Nikitina,Alexa Pirok,5-7 7-5 6-3,,,,,,,,,,,,,,
18-Feb-2019,W15 Sharm El Sheikh,3,Hard,R32,,761,0,,8,Alina Silich,Alexa Pirok,6-1 7-6(8),,,,,,,,,,,,,,
