Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
20-Sep-2010,Tashkent Q,3,Hard,Q1,968,735,0,WC,,Anastasiya Prenko,Alexandra Kolesnichenko,2-6 6-4 6-2,,,,,,,,,,,,,,
7-Jun-2010,Karshi 25K,3,Hard,R32,690,677,0,WC,Q,Valeria Solovieva,Alexandra Kolesnichenko,6-2 6-2,,,,,,,,,,,,,,
31-May-2010,Bukhara 25K,3,Hard,R32,684,358,0,WC,5,Marta Sirotkina,Alexandra Kolesnichenko,7-6(1) 6-4,,,,,,,,,,,,,,
19-Apr-2010,Almaty 10K,3,Hard,QF,712,228,0,,1,Ksenia Palkina,Alexandra Kolesnichenko,6-2 6-3,,,,,,,,,,,,,,
19-Apr-2010,Almaty 10K,3,Hard,R16,712,641,1,,,Alexandra Kolesnichenko,Anastasia Mukhametova,7-6(2) 2-6 6-2,,,,,,,,,,,,,,
19-Apr-2010,Almaty 10K,3,Hard,R32,712,,1,,Q,Alexandra Kolesnichenko,Ksenia Khatsey,6-0 6-1,,,,,,,,,,,,,,
22-Mar-2010,Namangan 25K,3,Hard,R32,689,568,0,WC,WC,Albina Khabibulina,Alexandra Kolesnichenko,1-6 6-3 6-4,,,,,,,,,,,,,,
21-Sep-2009,Tashkent,3,Hard,R32,577,111,0,WC,,Vesna Dolonc,Alexandra Kolesnichenko,6-1 6-1,,,,,,,,,,,,,,
10-Aug-2009,New Delhi 10K,3,Hard,QF,681,510,0,6,4,Isha Lakhani,Alexandra Kolesnichenko,7-5 6-3,,,,,,,,,,,,,,
10-Aug-2009,New Delhi 10K,3,Hard,R16,681,,1,6,WC,Alexandra Kolesnichenko,Sowjanya Bavisetti,6-2 6-1,,,,,,,,,,,,,,
10-Aug-2009,New Delhi 10K,3,Hard,R32,681,791,1,6,,Alexandra Kolesnichenko,Kumari Sweta Solanki,6-1 5-7 6-1,,,,,,,,,,,,,,
3-Aug-2009,New Delhi 10K,3,Hard,F,675,310,0,7,1,Emily Webley Smith,Alexandra Kolesnichenko,6-1 6-1,,,,,,,,,,,,,,
3-Aug-2009,New Delhi 10K,3,Hard,SF,675,595,1,7,5,Alexandra Kolesnichenko,Sanaa Bhambri,6-3 6-2,,,,,,,,,,,,,,
3-Aug-2009,New Delhi 10K,3,Hard,QF,675,774,1,7,,Alexandra Kolesnichenko,Dalila Jakupovic,6-2 4-6 6-3,,,,,,,,,,,,,,
3-Aug-2009,New Delhi 10K,3,Hard,R16,675,1031,1,7,,Alexandra Kolesnichenko,Rashmi Teltumbde,6-2 6-2,,,,,,,,,,,,,,
3-Aug-2009,New Delhi 10K,3,Hard,R32,675,900,1,7,,Alexandra Kolesnichenko,Elodie Rogge Dietrich,6-2 6-4,,,,,,,,,,,,,,
8-Jun-2009,Karshi 25K,3,Hard,R16,767,569,0,WC,,Eirini Georgatou,Alexandra Kolesnichenko,6-3 6-1,,,,,,,,,,,,,,
8-Jun-2009,Karshi 25K,3,Hard,R32,767,564,1,WC,,Alexandra Kolesnichenko,Sofia Kvatsabaia,7-6(3) 6-7(5) 6-3,,,,,,,,,,,,,,
