Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
15-Sep-2008,Albuquerque NM 75K,3,Hard,R16,394,95,0,Q,1,Rosana De Los Rios,Alexandra Podkolzina,6-2 6-4,,,,,,,,,,,,,,
15-Sep-2008,Albuquerque NM 75K,3,Hard,R32,394,446,1,Q,Q,Alexandra Podkolzina,Surina De Beer,6-4 6-2,,,,,,,,,,,,,,
28-Jul-2008,Vancouver 50K,3,Hard,R32,384,171,0,,3,Rika Fujiwara,Alexandra Podkolzina,6-1 6-1,,,,,,,,,,,,,,
21-Jul-2008,Los Angeles Q,3,Hard,Q1,383,190,0,,10,Eva Hrdinova,Alexandra Podkolzina,6-3 6-4,,,,,,,,,,,,,,
14-Jul-2008,Stanford Q,3,Hard,Q1,391,82,0,,3,Anne Keothavong,Alexandra Podkolzina,6-0 6-2,,,,,,,,,,,,,,
30-Jun-2008,Waterloo 25K,3,Clay,R32,386,473,0,8,,Alexis Prousis,Alexandra Podkolzina,2-6 7-6(3) 6-4,,,,,,,,,,,,,,
9-Jun-2008,El Paso TX 25K,3,Hard,R16,401,280,0,,1,Lauren Albanese,Alexandra Podkolzina,6-3 6-1,,,,,,,,,,,,,,
9-Jun-2008,El Paso TX 25K,3,Hard,R32,401,442,1,,,Alexandra Podkolzina,Ana Clara Duarte,6-0 6-2,,,,,,,,,,,,,,
26-May-2008,Carson CA 50K,3,Hard,R32,390,308,0,,,Kimberly Couts,Alexandra Podkolzina,6-3 7-6(5),,,,,,,,,,,,,,
28-Apr-2008,Charlottesville VA 50K,3,Clay,QF,430,640,0,,Q,Alexis King,Alexandra Podkolzina,6-1 RET,,,,,,,,,,,,,,
28-Apr-2008,Charlottesville VA 50K,3,Clay,R16,430,240,1,,,Alexandra Podkolzina,Alexandra Stevenson,6-3 6-2,,,,,,,,,,,,,,
28-Apr-2008,Charlottesville VA 50K,3,Clay,R32,430,104,1,,1,Alexandra Podkolzina,Stephanie Dubois,6-4 2-6 6-1,,,,,,,,,,,,,,
17-Mar-2008,Redding CA 25K,3,Hard,R32,415,221,0,WC,,Angela Haynes,Alexandra Podkolzina,6-1 6-0,,,,,,,,,,,,,,
21-Jan-2008,Waikoloa HI 50K,3,Hard,R16,470,302,0,Q,WC,Amber Liu,Alexandra Podkolzina,7-6(5) 4-0 RET,,,,,,,,,,,,,,
21-Jan-2008,Waikoloa HI 50K,3,Hard,R32,470,247,1,Q,LL,Alexandra Podkolzina,Tina Schiechtl,6-3 6-3,,,,,,,,,,,,,,
12-Nov-2007,La Quinta CA 50K,3,Hard,R16,528,237,0,Q,,Sabine Lisicki,Alexandra Podkolzina,6-2 6-3,,,,,,,,,,,,,,
12-Nov-2007,La Quinta CA 50K,3,Hard,R32,528,235,1,Q,,Alexandra Podkolzina,Tetiana Luzhanska,6-3 6-1,,,,,,,,,,,,,,
22-Oct-2007,Augusta GA 25K,3,Hard,R16,561,91,0,WC,1,Ashley Harkleroad,Alexandra Podkolzina,6-3 6-2,,,,,,,,,,,,,,
22-Oct-2007,Augusta GA 25K,3,Hard,R32,561,446,1,WC,Q,Alexandra Podkolzina,Lindsay Lee Waters,3-6 6-3 6-1,,,,,,,,,,,,,,
