Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
2-Dec-1991,ITF San Luis Potosi 2,3,Hard,R16,,452,0,,3,Isabela Petrov,Alicia Meraz,6-2 6-2,,,,,,,,,,,,,,
2-Dec-1991,ITF San Luis Potosi 2,3,Hard,R32,,,1,,,Alicia Meraz,Alita Rumsey,6-2 6-0,,,,,,,,,,,,,,
20-May-1991,ITF Aguascalientes,3,Hard,R16,,,0,,4,Rita Pichardo,Alicia Meraz,6-4 1-6 6-2,,,,,,,,,,,,,,
20-May-1991,ITF Aguascalientes,3,Hard,R32,,,1,,,Alicia Meraz,Debbie Ladig,6-3 6-3,,,,,,,,,,,,,,
13-May-1991,ITF San Luis Potosi 1,3,Hard,QF,,,0,,,Natalie Rodriguez,Alicia Meraz,6-2 6-1,,,,,,,,,,,,,,
13-May-1991,ITF San Luis Potosi 1,3,Hard,R16,,,1,,,Alicia Meraz,Cynthia Ojeda,6-3 3-6 6-3,,,,,,,,,,,,,,
13-May-1991,ITF San Luis Potosi 1,3,Hard,R32,,,1,,,Alicia Meraz,Ximena Rodriguez,6-4 3-6 7-5,,,,,,,,,,,,,,
6-May-1991,ITF Mexico City,3,Hard,R32,,451,0,,2,Aranzazu Gallardo,Alicia Meraz,6-2 6-3,,,,,,,,,,,,,,
22-Apr-1991,ITF Villahermo,3,Hard,QF,,,0,,4,Helene Kappler,Alicia Meraz,6-3 6-0,,,,,,,,,,,,,,
22-Apr-1991,ITF Villahermo,3,Hard,R16,,,1,,,Alicia Meraz,Debbie Ladig,6-1 6-2,,,,,,,,,,,,,,
26-Feb-1990,ITF Leon,3,Clay,R16,,,0,,,Belkis Rodriguez,Alicia Meraz,6-3 6-3,,,,,,,,,,,,,,
