Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
19-May-2008,Falkenberg 10K,3,Clay,R32,755,890,0,8,,Diana Eriksson,Alise Vaidere,6-1 2-6 6-3,,,,,,,,,,,,,,
26-Nov-2007,Beloura-Sintra 25K,3,Clay,R32,728,244,0,LL,,Kathrin Woerle,Alise Vaidere,6-0 3-0 RET,,,,,,,,,,,,,,
19-Nov-2007,Beloura-Sintra 25K,3,Clay,R32,719,283,0,Q,,Eugenia Grebenyuk,Alise Vaidere,6-4 6-0,,,,,,,,,,,,,,
22-Oct-2007,Dubrovnik 10K,3,Clay,R32,719,,0,,Q,Yana Buchina,Alise Vaidere,6-4 1-6 6-2,,,,,,,,,,,,,,
17-Sep-2007,Bratislava 10K,3,Clay,SF,795,605,0,,6,Dominika Nociarova,Alise Vaidere,6-1 RET,,,,,,,,,,,,,,
17-Sep-2007,Bratislava 10K,3,Clay,QF,795,724,1,,,Alise Vaidere,Justyna Jegiolka,6-2 6-0,,,,,,,,,,,,,,
17-Sep-2007,Bratislava 10K,3,Clay,R16,795,,1,,Q,Alise Vaidere,Patricia Veresova,6-1 3-6 6-3,,,,,,,,,,,,,,
17-Sep-2007,Bratislava 10K,3,Clay,R32,795,592,1,,5,Alise Vaidere,Simona Dobra,6-4 RET,,,,,,,,,,,,,,
13-Aug-2007,Savitaipale 10K,3,Clay,SF,809,670,0,Q,,Marcella Koek,Alise Vaidere,5-7 6-4 6-0,,,,,,,,,,,,,,
13-Aug-2007,Savitaipale 10K,3,Clay,QF,809,526,1,Q,3,Alise Vaidere,Elizaveta Tochilovskaya,6-1 6-1,,,,,,,,,,,,,,
13-Aug-2007,Savitaipale 10K,3,Clay,R16,809,914,1,Q,,Alise Vaidere,Sophie Cornerotte,7-5 6-1,,,,,,,,,,,,,,
13-Aug-2007,Savitaipale 10K,3,Clay,R32,809,,1,Q,Q,Alise Vaidere,Essi Laine,6-2 6-1,,,,,,,,,,,,,,
30-Jul-2007,Tampere 10K,3,Clay,F,1078,886,1,,,Alise Vaidere,Hanne Skak Jensen,6-4 6-1,,,,,,,,,,,,,,
30-Jul-2007,Tampere 10K,3,Clay,SF,1078,471,1,,1,Alise Vaidere,Piia Suomalainen,6-3 6-2,,,,,,,,,,,,,,
30-Jul-2007,Tampere 10K,3,Clay,QF,1078,1273,1,,Q,Alise Vaidere,Alena Nogolova,6-4 6-4,,,,,,,,,,,,,,
30-Jul-2007,Tampere 10K,3,Clay,R16,1078,600,1,,3,Alise Vaidere,Elizaveta Tochilovskaya,6-4 7-6(8),,,,,,,,,,,,,,
30-Jul-2007,Tampere 10K,3,Clay,R32,1078,,1,,WC,Alise Vaidere,Johanna Hyoty,6-4 4-6 6-3,,,,,,,,,,,,,,
23-Jul-2007,Horb 10K,3,Clay,R32,1089,673,0,Q,,Franziska Etzel,Alise Vaidere,7-5 6-3,,,,,,,,,,,,,,
16-Jul-2007,Garching 10K,3,Clay,R32,1096,506,0,LL,,Madlen Kadur,Alise Vaidere,6-4 6-2,,,,,,,,,,,,,,
2-Jul-2007,Prokuplje 10K,3,Clay,R32,1088,410,0,Q,1,Ana Veselinovic,Alise Vaidere,6-4 6-2,,,,,,,,,,,,,,
26-Apr-2007,Fed Cup G3 RRB: LAT vs IRL,3,Hard,RR,1095,837,1,,,Alise Vaidere,Emma Murphy,2-6 6-1 6-1,,,,,,,,,,,,,,
25-Apr-2007,Fed Cup G3 RRB: LAT vs MNE,3,Hard,RR,1095,,1,,,Alise Vaidere,Andjela Kankaras,6-4 7-5,,,,,,,,,,,,,,
23-Apr-2007,Fed Cup G3 RRB: LAT vs MLT,3,Hard,RR,1095,,1,,,Alise Vaidere,Elaine Genovese,6-1 6-3,,,,,,,,,,,,,,
19-Mar-2007,Athens 10K,3,Hard,R32,1090,352,0,Q,3,Lenka Tvaroskova,Alise Vaidere,6-4 6-4,,,,,,,,,,,,,,
12-Feb-2007,Stockholm-Salk 25K,3,Hard,R32,1062,415,0,Q,WC,Michaela Johansson,Alise Vaidere,6-2 6-4,,,,,,,,,,,,,,
6-Nov-2006,Ismaning 10K,3,Carpet,R32,1128,454,0,Q,4,Sabrina Jolk,Alise Vaidere,6-2 6-3,,,,,,,,,,,,,,
16-Oct-2006,Dubrovnik 10K,3,Clay,R32,1056,477,0,,3,Teodora Mircic,Alise Vaidere,6-4 6-2,,,,,,,,,,,,,,
4-Sep-2006,Dusseldorf 10K,3,Clay,QF,854,549,0,,5,Laura Zelder,Alise Vaidere,7-5 6-2,,,,,,,,,,,,,,
4-Sep-2006,Dusseldorf 10K,3,Clay,R16,854,426,1,,4,Alise Vaidere,Franziska Etzel,7-6(4) 6-3,,,,,,,,,,,,,,
4-Sep-2006,Dusseldorf 10K,3,Clay,R32,854,916,1,,,Alise Vaidere,Karolina Nowak,6-1 6-1,,,,,,,,,,,,,,
14-Aug-2006,Savitaipale 10K,3,Clay,R16,905,589,0,,3,Piia Suomalainen,Alise Vaidere,6-1 6-2,,,,,,,,,,,,,,
14-Aug-2006,Savitaipale 10K,3,Clay,R32,905,,1,,,Alise Vaidere,Maya Pitenina,7-5 6-4,,,,,,,,,,,,,,
29-May-2006,Olecko 10K,3,Clay,R32,788,871,0,8,Q,Julija Gotovskyte,Alise Vaidere,6-2 6-3,,,,,,,,,,,,,,
8-May-2006,Warsaw 1 10K,3,Clay,R32,727,,0,7,Q,Sylwia Zagorska,Alise Vaidere,5-7 6-4 6-1,,,,,,,,,,,,,,
27-Apr-2006,Fed Cup G2 RRB: LAT vs POR,3,Clay,RR,736,150,0,,,Frederica Piedade,Alise Vaidere,4-6 6-4 6-3,,,,,,,,,,,,,,
26-Apr-2006,Fed Cup G2 RRB: LAT vs GRE,3,Clay,RR,736,750,0,,,Anna Koumantou,Alise Vaidere,6-4 6-2,,,,,,,,,,,,,,
19-Sep-2005,Beijing Q,3,Hard,Q1,833,590,0,,SR,Trudi Musgrave,Alise Vaidere,6-1 0-6 6-1,,,,,,,,,,,,,,
1-Aug-2005,Vancouver 25K,3,Hard,R32,936,771,0,Q,Q,Roxane Vaisemberg,Alise Vaidere,6-3 6-3,,,,,,,,,,,,,,
18-Jul-2005,Evansville IN 10K,3,Hard,R32,995,545,0,,6,Jennifer Elie,Alise Vaidere,7-5 3-6 6-3,,,,,,,,,,,,,,
11-Jul-2005,Hamilton 25K,3,Clay,R32,991,319,0,Q,8,Leticia Sobral,Alise Vaidere,6-3 6-4,,,,,,,,,,,,,,
20-Jun-2005,Oslo 10K,3,Clay,R16,1023,585,0,,4,Kristina Andlovic,Alise Vaidere,7-5 6-4,,,,,,,,,,,,,,
20-Jun-2005,Oslo 10K,3,Clay,R32,1023,1275,1,,,Alise Vaidere,Liene Linina,4-6 6-2 6-4,,,,,,,,,,,,,,
23-May-2005,Olecko 10K,3,Clay,R32,1013,744,0,,7,Anna Bielen Zarska,Alise Vaidere,7-6(3) 7-5,,,,,,,,,,,,,,
9-May-2005,Falkenberg 10K,3,Clay,QF,1069,865,0,,,Johanna Larsson,Alise Vaidere,6-0 6-2,,,,,,,,,,,,,,
9-May-2005,Falkenberg 10K,3,Clay,R16,1069,574,1,,4,Alise Vaidere,Kristina Andlovic,6-4 6-4,,,,,,,,,,,,,,
9-May-2005,Falkenberg 10K,3,Clay,R32,1069,1226,1,,,Alise Vaidere,Malgorzata Silka,6-1 6-2,,,,,,,,,,,,,,
30-Apr-2005,Fed Cup G2 SF: ROU vs LAT,3,Hard,RR,1058,461,0,,,Monica Niculescu,Alise Vaidere,6-0 6-3,,,,,,,,,,,,,,
29-Apr-2005,Fed Cup G2 RRB: IRL vs LAT,3,Hard,RR,1058,,1,,,Alise Vaidere,Yvonne Doyle,6-3 3-6 6-3,,,,,,,,,,,,,,
28-Apr-2005,Fed Cup G2 RRB: LAT vs NOR,3,Hard,RR,1058,,1,,,Alise Vaidere,Ina Sartz,6-1 6-3,,,,,,,,,,,,,,
14-Mar-2005,Yarrawonga 10K,3,Grass,QF,,390,0,Q,5,Julia Efremova,Alise Vaidere,7-6(2) 6-3,,,,,,,,,,,,,,
14-Mar-2005,Yarrawonga 10K,3,Grass,R16,,809,1,Q,,Alise Vaidere,Kavitha Krishnamurthy,6-1 3-6 6-0,,,,,,,,,,,,,,
14-Mar-2005,Yarrawonga 10K,3,Grass,R32,,1036,1,Q,LL,Alise Vaidere,Dorian Driessen,6-1 6-3,,,,,,,,,,,,,,
7-Mar-2005,Benalla 10K,3,Grass,R32,,399,0,Q,6,Emily Hewson,Alise Vaidere,6-2 6-2,,,,,,,,,,,,,,
