Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
20-May-2024,W15 Monastir,3,Hard,R32,1091,705,0,WC,8,Lara Pfeifer,Alyssa Reguer,7-5 4-6 6-2,,,,,,,,,,,,,,
13-May-2024,W15 Monastir,3,Hard,R32,1088,678,0,,5,Daria Khomutsianskaya,Alyssa Reguer,6-4 6-0,,,,,,,,,,,,,,
6-May-2024,W75+H Saint-Gaudens,3,Clay,Q1,1088,514,0,,10,Oana Gavrila,Alyssa Reguer,7-5 6-4,,,,,,,,,,,,,,
26-Feb-2024,W50 Pretoria,3,Hard,R32,1046,848,0,Q,Q,Amelia Waligora,Alyssa Reguer,6-2 6-3,,,,,,,,,,,,,,
26-Feb-2024,W50 Pretoria,3,Hard,Q2,1046,,1,6,12,Alyssa Reguer,Christine Gouws,6-1 6-2,,,,,,,,,,,,,,
19-Feb-2024,W50 Pretoria,3,Hard,Q2,1077,,0,7,,Lilitha Sithenkosi Ndungane,Alyssa Reguer,6-1 3-6 6-4,,,,,,,,,,,,,,
19-Feb-2024,W50 Pretoria,3,Hard,Q1,1077,,1,7,,Alyssa Reguer,Mia Leigh Cilliers,6-0 6-3,,,,,,,,,,,,,,
5-Feb-2024,W15 Monastir,3,Hard,R16,1077,,1,,WC,Alyssa Reguer,Isabella Maria Serban,6-4 4-6 11-9,,,,,,,,,,,,,,
5-Feb-2024,W15 Monastir,3,Hard,R32,1077,,0,Q,,Laura Samson,Alyssa Reguer,6-0 6-0,,,,,,,,,,,,,,
5-Feb-2024,W15 Monastir,3,Hard,R32,1077,1058,1,,16,Alyssa Reguer,Sandeepti Singh Rao,6-2 6-3,,,,,,,,,,,,,,
5-Feb-2024,W15 Monastir,3,Hard,R64,1077,,1,,,Alyssa Reguer,Saoirse Breen,6-4 6-3,,,,,,,,,,,,,,
29-Jan-2024,W15 Monastir,3,Hard,R32,1077,,0,WC,,Josy Daems,Alyssa Reguer,6-2 3-6 6-0,,,,,,,,,,,,,,
8-Jan-2024,W15 Monastir,3,Hard,R32,1157,1181,0,WC,WC,Nagomi Higashitani,Alyssa Reguer,1-6 6-3 6-1,,,,,,,,,,,,,,
1-Jan-2024,W15 Monastir,3,Hard,QF,1100,1365,0,,,Malwina Rowinska,Alyssa Reguer,7-5 6-1,,,,,,,,,,,,,,
1-Jan-2024,W15 Monastir,3,Hard,R16,1100,1278,1,,Q,Alyssa Reguer,Yanan Hou,6-4 6-1,,,,,,,,,,,,,,
1-Jan-2024,W15 Monastir,3,Hard,R32,1100,926,1,,7,Alyssa Reguer,Julia Konishi Camargo Silva,6-2 6-0,,,,,,,,,,,,,,
25-Dec-2023,W15 Monastir,3,Hard,R32,1122,995,0,,,Tanisha Kashyap,Alyssa Reguer,3-6 6-2 7-5,,,,,,,,,,,,,,
18-Dec-2023,W15 Monastir,3,Hard,R16,1123,534,0,Q,2,Nina Radovanovic,Alyssa Reguer,6-1 6-2,,,,,,,,,,,,,,
18-Dec-2023,W15 Monastir,3,Hard,R32,1123,905,1,Q,,Alyssa Reguer,Kateryna Lazarenko,6-4 3-6 6-4,,,,,,,,,,,,,,
18-Dec-2023,W15 Monastir,3,Hard,Q2,1123,,1,4,,Alyssa Reguer,Hiba Heni,4-6 6-3 10-6,,,,,,,,,,,,,,
18-Dec-2023,W15 Monastir,3,Hard,Q1,1123,,1,4,,Alyssa Reguer,Chahd Berriri,4-1 RET,,,,,,,,,,,,,,
20-Nov-2023,W15 Sharm ElSheikh,3,Hard,R16,1171,991,0,8,,Mariia Tkacheva,Alyssa Reguer,6-1 6-1,,,,,,,,,,,,,,
20-Nov-2023,W15 Sharm ElSheikh,3,Hard,R32,1171,,1,8,Q,Alyssa Reguer,Valeria Braslavskaya,6-4 6-3,,,,,,,,,,,,,,
13-Nov-2023,W15 Sharm ElSheikh,3,Hard,R16,1168,1297,0,7,,Fang An Lin,Alyssa Reguer,7-5 6-1,,,,,,,,,,,,,,
13-Nov-2023,W15 Sharm ElSheikh,3,Hard,R32,1168,,1,7,WC,Alyssa Reguer,Carla Fity,6-3 6-2,,,,,,,,,,,,,,
6-Nov-2023,W40 Heraklion,3,Clay,R32,1166,443,0,,3,Anna Gabric,Alyssa Reguer,7-5 6-1,,,,,,,,,,,,,,
6-Nov-2023,W40 Heraklion,3,Clay,R64,1166,,1,,,Alyssa Reguer,Janika Kusy,6-1 6-2,,,,,,,,,,,,,,
30-Oct-2023,W40 Heraklion,3,Clay,R64,1080,,0,,,Maria Titova,Alyssa Reguer,7-6(1) 6-7(3) 6-3,,,,,,,,,,,,,,
