Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
23-May-1994,ITF Barcelona 1 25K,3,Clay,Q1,,350,0,,5,Gala Leon Garcia,Ana Perez,6-1 7-5,,,,,,,,,,,,,,
24-May-1993,ITF Barcelona 2,3,Clay,Q1,,,0,,,Pamela Zingman,Ana Perez,6-0 6-2,,,,,,,,,,,,,,
11-May-1992,ITF Barcelona,3,Clay,R32,,408,0,,4,Catherine Barclay,Ana Perez,6-4 6-3,,,,,,,,,,,,,,
27-Apr-1992,ITF Lerida,3,Clay,R16,,536,0,,7,Marie Pierre Attali,Ana Perez,7-6 6-2,,,,,,,,,,,,,,
27-Apr-1992,ITF Lerida,3,Clay,R32,,686,1,,,Ana Perez,Maria Capistrano Bjorklund,6-2 7-6,,,,,,,,,,,,,,
17-Feb-1992,ITF Hebron,3,Clay,Q3,,333,0,,4,Heike Rusch,Ana Perez,6-0 6-2,,,,,,,,,,,,,,
17-Feb-1992,ITF Hebron,3,Clay,Q2,,496,1,,,Ana Perez,Rieneke Kusters,6-7(10) 6-4 6-4,,,,,,,,,,,,,,
17-Feb-1992,ITF Hebron,3,Clay,Q1,,572,1,,,Ana Perez,Yvonne Klompenhouver,6-2 6-2,,,,,,,,,,,,,,
5-Aug-1991,ITF Vigo,3,Clay,Q3,,,0,,,Olga Lugina,Ana Perez,6-1 6-0,,,,,,,,,,,,,,
5-Aug-1991,ITF Vigo,3,Clay,Q2,,,1,,,Ana Perez,Maria Carmen Leon,6-2 6-2,,,,,,,,,,,,,,
5-Aug-1991,ITF Vigo,3,Clay,Q1,,,1,,,Ana Perez,Joana Pedroso,6-4 7-5,,,,,,,,,,,,,,
20-May-1991,ITF Tortosa,3,Clay,R16,,,0,,,Angeles Montolio,Ana Perez,6-0 7-6(5),,,,,,,,,,,,,,
20-May-1991,ITF Tortosa,3,Clay,R32,,,1,,8,Ana Perez,Denia Salu,6-1 6-3,,,,,,,,,,,,,,
29-Apr-1991,ITF Barcelona,3,Clay,R32,,410,0,,5,Marianne Vallin,Ana Perez,5-7 6-1 6-2,,,,,,,,,,,,,,
5-Nov-1990,ITF Lerida,3,Hard,R32,,,0,,,Alicia Ortuno,Ana Perez,6-7 7-6 6-3,,,,,,,,,,,,,,
