Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
20-May-2024,W75 Grado,3,Clay,Q2,526,491,0,9,4,Deborah Chiesa,Anastasia Abbagnato,6-2 6-4,,,,,,,,,,,,,,
20-May-2024,W75 Grado,3,Clay,Q1,526,808,1,9,,Anastasia Abbagnato,Anne Schaefer,7-6(6) 7-6(4),,,,,,,,,,,,,,
6-May-2024,Rome,3,Clay,Q1,507,79,0,WC,6,Viktoriya Tomova,Anastasia Abbagnato,6-3 6-1,0.57,1.9%,9.6%,34.6%,61.1%,41.2%,50.0% (5/10),39.6%,29.5%,0.0%,31.0%,26.7%,100.0% (1/1),1:18
15-Apr-2024,W35 Santa Margherita di Pula,3,Clay,R32,509,571,0,,,Sofia Shapatava,Anastasia Abbagnato,6-7(4) 7-6(5) 7-5,,,,,,,,,,,,,,
8-Apr-2024,W35 Santa Margherita di Pula,3,Clay,R16,506,,0,,3,Anastasiya Konstantinovna Soboleva,Anastasia Abbagnato,6-1 6-2,,,,,,,,,,,,,,
8-Apr-2024,W35 Santa Margherita di Pula,3,Clay,R32,506,1141,1,,WC,Anastasia Abbagnato,Melania Delai,7-6(3) 4-6 6-1,,,,,,,,,,,,,,
1-Apr-2024,W35 Santa Margherita di Pula,3,Clay,R32,527,452,0,WC,,Laura Hietaranta,Anastasia Abbagnato,5-7 6-2 6-1,,,,,,,,,,,,,,
25-Mar-2024,W35 Santa Margherita di Pula,3,Clay,QF,522,334,0,WC,4,Leonie Kung,Anastasia Abbagnato,6-4 6-3,,,,,,,,,,,,,,
25-Mar-2024,W35 Santa Margherita di Pula,3,Clay,R16,522,388,1,WC,7,Anastasia Abbagnato,Anouk Koevermans,6-2 7-5,,,,,,,,,,,,,,
25-Mar-2024,W35 Santa Margherita di Pula,3,Clay,R32,522,,1,WC,WC,Anastasia Abbagnato,Vasilisa Borisova,6-1 6-1,,,,,,,,,,,,,,
11-Mar-2024,W35 Santo Domingo,3,Hard,R64,524,415,0,,,Alana Smith,Anastasia Abbagnato,6-4 6-2,,,,,,,,,,,,,,
4-Mar-2024,W35 Santo Domingo,3,Hard,R32,524,270,0,,7,Xinyu Gao,Anastasia Abbagnato,6-3 6-4,,,,,,,,,,,,,,
4-Mar-2024,W35 Santo Domingo,3,Hard,R64,524,581,1,,,Anastasia Abbagnato,Maria Fernanda Herazo Gonzalez,7-6(7) 6-2,,,,,,,,,,,,,,
5-Feb-2024,W50 Edgbaston,3,Hard,Q1,522,1300,0,11,,Anna Ozerova,Anastasia Abbagnato,6-4 6-1,,,,,,,,,,,,,,
29-Jan-2024,W50 Porto,3,Hard,QF,559,128,0,Q,1,Rebecca Sramkova,Anastasia Abbagnato,6-3 6-2,,,,,,,,,,,,,,
29-Jan-2024,W50 Porto,3,Hard,R16,559,186,1,Q,6,Anastasia Abbagnato,Natalija Stevanovic,7-5 3-6 6-3,,,,,,,,,,,,,,
29-Jan-2024,W50 Porto,3,Hard,R32,559,367,1,Q,Q,Anastasia Abbagnato,Julia Middendorf,6-1 2-6 7-5,,,,,,,,,,,,,,
29-Jan-2024,W50 Porto,3,Hard,Q2,559,427,1,12,6,Anastasia Abbagnato,Nadine Keller,4-6 6-4 6-3,,,,,,,,,,,,,,
29-Jan-2024,W50 Porto,3,Hard,Q1,559,1188,1,12,WC,Anastasia Abbagnato,Ana Filipa Santos,4-6 6-4 6-1,,,,,,,,,,,,,,
27-Nov-2023,W25 Selva Gardena,3,Hard,QF,592,399,0,,8,Martyna Kubka,Anastasia Abbagnato,6-1 6-3,,,,,,,,,,,,,,
27-Nov-2023,W25 Selva Gardena,3,Hard,R16,592,248,1,,1,Anastasia Abbagnato,Julia Avdeeva,7-5 6-1,,,,,,,,,,,,,,
27-Nov-2023,W25 Selva Gardena,3,Hard,R32,592,519,1,,,Anastasia Abbagnato,Jasmijn Gimbrere,6-2 6-1,,,,,,,,,,,,,,
20-Nov-2023,W25 Ortisei,3,Hard,R16,578,238,0,WC,2,Yuliya Hatouka,Anastasia Abbagnato,6-4 6-4,,,,,,,,,,,,,,
20-Nov-2023,W25 Ortisei,3,Hard,R32,578,852,1,WC,WC,Anastasia Abbagnato,Samira De Stefano,6-4 6-2,,,,,,,,,,,,,,
6-Nov-2023,W25 Solarino,3,Carpet,Q2,584,930,0,5,10,Katerina Tsygourova,Anastasia Abbagnato,6-4 4-2 RET,,,,,,,,,,,,,,
6-Nov-2023,W25 Solarino,3,Carpet,Q1,584,,1,5,,Anastasia Abbagnato,Gaia Greco,6-2 6-3,,,,,,,,,,,,,,
30-Oct-2023,W25 Solarino,3,Carpet,R16,663,189,0,SE,1,Ylena In Albon,Anastasia Abbagnato,6-2 6-1,,,,,,,,,,,,,,
30-Oct-2023,W25 Solarino,3,Carpet,R32,663,450,1,SE,,Anastasia Abbagnato,Lena Rueffer,6-3 6-3,,,,,,,,,,,,,,
23-Oct-2023,W15 Villena,3,Hard,F,663,848,1,3,8,Anastasia Abbagnato,Adriana Reami,6-1 6-2,,,,,,,,,,,,,,
23-Oct-2023,W15 Villena,3,Hard,SF,663,648,1,3,2,Anastasia Abbagnato,Joelle Lilly Sophie Steur,4-6 6-1 6-1,,,,,,,,,,,,,,
23-Oct-2023,W15 Villena,3,Hard,QF,663,967,1,3,,Anastasia Abbagnato,Arina Arifullina,6-4 6-3,,,,,,,,,,,,,,
23-Oct-2023,W15 Villena,3,Hard,R16,663,704,1,3,,Anastasia Abbagnato,Andre Lukosiute,7-5 3-6 6-3,,,,,,,,,,,,,,
23-Oct-2023,W15 Villena,3,Hard,R32,663,,1,3,Q,Anastasia Abbagnato,Ida Johansson,6-2 6-4,,,,,,,,,,,,,,
16-Oct-2023,W25 Santa Margherita di Pula,3,Clay,QF,703,199,0,WC,1,Veronika Erjavec,Anastasia Abbagnato,1-6 6-1 6-2,,,,,,,,,,,,,,
16-Oct-2023,W25 Santa Margherita di Pula,3,Clay,R16,703,299,1,WC,8,Anastasia Abbagnato,Sada Nahimana,4-6 6-4 7-5,,,,,,,,,,,,,,
16-Oct-2023,W25 Santa Margherita di Pula,3,Clay,R32,703,313,1,WC,,Anastasia Abbagnato,Reka Luca Jani,6-1 6-3,,,,,,,,,,,,,,
9-Oct-2023,W25 Santa Margherita di Pula,3,Clay,QF,699,465,0,Q,,Caijsa Wilda Hennemann,Anastasia Abbagnato,6-3 6-3,,,,,,,,,,,,,,
9-Oct-2023,W25 Santa Margherita di Pula,3,Clay,R16,699,394,1,Q,,Anastasia Abbagnato,Georgia Pedone,2-6 7-6(6) 6-4,,,,,,,,,,,,,,
9-Oct-2023,W25 Santa Margherita di Pula,3,Clay,R32,699,534,1,Q,Q,Anastasia Abbagnato,Angelica Moratelli,6-1 6-2,,,,,,,,,,,,,,
9-Oct-2023,W25 Santa Margherita di Pula,3,Clay,Q2,699,539,1,10,8,Anastasia Abbagnato,Tatiana Pieri,W/O,,,,,,,,,,,,,,
9-Oct-2023,W25 Santa Margherita di Pula,3,Clay,Q1,699,,1,10,,Anastasia Abbagnato,Greta Greco Lucchina,6-0 7-6(2),,,,,,,,,,,,,,
2-Oct-2023,W25 Santa Margherita di Pula,3,Clay,R32,700,344,0,WC,,Nikola Bartunkova,Anastasia Abbagnato,7-5 6-2,,,,,,,,,,,,,,
25-Sep-2023,W25 Santa Margherita di Pula,3,Clay,Q1,700,797,0,12,,Maria Toma,Anastasia Abbagnato,3-6 6-0 10-5,,,,,,,,,,,,,,
4-Sep-2023,W15 Fiano Romano,3,Clay,QF,718,953,0,1,7,Enola Chiesa,Anastasia Abbagnato,6-0 6-3,,,,,,,,,,,,,,
4-Sep-2023,W15 Fiano Romano,3,Clay,R16,718,,1,1,Q,Anastasia Abbagnato,Benedetta Ortenzi,6-2 6-3,,,,,,,,,,,,,,
4-Sep-2023,W15 Fiano Romano,3,Clay,R32,718,1198,1,1,,Anastasia Abbagnato,Margherita Marcon,6-0 6-3,,,,,,,,,,,,,,
28-Aug-2023,W25 Trieste,3,Clay,QF,718,681,0,WC,LL,Sofia Rocchetti,Anastasia Abbagnato,6-7(5) 6-3 6-2,,,,,,,,,,,,,,
28-Aug-2023,W25 Trieste,3,Clay,R16,718,301,1,WC,2,Anastasia Abbagnato,Lucija Ciric Bagaric,6-2 7-6(6),,,,,,,,,,,,,,
28-Aug-2023,W25 Trieste,3,Clay,R32,718,763,1,WC,WC,Anastasia Abbagnato,Laura Mair,6-4 6-3,,,,,,,,,,,,,,
21-Aug-2023,W25 Vigo,3,Hard,R32,719,307,0,Q,5,Alexandra Bozovic,Anastasia Abbagnato,6-7(2) 6-2 6-4,,,,,,,,,,,,,,
31-Jul-2023,W60 Cordenons,3,Clay,Q1,721,504,0,,8,Deborah Chiesa,Anastasia Abbagnato,7-6(4) 4-6 6-2,,,,,,,,,,,,,,
24-Jul-2023,W15 Monastir,3,Hard,QF,721,1212,0,5,WC,Angella Okutoyi,Anastasia Abbagnato,6-2 1-6 6-1,,,,,,,,,,,,,,
24-Jul-2023,W15 Monastir,3,Hard,R16,721,,1,5,WC,Anastasia Abbagnato,Barakat Oyinlomo Quadre,3-6 6-3 6-2,,,,,,,,,,,,,,
24-Jul-2023,W15 Monastir,3,Hard,R32,721,1253,1,5,,Anastasia Abbagnato,Feryel Ben Hassen,6-4 6-4,,,,,,,,,,,,,,
17-Jul-2023,W15 Monastir,3,Hard,R32,718,,0,3,Q,Cristina Elena Tiglea,Anastasia Abbagnato,6-3 6-1,,,,,,,,,,,,,,
10-Jul-2023,W60 Rome,3,Clay,R32,729,590,0,Q,Q,Deborah Chiesa,Anastasia Abbagnato,6-1 6-2,,,,,,,,,,,,,,
10-Jul-2023,W60 Rome,3,Clay,Q2,729,487,1,,1,Anastasia Abbagnato,Dimitra Pavlou,1-6 6-2 6-4,,,,,,,,,,,,,,
10-Jul-2023,W60 Rome,3,Clay,Q1,729,626,1,,13,Anastasia Abbagnato,Aurora Zantedeschi,7-6(5) 6-3,,,,,,,,,,,,,,
26-Jun-2023,W25 Tarvisio,3,Clay,Q1,723,,0,11,WC,Eleonora Alvisi,Anastasia Abbagnato,6-3 7-5,,,,,,,,,,,,,,
12-Jun-2023,W60 Rome,3,Clay,Q1,717,465,0,,5,Sara Cakarevic,Anastasia Abbagnato,6-4 6-1,,,,,,,,,,,,,,
5-Jun-2023,W60 Caserta,3,Clay,Q2,749,313,0,13,1,Gabriela Ce,Anastasia Abbagnato,6-3 6-7(3) 6-4,,,,,,,,,,,,,,
5-Jun-2023,W60 Caserta,3,Clay,Q1,749,,1,13,WC,Anastasia Abbagnato,Federica Sacco,6-2 6-2,,,,,,,,,,,,,,
22-May-2023,W60 Grado,3,Clay,R32,746,,0,WC,Q,Marcelina Podlinska,Anastasia Abbagnato,6-2 4-6 6-1,,,,,,,,,,,,,,
1-May-2023,W25 Santa Margherita di Pula,3,Clay,QF,818,207,0,WC,2,Valentini Grammatikopoulou,Anastasia Abbagnato,6-3 6-4,,,,,,,,,,,,,,
1-May-2023,W25 Santa Margherita di Pula,3,Clay,R16,818,1320,1,WC,WC,Anastasia Abbagnato,Versace Gatti,6-4 6-1,,,,,,,,,,,,,,
1-May-2023,W25 Santa Margherita di Pula,3,Clay,R32,818,416,1,WC,8,Anastasia Abbagnato,Lexie Stevens,1-6 6-4 6-4,,,,,,,,,,,,,,
24-Apr-2023,W25 Santa Margherita di Pula,3,Clay,Q2,818,598,0,10,5,Aurora Zantedeschi,Anastasia Abbagnato,6-2 7-5,,,,,,,,,,,,,,
24-Apr-2023,W25 Santa Margherita di Pula,3,Clay,Q1,818,,1,10,,Anastasia Abbagnato,Carolina Giua,6-0 6-1,,,,,,,,,,,,,,
17-Apr-2023,W25 Santa Margherita di Pula,3,Clay,Q2,816,407,0,15,1,Chi Chi Scholl,Anastasia Abbagnato,6-3 6-3,,,,,,,,,,,,,,
17-Apr-2023,W25 Santa Margherita di Pula,3,Clay,Q1,816,,1,15,,Anastasia Abbagnato,Margherita Marcon,7-5 6-2,,,,,,,,,,,,,,
27-Mar-2023,W15 Monastir,3,Hard,R16,829,920,0,,,Dejana Radanovic,Anastasia Abbagnato,6-2 6-2,,,,,,,,,,,,,,
27-Mar-2023,W15 Monastir,3,Hard,R32,829,888,1,,Q,Anastasia Abbagnato,Denise Valente,6-2 6-3,,,,,,,,,,,,,,
20-Mar-2023,W15 Monastir,3,Hard,R16,829,636,0,,,Nina Radovanovic,Anastasia Abbagnato,2-6 6-3 6-3,,,,,,,,,,,,,,
20-Mar-2023,W15 Monastir,3,Hard,R32,829,539,1,,4,Anastasia Abbagnato,Valentina Ryser,6-1 6-1,,,,,,,,,,,,,,
13-Mar-2023,W15 Monastir,3,Hard,R32,817,638,0,,5,Dasha Ivanova,Anastasia Abbagnato,6-2 7-5,,,,,,,,,,,,,,
9-Jan-2023,W25 Buenos Aires,3,Clay,R32,850,268,0,,3,Gabriela Ce,Anastasia Abbagnato,6-3 6-2,,,,,,,,,,,,,,
9-Jan-2023,W25 Buenos Aires,3,Clay,R64,850,784,1,,,Anastasia Abbagnato,Julia Konishi Camargo Silva,6-0 6-0,,,,,,,,,,,,,,
19-Dec-2022,W15 Sharm ElSheikh,3,Hard,QF,913,641,0,,2,Jasmine Conway,Anastasia Abbagnato,6-2 6-3,,,,,,,,,,,,,,
19-Dec-2022,W15 Sharm ElSheikh,3,Hard,R16,913,742,1,,5,Anastasia Abbagnato,Tilwith Di Girolami,6-2 7-5,,,,,,,,,,,,,,
19-Dec-2022,W15 Sharm ElSheikh,3,Hard,R32,913,978,1,,,Anastasia Abbagnato,Giuliana Bestetti,6-4 6-4,,,,,,,,,,,,,,
12-Dec-2022,W15 Sharm ElSheikh,3,Hard,QF,901,640,0,,2,Jasmine Conway,Anastasia Abbagnato,5-7 6-1 6-4,,,,,,,,,,,,,,
12-Dec-2022,W15 Sharm ElSheikh,3,Hard,R16,901,844,1,,,Anastasia Abbagnato,Lamis Alhussein Abdel Aziz,7-6(5) 6-3,,,,,,,,,,,,,,
12-Dec-2022,W15 Sharm ElSheikh,3,Hard,R32,901,906,1,,,Anastasia Abbagnato,Giulia Carbonaro,7-6(3) 6-2,,,,,,,,,,,,,,
14-Nov-2022,W15 Solarino,3,Carpet,SF,1030,850,0,,6,Beatrice Ricci,Anastasia Abbagnato,6-3 6-1,,,,,,,,,,,,,,
14-Nov-2022,W15 Solarino,3,Carpet,QF,1030,570,1,,1,Anastasia Abbagnato,Federica Bilardo,4-0 RET,,,,,,,,,,,,,,
14-Nov-2022,W15 Solarino,3,Carpet,R16,1030,1035,1,,,Anastasia Abbagnato,Samira De Stefano,4-6 6-1 6-3,,,,,,,,,,,,,,
14-Nov-2022,W15 Solarino,3,Carpet,R32,1030,,1,,Q,Anastasia Abbagnato,Inez Maria Kotlikova,6-1 2-6 6-1,,,,,,,,,,,,,,
7-Nov-2022,W15 Solarino,3,Carpet,QF,1031,851,0,,7,Georgia Pedone,Anastasia Abbagnato,2-6 6-3 6-4,,,,,,,,,,,,,,
7-Nov-2022,W15 Solarino,3,Carpet,R16,1031,691,1,,4,Anastasia Abbagnato,Ivana Sebestova,6-2 6-3,,,,,,,,,,,,,,
7-Nov-2022,W15 Solarino,3,Carpet,R32,1031,1163,1,,,Anastasia Abbagnato,Sevil Yuldasheva,7-6(4) 4-6 6-3,,,,,,,,,,,,,,
31-Oct-2022,W15 Solarino,3,Carpet,R16,1030,947,0,,6,Vlada Ekshibarova,Anastasia Abbagnato,7-6(4) 4-6 6-2,,,,,,,,,,,,,,
31-Oct-2022,W15 Solarino,3,Carpet,R32,1030,,1,,Q,Anastasia Abbagnato,Margherita Marcon,6-1 4-6 6-3,,,,,,,,,,,,,,
17-Oct-2022,W25 Santa Margherita di Pula,3,Clay,Q2,1039,755,0,14,8,Martina Spigarelli,Anastasia Abbagnato,6-4 6-3,,,,,,,,,,,,,,
17-Oct-2022,W25 Santa Margherita di Pula,3,Clay,Q1,1039,,1,14,WC,Anastasia Abbagnato,Sara Festa,6-1 6-0,,,,,,,,,,,,,,
