Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
19-Jun-2023,W15 Bucharest,3,Clay,R32,498,,0,2,Q,Alexia Iulia Marginean,Andreea Amalia Rosca,7-5 RET,,,,,,,,,,,,,,
29-May-2023,W25 Yecla,3,Hard,R16,503,637,0,,,Victoria Rodriguez,Andreea Amalia Rosca,6-4 6-0,,,,,,,,,,,,,,
29-May-2023,W25 Yecla,3,Hard,R32,503,1007,1,,WC,Andreea Amalia Rosca,Victoria Gomez,6-3 3-6 6-4,,,,,,,,,,,,,,
22-May-2023,W15 Kursumlijska Banja,3,Clay,R16,493,1280,0,2,Q,Anja Stankovic,Andreea Amalia Rosca,6-4 6-0,,,,,,,,,,,,,,
22-May-2023,W15 Kursumlijska Banja,3,Clay,R32,493,770,1,2,,Andreea Amalia Rosca,Julia Stamatova,6-2 6-1,,,,,,,,,,,,,,
31-Oct-2022,W25 Trnava,3,Hard,R16,358,344,0,,,Alice Robbe,Andreea Amalia Rosca,6-1 7-5,,,,,,,,,,,,,,
31-Oct-2022,W25 Trnava,3,Hard,R32,358,259,1,,2,Andreea Amalia Rosca,Ekaterina Makarova,3-6 6-4 6-2,,,,,,,,,,,,,,
12-Sep-2022,Bucharest 125,3,Clay,R32,307,97,0,WC,,Julia Grabher,Andreea Amalia Rosca,6-0 6-3,0.60,0.0%,5.1%,54.2%,53.1%,33.3%,50.0% (5/10),39.1%,33.3%,3.9%,22.2%,45.8%,33.3% (1/3),1:16
5-Sep-2022,Bari 125,3,Clay,R32,314,240,0,Q,Q,Paula Ormaechea,Andreea Amalia Rosca,3-6 6-2 6-2,0.85,3.4%,6.8%,59.1%,57.7%,44.4%,60.0% (9/15),47.0%,40.8%,0.0%,43.8%,35.7%,66.7% (4/6),2:15
8-Aug-2022,W25 Brasov,3,Clay,F,,575,1,3,7,Andreea Amalia Rosca,Julia Avdeeva,6-1 6-7(5) 7-6(1),,,,,,,,,,,,,,
8-Aug-2022,W25 Brasov,3,Clay,SF,,295,1,3,1,Andreea Amalia Rosca,Cristina Dinu,6-4 5-7 7-5,,,,,,,,,,,,,,
8-Aug-2022,W25 Brasov,3,Clay,QF,,674,1,3,8,Andreea Amalia Rosca,Georgia Andreea Craciun,6-3 6-3,,,,,,,,,,,,,,
8-Aug-2022,W25 Brasov,3,Clay,R16,,970,1,3,,Andreea Amalia Rosca,Mihaela Tsoneva,6-2 6-0,,,,,,,,,,,,,,
8-Aug-2022,W25 Brasov,3,Clay,R32,,,1,3,WC,Andreea Amalia Rosca,Ana Maria Gavrilovici,6-0 6-2,,,,,,,,,,,,,,
1-Aug-2022,Iasi 125,3,Clay,Q1,363,755,0,5,,Lavinia Tanasie,Andreea Amalia Rosca,6-2 4-6 6-1,0.76,1.3%,8.9%,67.1%,35.8%,38.5%,30.8% (4/13),42.5%,48.1%,0.0%,44.2%,55.2%,42.9% (6/14),2:02
4-Jul-2022,W60 Amstelveen,3,Clay,Q2,373,412,0,8,11,Johana Markova,Andreea Amalia Rosca,2-6 6-1 10-8,,,,,,,,,,,,,,
4-Jul-2022,W60 Amstelveen,3,Clay,Q1,373,,1,8,WC,Andreea Amalia Rosca,Nikki Redelijk,6-4 6-3,,,,,,,,,,,,,,
20-Jun-2022,W25 Prokuplje,3,Clay,QF,377,708,0,7,Q,Natalia Szabanin,Andreea Amalia Rosca,5-0 RET,,,,,,,,,,,,,,
20-Jun-2022,W25 Prokuplje,3,Clay,R16,377,585,1,7,,Andreea Amalia Rosca,Luisa Meyer Auf Der Heide,6-4 6-3,,,,,,,,,,,,,,
20-Jun-2022,W25 Prokuplje,3,Clay,R32,377,531,1,7,,Andreea Amalia Rosca,Ivana Jorovic,6-1 6-3,,,,,,,,,,,,,,
13-Jun-2022,W25 Poertschach,3,Clay,QF,378,528,0,,,Ivana Jorovic,Andreea Amalia Rosca,6-0 6-2,,,,,,,,,,,,,,
13-Jun-2022,W25 Poertschach,3,Clay,R16,378,439,1,,,Andreea Amalia Rosca,Angelica Moratelli,6-3 6-2,,,,,,,,,,,,,,
13-Jun-2022,W25 Poertschach,3,Clay,R32,378,369,1,,8,Andreea Amalia Rosca,Caijsa Wilda Hennemann,6-3 6-2,,,,,,,,,,,,,,
30-May-2022,W60 Brasov,3,Clay,R32,374,443,0,,Q,Miriam Bianca Bulgaru,Andreea Amalia Rosca,6-3 6-2,,,,,,,,,,,,,,
16-May-2022,W25 Platja D'Aro,3,Clay,R16,369,363,0,6,,Ioana Loredana Rosca,Andreea Amalia Rosca,6-3 0-6 6-3,,,,,,,,,,,,,,
16-May-2022,W25 Platja D'Aro,3,Clay,R32,369,,1,6,WC,Andreea Amalia Rosca,Judith Perello Saavedra,6-2 6-3,,,,,,,,,,,,,,
2-May-2022,W100 Wiesbaden,3,Clay,R32,363,286,0,Q,Q,Justina Mikulskyte,Andreea Amalia Rosca,5-7 6-1 6-4,0.86,1.9%,2.8%,78.5%,51.2%,43.5%,66.7% (16/24),46.7%,43.3%,4.4%,37.9%,53.1%,55.6% (5/9),
2-May-2022,W100 Wiesbaden,3,Clay,Q2,363,344,1,9,8,Andreea Amalia Rosca,Andrea Gamiz,6-7(8) 6-3 10-7,,,,,,,,,,,,,,
2-May-2022,W100 Wiesbaden,3,Clay,Q1,363,762,1,9,WC,Andreea Amalia Rosca,Angelina Wirges,7-5 6-1,,,,,,,,,,,,,,
25-Apr-2022,W60 Istanbul,3,Clay,Q1,363,787,0,9,,Kristina Dmitruk,Andreea Amalia Rosca,3-6 6-3 10-4,,,,,,,,,,,,,,
21-Feb-2022,W25 Antalya,3,Clay,R32,362,,0,,SR,Jing Jing Lu,Andreea Amalia Rosca,6-3 5-7 6-4,,,,,,,,,,,,,,
14-Feb-2022,W25 Antalya,3,Clay,Q3,364,666,0,3,,Naho Sato,Andreea Amalia Rosca,7-6(2) 6-1,,,,,,,,,,,,,,
14-Feb-2022,W25 Antalya,3,Clay,Q2,364,704,1,3,,Andreea Amalia Rosca,Diletta Cherubini,6-0 6-0,,,,,,,,,,,,,,
14-Feb-2022,W25 Antalya,3,Clay,Q1,364,1088,1,3,,Andreea Amalia Rosca,Evgeniya Burdina,6-3 6-3,,,,,,,,,,,,,,
10-Jan-2022,W25 Monastir,3,Hard,R32,377,409,0,,,Miriam Bianca Bulgaru,Andreea Amalia Rosca,6-3 6-7(2) 6-4,,,,,,,,,,,,,,
3-Jan-2022,W25 Monastir,3,Hard,QF,377,483,0,,,Eudice Wong Chong,Andreea Amalia Rosca,7-6(4) 6-1,,,,,,,,,,,,,,
3-Jan-2022,W25 Monastir,3,Hard,R16,377,788,1,,WC,Andreea Amalia Rosca,Tamira Paszek,6-7(3) 6-2 6-0,,,,,,,,,,,,,,
3-Jan-2022,W25 Monastir,3,Hard,R32,377,302,1,,1,Andreea Amalia Rosca,Nastasja Schunk,6-2 6-1,,,,,,,,,,,,,,
13-Dec-2021,Limoges,3,Hard,R32,376,77,0,Q,4,Greet Minnen,Andreea Amalia Rosca,3-6 6-1 6-1,0.79,4.8%,4.8%,66.7%,64.3%,19.0%,33.3% (3/9),44.0%,40.2%,0.0%,41.7%,38.5%,42.9% (3/7),1:38
25-Oct-2021,Cluj-Napoca 2,3,Hard,Q2,415,127,0,WC,5,Lesia Tsurenko,Andreea Amalia Rosca,7-5 6-1,0.72,0.0%,5.2%,84.5%,40.8%,11.1%,12.5% (1/8),41.5%,46.2%,3.1%,37.0%,68.4%,57.1% (4/7),1:18
25-Oct-2021,Cluj-Napoca 2,3,Hard,Q1,415,205,1,WC,10,Andreea Amalia Rosca,Anastasia Zakharova,7-6(4) 6-3,1.50,3.8%,3.8%,75.5%,70.0%,61.5%,0.0% (0/2),55.9%,48.2%,3.6%,30.6%,61.7%,80.0% (4/5),1:33
18-Oct-2021,W25 Seville,3,Clay,SF,415,193,0,Q,1,Diane Parry,Andreea Amalia Rosca,7-5 6-1,,,,,,,,,,,,,,
18-Oct-2021,W25 Seville,3,Clay,QF,415,510,1,Q,WC,Andreea Amalia Rosca,Leyre Romero Gormaz,6-4 4-6 6-2,,,,,,,,,,,,,,
18-Oct-2021,W25 Seville,3,Clay,R16,415,450,1,Q,Q,Andreea Amalia Rosca,Ane Mintegi Del Olmo,4-6 6-4 7-5,,,,,,,,,,,,,,
18-Oct-2021,W25 Seville,3,Clay,R32,415,262,1,Q,3,Andreea Amalia Rosca,Xiaodi You,6-4 6-3,,,,,,,,,,,,,,
18-Oct-2021,W25 Seville,3,Clay,Q3,415,597,1,4,9,Andreea Amalia Rosca,Sapfo Sakellaridi,6-2 6-0,,,,,,,,,,,,,,
18-Oct-2021,W25 Seville,3,Clay,Q2,415,718,1,4,,Andreea Amalia Rosca,Julia Payola,6-3 6-2,,,,,,,,,,,,,,
20-Sep-2021,W80 Wiesbaden,3,Clay,R32,431,238,0,Q,,Conny Perrin,Andreea Amalia Rosca,6-4 6-1,,,,,,,,,,,,,,
20-Sep-2021,W80 Wiesbaden,3,Clay,Q2,431,386,1,,16,Andreea Amalia Rosca,Yana Morderger,7-6(8) 6-4,,,,,,,,,,,,,,
20-Sep-2021,W80 Wiesbaden,3,Clay,Q1,431,315,1,,4,Andreea Amalia Rosca,Carole Monnet,7-5 6-3,,,,,,,,,,,,,,
13-Sep-2021,W25 Jablonec nad Nisou,3,Clay,QF,428,195,0,,1,Reka Luca Jani,Andreea Amalia Rosca,6-3 6-4,,,,,,,,,,,,,,
13-Sep-2021,W25 Jablonec nad Nisou,3,Clay,R16,428,348,1,,,Andreea Amalia Rosca,Maria Mateas,6-4 4-6 6-0,,,,,,,,,,,,,,
13-Sep-2021,W25 Jablonec nad Nisou,3,Clay,R32,428,,1,,WC,Andreea Amalia Rosca,Linda Sevcikova,6-2 6-0,,,,,,,,,,,,,,
17-May-2021,W25 Platja D'Aro,3,Clay,R16,419,384,0,Q,Q,Alice Rame,Andreea Amalia Rosca,2-3 RET,,,,,,,,,,,,,,
17-May-2021,W25 Platja D'Aro,3,Clay,R32,419,154,1,Q,1,Andreea Amalia Rosca,Vitalia Diatchenko,6-3 6-2,,,,,,,,,,,,,,
17-May-2021,W25 Platja D'Aro,3,Clay,Q3,419,354,1,16,3,Andreea Amalia Rosca,Riya Bhatia,7-5 6-2,,,,,,,,,,,,,,
17-May-2021,W25 Platja D'Aro,3,Clay,Q2,419,1167,1,16,WC,Andreea Amalia Rosca,Francesca Curmi,6-1 6-0,,,,,,,,,,,,,,
17-May-2021,W25 Platja D'Aro,3,Clay,Q1,419,,1,16,,Andreea Amalia Rosca,Raquel Gonzalez Vilar,6-1 6-3,,,,,,,,,,,,,,
3-May-2021,W15 Antalya,3,Clay,SF,425,824,0,3,SE,Julia Avdeeva,Andreea Amalia Rosca,7-6(4) 5-7 6-0,,,,,,,,,,,,,,
3-May-2021,W15 Antalya,3,Clay,QF,425,568,1,3,8,Andreea Amalia Rosca,Olivia Gadecki,6-1 6-1,,,,,,,,,,,,,,
3-May-2021,W15 Antalya,3,Clay,R16,425,636,1,3,,Andreea Amalia Rosca,Sapfo Sakellaridi,6-1 6-3,,,,,,,,,,,,,,
3-May-2021,W15 Antalya,3,Clay,R32,425,893,1,3,WC,Andreea Amalia Rosca,Mayuka Aikawa,6-4 6-2,,,,,,,,,,,,,,
12-Apr-2021,W15 Antalya,3,Clay,R16,440,598,0,5,,Lisa Pigato,Andreea Amalia Rosca,6-3 7-6(4),,,,,,,,,,,,,,
12-Apr-2021,W15 Antalya,3,Clay,R32,440,639,1,5,,Andreea Amalia Rosca,Noelia Zeballos,6-1 6-4,,,,,,,,,,,,,,
5-Apr-2021,W15 Antalya,3,Clay,F,439,431,1,7,6,Andreea Amalia Rosca,Miriam Kolodziejova,7-5 6-3,,,,,,,,,,,,,,
5-Apr-2021,W15 Antalya,3,Clay,SF,439,587,1,7,,Andreea Amalia Rosca,Andreea Prisacariu,4-6 6-4 6-1,,,,,,,,,,,,,,
5-Apr-2021,W15 Antalya,3,Clay,QF,439,600,1,7,,Andreea Amalia Rosca,Lisa Pigato,6-4 6-3,,,,,,,,,,,,,,
5-Apr-2021,W15 Antalya,3,Clay,R16,439,661,1,7,,Andreea Amalia Rosca,Sapfo Sakellaridi,6-2 6-0,,,,,,,,,,,,,,
5-Apr-2021,W15 Antalya,3,Clay,R32,439,,1,7,WC,Andreea Amalia Rosca,Diletta Cherubini,6-0 6-1,,,,,,,,,,,,,,
15-Mar-2021,W15 Gonesse,3,Clay,R32,436,802,0,7,Q,Jade Suvrijn,Andreea Amalia Rosca,6-2 3-6 6-4,,,,,,,,,,,,,,
8-Mar-2021,W15+H Amiens,3,Clay,R16,434,653,0,5,,Martina Spigarelli,Andreea Amalia Rosca,6-4 6-1,,,,,,,,,,,,,,
8-Mar-2021,W15+H Amiens,3,Clay,R32,434,857,1,5,WC,Andreea Amalia Rosca,Julie Belgraver,6-1 6-1,,,,,,,,,,,,,,
7-Dec-2020,W15 Antalya,3,Clay,SF,452,630,1,8,,Andreea Amalia Rosca,Zeynep Sonmez,7-5 6-3,,,,,,,,,,,,,,
7-Dec-2020,W15 Antalya,3,Clay,QF,452,348,1,8,2,Andreea Amalia Rosca,Lina Gjorcheska,7-6(1) 6-3,,,,,,,,,,,,,,
7-Dec-2020,W15 Antalya,3,Clay,R16,452,,1,8,Q,Andreea Amalia Rosca,Lara Pfeifer,1-0 RET,,,,,,,,,,,,,,
7-Dec-2020,W15 Antalya,3,Clay,R32,452,613,1,8,,Andreea Amalia Rosca,Manca Pislak,6-2 6-0,,,,,,,,,,,,,,
30-Nov-2020,W15 Antalya,3,Clay,F,484,526,0,8,,Ipek Oz,Andreea Amalia Rosca,6-1 6-1,,,,,,,,,,,,,,
30-Nov-2020,W15 Antalya,3,Clay,SF,484,552,1,8,,Andreea Amalia Rosca,Hurricane Tyra Black,4-6 6-2 6-2,,,,,,,,,,,,,,
30-Nov-2020,W15 Antalya,3,Clay,QF,484,1323,1,8,Q,Andreea Amalia Rosca,Adriana Rajkovic,6-4 6-1,,,,,,,,,,,,,,
30-Nov-2020,W15 Antalya,3,Clay,R16,484,667,1,8,,Andreea Amalia Rosca,Cristina Dinu,4-6 7-5 6-1,,,,,,,,,,,,,,
30-Nov-2020,W15 Antalya,3,Clay,R32,484,924,1,8,Q,Andreea Amalia Rosca,Polina Bakhmutkina,7-5 6-3,,,,,,,,,,,,,,
23-Nov-2020,W15 Heraklion,3,Clay,F,515,1116,1,7,,Andreea Amalia Rosca,Darja Vidmanova,6-1 6-2,,,,,,,,,,,,,,
23-Nov-2020,W15 Heraklion,3,Clay,SF,515,936,1,7,Q,Andreea Amalia Rosca,Ayumi Koshiishi,6-1 4-6 6-3,,,,,,,,,,,,,,
23-Nov-2020,W15 Heraklion,3,Clay,QF,515,377,1,7,2,Andreea Amalia Rosca,Ioana Loredana Rosca,6-2 6-4,,,,,,,,,,,,,,
23-Nov-2020,W15 Heraklion,3,Clay,R16,515,,1,7,,Andreea Amalia Rosca,Lucie Nguyen Tan,6-4 6-2,,,,,,,,,,,,,,
23-Nov-2020,W15 Heraklion,3,Clay,R32,515,1040,1,7,SE,Andreea Amalia Rosca,Ani Amiraghyan,6-2 6-3,,,,,,,,,,,,,,
16-Nov-2020,W15 Heraklion,3,Clay,F,517,496,1,7,4,Andreea Amalia Rosca,Martina Colmegna,6-0 6-1,,,,,,,,,,,,,,
16-Nov-2020,W15 Heraklion,3,Clay,SF,517,1039,1,7,Q,Andreea Amalia Rosca,Ani Amiraghyan,6-1 6-2,,,,,,,,,,,,,,
16-Nov-2020,W15 Heraklion,3,Clay,QF,517,765,1,7,,Andreea Amalia Rosca,Selena Janicijevic,6-4 6-3,,,,,,,,,,,,,,
16-Nov-2020,W15 Heraklion,3,Clay,R16,517,995,1,7,,Andreea Amalia Rosca,Mell Elizabeth Reasco Gonzalez,6-3 6-2,,,,,,,,,,,,,,
16-Nov-2020,W15 Heraklion,3,Clay,R32,517,596,1,7,,Andreea Amalia Rosca,Miyabi Inoue,3-6 6-1 6-2,,,,,,,,,,,,,,
9-Nov-2020,W15 Heraklion,3,Clay,QF,524,261,0,8,1,Alexandra Cadantu Ignatik,Andreea Amalia Rosca,6-4 7-6(5),,,,,,,,,,,,,,
9-Nov-2020,W15 Heraklion,3,Clay,R16,524,,1,8,WC,Andreea Amalia Rosca,Anca Alexia Todoni,6-2 6-1,,,,,,,,,,,,,,
9-Nov-2020,W15 Heraklion,3,Clay,R32,524,840,1,8,,Andreea Amalia Rosca,Anja Wildgruber,6-4 6-2,,,,,,,,,,,,,,
2-Nov-2020,W15 Heraklion,3,Clay,SF,548,589,0,,,Romy Koelzer,Andreea Amalia Rosca,6-2 3-6 6-2,,,,,,,,,,,,,,
2-Nov-2020,W15 Heraklion,3,Clay,QF,548,267,1,,1,Andreea Amalia Rosca,Alexandra Cadantu Ignatik,6-2 7-6(4),,,,,,,,,,,,,,
2-Nov-2020,W15 Heraklion,3,Clay,R16,548,506,1,,8,Andreea Amalia Rosca,Monika Kilnarova,6-2 6-3,,,,,,,,,,,,,,
2-Nov-2020,W15 Heraklion,3,Clay,R32,548,948,1,,Q,Andreea Amalia Rosca,Ayumi Koshiishi,6-4 7-6(5),,,,,,,,,,,,,,
26-Oct-2020,W15 Heraklion,3,Clay,F,547,267,0,,1,Alexandra Cadantu Ignatik,Andreea Amalia Rosca,4-6 6-3 6-3,,,,,,,,,,,,,,
26-Oct-2020,W15 Heraklion,3,Clay,SF,547,600,1,,,Andreea Amalia Rosca,Dalila Spiteri,2-6 6-3 6-2,,,,,,,,,,,,,,
26-Oct-2020,W15 Heraklion,3,Clay,QF,547,519,1,,7,Andreea Amalia Rosca,Laura Schaeder,6-1 6-4,,,,,,,,,,,,,,
26-Oct-2020,W15 Heraklion,3,Clay,R16,547,998,1,,,Andreea Amalia Rosca,Ziva Falkner,6-1 6-1,,,,,,,,,,,,,,
26-Oct-2020,W15 Heraklion,3,Clay,R32,547,272,1,,2,Andreea Amalia Rosca,Anna Bondar,1-6 6-3 6-3,,,,,,,,,,,,,,
14-Sep-2020,W25 Zagreb,3,Clay,SF,634,242,0,LL,3,Tereza Mrdeza,Andreea Amalia Rosca,6-4 2-6 6-4,,,,,,,,,,,,,,
14-Sep-2020,W25 Zagreb,3,Clay,QF,634,259,1,LL,5,Andreea Amalia Rosca,Dejana Radanovic,6-3 6-2,,,,,,,,,,,,,,
14-Sep-2020,W25 Zagreb,3,Clay,R16,634,273,1,LL,,Andreea Amalia Rosca,Valentini Grammatikopoulou,7-5 1-6 6-3,,,,,,,,,,,,,,
14-Sep-2020,W25 Zagreb,3,Clay,R32,634,1021,1,LL,Q,Andreea Amalia Rosca,Ziva Falkner,1-6 7-5 7-5,,,,,,,,,,,,,,
14-Sep-2020,W25 Zagreb,3,Clay,Q2,634,676,0,7,10,Iva Primorac,Andreea Amalia Rosca,2-6 6-2 11-9,,,,,,,,,,,,,,
14-Sep-2020,W25 Zagreb,3,Clay,Q1,634,,1,7,,Andreea Amalia Rosca,Petra Granic,4-6 6-2 10-3,,,,,,,,,,,,,,
7-Sep-2020,W15 Varna,3,Clay,R16,624,,0,6,Q,Chantal Sauvant,Andreea Amalia Rosca,6-2 4-6 7-6(3),,,,,,,,,,,,,,
