Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
2-Mar-1964,Redwood Invitation,3,Hard,F,,,1,,,Andria Miller,Mimi Wheeler,4-6 7-5 6-3,,,,,,,,,,,,,,
2-Mar-1964,Redwood Invitation,3,Hard,SF,,,1,,,Andria Miller,Julie Heldman,6-4 3-6 6-3,,,,,,,,,,,,,,
2-Mar-1964,Redwood Invitation,3,Hard,QF,,,1,,,Andria Miller,Diana Gai,6-0 6-0,,,,,,,,,,,,,,
23-Sep-1963,Berkeley,3,Hard,QF,,,0,,2,Darlene Hard,Andria Miller,6-1 6-2,,,,,,,,,,,,,,
23-Sep-1963,Berkeley,3,Hard,R16,,,1,,6,Andria Miller,Elizabeth Starkie,6-1 6-0,,,,,,,,,,,,,,
23-Sep-1963,Berkeley,3,Hard,R32,,,1,,,Andria Miller,Jan Wedertz,6-1 6-0,,,,,,,,,,,,,,
15-Sep-1963,Los Angeles Pac Southwest,3,Hard,R32,,,0,,,Robyn Ebbern,Andria Miller,8-6 6-4,,,,,,,,,,,,,,
15-Sep-1963,Los Angeles Pac Southwest,3,Hard,R64,,,1,,,Andria Miller,Jean Inez,9-7 6-1,,,,,,,,,,,,,,
28-Aug-1963,US National Championships,3,Grass,R64,,,0,,10,Carole Graebner,Andria Miller,6-1 6-2,,,,,,,,,,,,,,
28-Aug-1963,US National Championships,3,Grass,R128,,,1,,,Andria Miller,Jenny Ridderhof,6-3 6-2,,,,,,,,,,,,,,
12-Aug-1963,Manchester-On-Sea,3,Grass,R32,,,0,,,Robyn Ebbern,Andria Miller,6-2 6-1,,,,,,,,,,,,,,
29-Jul-1963,Orange,3,Grass,R32,,,0,,,Carole Wright,Andria Miller,8-6 9-7,,,,,,,,,,,,,,
17-Jun-1963,Portola Valley,3,,F,,,0,,,Sharon Russell,Andria Miller,6-2 6-0,,,,,,,,,,,,,,
13-Sep-1962,Los Angeles Pac Southwest,3,Hard,R32,,,0,,,Dodo Cheney,Andria Miller,6-4 6-1,,,,,,,,,,,,,,
31-Aug-1962,US National Championships,3,Grass,R128,,,0,,,Nancy Richey,Andria Miller,6-3 6-2,,,,,,,,,,,,,,
24-Jul-1962,Haverford,3,Grass,R64,,,0,,,Marilyn Montgomery,Andria Miller,8-6 1-6 6-2,,,,,,,,,,,,,,
15-Jul-1962,Philadelphia,3,Grass,R16,,,0,,,Margaret Varner,Andria Miller,6-2 6-2,,,,,,,,,,,,,,
15-Jul-1962,Philadelphia,3,Grass,R32,,,1,,,Andria Miller,Barbara Menoff,4-6 6-2 6-0,,,,,,,,,,,,,,
9-Jul-1962,Indianapolis,3,Clay,QF,,,0,,,Julie Heldman,Andria Miller,7-5 6-3,,,,,,,,,,,,,,
9-Jul-1962,Indianapolis,3,Clay,R16,,,1,,,Andria Miller,Louise Owen,9-7 6-8 6-0,,,,,,,,,,,,,,
9-Jul-1962,Indianapolis,3,Clay,R32,,,1,,,Andria Miller,Sharon Pritula,6-2 6-3,,,,,,,,,,,,,,
2-Jul-1962,Cincinnati,3,Clay,QF,,,0,,2,Julie Heldman,Andria Miller,6-1 6-1,,,,,,,,,,,,,,
2-Jul-1962,Cincinnati,3,Clay,R16,,,1,,,Andria Miller,Connie Clifton,6-2 6-4,,,,,,,,,,,,,,
11-Jun-1962,Atherton,3,,F,,,0,,,Jane Albert,Andria Miller,6-0 6-0,,,,,,,,,,,,,,
11-Jun-1962,Atherton,3,,SF,,,1,,,Andria Miller,Linda Vail,6-3 6-2,,,,,,,,,,,,,,
11-Jun-1962,Atherton,3,,QF,,,1,,,Andria Miller,Roberta Roundtree,6-2 6-1,,,,,,,,,,,,,,
28-May-1962,Fresno,3,,F,,,1,,,Andria Miller,Mari Lynn Conley,6-3 6-2,,,,,,,,,,,,,,
7-May-1962,San Francisco NoCal Chps,3,Hard,SF,,,0,,,Carol Aucamp,Andria Miller,6-4 3-6 6-3,,,,,,,,,,,,,,
7-May-1962,San Francisco NoCal Chps,3,Hard,QF,,,1,,,Andria Miller,Rosie Casals,6-3 6-2,,,,,,,,,,,,,,
7-May-1962,San Francisco NoCal Chps,3,Hard,R16,,,1,,,Andria Miller,Sue Shrader,6-3 6-2,,,,,,,,,,,,,,
23-Apr-1962,Modesto,3,,F,,,1,,,Andria Miller,Linda Vail,6-3 6-1,,,,,,,,,,,,,,
23-Apr-1962,Modesto,3,,SF,,,1,,,Andria Miller,Pat Knox,6-1 6-1,,,,,,,,,,,,,,
23-Apr-1962,Modesto,3,,QF,,,1,,,Andria Miller,Diana Gai,6-0 6-3,,,,,,,,,,,,,,
26-Mar-1962,San Francisco Bay Counties,3,,F,,,0,,,Barbara Benigni,Andria Miller,7-5 6-1,,,,,,,,,,,,,,
26-Mar-1962,San Francisco Bay Counties,3,,SF,,,1,,,Andria Miller,Gerry Carter,1-6 6-4 6-1,,,,,,,,,,,,,,
26-Mar-1962,San Francisco Bay Counties,3,,QF,,,1,,,Andria Miller,Pat Knox,6-3 6-4,,,,,,,,,,,,,,
8-Mar-1962,Redwood City,3,,F,,,0,,,Barbara Benigni,Andria Miller,6-0 6-2,,,,,,,,,,,,,,
8-Mar-1962,Redwood City,3,,SF,,,1,,,Andria Miller,Diana Gai,6-4 6-0,,,,,,,,,,,,,,
8-Mar-1962,Redwood City,3,,QF,,,1,,,Andria Miller,Marge Stevens,6-1 6-1,,,,,,,,,,,,,,
25-Sep-1961,Berkeley,3,Hard,R16,,,0,,,Edda Buding,Andria Miller,6-4 6-2,,,,,,,,,,,,,,
25-Sep-1961,Berkeley,3,Hard,R32,,,1,,,Andria Miller,June Gay,6-4 5-7 6-2,,,,,,,,,,,,,,
1-Sep-1961,US National Championships,3,Grass,R64,,,0,,,Sheila Maroshick,Andria Miller,7-5 6-3,,,,,,,,,,,,,,
15-Aug-1961,Manchester-On-Sea,3,Grass,R16,,,0,,,Jan Lehane,Andria Miller,6-2 6-1,,,,,,,,,,,,,,
3-Aug-1961,Germantown Consolation,3,Grass,QF,,,0,,,Sue Behlmar,Andria Miller,3-6 6-1 6-4,,,,,,,,,,,,,,
3-Aug-1961,Germantown Consolation,3,Grass,R16,,,1,,,Andria Miller,Patsy Hitchens,6-1 6-4,,,,,,,,,,,,,,
31-Jul-1961,Germantown,3,Grass,R64,,,0,,2,Vicky Palmer,Andria Miller,6-2 6-4,,,,,,,,,,,,,,
24-Jul-1961,Haverford,3,Grass,R32,,,0,,,Margaret Osborne Dupont,Andria Miller,6-2 6-0,,,,,,,,,,,,,,
29-May-1961,Menlo Park,3,,F,,,1,,,Andria Miller,Margareta Bonstrom,6-4 7-5,,,,,,,,,,,,,,
29-May-1961,Menlo Park,3,,SF,,,1,,,Andria Miller,Arvilla Mcguire,7-5 6-3,,,,,,,,,,,,,,
29-May-1961,Menlo Park,3,,QF,,,1,,,Andria Miller,Marge Stevens,7-5 6-0,,,,,,,,,,,,,,
27-May-1961,Sacramento,3,Hard,F,,,1,2,3,Andria Miller,Gerry Carter,7-5 6-1,,,,,,,,,,,,,,
27-May-1961,Sacramento,3,Hard,SF,,,1,2,4,Andria Miller,Linda Vail,7-5 6-0,,,,,,,,,,,,,,
27-May-1961,Sacramento,3,Hard,QF,,,1,2,,Andria Miller,Jean Danilovich,UNK,,,,,,,,,,,,,,
27-May-1961,Sacramento,3,Hard,R16,,,1,2,,Andria Miller,Gracyn Wheeler Kelleher,7-5 6-3,,,,,,,,,,,,,,
13-May-1961,San Francisco State,3,Hard,SF,,,0,,,Farel Footman,Andria Miller,6-2 4-6 6-1,,,,,,,,,,,,,,
13-May-1961,San Francisco State,3,Hard,QF,,,1,,,Andria Miller,Margareta Bonstrom,2-6 7-5 6-2,,,,,,,,,,,,,,
13-May-1961,San Francisco State,3,Hard,R16,,,1,,,Andria Miller,Verda Lichtenberger,6-0 6-0,,,,,,,,,,,,,,
27-Apr-1961,Ojai,3,Hard,QF,,,0,,,Billie Jean King,Andria Miller,6-1 6-3,,,,,,,,,,,,,,
13-Mar-1961,Redwood City,3,,F,,,0,,,Pat Naud,Andria Miller,7-9 6-3 6-2,,,,,,,,,,,,,,
13-Mar-1961,Redwood City,3,,SF,,,1,,,Andria Miller,June Gay,6-4 6-3,,,,,,,,,,,,,,
13-Mar-1961,Redwood City,3,,QF,,,1,,,Andria Miller,Bessie Fickert,6-2 6-1,,,,,,,,,,,,,,
26-Sep-1960,Berkeley,3,Hard,R16,,,0,,,Maria Bueno,Andria Miller,6-4 6-2,,,,,,,,,,,,,,
8-Aug-1960,Vancouver,3,,F,,,0,,,Ann Barclay,Andria Miller,3-6 6-4 6-0,,,,,,,,,,,,,,
25-Jul-1960,Seattle,3,,F,,,1,,,Andria Miller,Connie Jaster,6-2 6-8 6-1,,,,,,,,,,,,,,
25-Jul-1960,Seattle,3,,SF,,,1,,,Andria Miller,Amy Yee,6-3 6-2,,,,,,,,,,,,,,
18-Jul-1960,Tacoma,3,,F,,,1,,,Andria Miller,Suzanne Mandel,8-6 6-0,,,,,,,,,,,,,,
18-Jul-1960,Tacoma,3,,SF,,,1,,,Andria Miller,Connie Jaster,6-4 6-4,,,,,,,,,,,,,,
11-Jul-1960,Portland,3,,F,,,1,,,Andria Miller,Connie Jaster,7-5 6-1,,,,,,,,,,,,,,
11-Jul-1960,Portland,3,,SF,,,1,,,Andria Miller,Suzanne Mandel,UNK,,,,,,,,,,,,,,
30-May-1960,Menlo Park,3,,F,,,1,,,Andria Miller,Farel Footman,5-7 6-3 6-3,,,,,,,,,,,,,,
30-May-1960,Menlo Park,3,,SF,,,1,,,Andria Miller,Linda Vail,6-4 4-7 7-5,,,,,,,,,,,,,,
30-May-1960,Menlo Park,3,,R16,,,1,,,Andria Miller,Barry Ramsay,6-1 6-1,,,,,,,,,,,,,,
26-May-1960,Sacramento,3,Hard,R16,,,0,,,Linda Vail,Andria Miller,2-6 6-1 6-4,,,,,,,,,,,,,,
9-May-1960,San Francisco State,3,Hard,R16,,,0,,,Donna Brusco,Andria Miller,7-5 0-6 8-6,,,,,,,,,,,,,,
9-May-1960,San Francisco State,3,Hard,R32,,,1,,,Andria Miller,Betty Epstein,5-7 6-1 6-4,,,,,,,,,,,,,,
14-Apr-1960,Redwood City,3,,QF,,,0,,,Pat Naud,Andria Miller,4-6 6-4 6-4,,,,,,,,,,,,,,
4-Apr-1960,San Francisco NoCal Chps,3,,F,,,0,,,Gerry Carter,Andria Miller,6-3 6-1,,,,,,,,,,,,,,
28-Mar-1960,San Francisco Bay Counties,3,Hard,QF,,,0,,,Barbara Benigni,Andria Miller,6-4 4-6 6-2,,,,,,,,,,,,,,
28-Mar-1960,San Francisco Bay Counties,3,Hard,R16,,,1,,,Andria Miller,Roberta Alpers,6-1 6-2,,,,,,,,,,,,,,
