Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
7-Mar-2022,W15 Monastir,3,Hard,R32,834,1014,0,,,Celine Naef,Anita Bertoloni,6-0 6-1,,,,,,,,,,,,,,
28-Feb-2022,W15 Monastir,3,Hard,R32,838,825,0,,,Kelia Le Bihan,Anita Bertoloni,6-4 6-1,,,,,,,,,,,,,,
18-Oct-2021,W25 Hamburg,3,Hard,Q1,824,557,0,,7,Anna Klasen,Anita Bertoloni,6-2 6-3,,,,,,,,,,,,,,
6-Sep-2021,W15 Cairo,3,Clay,QF,836,685,0,8,3,Julia Stamatova,Anita Bertoloni,6-4 6-3,,,,,,,,,,,,,,
6-Sep-2021,W15 Cairo,3,Clay,R16,836,961,1,8,,Anita Bertoloni,Agustina Chlpac,6-1 6-2,,,,,,,,,,,,,,
6-Sep-2021,W15 Cairo,3,Clay,R32,836,,1,8,Q,Anita Bertoloni,Farah Khalil,6-0 6-3,,,,,,,,,,,,,,
30-Aug-2021,W15 Cairo,3,Clay,R32,835,1041,0,7,,Irene Lavino,Anita Bertoloni,6-3 6-1,,,,,,,,,,,,,,
2-Aug-2021,W25 Pescara,3,Clay,Q1,832,1055,0,12,,Irene Lavino,Anita Bertoloni,6-2 6-4,,,,,,,,,,,,,,
26-Jul-2021,W15 Cordenons,3,Clay,Q2,828,1313,0,1,13,Enola Chiesa,Anita Bertoloni,6-4 7-6(1),,,,,,,,,,,,,,
26-Jul-2021,W15 Cordenons,3,Clay,Q1,828,1423,1,1,,Anita Bertoloni,Giulia Carbonaro,6-2 6-0,,,,,,,,,,,,,,
12-Jul-2021,W25 Tarvisio,3,Clay,R16,925,878,0,WC,Q,Fiona Ganz,Anita Bertoloni,6-4 6-2,,,,,,,,,,,,,,
12-Jul-2021,W25 Tarvisio,3,Clay,R32,925,569,1,WC,,Anita Bertoloni,Aurora Zantedeschi,7-6(5) 6-2,,,,,,,,,,,,,,
