Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
22-Oct-1997,Jurmala 10K,3,Carpet,R32,717,346,0,WC,1,Anna Bielen Zarska,Anna Barinova,6-2 6-7 6-2,,,,,,,,,,,,,,
14-Oct-1997,Siauliai 10K,3,Carpet,R16,778,417,0,,2,Vera Zhukovets,Anna Barinova,7-5 6-2,,,,,,,,,,,,,,
14-Oct-1997,Siauliai 10K,3,Carpet,R32,778,806,1,,,Anna Barinova,Dominika Olszewska,7-6 6-4,,,,,,,,,,,,,,
6-Oct-1997,Thessaloniki 10K,3,Hard,R16,766,719,0,,,Melinda Petkes,Anna Barinova,6-3 6-0,,,,,,,,,,,,,,
6-Oct-1997,Thessaloniki 10K,3,Hard,R32,766,497,1,,6,Anna Barinova,Irina Kornienko,6-2 6-0,,,,,,,,,,,,,,
9-Sep-1997,Madrid 10K,3,Clay,R32,770,334,0,,4,Nuria Montero,Anna Barinova,6-0 6-3,,,,,,,,,,,,,,
16-Jun-1997,Kukulinn 10K,3,Hard,R16,796,338,0,,2,Elena Voropaeva,Anna Barinova,6-1 3-6 7-5,,,,,,,,,,,,,,
16-Jun-1997,Kukulinn 10K,3,Hard,R32,796,,1,,Q,Anna Barinova,Hanna Puustinen,6-2 6-4,,,,,,,,,,,,,,
19-May-1997,Sochi 25K,3,Hard,R32,976,183,0,WC,2,Nino Louarsabishvili,Anna Barinova,6-2 6-0,,,,,,,,,,,,,,
23-Apr-1997,Fed Cup G1 RRD: ISR vs LAT,3,Clay,RR,986,209,0,,,Anna Smashnova,Anna Barinova,6-4 6-2,,,,,,,,,,,,,,
22-Apr-1997,Fed Cup G1 RRD: LAT vs SLO,3,Clay,RR,986,181,0,,,Tina Krizan,Anna Barinova,6-4 6-1,,,,,,,,,,,,,,
3-Mar-1997,Tel Aviv 10K,3,Hard,R32,1038,642,0,Q,,Yvette Basting,Anna Barinova,7-6 6-1,,,,,,,,,,,,,,
3-Feb-1997,Reykjavik 10K,3,Carpet,R32,1083,406,0,,5,Athina Briegel,Anna Barinova,6-4 6-7 6-4,,,,,,,,,,,,,,
21-Oct-1996,Jurmala 10K,3,Carpet,R32,,924,0,WC,,Kristina Pojatina,Anna Barinova,3-6 7-6 6-1,,,,,,,,,,,,,,
14-Oct-1996,Siauliai 10K,3,Carpet,R32,,725,0,,,Mirja Wagner,Anna Barinova,7-6 5-7 6-2,,,,,,,,,,,,,,
30-Sep-1996,Thessaloniki 10K,3,Hard,R32,,813,0,Q,,Louise Latimer,Anna Barinova,5-7 6-0 6-0,,,,,,,,,,,,,,
24-Apr-1996,Fed Cup G1 RRB: SWE vs LAT,3,Clay,RR,,386,0,,,Anna Karin Svensson,Anna Barinova,1-6 7-5 6-2,,,,,,,,,,,,,,
23-Apr-1996,Fed Cup G1 RRB: LAT vs NOR,3,Clay,RR,,,1,,,Anna Barinova,Karoline Borgersen,6-4 7-5,,,,,,,,,,,,,,
22-Apr-1996,Fed Cup G1 RRB: ITA vs LAT,3,Clay,RR,,81,0,,,Adriana Serra Zanetti,Anna Barinova,6-4 6-2,,,,,,,,,,,,,,
9-Oct-1995,ITF Jurmala,3,Hard,SF,,603,0,,5,Natalia Biletskaia,Anna Barinova,6-4 6-4,,,,,,,,,,,,,,
9-Oct-1995,ITF Jurmala,3,Hard,QF,,460,1,,2,Anna Barinova,Maria Marfina,6-3 7-6(6),,,,,,,,,,,,,,
9-Oct-1995,ITF Jurmala,3,Hard,R16,,895,1,,,Anna Barinova,Katrina Saarinen,7-6(3) 1-6 7-5,,,,,,,,,,,,,,
9-Oct-1995,ITF Jurmala,3,Hard,R32,,606,1,,7,Anna Barinova,Olga Glouschenko,1-6 6-2 6-3,,,,,,,,,,,,,,
25-Sep-1995,ITF Antalya,3,Hard,R16,,,0,,,Irina Kornienko,Anna Barinova,6-2 6-2,,,,,,,,,,,,,,
25-Sep-1995,ITF Antalya,3,Hard,R32,,861,1,,7,Anna Barinova,Biljana Pawlowa Dimitrova,6-1 6-2,,,,,,,,,,,,,,
