Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
29-Oct-2001,Al Mansoura 10K,3,Clay,R32,,,0,Q,,Ljiljana Nanusevic,Antonia Steinmetz,6-2 6-2,,,,,,,,,,,,,,
22-Oct-2001,Cairo 10K,3,Clay,R32,,473,0,Q,5,Elena Yaryshka,Antonia Steinmetz,6-1 6-2,,,,,,,,,,,,,,
24-Sep-2001,Kastoria 10K,3,Clay,R16,,,0,,,Asimina Kaplani,Antonia Steinmetz,6-0 6-3,,,,,,,,,,,,,,
24-Sep-2001,Kastoria 10K,3,Clay,R32,,,1,,Q,Antonia Steinmetz,Jovana Stankovic,6-0 6-2,,,,,,,,,,,,,,
27-Aug-2001,Alphen a d Rijn 10K,3,Clay,R16,,359,0,Q,2,Leslie Butkiewicz,Antonia Steinmetz,6-4 6-0,,,,,,,,,,,,,,
27-Aug-2001,Alphen a d Rijn 10K,3,Clay,R32,,,1,Q,,Antonia Steinmetz,Jyotsna Vasisht,6-3 6-2,,,,,,,,,,,,,,
25-Jun-2001,Algiers 2 10K,3,Clay,QF,,,0,,WC,Sana Ben Salah,Antonia Steinmetz,6-1 6-3,,,,,,,,,,,,,,
25-Jun-2001,Algiers 2 10K,3,Clay,R16,,,1,,,Antonia Steinmetz,Veronika Ctvrtnickova,6-1 6-0,,,,,,,,,,,,,,
25-Jun-2001,Algiers 2 10K,3,Clay,R32,,,1,,4,Antonia Steinmetz,Evghenia Ablovatchi,7-6(7) 6-1,,,,,,,,,,,,,,
18-Jun-2001,Algiers 1 10K,3,Clay,R16,,,0,,,Mathilde Johansson,Antonia Steinmetz,6-4 6-4,,,,,,,,,,,,,,
18-Jun-2001,Algiers 1 10K,3,Clay,R32,,,1,,6,Antonia Steinmetz,Ayako Suzuki,7-5 6-2,,,,,,,,,,,,,,
11-Jun-2001,Raalte 10K,3,Clay,R32,,,0,Q,,Lotty Seelen,Antonia Steinmetz,6-1 6-0,,,,,,,,,,,,,,
4-Jun-2001,Ankara 10K,3,Clay,R32,,,0,Q,,Aleksandra Srndovic,Antonia Steinmetz,6-1 6-2,,,,,,,,,,,,,,
27-Nov-2000,Israel 4 Satellite,3,Hard,R32,,515,0,Q,5,Giulia Meruzzi,Antonia Steinmetz,5-3 4-2 2-4 4-1,,,,,,,,,,,,,,
18-Nov-2000,Israel Iii Satellite,3,Hard,R16,,,0,Q,LL,Tessy Van De Ven,Antonia Steinmetz,4-0 4-2 4-0,,,,,,,,,,,,,,
18-Nov-2000,Israel Iii Satellite,3,Hard,R32,,,1,Q,,Antonia Steinmetz,Natasha Van Der Merwe,4-2 2-4 4-0 5-3,,,,,,,,,,,,,,
25-Sep-2000,Antalya 10K,3,Clay,R32,,699,0,LL,,Elena Yaryshka,Antonia Steinmetz,6-4 6-0,,,,,,,,,,,,,,
18-Sep-2000,Antalya 10K,3,Hard,R32,,,0,LL,LL,Tanja Schugt,Antonia Steinmetz,6-1 6-2,,,,,,,,,,,,,,
