Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
8-Jul-2013,Bangkok 10K,3,Hard,QF,,990,0,WC,,Katherine Westbury,Apichaya Runglerdkriangkrai,6-3 6-2,,,,,,,,,,,,,,
8-Jul-2013,Bangkok 10K,3,Hard,R16,,,1,WC,WC,Apichaya Runglerdkriangkrai,Tanaporn Thongsing,6-1 7-6(4),,,,,,,,,,,,,,
8-Jul-2013,Bangkok 10K,3,Hard,R32,,,1,WC,Q,Apichaya Runglerdkriangkrai,Tamachan Momkoonthod,6-2 6-4,,,,,,,,,,,,,,
1-Jul-2013,Bangkok 10K,3,Hard,R32,,957,0,WC,,Haruka Kaji,Apichaya Runglerdkriangkrai,6-1 6-2,,,,,,,,,,,,,,
24-Jun-2013,Bangkok 10K,3,Hard,QF,,371,0,Q,1,Nungnadda Wannasuk,Apichaya Runglerdkriangkrai,6-1 6-2,,,,,,,,,,,,,,
24-Jun-2013,Bangkok 10K,3,Hard,R16,,586,1,Q,7,Apichaya Runglerdkriangkrai,Akari Inoue,6-4 0-6 6-2,,,,,,,,,,,,,,
24-Jun-2013,Bangkok 10K,3,Hard,R32,,,1,Q,,Apichaya Runglerdkriangkrai,Aashima Garg,6-0 6-1,,,,,,,,,,,,,,
13-May-2013,Landisville PA 10K,3,Hard,R32,,1149,0,Q,Q,Jacqueline Crawford,Apichaya Runglerdkriangkrai,3-6 7-6(1) 7-6(3),,,,,,,,,,,,,,
31-Dec-2012,Hong Kong 10K,3,Hard,R32,,726,0,Q,,Miyu Kato,Apichaya Runglerdkriangkrai,4-6 7-5 6-3,,,,,,,,,,,,,,
15-Oct-2012,Mexico City 10K,3,Hard,R16,,912,0,,7,Jessica Lawrence,Apichaya Runglerdkriangkrai,7-6(1) 6-4,,,,,,,,,,,,,,
15-Oct-2012,Mexico City 10K,3,Hard,R32,,,1,,Q,Apichaya Runglerdkriangkrai,Itzi Janikuari Torres Millan,6-3 6-2,,,,,,,,,,,,,,
2-Jul-2012,Pattaya 10K,3,Hard,R32,,522,0,WC,8,Su Jeong Jang,Apichaya Runglerdkriangkrai,4-6 6-2 6-4,,,,,,,,,,,,,,
25-Jun-2012,Pattaya 10K,3,Hard,SF,,773,0,Q,,Anna Tyulpa,Apichaya Runglerdkriangkrai,6-2 6-2,,,,,,,,,,,,,,
25-Jun-2012,Pattaya 10K,3,Hard,QF,,672,1,Q,6,Apichaya Runglerdkriangkrai,Yurina Koshino,6-2 6-7(6) 6-2,,,,,,,,,,,,,,
25-Jun-2012,Pattaya 10K,3,Hard,R16,,,1,Q,WC,Apichaya Runglerdkriangkrai,Laura Gulbe,2-6 6-1 6-2,,,,,,,,,,,,,,
25-Jun-2012,Pattaya 10K,3,Hard,R32,,,1,Q,LL,Apichaya Runglerdkriangkrai,Pimpitcha Jattavapornvanit,6-0 6-0,,,,,,,,,,,,,,
4-Oct-2010,Nonthaburi 10K,3,Hard,R32,,,0,Q,Q,Jaruwadee Kaewma,Apichaya Runglerdkriangkrai,6-1 4-6 6-2,,,,,,,,,,,,,,
