Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
2-Aug-2004,Vigo 10K,3,Hard,R32,858,,0,,Q,Berta Morata Flaquer,Arancha Recio Linares,6-3 1-0 RET,,,,,,,,,,,,,,
26-Jul-2004,Pontevedra 10K,3,Hard,R32,863,429,0,,2,Karen Paterson,Arancha Recio Linares,7-5 6-3,,,,,,,,,,,,,,
14-Jun-2004,Montemor-o-Novo 10K,3,Hard,R32,776,529,0,,4,Paula Fondevila Castro,Arancha Recio Linares,6-4 7-6(3),,,,,,,,,,,,,,
17-May-2004,Santa Cruz de Tenerife 10K,3,Hard,R32,,,0,,Q,Sara Del Barrio Aragon,Arancha Recio Linares,6-4 6-1,,,,,,,,,,,,,,
10-May-2004,Monzon 10K,3,Hard,R16,,,0,Q,Q,Sabrina Mendez Dominguez,Arancha Recio Linares,6-1 6-3,,,,,,,,,,,,,,
10-May-2004,Monzon 10K,3,Hard,R32,,,1,Q,3,Arancha Recio Linares,Nuria Roig Tost,6-4 RET,,,,,,,,,,,,,,
3-May-2004,Tortosa 10K,3,Clay,R32,,509,0,Q,5,Anna Font Estrada,Arancha Recio Linares,7-6(4) 7-6(8),,,,,,,,,,,,,,
1-Mar-2004,Melilla 10K,3,Hard,R32,848,714,0,LL,,Melanie South,Arancha Recio Linares,7-5 6-4,,,,,,,,,,,,,,
20-Oct-2003,Seville 10K,3,Clay,R16,903,499,0,Q,8,Laura Pous Tio,Arancha Recio Linares,6-3 6-3,,,,,,,,,,,,,,
20-Oct-2003,Seville 10K,3,Clay,R32,903,,1,Q,Q,Arancha Recio Linares,Alba Berdala Grive,7-5 6-0,,,,,,,,,,,,,,
8-Sep-2003,Madrid 10K,3,Hard,R32,854,444,0,WC,3,Liana Gabriela Ungur,Arancha Recio Linares,6-3 6-0,,,,,,,,,,,,,,
1-Sep-2003,Mollerusa 10K,3,Hard,R32,985,,0,LL,Q,Yan Chong Chen,Arancha Recio Linares,6-3 7-5,,,,,,,,,,,,,,
25-Aug-2003,Coimbra 10K,3,Hard,R16,985,794,0,,,Sandra Volk,Arancha Recio Linares,6-3 6-3,,,,,,,,,,,,,,
25-Aug-2003,Coimbra 10K,3,Hard,R32,985,389,1,,1,Arancha Recio Linares,Astrid Waernes Garcia,6-4 4-6 7-5,,,,,,,,,,,,,,
16-Jun-2003,Montemor-o-Novo 10K,3,Hard,R16,,314,0,Q,1,Frederica Piedade,Arancha Recio Linares,6-2 6-4,,,,,,,,,,,,,,
16-Jun-2003,Montemor-o-Novo 10K,3,Hard,R32,,,1,Q,WC,Arancha Recio Linares,Katia Rodrigues,7-5 3-6 6-1,,,,,,,,,,,,,,
19-May-2003,Almeira 10K,3,Hard,R32,,728,0,Q,,Nuria Sanchez Garcia,Arancha Recio Linares,6-1 6-4,,,,,,,,,,,,,,
9-Sep-2002,Madrid 10K,3,Clay,R32,,819,0,Q,Q,Pilar Escandell Planells,Arancha Recio Linares,6-7(2) 6-1 6-0,,,,,,,,,,,,,,
