Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
22-Oct-1984,ITF Saga,3,Hard,R16,,,0,,,Jane Forman,Aschara Moranon,6-2 7-5,,,,,,,,,,,,,,
22-Oct-1984,ITF Fukuoka,3,Hard,R32,,,0,,,Akemi Nishiya,Aschara Moranon,6-4 4-6 6-3,,,,,,,,,,,,,,
22-Oct-1984,ITF Saga,3,Hard,R32,,,1,,,Aschara Moranon,Ei Iida,6-3 6-1,,,,,,,,,,,,,,
8-Oct-1984,Tokyo Japan Open,3,Hard,Q1,,,0,,,Cheryl Jones,Aschara Moranon,6-0 6-2,,,,,,,,,,,,,,
1-Oct-1984,Tokyo Borden,3,Hard,Q1,,,0,,,Marlene De Wouters,Aschara Moranon,5-7 6-1 6-4,,,,,,,,,,,,,,
24-Sep-1984,Richmond,3,Hard,Q1,,,0,,,Linda Gates,Aschara Moranon,6-3 6-4,,,,,,,,,,,,,,
25-Jun-1984,ITF Chatham,3,Hard,R32,,199,0,,2,Hu Na,Aschara Moranon,6-0 6-2,,,,,,,,,,,,,,
11-Jun-1984,ITF Freehold,3,Hard,R32,,,0,,,Joy Cummings,Aschara Moranon,1-6 7-6 6-3,,,,,,,,,,,,,,
28-May-1984,ITF Flemington,3,Hard,R32,,,0,,,Barrie Bulmore,Aschara Moranon,6-7 6-0 6-1,,,,,,,,,,,,,,
30-Apr-1984,Johannesburg,3,Hard,Q1,,,0,,,Lynn Jacobs,Aschara Moranon,3-6 6-2 7-5,,,,,,,,,,,,,,
23-Apr-1984,Durban,3,Hard,Q1,,,0,,,Kim Seddon,Aschara Moranon,6-4 6-1,,,,,,,,,,,,,,
17-Oct-1983,Tokyo Japan Open,3,,Q1,,,0,,,Kathy Holton,Aschara Moranon,6-1 6-2,,,,,,,,,,,,,,
10-Oct-1983,Tokyo Borden,3,Hard,Q1,,,0,,2,Kathy Holton,Aschara Moranon,7-5 6-3,,,,,,,,,,,,,,
2-Oct-1983,Detroit,3,Carpet,Q2,,,0,,,Tina Mochizuki,Aschara Moranon,6-2 6-1,,,,,,,,,,,,,,
2-Oct-1983,Detroit,3,Carpet,Q1,,,1,,,Aschara Moranon,Karen Huebner,W/O,,,,,,,,,,,,,,
26-Sep-1983,Bakersfield,3,Hard,Q2,,,0,,3,Helena Manset,Aschara Moranon,5-7 6-3 6-3,,,,,,,,,,,,,,
26-Sep-1983,Bakersfield,3,Hard,Q1,,,1,,,Aschara Moranon,Caroline Nichols,6-0 6-4,,,,,,,,,,,,,,
19-Sep-1983,Kansas City,3,Hard,Q2,,,0,,1,Lori Mcneil,Aschara Moranon,6-1 6-2,,,,,,,,,,,,,,
19-Sep-1983,Kansas City,3,Hard,Q1,,,1,,,Aschara Moranon,Angela Dorsey,6-4 3-6 7-5,,,,,,,,,,,,,,
11-Jul-1983,ITF Fayetteville,3,Hard,R32,,,0,,,Cheryl Jones,Aschara Moranon,6-4 6-1,,,,,,,,,,,,,,
4-Jul-1983,ITF Greensboro,3,Hard,R32,,,0,,,Karen Seguso,Aschara Moranon,3-6 6-4 6-1,,,,,,,,,,,,,,
20-Jun-1983,ITF Oklahoma,3,Hard,R16,,,0,,,Ann Hulbert,Aschara Moranon,6-3 6-1,,,,,,,,,,,,,,
20-Jun-1983,ITF Oklahoma,3,Hard,R32,,,1,,,Aschara Moranon,Jill Hetherington,0-6 6-3 6-2,,,,,,,,,,,,,,
3-May-1982,Berkeley,3,Hard,R16,,,0,,,Jean Hepner,Aschara Moranon,2-6 6-1 6-1,,,,,,,,,,,,,,
3-May-1982,Berkeley,3,Hard,R32,,,1,,,Aschara Moranon,Caroline Yao,6-2 1-6 6-2,,,,,,,,,,,,,,
20-Jul-1981,St. Simons,3,,Q1,,,0,,,Micki Schillig,Aschara Moranon,6-0 2-0 RET,,,,,,,,,,,,,,
13-Jul-1981,Fayetteville,3,,Q1,,,0,,,Silvana Urroz,Aschara Moranon,6-2 6-1,,,,,,,,,,,,,,
7-Jul-1981,Lakewood,3,,Q2,,,0,,,Shelby Torrance,Aschara Moranon,7-6 7-5,,,,,,,,,,,,,,
7-Jul-1981,Lakewood,3,,Q1,,,1,,,Aschara Moranon,Karen Frawley,6-3 6-1,,,,,,,,,,,,,,
10-Nov-1980,Tampa,3,Hard,Q1,,,0,,,Laura Bernstein,Aschara Moranon,1-6 6-1 6-1,,,,,,,,,,,,,,
28-Jul-1980,Erie,3,Hard,R32,,,0,,,Kathy Obrien,Aschara Moranon,6-4 5-7 7-6,,,,,,,,,,,,,,
14-Jul-1980,Atlantic City,3,Hard,QF,,,0,,,Vicki Beggs,Aschara Moranon,6-3 6-4,,,,,,,,,,,,,,
14-Jul-1980,Atlantic City,3,Hard,R16,,,1,,,Aschara Moranon,Sophie Prouvost,7-6 6-3,,,,,,,,,,,,,,
14-Jul-1980,Atlantic City,3,Hard,R32,,,1,,,Aschara Moranon,Bunny Smith,6-3 6-3,,,,,,,,,,,,,,
17-Sep-1973,Los Angeles Pac Southwest,3,Hard,R64,,,0,,,Norma De Veal,Aschara Moranon,6-1 1-6 6-3,,,,,,,,,,,,,,
