Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
2-Mar-1959,Santa Barbara,3,Hard,QF,,,0,,,Pierrette Seghers,Audrey Arnold,6-1 6-2,,,,,,,,,,,,,,
21-Apr-1958,Ojai Collegiate,3,Hard,QF,,,0,,,Lorna Raymond,Audrey Arnold,3-6 6-3 7-5,,,,,,,,,,,,,,
8-Jul-1957,Palo Alto,3,Hard,F,,,1,,,Audrey Arnold,Rhoda Herron,6-2 6-2,,,,,,,,,,,,,,
4-May-1957,Los Angeles SoCal Chps,3,Hard,QF,,,0,,,Sally Moore,Audrey Arnold,6-3 5-7 6-0,,,,,,,,,,,,,,
4-May-1957,Los Angeles SoCal Chps,3,Hard,R16,,,1,,,Audrey Arnold,Diane Wootton,W/O,,,,,,,,,,,,,,
4-May-1957,Los Angeles SoCal Chps,3,Hard,R32,,,1,,,Audrey Arnold,Tina Rodi,4-6 6-4 6-4,,,,,,,,,,,,,,
21-Feb-1957,Tucson Collegiate,3,,F,,,1,1,,Audrey Arnold,Jane Brisack,6-1 6-4,,,,,,,,,,,,,,
20-Aug-1956,San Francisco City,3,,QF,,,0,,,Helen Hampton,Audrey Arnold,6-4 1-6 6-1,,,,,,,,,,,,,,
26-Jul-1956,Santa Cruz,3,,SF,,,0,,,Connie Wilford,Audrey Arnold,6-3 5-7 6-4,,,,,,,,,,,,,,
12-Jul-1956,Palo Alto,3,,F,,,1,,,Audrey Arnold,Helen Hampton,6-3 6-0,,,,,,,,,,,,,,
14-Jun-1956,Menlo Park,3,,QF,,,0,,,Linda Vail,Audrey Arnold,6-3 6-2,,,,,,,,,,,,,,
19-Sep-1955,Los Angeles Pac Southwest,3,Hard,R64,,,0,,,Marjorie Lauderbach,Audrey Arnold,W/O,,,,,,,,,,,,,,
9-Jun-1955,Mill Valley,3,,SF,,,0,,,Mary Ann Mitchell,Audrey Arnold,6-3 8-6,,,,,,,,,,,,,,
9-Jun-1955,Mill Valley,3,,QF,,,1,,,Audrey Arnold,Bonnie Kinney,6-0 6-1,,,,,,,,,,,,,,
16-May-1955,San Francisco State,3,,R16,,,0,,,Arvilla Mcguire,Audrey Arnold,9-7 6-3,,,,,,,,,,,,,,
4-Apr-1955,San Francisco Bay Counties,3,,QF,,,0,,,Pat Naud,Audrey Arnold,6-1 3-6 6-0,,,,,,,,,,,,,,
4-Apr-1955,San Francisco Bay Counties,3,,R16,,,1,,,Audrey Arnold,Dean Folger,6-0 6-3,,,,,,,,,,,,,,
28-Feb-1955,San Francisco Golden Gate,3,,SF,,,0,,,Gerry Carter,Audrey Arnold,6-3 6-0,,,,,,,,,,,,,,
28-Feb-1955,San Francisco Golden Gate,3,,QF,,,1,,,Audrey Arnold,Reolia Countee,4-6 6-0 6-3,,,,,,,,,,,,,,
20-Sep-1954,Berkeley,3,Hard,QF,,,0,,,Anne Shilcock,Audrey Arnold,7-5 6-3,,,,,,,,,,,,,,
20-Sep-1954,Berkeley,3,Hard,R16,,,1,,,Audrey Arnold,Gwen Greenlee,6-4 6-2,,,,,,,,,,,,,,
20-Sep-1954,Berkeley,3,Hard,R32,,,1,,,Audrey Arnold,Jacqueline Macmillan,9-7 6-1,,,,,,,,,,,,,,
15-Jul-1954,Palo Alto,3,,F,,,0,,,Joey Ross Dilley,Audrey Arnold,6-0 6-1,,,,,,,,,,,,,,
15-Jul-1954,Palo Alto,3,,SF,,,1,,,Audrey Arnold,Muriel Kifer,6-3 6-2,,,,,,,,,,,,,,
