Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
11-Oct-2010,Osaka Q,3,Hard,Q2,389,302,0,,,Akiko Yonemura,Ayaka Maekawa,3-6 7-5 6-4,,,,,,,,,,,,,,
11-Oct-2010,Osaka Q,3,Hard,Q1,389,222,1,,7,Ayaka Maekawa,Rika Fujiwara,6-2 3-6 6-3,,,,,,,,,,,,,,
27-Sep-2010,Hamanako 25K,3,Carpet,QF,413,383,0,,,Kumiko Iijima,Ayaka Maekawa,6-1 7-5,,,,,,,,,,,,,,
27-Sep-2010,Hamanako 25K,3,Carpet,R16,413,808,1,,Q,Ayaka Maekawa,Akiko Omae,6-3 5-7 6-4,,,,,,,,,,,,,,
27-Sep-2010,Hamanako 25K,3,Carpet,R32,413,414,1,,,Ayaka Maekawa,Sakiko Shimizu,3-6 6-1 6-2,,,,,,,,,,,,,,
20-Sep-2010,Makinohara 25K,3,Carpet,R16,411,422,0,8,,Kumiko Iijima,Ayaka Maekawa,6-2 6-2,,,,,,,,,,,,,,
20-Sep-2010,Makinohara 25K,3,Carpet,R32,411,558,1,8,,Ayaka Maekawa,Ai Yamamoto,6-1 2-6 6-2,,,,,,,,,,,,,,
6-Sep-2010,Noto 25K,3,Carpet,R32,399,271,0,,5,Akiko Yonemura,Ayaka Maekawa,6-4 6-1,,,,,,,,,,,,,,
30-Aug-2010,Tsukuba 25K,3,Hard,R16,399,327,0,Q,,Sachie Ishizu,Ayaka Maekawa,6-2 5-7 6-3,,,,,,,,,,,,,,
30-Aug-2010,Tsukuba 25K,3,Hard,R32,399,375,1,Q,Q,Ayaka Maekawa,Qiang Wang,6-1 3-6 7-6(7),,,,,,,,,,,,,,
23-Aug-2010,Saitama 10K,3,Hard,R16,388,847,0,5,Q,Akari Inoue,Ayaka Maekawa,3-6 6-4 7-5,,,,,,,,,,,,,,
23-Aug-2010,Saitama 10K,3,Hard,R32,388,,1,5,WC,Ayaka Maekawa,Ayane Iwai,6-1 6-1,,,,,,,,,,,,,,
2-Aug-2010,Beijing 75K,3,Hard,R32,365,204,0,,5,Tomoko Yonemura,Ayaka Maekawa,6-1 6-1,,,,,,,,,,,,,,
19-Jul-2010,Nonthaburi 25K,3,Hard,R32,373,270,0,,6,Chiaki Okadaue,Ayaka Maekawa,3-6 7-6(6) 6-2,,,,,,,,,,,,,,
12-Jul-2010,Hatyai 10K,3,Hard,QF,370,452,0,4,8,Nudnida Luangnam,Ayaka Maekawa,6-1 6-0,,,,,,,,,,,,,,
12-Jul-2010,Hatyai 10K,3,Hard,R16,370,730,1,4,Q,Ayaka Maekawa,Maya Kato,6-1 6-3,,,,,,,,,,,,,,
12-Jul-2010,Hatyai 10K,3,Hard,R32,370,581,1,4,,Ayaka Maekawa,Jia Jing Lu,4-6 6-4 6-3,,,,,,,,,,,,,,
5-Jul-2010,Fuzhou 25K,3,Hard,R32,348,266,0,,7,Yi Fan Xu,Ayaka Maekawa,6-1 6-0,,,,,,,,,,,,,,
28-Jun-2010,Hefei 10K,3,Hard,R16,349,551,0,3,,Shaozhuo Liu,Ayaka Maekawa,4-6 7-6(5) 6-3,,,,,,,,,,,,,,
28-Jun-2010,Hefei 10K,3,Hard,R32,349,,1,3,Q,Ayaka Maekawa,Yu Xuan Liu,6-2 6-3,,,,,,,,,,,,,,
7-Jun-2010,Tokyo 10K,3,Hard,QF,357,390,0,4,7,Shuko Aoyama,Ayaka Maekawa,6-0 4-6 7-5,,,,,,,,,,,,,,
7-Jun-2010,Tokyo 10K,3,Hard,R16,357,681,1,4,,Ayaka Maekawa,Yumi Nakano,7-5 6-1,,,,,,,,,,,,,,
7-Jun-2010,Tokyo 10K,3,Hard,R32,357,731,1,4,Q,Ayaka Maekawa,Hyun Hui Hong,6-2 6-3,,,,,,,,,,,,,,
24-May-2010,Kusatsu 25K,3,Carpet,SF,386,185,0,,1,Junri Namigata,Ayaka Maekawa,6-3 6-2,,,,,,,,,,,,,,
24-May-2010,Kusatsu 25K,3,Carpet,QF,386,419,1,,,Ayaka Maekawa,Ai Yamamoto,6-3 6-3,,,,,,,,,,,,,,
24-May-2010,Kusatsu 25K,3,Carpet,R16,386,538,1,,WC,Ayaka Maekawa,Mari Inoue,6-3 6-3,,,,,,,,,,,,,,
24-May-2010,Kusatsu 25K,3,Carpet,R32,386,280,1,,4,Ayaka Maekawa,Erika Sema,4-6 6-4 7-5,,,,,,,,,,,,,,
17-May-2010,Karuizawa 25K,3,Carpet,R32,385,430,0,,,Qiang Wang,Ayaka Maekawa,6-3 4-6 6-0,,,,,,,,,,,,,,
10-May-2010,Kurume 50K,3,Grass,R16,383,215,0,,6,Melanie South,Ayaka Maekawa,6-3 6-3,,,,,,,,,,,,,,
10-May-2010,Kurume 50K,3,Grass,R32,383,408,1,,,Ayaka Maekawa,Jade Curtis,6-7(4) 7-6(2) 6-0,,,,,,,,,,,,,,
3-May-2010,Fukuoka 50K,3,Grass,R32,339,187,0,,6,Ryoko Fuda,Ayaka Maekawa,2-6 6-2 6-4,,,,,,,,,,,,,,
26-Apr-2010,Gimcheon 25K,3,Hard,R32,340,381,0,,,Ying Ying Duan,Ayaka Maekawa,6-2 6-2,,,,,,,,,,,,,,
19-Apr-2010,Changwon 25K,3,Hard,R32,336,176,0,,2,Misaki Doi,Ayaka Maekawa,6-0 6-2,,,,,,,,,,,,,,
5-Apr-2010,Incheon 25K,3,Hard,R32,337,348,0,LL,Q,Elena Bogdan,Ayaka Maekawa,7-6(2) 6-1,,,,,,,,,,,,,,
1-Mar-2010,Sydney 25K,3,Hard,R32,322,354,0,,,Remi Tezuka,Ayaka Maekawa,3-6 6-3 6-1,,,,,,,,,,,,,,
11-Jan-2010,Pingguo 25K,3,Hard,R16,341,226,0,,4,Yi Miao Zhou,Ayaka Maekawa,7-5 6-3,,,,,,,,,,,,,,
11-Jan-2010,Pingguo 25K,3,Hard,R32,341,411,1,,,Ayaka Maekawa,Chin Wei Chan,3-6 6-2 7-5,,,,,,,,,,,,,,
4-Jan-2010,Quanzhou 50K,3,Hard,R16,355,249,0,,6,Yuliya Beygelzimer,Ayaka Maekawa,6-1 6-2,,,,,,,,,,,,,,
