Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
17-Sep-2001,Tokyo Q,3,Hard,Q1,,,0,,,Keiko Taguchi,Ayako Suzuki,6-2 6-1,,,,,,,,,,,,,,
10-Sep-2001,Seoul 50K,3,Hard,R32,,317,0,,,Kyung Yee Chae,Ayako Suzuki,6-1 6-1,,,,,,,,,,,,,,
13-Aug-2001,London 10K,3,Hard,R32,,,0,,,Yvonne Doyle,Ayako Suzuki,6-1 6-1,,,,,,,,,,,,,,
30-Jul-2001,Casablanca 10K,3,Clay,R16,,,0,7,,Daniela Kix,Ayako Suzuki,6-2 7-5,,,,,,,,,,,,,,
30-Jul-2001,Casablanca 10K,3,Clay,R32,,,1,7,,Ayako Suzuki,Alexandra Zotta,6-0 6-3,,,,,,,,,,,,,,
16-Jul-2001,Frinton 10K,3,Grass,R32,,,0,,Q,Karen Nugent,Ayako Suzuki,6-2 6-4,,,,,,,,,,,,,,
9-Jul-2001,Sezze 10K,3,Clay,R32,,426,0,,5,Alena Paulenkova,Ayako Suzuki,6-3 6-1,,,,,,,,,,,,,,
2-Jul-2001,Lido di Camaiore 10K,3,Clay,R32,,,0,,Q,Rita Degli Esposti,Ayako Suzuki,6-3 6-2,,,,,,,,,,,,,,
25-Jun-2001,Algiers 2 10K,3,Clay,R32,,,0,6,WC,Siham Soumeya Ben Nacer,Ayako Suzuki,6-3 3-0 RET,,,,,,,,,,,,,,
18-Jun-2001,Algiers 1 10K,3,Clay,R32,,,0,6,,Antonia Steinmetz,Ayako Suzuki,7-5 6-2,,,,,,,,,,,,,,
4-Jun-2001,Durban 10K,3,Hard,R16,,,0,6,Q,Cecilia Quarracino,Ayako Suzuki,6-1 6-3,,,,,,,,,,,,,,
4-Jun-2001,Durban 10K,3,Hard,R32,,,1,6,,Ayako Suzuki,Carla Bastos,6-1 6-1,,,,,,,,,,,,,,
28-May-2001,Durban 10K,3,Hard,R16,,,0,6,WC,Maretha Van Niekerk,Ayako Suzuki,6-3 6-0,,,,,,,,,,,,,,
28-May-2001,Durban 10K,3,Hard,R32,,,1,6,,Ayako Suzuki,Rachel Dive,6-0 6-1,,,,,,,,,,,,,,
6-Jan-2001,Tallahasse FL 10K,3,Hard,R32,,,0,Q,Q,Janet Walker,Ayako Suzuki,6-2 6-2,,,,,,,,,,,,,,
27-Nov-2000,Israel 4 Satellite,3,Hard,R32,,,0,7,,Evghenia Ablovatchi,Ayako Suzuki,4-0 4-2 1-4 4-0,,,,,,,,,,,,,,
18-Nov-2000,Israel Iii Satellite,3,Hard,R32,,,0,8,,Yael Glitzenstein,Ayako Suzuki,4-0 4-1 4-5(4) 4-0,,,,,,,,,,,,,,
4-Nov-2000,Elmansoura 10K,3,Clay,R32,675,504,0,,4,Alena Paulenkova,Ayako Suzuki,4-2 4-1 4-0,,,,,,,,,,,,,,
28-Oct-2000,Cairo 10K,3,Clay,R32,703,525,0,,6,Monica Scartoni,Ayako Suzuki,3-5 4-0 5-3 4-2,,,,,,,,,,,,,,
9-Oct-2000,Cairo 10K,3,Clay,QF,721,344,0,,1,Alienor Tricerri,Ayako Suzuki,4-0 4-1 4-1,,,,,,,,,,,,,,
9-Oct-2000,Cairo 10K,3,Clay,R16,721,689,1,,8,Ayako Suzuki,Monica Acosta,5-3 4-1 4-1,,,,,,,,,,,,,,
9-Oct-2000,Cairo 10K,3,Clay,R32,721,,1,,,Ayako Suzuki,Yomna Farid,4-1 4-1 4-2,,,,,,,,,,,,,,
2-Oct-2000,Cairo 10K,3,Clay,R16,723,868,0,8,,Ana Sismondini,Ayako Suzuki,5-3 4-0 4-1,,,,,,,,,,,,,,
2-Oct-2000,Cairo 10K,3,Clay,R32,723,,1,8,Q,Ayako Suzuki,Rawya Seif,4-0 5-4(4) 5-4(4),,,,,,,,,,,,,,
28-Aug-2000,Ciudad Juarez 10K,3,Clay,R16,763,421,0,,3,Helga Vieira,Ayako Suzuki,6-0 6-3,,,,,,,,,,,,,,
28-Aug-2000,Ciudad Juarez 10K,3,Clay,R32,763,973,1,,,Ayako Suzuki,Karla Mancinas,3-6 6-4 6-1,,,,,,,,,,,,,,
21-Aug-2000,Toluco 10K,3,Clay,R16,796,528,0,,4,Stephanie Halsell,Ayako Suzuki,6-1 6-0,,,,,,,,,,,,,,
21-Aug-2000,Toluco 10K,3,Clay,R32,796,728,1,,,Ayako Suzuki,Marilyn Baker,6-4 6-2,,,,,,,,,,,,,,
14-Aug-2000,Cuernavaca 10K,3,Clay,R16,788,,0,,Q,Kirsty Blumberg,Ayako Suzuki,6-1 7-6(5),,,,,,,,,,,,,,
14-Aug-2000,Cuernavaca 10K,3,Clay,R32,788,582,1,,8,Ayako Suzuki,Keiko Tameishi,7-5 6-2,,,,,,,,,,,,,,
31-Jul-2000,Rabat 10K,3,Clay,QF,845,,0,7,,Meryem El Haddad,Ayako Suzuki,6-1 6-2,,,,,,,,,,,,,,
31-Jul-2000,Rabat 10K,3,Clay,R16,845,,1,7,Q,Ayako Suzuki,Habiba Ifrakh,6-4 6-4,,,,,,,,,,,,,,
31-Jul-2000,Rabat 10K,3,Clay,R32,845,,1,7,,Ayako Suzuki,Ghita Mhaoud,7-5 6-3,,,,,,,,,,,,,,
17-Jul-2000,Jakarta 10K,3,Hard,R32,904,,0,,LL,Suci Bungaran,Ayako Suzuki,6-2 7-6(3),,,,,,,,,,,,,,
12-Jun-2000,Benoni 10K,3,Hard,R32,1008,1038,0,,,Aniela Mojzis,Ayako Suzuki,6-0 6-1,,,,,,,,,,,,,,
5-Jun-2000,Pretoria 10K,3,Hard,R16,960,404,0,,1,Natalie Grandin,Ayako Suzuki,6-2 6-1,,,,,,,,,,,,,,
5-Jun-2000,Pretoria 10K,3,Hard,R32,960,,1,,Q,Ayako Suzuki,Katrien Scott,6-1 3-6 7-6(1),,,,,,,,,,,,,,
27-Dec-1999,Chandigarh 10K,3,Grass,R32,,,0,Q,,Radhika Tulpule,Ayako Suzuki,6-4 6-0,,,,,,,,,,,,,,
20-Dec-1999,Lucknow 10K,3,Grass,R32,,,0,Q,,Catherine Turinsky,Ayako Suzuki,3-6 6-1 6-3,,,,,,,,,,,,,,
24-May-1999,El Paso 10K,3,Hard,R32,,,0,Q,LL,Rui Jing Wong,Ayako Suzuki,4-6 6-1 6-2,,,,,,,,,,,,,,
