Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
24-Jul-1939,East Grinstead,3,,SF,,,0,,,Zsuzsa Kormoczy,B Gow,6-4 6-0,,,,,,,,,,,,,,
24-Jul-1939,East Grinstead,3,,QF,,,1,,,B Gow,Phyllis Mudford,W/O,,,,,,,,,,,,,,
24-Jul-1939,East Grinstead,3,,R16,,,1,,,B Gow,M Buckingham,6-1 6-0,,,,,,,,,,,,,,
24-Jul-1939,East Grinstead,3,,R32,,,1,,,B Gow,V Black,6-0 6-1,,,,,,,,,,,,,,
5-Jun-1939,Weybridge,3,Grass,R32,,,0,,,Peggy Scriven Vivian,B Gow,6-2 6-1,,,,,,,,,,,,,,
29-May-1939,London Middlesex,3,Grass,R64,,,0,,,Jean Saunders,B Gow,7-5 6-2,,,,,,,,,,,,,,
22-May-1939,Surbiton,3,Grass,QF,,,0,,,Margot Lumb,B Gow,6-3 6-4,,,,,,,,,,,,,,
22-May-1939,Surbiton,3,Grass,R16,,,1,,,B Gow,Sally Lister,6-4 12-10,,,,,,,,,,,,,,
22-May-1939,Surbiton,3,Grass,R32,,,1,,,B Gow,Rita Jarvis,W/O,,,,,,,,,,,,,,
15-May-1939,Highbury,3,Clay,R32,,,0,,,Pearl Panton,B Gow,W/O,,,,,,,,,,,,,,
5-May-1939,Hurlingham,3,Clay,R32,,,0,,,Peggy Brace,B Gow,10-8 6-3,,,,,,,,,,,,,,
17-Apr-1939,Kensington,3,Clay,R64,,,0,,,Margot Lumb,B Gow,6-2 6-0,,,,,,,,,,,,,,
1-Apr-1939,Paddington,3,Clay,R32,,,0,,,Sylvia Lumley Ellis,B Gow,W/O,,,,,,,,,,,,,,
27-Mar-1939,Harrow,3,Clay,R16,,,0,,,Freda James,B Gow,6-2 6-3,,,,,,,,,,,,,,
27-Mar-1939,Harrow,3,Clay,R32,,,1,,,B Gow,M R Goslett,6-0 6-0,,,,,,,,,,,,,,
27-Feb-1939,Southdean,3,Carpet,QF,,,0,,,Mary Whitmarsh,B Gow,8-6 7-5,,,,,,,,,,,,,,
10-Oct-1938,Queens Indoors,3,Carpet,R32,,,0,,,Alex Mcostrich,B Gow,6-2 6-4,,,,,,,,,,,,,,
