Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
23-May-2022,W60 Grado,3,Clay,R16,208,194,0,,5,Sara Errani,Barbara Gatica,4-6 6-1 6-1,,,,,,,,,,,,,,
23-May-2022,W60 Grado,3,Clay,R32,208,460,1,,Q,Barbara Gatica,Sapfo Sakellaridi,6-4 4-6 6-1,,,,,,,,,,,,,,
16-May-2022,W60 Rome,3,Clay,F,241,289,0,4,,Tena Lukas,Barbara Gatica,6-1 6-4,,,,,,,,,,,,,,
16-May-2022,W60 Rome,3,Clay,SF,241,274,1,4,,Barbara Gatica,Darya Astakhova,6-3 3-2 RET,,,,,,,,,,,,,,
16-May-2022,W60 Rome,3,Clay,QF,241,370,1,4,,Barbara Gatica,Irina Khromacheva,6-3 6-1,,,,,,,,,,,,,,
16-May-2022,W60 Rome,3,Clay,R16,241,570,1,4,WC,Barbara Gatica,Angelica Raggi,6-1 7-5,,,,,,,,,,,,,,
16-May-2022,W60 Rome,3,Clay,R32,241,324,1,4,WC,Barbara Gatica,Camilla Rosatello,6-3 6-4,,,,,,,,,,,,,,
9-May-2022,W100+H La Bisbal D'Emporda,3,Clay,Q2,241,306,0,3,12,Andreea Prisacariu,Barbara Gatica,6-4 2-6 10-5,,,,,,,,,,,,,,
9-May-2022,W100+H La Bisbal D'Emporda,3,Clay,Q1,241,512,1,3,,Barbara Gatica,Celia Cervino Ruiz,6-2 2-6 10-6,,,,,,,,,,,,,,
2-May-2022,W60 Prague,3,Clay,QF,253,268,0,,,Maja Chwalinska,Barbara Gatica,7-6(2) 6-1,,,,,,,,,,,,,,
2-May-2022,W60 Prague,3,Clay,R16,253,705,1,,Q,Barbara Gatica,Dominika Salkova,7-6(4) 6-3,,,,,,,,,,,,,,
2-May-2022,W60 Prague,3,Clay,R32,253,543,1,,Q,Barbara Gatica,Anastasia Detiuc,6-2 7-5,,,,,,,,,,,,,,
16-Apr-2022,BJK Cup G1 PPO: BRA vs CHI,3,Hard,RR,242,126,0,,,Laura Pigossi,Barbara Gatica,6-4 6-2,0.73,0.0%,1.8%,80.0%,45.5%,27.3%,25.0% (2/8),42.1%,42.3%,0.0%,33.3%,62.5%,75.0% (3/4),1:27
15-Apr-2022,BJK Cup G1 RR: CHI vs ECU,3,Hard,RR,242,,1,,,Barbara Gatica,Valeska Alexandra San Martin Ramirez,6-1 6-0,2.48,6.5%,0.0%,74.2%,65.2%,75.0%,50.0% (1/2),74.2%,80.0%,0.0%,78.9%,81.3%,70.0% (7/10),0:43
14-Apr-2022,BJK Cup G1 RR: PAR vs CHI,3,Hard,RR,242,,1,,,Barbara Gatica,Leyla Fiorella Britez Risso,6-3 6-2,1.83,0.0%,4.8%,76.2%,65.6%,60.0%,50.0% (2/4),64.8%,65.3%,0.0%,60.5%,81.8%,75.0% (6/8),1:07
13-Apr-2022,BJK Cup G1 RR: MEX vs CHI,3,Hard,RR,242,240,0,,,Marcela Zacarias,Barbara Gatica,6-3 6-4,0.90,1.9%,1.9%,71.7%,57.9%,46.7%,20.0% (1/5),47.0%,40.6%,0.0%,34.0%,58.8%,50.0% (2/4),1:36
4-Apr-2022,Bogota,3,Clay,Q2,248,237,0,,,Tatjana Maria,Barbara Gatica,2-6 6-3 7-6(3),1.11,0.0%,8.0%,61.4%,59.3%,58.8%,54.5% (6/11),51.9%,45.5%,2.0%,43.4%,47.8%,60.0% (6/10),2:09
4-Apr-2022,Bogota,3,Clay,Q1,248,203,1,,4,Barbara Gatica,Seone Mendez,6-3 6-2,1.54,1.7%,3.4%,72.4%,66.7%,50.0%,50.0% (2/4),60.2%,58.3%,1.7%,57.6%,59.3%,55.6% (5/9),1:19
21-Mar-2022,W25 Medellin,3,Clay,SF,259,258,0,14,12,Suzan Lamens,Barbara Gatica,6-3 3-6 6-1,,,,,,,,,,,,,,
21-Mar-2022,W25 Medellin,3,Clay,QF,259,214,1,14,8,Barbara Gatica,Hanna Chang,6-4 6-3,,,,,,,,,,,,,,
21-Mar-2022,W25 Medellin,3,Clay,R16,259,137,1,14,1,Barbara Gatica,Reka Luca Jani,6-3 6-4,,,,,,,,,,,,,,
21-Mar-2022,W25 Medellin,3,Clay,R32,259,411,1,14,,Barbara Gatica,Sinja Kraus,6-2 6-3,,,,,,,,,,,,,,
14-Mar-2022,W25 Anapoima,3,Clay,R16,293,137,0,16,2,Reka Luca Jani,Barbara Gatica,3-6 6-4 6-3,,,,,,,,,,,,,,
14-Mar-2022,W25 Anapoima,3,Clay,R32,293,324,1,16,,Barbara Gatica,Andrea Gamiz,7-6(3) 6-3,,,,,,,,,,,,,,
7-Mar-2022,W25 Salinas,3,Hard,F,293,275,1,13,8,Barbara Gatica,Suzan Lamens,6-4 7-6(2),,,,,,,,,,,,,,
7-Mar-2022,W25 Salinas,3,Hard,SF,293,170,1,13,1,Barbara Gatica,Tessah Andrianjafitrimo,3-6 6-4 6-1,,,,,,,,,,,,,,
7-Mar-2022,W25 Salinas,3,Hard,QF,293,994,1,13,WC,Barbara Gatica,Sofia Costoulas,7-6(4) 6-4,,,,,,,,,,,,,,
7-Mar-2022,W25 Salinas,3,Hard,R16,293,1276,1,13,Q,Barbara Gatica,Cadence Brace,6-1 6-1,,,,,,,,,,,,,,
7-Mar-2022,W25 Salinas,3,Hard,R32,293,596,1,13,,Barbara Gatica,Amy Zhu,6-3 6-2,,,,,,,,,,,,,,
28-Feb-2022,W25 Guayaquil,3,Hard,R16,296,227,0,10,5,Hanna Chang,Barbara Gatica,6-4 3-6 6-4,,,,,,,,,,,,,,
28-Feb-2022,W25 Guayaquil,3,Hard,R32,296,678,1,10,,Barbara Gatica,Taylor Ng,6-4 7-6(5),,,,,,,,,,,,,,
7-Feb-2022,W25 Tucuman,3,Clay,QF,303,1078,0,7,SE,Brenda Fruhvirtova,Barbara Gatica,6-2 6-3,,,,,,,,,,,,,,
7-Feb-2022,W25 Tucuman,3,Clay,R16,303,815,1,7,Q,Barbara Gatica,Emily Seibold,6-3 6-4,,,,,,,,,,,,,,
7-Feb-2022,W25 Tucuman,3,Clay,R32,303,1211,1,7,Q,Barbara Gatica,Sofia Luini,6-0 6-1,,,,,,,,,,,,,,
31-Jan-2022,W25 Tucuman,3,Clay,R16,312,836,0,8,WC,Solana Sierra,Barbara Gatica,3-6 7-5 6-4,,,,,,,,,,,,,,
31-Jan-2022,W25 Tucuman,3,Clay,R32,312,976,1,8,Q,Barbara Gatica,Linda Salvi,6-4 6-0,,,,,,,,,,,,,,
24-Jan-2022,W25 Florianopolis,3,Hard,SF,355,513,0,7,,Eva Vedder,Barbara Gatica,4-6 6-3 6-4,,,,,,,,,,,,,,
24-Jan-2022,W25 Florianopolis,3,Hard,QF,355,259,1,7,4,Barbara Gatica,Maria Carle,6-4 4-6 7-5,,,,,,,,,,,,,,
24-Jan-2022,W25 Florianopolis,3,Hard,R16,355,712,1,7,Q,Barbara Gatica,Taylor Ng,6-4 6-4,,,,,,,,,,,,,,
24-Jan-2022,W25 Florianopolis,3,Hard,R32,355,434,1,7,,Barbara Gatica,Thaisa Grana Pedretti,6-3 7-6(5),,,,,,,,,,,,,,
17-Jan-2022,W25 Florianopolis,3,Hard,F,355,492,0,7,,Elizabeth Mandlik,Barbara Gatica,6-0 6-4,,,,,,,,,,,,,,
17-Jan-2022,W25 Florianopolis,3,Hard,SF,355,665,1,7,Q,Barbara Gatica,Julia Riera,6-1 7-6(7),,,,,,,,,,,,,,
17-Jan-2022,W25 Florianopolis,3,Hard,QF,355,509,1,7,,Barbara Gatica,Lena Rueffer,3-6 6-2 6-2,,,,,,,,,,,,,,
17-Jan-2022,W25 Florianopolis,3,Hard,R16,355,534,1,7,Q,Barbara Gatica,Jazmin Ortenzi,6-2 3-6 6-4,,,,,,,,,,,,,,
17-Jan-2022,W25 Florianopolis,3,Hard,R32,355,661,1,7,Q,Barbara Gatica,Merel Hoedt,6-1 6-2,,,,,,,,,,,,,,
10-Jan-2022,W25 Blumenau-Gaspar,3,Clay,SF,357,644,0,3,,Pia Lovric,Barbara Gatica,6-4 6-2,,,,,,,,,,,,,,
10-Jan-2022,W25 Blumenau-Gaspar,3,Clay,QF,357,568,1,3,,Barbara Gatica,Jessie Aney,6-0 6-4,,,,,,,,,,,,,,
10-Jan-2022,W25 Blumenau-Gaspar,3,Clay,R16,357,606,1,3,,Barbara Gatica,Nicole Fossa Huergo,6-3 7-5,,,,,,,,,,,,,,
10-Jan-2022,W25 Blumenau-Gaspar,3,Clay,R32,357,1102,1,3,Q,Barbara Gatica,Caroline Lampl,7-5 6-4,,,,,,,,,,,,,,
22-Nov-2021,W60 Brasilia,3,Clay,R32,355,813,0,,Q,Katarina Jokic,Barbara Gatica,2-6 7-6(5) 7-6(9),,,,,,,,,,,,,,
15-Nov-2021,Montevideo,3,Clay,R32,355,218,0,,8,Laura Pigossi,Barbara Gatica,6-1 3-6 7-5,0.92,0.0%,2.0%,85.3%,50.6%,40.0%,52.9% (9/17),47.9%,46.7%,1.1%,50.9%,40.0%,60.0% (6/10),2:34
8-Nov-2021,W60+H Santiago,3,Clay,R32,359,231,0,,7,Arianne Hartono,Barbara Gatica,2-6 6-3 6-3,,,,,,,,,,,,,,
1-Nov-2021,Buenos Aires,3,Clay,R32,354,243,0,,,Katharina Gerlach,Barbara Gatica,1-6 7-6(2) 6-4,1.04,1.0%,2.0%,73.7%,61.6%,57.7%,76.9% (10/13),50.8%,40.8%,2.0%,44.8%,35.0%,35.7% (5/14),2:46
18-Oct-2021,W25 Rio do Sul,3,Clay,QF,350,138,0,8,1,Panna Udvardy,Barbara Gatica,6-0 3-6 6-4,,,,,,,,,,,,,,
18-Oct-2021,W25 Rio do Sul,3,Clay,R16,350,,1,8,Q,Barbara Gatica,Sofia Da Cruz Mendonca,6-1 6-3,,,,,,,,,,,,,,
18-Oct-2021,W25 Rio do Sul,3,Clay,R32,350,,1,8,Q,Barbara Gatica,Fernanda Astete,6-2 6-0,,,,,,,,,,,,,,
27-Sep-2021,Chicago 2,3,Hard,Q1,351,185,0,,13,Mariam Bolkvadze,Barbara Gatica,6-2 6-1,0.67,1.5%,1.5%,80.6%,44.4%,61.5%,54.5% (6/11),41.9%,35.1%,1.8%,34.3%,36.4%,0.0% (0/5),1:23
20-Sep-2021,Columbus 125,3,Hard,Q1,353,279,0,,6,Dalila Jakupovic,Barbara Gatica,6-0 6-2,0.50,0.0%,6.8%,84.1%,45.9%,28.6%,44.4% (4/9),35.6%,28.3%,6.5%,25.9%,31.6%,0.0% (0/4),0:55
23-Aug-2021,Chicago 1,3,Hard,Q1,344,91,0,,2,Clara Burel,Barbara Gatica,6-2 4-6 7-5,0.99,0.0%,2.9%,75.7%,57.7%,52.0%,50.0% (6/12),48.9%,43.3%,4.5%,30.7%,59.3%,25.0% (4/16),2:10
16-Aug-2021,W60 San Bartolome de Tirajana,3,Clay,Q1,341,673,0,2,,Nicole Fossa Huergo,Barbara Gatica,6-3 1-6 10-7,,,,,,,,,,,,,,
9-Aug-2021,W60 San Bartolome de Tirajana,3,Clay,R16,349,197,0,Q,,Aleksandra Krunic,Barbara Gatica,6-3 2-6 6-3,,,,,,,,,,,,,,
9-Aug-2021,W60 San Bartolome de Tirajana,3,Clay,R32,349,226,1,Q,6,Barbara Gatica,Despina Papamichail,6-3 7-6(3),,,,,,,,,,,,,,
9-Aug-2021,W60 San Bartolome de Tirajana,3,Clay,Q3,349,757,1,2,,Barbara Gatica,Ashley Lahey,6-3 1-6 10-3,,,,,,,,,,,,,,
9-Aug-2021,W60 San Bartolome de Tirajana,3,Clay,Q2,349,,1,2,,Barbara Gatica,Claudia De Las Heras Armenteras,6-2 6-0,,,,,,,,,,,,,,
26-Jul-2021,W60 Grodzisk Mazowiecki,3,Clay,SF,397,249,0,Q,6,Chloe Paquet,Barbara Gatica,6-3 6-3,,,,,,,,,,,,,,
26-Jul-2021,W60 Grodzisk Mazowiecki,3,Clay,QF,397,312,1,Q,,Barbara Gatica,Su Jeong Jang,6-4 6-0,,,,,,,,,,,,,,
26-Jul-2021,W60 Grodzisk Mazowiecki,3,Clay,R16,397,213,1,Q,4,Barbara Gatica,Gabriela Lee,2-6 6-3 6-3,,,,,,,,,,,,,,
26-Jul-2021,W60 Grodzisk Mazowiecki,3,Clay,R32,397,298,1,Q,,Barbara Gatica,Fernanda Contreras Gomez,6-4 4-0 RET,,,,,,,,,,,,,,
26-Jul-2021,W60 Grodzisk Mazowiecki,3,Clay,Q3,397,600,1,10,,Barbara Gatica,Jessie Aney,7-6(5) 6-1,,,,,,,,,,,,,,
26-Jul-2021,W60 Grodzisk Mazowiecki,3,Clay,Q2,397,,1,10,,Barbara Gatica,Katerina Mandelikova,7-5 6-1,,,,,,,,,,,,,,
26-Jul-2021,W60 Grodzisk Mazowiecki,3,Clay,Q1,397,1114,1,10,,Barbara Gatica,Ivana Sebestova,6-3 7-5,,,,,,,,,,,,,,
19-Jul-2021,W60 Olomouc,3,Clay,R16,446,253,0,Q,JE,Diane Parry,Barbara Gatica,3-6 7-5 6-2,,,,,,,,,,,,,,
19-Jul-2021,W60 Olomouc,3,Clay,R32,446,222,1,Q,4,Barbara Gatica,Susan Bandecchi,1-6 6-2 7-5,,,,,,,,,,,,,,
19-Jul-2021,W60 Olomouc,3,Clay,Q3,446,396,1,10,8,Barbara Gatica,Amanda Carreras,0-6 7-5 10-7,,,,,,,,,,,,,,
19-Jul-2021,W60 Olomouc,3,Clay,Q2,446,606,1,10,,Barbara Gatica,Jessie Aney,7-5 7-5,,,,,,,,,,,,,,
19-Jul-2021,W60 Olomouc,3,Clay,Q1,446,1115,1,10,,Barbara Gatica,Ivana Sebestova,6-4 6-1,,,,,,,,,,,,,,
12-Jul-2021,W25 Tarvisio,3,Clay,QF,440,426,0,,,Oana Georgeta Simion,Barbara Gatica,6-7(4) 6-4 6-3,,,,,,,,,,,,,,
12-Jul-2021,W25 Tarvisio,3,Clay,R16,440,296,1,,3,Barbara Gatica,Bianca Turati,6-4 6-2,,,,,,,,,,,,,,
12-Jul-2021,W25 Tarvisio,3,Clay,R32,440,580,1,,,Barbara Gatica,Nika Radisic,6-3 6-0,,,,,,,,,,,,,,
5-Jul-2021,W25 Torino,3,Clay,R32,445,430,0,,Q,Jessica Bouzas Maneiro,Barbara Gatica,6-1 7-5,,,,,,,,,,,,,,
28-Jun-2021,W25 The Hague,3,Clay,R16,445,241,0,Q,6,Anna Bondar,Barbara Gatica,7-5 6-1,,,,,,,,,,,,,,
28-Jun-2021,W25 The Hague,3,Clay,Q2,445,696,1,4,16,Barbara Gatica,Alana Parnaby,6-2 6-0,,,,,,,,,,,,,,
28-Jun-2021,W25 The Hague,3,Clay,Q1,445,1163,1,4,,Barbara Gatica,Annick Melgers,6-2 6-0,,,,,,,,,,,,,,
21-Jun-2021,W25 Klosters,3,Clay,R64,434,451,0,,,Ylena In Albon,Barbara Gatica,6-3 6-4,,,,,,,,,,,,,,
14-Jun-2021,W25+H Figueira Da Foz,3,Hard,R32,425,256,0,Q,4,Tessah Andrianjafitrimo,Barbara Gatica,6-7(3) 6-3 6-4,,,,,,,,,,,,,,
14-Jun-2021,W25+H Figueira Da Foz,3,Hard,Q2,425,1159,1,2,12,Barbara Gatica,Ana Filipa Santos,6-2 6-1,,,,,,,,,,,,,,
