Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
23-Jun-1975,Wimbledon,5,Grass,Q1,,,0,,,Diane Eastburn,Beverley Vercoe,5-7 6-4 6-3,,,,,,,,,,,,,,
20-Jan-1975,Auckland,3,,SF,,,0,,,Shelley Monds,Beverley Vercoe,6-4 4-6 10-8,,,,,,,,,,,,,,
20-Jan-1975,Auckland,3,,QF,,,1,,,Beverley Vercoe,Stephanie Meachen,6-1 6-3,,,,,,,,,,,,,,
6-Jan-1975,Auckland NZ Open,3,Grass,R32,,,0,,,Linda Mottram,Beverley Vercoe,2-6 6-2 6-1,,,,,,,,,,,,,,
15-Jul-1974,Frinton-On-Sea,3,Grass,F,,,0,,,Corinne Molesworth,Beverley Vercoe,7-6 6-4,,,,,,,,,,,,,,
8-Jul-1974,Felixstowe,3,Grass,QF,,,0,,,Greta Stirton,Beverley Vercoe,8-9 6-2 6-2,,,,,,,,,,,,,,
24-Jun-1974,Wimbledon,5,Grass,Q1,,,0,,,Diane Eastburn,Beverley Vercoe,5-7 6-4 6-3,,,,,,,,,,,,,,
27-May-1974,St. Annes-On-Sea,3,Grass,F,,,1,,,Beverley Vercoe,Jenny Helliar,6-2 6-1,,,,,,,,,,,,,,
7-Jan-1974,Auckland,3,Grass,R16,,,0,,,Wendy Turnbull,Beverley Vercoe,6-2 6-1,,,,,,,,,,,,,,
7-Jan-1974,Auckland,3,Grass,R32,,,1,,,Beverley Vercoe,Judith Phillips,6-0 6-4,,,,,,,,,,,,,,
25-Dec-1973,Auckland Chps 2,3,,SF,,,0,,,Judy Chaloner,Beverley Vercoe,7-5 6-1,,,,,,,,,,,,,,
9-Jan-1973,Auckland,3,Grass,R16,,,0,,,Nathalie Fuchs,Beverley Vercoe,6-2 6-3,,,,,,,,,,,,,,
26-Dec-1972,Auckland Chps 1,3,Grass,SF,,,0,,,Patricia Bostrom,Beverley Vercoe,6-3 6-3,,,,,,,,,,,,,,
26-Dec-1972,Auckland Chps 1,3,Grass,QF,,,1,,,Beverley Vercoe,Beverly Ward,6-1 6-1,,,,,,,,,,,,,,
26-Jun-1972,Wimbledon,5,Grass,Q1,,,0,,,Roylee Bailey,Beverley Vercoe,6-1 6-4,,,,,,,,,,,,,,
1-May-1972,Sutton,3,Clay,R64,,,0,,,Vicki Lancaster Kerr,Beverley Vercoe,6-3 6-0,,,,,,,,,,,,,,
24-Apr-1972,Norwich,3,Clay,R32,,,0,,,Lindsay Blachford,Beverley Vercoe,6-1 6-1,,,,,,,,,,,,,,
17-Jan-1972,Auckland NZ Open,3,Grass,QF,,,0,,,Mary Struthers,Beverley Vercoe,5-7 6-2 7-5,,,,,,,,,,,,,,
3-Jan-1972,Auckland,3,Grass,SF,,,0,,,Robyn Legge,Beverley Vercoe,6-3 6-3,,,,,,,,,,,,,,
3-Jan-1972,Auckland,3,Grass,QF,,,1,,,Beverley Vercoe,Cecilie Fleming,6-2 6-4,,,,,,,,,,,,,,
7-Dec-1971,Auckland,3,Grass,R16,,,0,,3,Rosie Casals,Beverley Vercoe,6-3 6-0,,,,,,,,,,,,,,
