Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
29-Oct-2012,Istanbul 25K,3,Hard,R32,1096,209,0,Q,5,Richel Hogenkamp,Busra Kayrun,6-1 6-3,,,,,,,,,,,,,,
15-Oct-2012,Antalya 10K,3,Clay,R32,1108,932,0,Q,,Carmen Lopez Rueda,Busra Kayrun,6-2 6-3,,,,,,,,,,,,,,
8-Oct-2012,Antalya 10K,3,Clay,R16,1114,464,0,WC,7,Katerina Vankova,Busra Kayrun,6-3 6-2,,,,,,,,,,,,,,
8-Oct-2012,Antalya 10K,3,Clay,R32,1114,,1,WC,WC,Busra Kayrun,Naz Karagoz,6-2 6-2,,,,,,,,,,,,,,
27-Aug-2012,Gaziantep 10K,3,Hard,R16,1130,943,0,,,Taisiya Zakarlyuk,Busra Kayrun,6-2 6-2,,,,,,,,,,,,,,
27-Aug-2012,Gaziantep 10K,3,Hard,R32,1130,749,1,,7,Busra Kayrun,Abbie Myers,6-3 7-6(5),,,,,,,,,,,,,,
13-Aug-2012,Istanbul 10K,3,Hard,R16,1137,968,0,WC,,Indy De Vroome,Busra Kayrun,6-4 6-1,,,,,,,,,,,,,,
13-Aug-2012,Istanbul 10K,3,Hard,R32,1137,,1,WC,Q,Busra Kayrun,Nana Miyakawa,6-4 6-3,,,,,,,,,,,,,,
25-Jun-2012,Izmir 10K,3,Hard,R32,1182,404,0,,2,Teodora Mircic,Busra Kayrun,6-4 6-1,,,,,,,,,,,,,,
18-Jun-2012,Istanbul 10K,3,Hard,R16,1175,626,0,,6,Julia Stamatova,Busra Kayrun,3-6 6-3 7-5,,,,,,,,,,,,,,
18-Jun-2012,Istanbul 10K,3,Hard,R32,1175,1175,1,,,Busra Kayrun,Gulben Guldas,6-3 6-1,,,,,,,,,,,,,,
11-Jun-2012,Erzincan 10K,3,Hard,R32,1178,,0,,WC,Cemre Anil,Busra Kayrun,6-7(2) 6-3 6-3,,,,,,,,,,,,,,
4-Jun-2012,Agri 10K,3,Carpet,R32,1189,,0,,,Babilina Machaidze,Busra Kayrun,7-5 4-6 7-6(0),,,,,,,,,,,,,,
28-May-2012,Trabzon 10K,3,Hard,R16,1189,657,0,,4,Eri Hozumi,Busra Kayrun,6-2 2-6 6-0,,,,,,,,,,,,,,
28-May-2012,Trabzon 10K,3,Hard,R32,1189,1199,1,,,Busra Kayrun,Giulia Bruzzone,4-6 6-3 6-4,,,,,,,,,,,,,,
21-May-2012,Izmir 10K,3,Hard,R32,1182,1073,0,,,Martina Caciotti,Busra Kayrun,6-3 6-4,,,,,,,,,,,,,,
30-Apr-2012,Antalya-Ihtisas 10K,3,Hard,R32,1171,514,0,WC,6,Christina Shakovets,Busra Kayrun,6-1 6-3,,,,,,,,,,,,,,
19-Sep-2011,Adana 10K,3,Hard,R32,1204,466,0,,1,Anja Prislan,Busra Kayrun,4-6 6-3 7-6(5),,,,,,,,,,,,,,
5-Sep-2011,Antalya 10K,3,Hard,R16,1224,543,0,,2,Christina Shakovets,Busra Kayrun,6-4 0-6 6-1,,,,,,,,,,,,,,
5-Sep-2011,Antalya 10K,3,Hard,R32,1224,1224,1,,,Busra Kayrun,Cemre Anil,6-0 6-4,,,,,,,,,,,,,,
11-Jul-2011,Izmir 10K,3,Clay,R32,1215,775,0,,,Diana Isaeva,Busra Kayrun,6-1 6-7(3) 6-3,,,,,,,,,,,,,,
4-Jul-2011,Izmir 10K,3,Clay,R32,,1219,0,WC,Q,Maria Letizia Zavagli,Busra Kayrun,6-1 6-3,,,,,,,,,,,,,,
27-Jun-2011,Izmir 10K,3,Clay,R16,,731,0,WC,7,Maya Gaverova,Busra Kayrun,6-0 6-0,,,,,,,,,,,,,,
27-Jun-2011,Izmir 10K,3,Clay,R32,,,1,WC,WC,Busra Kayrun,Selenay Heper,6-2 6-3,,,,,,,,,,,,,,
23-May-2011,Gaziantep 10K,3,Hard,R16,,,0,Q,,Joanna Nena Savva,Busra Kayrun,6-2 6-2,,,,,,,,,,,,,,
23-May-2011,Gaziantep 10K,3,Hard,R32,,,1,Q,Q,Busra Kayrun,Ekin Bahitli,6-2 6-1,,,,,,,,,,,,,,
16-May-2011,Izmir 25K,3,Hard,R32,,549,0,WC,Q,Sandra Zaniewska,Busra Kayrun,6-4 6-2,,,,,,,,,,,,,,
14-Mar-2011,Antalya 10K,3,Clay,R32,,552,0,WC,,Ekaterine Gorgodze,Busra Kayrun,6-0 6-0,,,,,,,,,,,,,,
7-Mar-2011,Antalya 10K,3,Clay,R32,,550,0,WC,,Keren Shlomo,Busra Kayrun,1-6 6-1 6-0,,,,,,,,,,,,,,
24-May-2010,Izmir 25K,3,Hard,R32,,658,0,WC,Q,Karen Barbat,Busra Kayrun,6-2 6-3,,,,,,,,,,,,,,
