Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
2-Sep-2013,Antalya 10K,3,Hard,R32,539,709,0,4,,Anna Smith,Carla Forte,7-5 6-2,,,,,,,,,,,,,,
26-Aug-2013,Antalya 10K,3,Hard,F,539,625,0,4,6,Vladyslava Zanosiyenko,Carla Forte,7-5 6-2,,,,,,,,,,,,,,
26-Aug-2013,Antalya 10K,3,Hard,SF,539,399,1,4,2,Carla Forte,Nuria Parrizas Diaz,6-2 6-4,,,,,,,,,,,,,,
26-Aug-2013,Antalya 10K,3,Hard,QF,539,669,1,4,7,Carla Forte,Melanie South,6-4 6-3,,,,,,,,,,,,,,
26-Aug-2013,Antalya 10K,3,Hard,R16,539,,1,4,WC,Carla Forte,Yevgeniya Kryvoruchko,6-1 7-5,,,,,,,,,,,,,,
26-Aug-2013,Antalya 10K,3,Hard,R32,539,,1,4,Q,Carla Forte,Marie Temin,6-4 6-3,,,,,,,,,,,,,,
12-Aug-2013,Ratingen 10K,3,Clay,R32,536,842,0,5,,Julia Wachaczyk,Carla Forte,6-3 6-4,,,,,,,,,,,,,,
29-Jul-2013,Sao Paulo 10K,3,Clay,R16,514,512,0,,,Nathalia Rossi,Carla Forte,6-1 6-1,,,,,,,,,,,,,,
29-Jul-2013,Sao Paulo 10K,3,Clay,R32,514,420,1,,7,Carla Forte,Eduarda Piai,7-6(4) 7-6(2),,,,,,,,,,,,,,
22-Jul-2013,Sao Jose Dos Campos 10K,3,Clay,R16,514,661,0,,,Nathaly Kurata,Carla Forte,6-3 6-4,,,,,,,,,,,,,,
22-Jul-2013,Sao Jose Dos Campos 10K,3,Clay,R32,514,380,1,,1,Carla Forte,Fernanda Brito,6-1 3-6 6-4,,,,,,,,,,,,,,
15-Jul-2013,Campos Do Jordao 25K,3,Hard,R16,507,305,0,Q,7,Paula Cristina Goncalves,Carla Forte,6-0 6-4,,,,,,,,,,,,,,
15-Jul-2013,Campos Do Jordao 25K,3,Hard,R32,507,885,1,Q,Q,Carla Forte,Sofia Blanco,6-4 6-4,,,,,,,,,,,,,,
8-Jul-2013,Campinas 25K,3,Clay,R32,500,316,0,Q,8,Catalina Pella,Carla Forte,6-3 6-0,,,,,,,,,,,,,,
