Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
26-May-1997,San Salvador 10K,3,Hard,R32,1061,,0,WC,Q,Gabriela Duarte,Carolina Molins,6-4 7-6,,,,,,,,,,,,,,
12-May-1997,Fed Cup G2 RRB: ANT vs ESA,3,Clay,RR,1070,,1,,,Carolina Molins,Niki Williams,6-1 6-3,,,,,,,,,,,,,,
11-Nov-1996,San Salvador 10K,3,Clay,R32,,615,0,,,Milagros Sequera,Carolina Molins,6-1 6-1,,,,,,,,,,,,,,
4-Nov-1996,Santo Domingo 10K,3,Clay,R32,1076,971,0,,,Lesley Kramer,Carolina Molins,6-1 4-6 7-6,,,,,,,,,,,,,,
26-Aug-1996,San Salvador 10K,3,Clay,R16,1049,,0,8,,Frances Giron,Carolina Molins,5-7 6-3 6-2,,,,,,,,,,,,,,
13-Nov-1995,ITF San Salvador 2,3,Clay,R32,1062,,0,,,Renate Wachtler,Carolina Molins,7-5 6-3,,,,,,,,,,,,,,
6-Nov-1995,ITF Santo Domingo,3,Clay,R32,1057,,0,,,Maria Chavez,Carolina Molins,6-3 6-2,,,,,,,,,,,,,,
30-Oct-1995,ITF Freeport,3,Hard,R32,1052,,0,,,Erica Oneill,Carolina Molins,6-1 6-0,,,,,,,,,,,,,,
28-Aug-1995,ITF San Salvador 1,3,Clay,R32,,795,0,,,Cristina Cortes,Carolina Molins,6-2 6-0,,,,,,,,,,,,,,
14-Nov-1994,ITF San Salvador 2,3,Hard,R32,,,0,,,Luciana Alfaro,Carolina Molins,6-4 6-7(2) 6-3,,,,,,,,,,,,,,
7-Nov-1994,ITF Santo Domingo,3,Clay,R32,,578,0,,3,Kristen Sanderson,Carolina Molins,6-2 6-0,,,,,,,,,,,,,,
26-Sep-1994,ITF Guadalajara 3,3,Clay,R32,,648,0,,,Julie Huang,Carolina Molins,6-1 6-0,,,,,,,,,,,,,,
19-Sep-1994,ITF Guadalajara 2,3,Hard,R32,,,0,,8,Cynthia Ojeda,Carolina Molins,6-0 6-3,,,,,,,,,,,,,,
12-Sep-1994,ITF Guadalajara 1,3,Clay,R16,,,0,,,Mariana Moreno,Carolina Molins,6-2 6-0,,,,,,,,,,,,,,
12-Sep-1994,ITF Guadalajara 1,3,Clay,R32,,,1,,,Carolina Molins,Anabela Hernandez,W/O,,,,,,,,,,,,,,
29-Aug-1994,ITF San Salvador 1,3,Clay,R32,,,0,,,Carolina Sanabria,Carolina Molins,3-6 6-4 6-3,,,,,,,,,,,,,,
15-Nov-1993,ITF San Salvador 2,3,Hard,R16,,,0,,5,Maria Dolores Campana,Carolina Molins,6-1 6-0,,,,,,,,,,,,,,
15-Nov-1993,ITF San Salvador 2,3,Hard,R32,,,1,,,Carolina Molins,Olga Quintanilla,6-1 6-4,,,,,,,,,,,,,,
4-Oct-1993,ITF Zacatecas,3,Hard,R32,,,0,,,Karen Goldstein,Carolina Molins,6-0 6-1,,,,,,,,,,,,,,
30-Aug-1993,ITF San Salvador 1,3,Clay,R32,,,0,,,Manuela Schwerzmann,Carolina Molins,6-4 6-2,,,,,,,,,,,,,,
16-Nov-1992,ITF San Salvador,3,Hard,R16,,,0,,,Ana Maria Rojas,Carolina Molins,6-4 6-4,,,,,,,,,,,,,,
