Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
21-Mar-2016,Heraklion $10K,3,Hard,R32,,,0,LL,Q,Phillis Vanenburg,Carolina Pillot,4-6 6-4 6-2,,,,,,,,,,,,,,
3-Aug-2015,Tarvisio $10K,3,Clay,R32,1011,,0,,Q,Lucia Bronzetti,Carolina Pillot,6-2 6-7(5) 6-0,,,,,,,,,,,,,,
20-Jul-2015,Viserba $10K,3,Clay,R16,1032,344,0,,2,Martina Caregaro,Carolina Pillot,3-6 6-1 6-2,,,,,,,,,,,,,,
20-Jul-2015,Viserba $10K,3,Clay,R32,1032,857,1,,,Carolina Pillot,Beatrice Lombardo,6-2 6-3,,,,,,,,,,,,,,
22-Jun-2015,Roma $10K,3,Clay,QF,1028,519,0,,7,Bianca Turati,Carolina Pillot,6-4 6-4,,,,,,,,,,,,,,
22-Jun-2015,Roma $10K,3,Clay,R16,1028,1118,1,,Q,Carolina Pillot,Nicole Fossa Huergo,W/O,,,,,,,,,,,,,,
22-Jun-2015,Roma $10K,3,Clay,R32,1028,492,1,,4,Carolina Pillot,Stefania Rubini,6-4 6-2,,,,,,,,,,,,,,
6-Apr-2015,Heraklion $10K,3,Hard,R16,1043,653,0,Q,5,Anna Zaja,Carolina Pillot,5-7 6-2 6-3,,,,,,,,,,,,,,
6-Apr-2015,Heraklion $10K,3,Hard,R32,1043,,1,Q,Q,Carolina Pillot,Valeria Patiuk,6-1 6-3,,,,,,,,,,,,,,
2-Mar-2015,Solarino $10K,3,Hard,R16,1081,307,0,,2,Constance Sibille,Carolina Pillot,6-0 6-2,,,,,,,,,,,,,,
2-Mar-2015,Solarino $10K,3,Hard,R32,1081,,1,,Q,Carolina Pillot,Mia Nicole Eklund,6-2 6-1,,,,,,,,,,,,,,
26-Jan-2015,El Kantaoui $10K,3,Hard,R32,1073,436,0,Q,5,Silvia Njiric,Carolina Pillot,6-3 6-2,,,,,,,,,,,,,,
23-Sep-2013,Santa Margherita Di Pula 10K,3,Clay,R16,649,947,0,6,,Quirine Lemoine,Carolina Pillot,4-6 6-4 6-4,,,,,,,,,,,,,,
23-Sep-2013,Santa Margherita Di Pula 10K,3,Clay,R32,649,1148,1,6,,Carolina Pillot,Beatrice Lombardo,6-4 6-3,,,,,,,,,,,,,,
16-Sep-2013,Antalya 10K,3,Hard,QF,647,381,0,7,2,Ksenia Palkina,Carolina Pillot,7-6(5) 1-6 6-1,,,,,,,,,,,,,,
16-Sep-2013,Antalya 10K,3,Hard,R16,647,1050,1,7,,Carolina Pillot,Khristina Kazimova,6-7(3) 6-3 6-4,,,,,,,,,,,,,,
16-Sep-2013,Antalya 10K,3,Hard,R32,647,,1,7,Q,Carolina Pillot,Polina Novoselova,6-1 6-1,,,,,,,,,,,,,,
9-Sep-2013,Antalya 10K,3,Hard,R32,650,1183,0,6,,Tanaporn Thongsing,Carolina Pillot,6-1 6-2,,,,,,,,,,,,,,
26-Aug-2013,Bagnatica 10K,3,Clay,R32,662,198,0,,1,Maria Elena Camerin,Carolina Pillot,6-1 3-6 6-0,,,,,,,,,,,,,,
19-Aug-2013,Portschach 10K,3,Clay,R16,661,762,0,8,,Polona Rebersak,Carolina Pillot,6-1 6-4,,,,,,,,,,,,,,
19-Aug-2013,Portschach 10K,3,Clay,R32,661,,1,8,WC,Carolina Pillot,Anna Kraus,6-3 6-1,,,,,,,,,,,,,,
12-Aug-2013,Innsbruck 10K,3,Clay,R32,572,1040,0,6,LL,Francesca Fusinato,Carolina Pillot,6-3 7-5,,,,,,,,,,,,,,
15-Jul-2013,Imola 25K,3,Carpet,QF,610,493,0,,Q,Nuria Parrizas Diaz,Carolina Pillot,7-6(2) 5-7 6-1,,,,,,,,,,,,,,
15-Jul-2013,Imola 25K,3,Carpet,R16,610,439,1,,7,Carolina Pillot,Ksenia Kirillova,6-3 6-1,,,,,,,,,,,,,,
15-Jul-2013,Imola 25K,3,Carpet,R32,610,582,1,,,Carolina Pillot,Agnese Zucchini,6-3 7-5,,,,,,,,,,,,,,
8-Jul-2013,Palermo Q,3,Clay,Q1,561,230,0,WC,2,Arantxa Parra Santonja,Carolina Pillot,6-7(5) 6-4 6-1,,,,,,,,,,,,,,
1-Jul-2013,Todi 10K,3,Clay,R16,564,731,0,5,,Olga Doroshina,Carolina Pillot,3-6 6-1 6-3,,,,,,,,,,,,,,
