Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
4-May-1970,Guildford,3,Clay,R64,,,0,,,Pamela Austin,Caroline Leather,6-1 7-5,,,,,,,,,,,,,,
25-Apr-1966,Hurlingham,3,Clay,R16,,,0,,,Virginia Wade,Caroline Leather,6-3 6-3,,,,,,,,,,,,,,
11-Apr-1966,Chingford,3,Clay,R32,,,0,,,Stephanie Percival,Caroline Leather,6-3 6-2,,,,,,,,,,,,,,
4-Apr-1966,Hampstead,3,Clay,R32,,,0,,,Alex Cowie,Caroline Leather,8-6 6-4,,,,,,,,,,,,,,
4-Apr-1966,Hampstead,3,Clay,R64,,,1,,,Caroline Leather,Christine George,3-6 6-1 6-0,,,,,,,,,,,,,,
13-Jul-1964,Frinton-On-Sea,3,Grass,R32,,,0,,,Elizabeth Starkie,Caroline Leather,6-3 6-3,,,,,,,,,,,,,,
13-Jul-1964,Frinton-On-Sea,3,Grass,R64,,,1,,,Caroline Leather,Stephanie Percival,6-3 1-6 6-2,,,,,,,,,,,,,,
22-Jun-1964,Wimbledon,5,Grass,Q2,,,0,,,Ruth Illingworth,Caroline Leather,6-3 6-3,,,,,,,,,,,,,,
22-Jun-1964,Wimbledon,5,Grass,Q1,,,1,,,Caroline Leather,Mrs C T Clark,6-4 6-4,,,,,,,,,,,,,,
1-Jun-1964,Barnes,3,Grass,R16,,,0,,,Pat Wheeler,Caroline Leather,6-3 6-1,,,,,,,,,,,,,,
25-May-1964,Surbiton,3,Grass,R64,,,0,,,Trudy Groenman,Caroline Leather,7-7 7-5,,,,,,,,,,,,,,
18-May-1964,St. Annes-On-Sea,3,Grass,QF,,,0,,,Lorna Cornell,Caroline Leather,6-2 4-6 6-0,,,,,,,,,,,,,,
27-Apr-1964,Hurlingham,3,Clay,R64,,,0,,,Nell Truman,Caroline Leather,6-2 6-3,,,,,,,,,,,,,,
20-Apr-1964,Bournemouth,3,Clay,R32,,,0,,,Elizabeth Starkie,Caroline Leather,6-2 6-1,,,,,,,,,,,,,,
13-Apr-1964,Sutton,3,Clay,R32,,,0,,,Vera Roberts,Caroline Leather,6-2 6-2,,,,,,,,,,,,,,
13-Apr-1964,Sutton,3,Clay,R64,,,1,,,Caroline Leather,Sandra Okin,6-3 6-2,,,,,,,,,,,,,,
6-Apr-1964,Hampstead,3,Clay,R16,,,0,,,Jan Lehane,Caroline Leather,6-0 6-1,,,,,,,,,,,,,,
6-Apr-1964,Hampstead,3,Clay,R32,,,1,,,Caroline Leather,Judith Jackson,11-9 6-2,,,,,,,,,,,,,,
6-Apr-1964,Hampstead,3,Clay,R64,,,1,,,Caroline Leather,Sheila Moodie,6-3 6-4,,,,,,,,,,,,,,
13-May-1963,Brighton,3,Clay,QF,,,0,,,Pam Watermeyer,Caroline Leather,6-2 6-4,,,,,,,,,,,,,,
22-Apr-1963,Bournemouth,3,Clay,R32,,,0,,,Pam Watermeyer,Caroline Leather,6-3 2-6 6-2,,,,,,,,,,,,,,
15-Apr-1963,Chingford,3,Clay,R16,,,0,,,Rita Bentley,Caroline Leather,6-3 8-6,,,,,,,,,,,,,,
15-Apr-1963,Sutton,3,Clay,R64,,,1,,,Caroline Leather,R Evans,6-3 6-1,,,,,,,,,,,,,,
25-Jun-1962,Wimbledon,5,Grass,Q2,,,0,,,Anne Mcalpine,Caroline Leather,3-6 6-3 6-4,,,,,,,,,,,,,,
25-Jun-1962,Wimbledon,5,Grass,Q1,,,1,,,Caroline Leather,Margarita De Zuleta,6-1 7-5,,,,,,,,,,,,,,
13-Jun-1962,Nottingham,3,Grass,QF,,,0,,,Anne Smith,Caroline Leather,6-4 4-6 6-4,,,,,,,,,,,,,,
4-Jun-1962,Cheltenham,3,Grass,R16,,,0,,,Sandra Reynolds,Caroline Leather,6-1 6-1,,,,,,,,,,,,,,
27-May-1962,Surbiton,3,Grass,R32,,,0,,,Carole Graebner,Caroline Leather,6-2 6-3,,,,,,,,,,,,,,
21-May-1962,St. Annes-On-Sea,3,Grass,SF,,,0,,,Margaret Odonnell,Caroline Leather,6-4 2-6 7-5,,,,,,,,,,,,,,
7-May-1962,Guildford,3,Clay,R16,,,0,,,Patsy Belton,Caroline Leather,8-6 2-6 6-4,,,,,,,,,,,,,,
7-May-1962,Guildford,3,Clay,R32,,,1,,,Caroline Leather,Heather Allen,6-3 6-2,,,,,,,,,,,,,,
7-May-1962,Guildford,3,Clay,R64,,,1,,,Caroline Leather,Maureen Mccalman,6-3 7-5,,,,,,,,,,,,,,
30-Apr-1962,Hurlingham,3,Clay,R32,,,0,,,Margaret Lee,Caroline Leather,4-6 6-2 6-4,,,,,,,,,,,,,,
30-Apr-1962,Hurlingham,3,Clay,R64,,,1,,,Caroline Leather,Virginia Wade,6-2 6-2,,,,,,,,,,,,,,
23-Apr-1962,Bournemouth,3,Clay,R32,,,0,,,Deidre Catt,Caroline Leather,6-1 6-1,,,,,,,,,,,,,,
16-Apr-1962,Chingford,3,Clay,QF,,,0,,,Elizabeth Starkie,Caroline Leather,6-1 6-1,,,,,,,,,,,,,,
16-Apr-1962,Chingford,3,Clay,R16,,,1,,,Caroline Leather,Mrs P Bradford,6-0 6-2,,,,,,,,,,,,,,
16-Apr-1962,Chingford,3,Clay,R32,,,1,,,Caroline Leather,M Cox,6-2 6-2,,,,,,,,,,,,,,
9-Apr-1962,Hampstead,3,Clay,R32,,,0,,,Sue Worsfield,Caroline Leather,1-6 6-3 6-3,,,,,,,,,,,,,,
9-Apr-1962,Hampstead,3,Clay,R64,,,1,,,Caroline Leather,Cathie Lyon,6-1 6-3,,,,,,,,,,,,,,
2-Apr-1962,Roehampton,3,Clay,R16,,,0,,,Angela Mortimer,Caroline Leather,6-2 6-0,,,,,,,,,,,,,,
2-Apr-1962,Roehampton,3,Clay,R32,,,1,,,Caroline Leather,Vivian Rees,6-0 6-4,,,,,,,,,,,,,,
1-May-1961,Hurlingham,3,Clay,R32,,,0,,,Jean Wilson,Caroline Leather,6-3 6-2,,,,,,,,,,,,,,
17-Apr-1961,Chingford,3,Clay,R16,,,0,,,Jill Rook,Caroline Leather,6-3 6-2,,,,,,,,,,,,,,
17-Apr-1961,Chingford,3,Clay,R32,,,1,,,Caroline Leather,D Triggs,6-0 7-5,,,,,,,,,,,,,,
13-Feb-1961,London,3,Carpet,R32,,,0,,,Sally Holdsworth,Caroline Leather,6-1 6-4,,,,,,,,,,,,,,
27-Jun-1960,Wimbledon Plate,3,Grass,R64,,,0,,,Jean Knight,Caroline Leather,6-3 5-7 7-5,,,,,,,,,,,,,,
20-Jun-1960,Wimbledon,5,Grass,R128,,,0,,,Heather Nicholls,Caroline Leather,6-0 6-1,,,,,,,,,,,,,,
23-May-1960,Surbiton,3,Grass,R16,,,0,,,Lynne Nette,Caroline Leather,6-2 6-4,,,,,,,,,,,,,,
23-May-1960,Surbiton,3,Grass,R32,,,1,,,Caroline Leather,Caroline Yates Bell,6-2 5-7 9-7,,,,,,,,,,,,,,
16-May-1960,St. Annes-On-Sea,3,Grass,QF,,,0,,,Rita Bentley,Caroline Leather,6-3 7-5,,,,,,,,,,,,,,
16-May-1960,St. Annes-On-Sea,3,Grass,R16,,,1,,,Caroline Leather,Sally Holdsworth,7-5 6-0,,,,,,,,,,,,,,
16-May-1960,St. Annes-On-Sea,3,Grass,R32,,,1,,,Caroline Leather,Mrs M Wareing,6-0 6-1,,,,,,,,,,,,,,
25-Apr-1960,Bournemouth,3,Clay,R16,,,0,,,Shirley Bloomer,Caroline Leather,6-2 6-2,,,,,,,,,,,,,,
25-Apr-1960,Bournemouth,3,Clay,R32,,,1,,,Caroline Leather,Viola White,8-6 6-1,,,,,,,,,,,,,,
18-Apr-1960,Chingford,3,Clay,QF,,,0,,,Angela Mortimer,Caroline Leather,6-3 6-2,,,,,,,,,,,,,,
18-Apr-1960,Chingford,3,Clay,R16,,,1,,,Caroline Leather,Jill Rook,6-4 6-4,,,,,,,,,,,,,,
18-Apr-1960,Chingford,3,Clay,R32,,,1,,,Caroline Leather,Mrs J Cousins,4-6 6-3 7-5,,,,,,,,,,,,,,
11-Apr-1960,Monte Carlo,3,Clay,R64,,,0,,,Anne Marie Seghers,Caroline Leather,6-2 6-1,,,,,,,,,,,,,,
28-Mar-1960,Menton,3,Clay,R16,,,0,,,Carmen Coronado,Caroline Leather,6-1 8-6,,,,,,,,,,,,,,
21-Mar-1960,Cannes Gallia,3,Clay,R16,,,0,,,Francesca Gordigiani,Caroline Leather,7-9 6-1 6-0,,,,,,,,,,,,,,
21-Mar-1960,Cannes Gallia,3,Clay,R32,,,1,,,Caroline Leather,Claudine Casa,7-5 6-4,,,,,,,,,,,,,,
15-Feb-1960,Bournemouth Indoors,3,Carpet,R32,,,0,,,Deidre Catt,Caroline Leather,W/O,,,,,,,,,,,,,,
13-Jul-1959,Newport England,3,,F,,,0,,,Elizabeth Starkie,Caroline Leather,7-5 3-6 6-4,,,,,,,,,,,,,,
25-May-1959,Surbiton,3,Grass,R16,,,0,,,Gwyn Thomas,Caroline Leather,6-2 6-3,,,,,,,,,,,,,,
25-May-1959,Surbiton,3,Grass,R64,,,1,,,Caroline Leather,J M Stapylton,6-0 6-3,,,,,,,,,,,,,,
18-May-1959,St. Annes-on-Sea,3,Grass,SF,,,0,,,Ilse Buding,Caroline Leather,6-4 2-6 6-3,,,,,,,,,,,,,,
18-May-1959,St. Annes-on-Sea,3,Grass,QF,,,1,,,Caroline Leather,Ulla Rise,6-3 6-8 8-6,,,,,,,,,,,,,,
4-May-1959,Guildford,3,Clay,R16,,,0,,,Pat Wheeler,Caroline Leather,6-1 6-2,,,,,,,,,,,,,,
4-May-1959,Guildford,3,Clay,R32,,,1,,,Caroline Leather,D R Nurton,6-0 6-0,,,,,,,,,,,,,,
27-Apr-1959,Hurlingham,3,Clay,R32,,,0,,,Joyce Fulton,Caroline Leather,6-3 12-10,,,,,,,,,,,,,,
20-Apr-1959,Bournemouth,3,Clay,R16,,,0,,,Janet Hopps,Caroline Leather,6-2 6-1,,,,,,,,,,,,,,
20-Apr-1959,Bournemouth,3,Clay,R32,,,1,,,Caroline Leather,Merrill Hammill,8-6 4-6 6-3,,,,,,,,,,,,,,
20-Apr-1959,Bournemouth,3,Clay,R64,,,1,,,Caroline Leather,Gertrude Preston,7-5 3-6 8-6,,,,,,,,,,,,,,
13-Apr-1959,Chingford,3,Clay,R16,,,0,,,Ruia Morrison,Caroline Leather,6-1 7-5,,,,,,,,,,,,,,
13-Apr-1959,Chingford,3,Clay,R32,,,1,,,Caroline Leather,Pat Evans,6-3 6-3,,,,,,,,,,,,,,
13-Apr-1959,Chingford,3,Clay,R64,,,1,,,Caroline Leather,M Bull,6-0 6-3,,,,,,,,,,,,,,
6-Apr-1959,Hampstead,3,,R16,,,0,,,Margaret Odonnell,Caroline Leather,6-0 7-5,,,,,,,,,,,,,,
6-Apr-1959,Hampstead,3,,R32,,,1,,,Caroline Leather,Jean Wilson,6-2 6-2,,,,,,,,,,,,,,
6-Apr-1959,Hampstead,3,,R64,,,1,,,Caroline Leather,Susan Wolstenholme,4-6 6-2 6-3,,,,,,,,,,,,,,
9-Mar-1959,London,3,Carpet,SF,,,0,,,Patricia Ward Hales,Caroline Leather,6-2 6-0,,,,,,,,,,,,,,
9-Mar-1959,London,3,Carpet,QF,,,1,,,Caroline Leather,Lorna Cornell,6-4 6-4,,,,,,,,,,,,,,
9-Mar-1959,London,3,Carpet,R16,,,1,,,Caroline Leather,Susan Wolstenholme,6-3 6-3,,,,,,,,,,,,,,
9-Mar-1959,London,3,Carpet,R32,,,1,,,Caroline Leather,Ruth Ellis,6-2 6-1,,,,,,,,,,,,,,
3-Nov-1958,Torquay,3,Carpet,R16,,,0,,,Jill Rook,Caroline Leather,7-5 6-4,,,,,,,,,,,,,,
