Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
28-Jun-1993,ITF Ronneby,3,Clay,R32,,,0,8,,Marie Arkbrant,Catarina Bernstein,6-3 2-6 7-6(5),,,,,,,,,,,,,,
14-Sep-1992,ITF Sofia,3,Clay,R32,372,182,0,,1,Lubomira Bacheva,Catarina Bernstein,6-2 6-0,,,,,,,,,,,,,,
7-Sep-1992,ITF Varna,3,Clay,QF,369,427,0,2,7,Elena Likhovtseva,Catarina Bernstein,7-5 6-1,,,,,,,,,,,,,,
7-Sep-1992,ITF Varna,3,Clay,R16,369,,1,2,,Catarina Bernstein,Ingrid Kurta,6-0 6-1,,,,,,,,,,,,,,
7-Sep-1992,ITF Varna,3,Clay,R32,369,615,1,2,,Catarina Bernstein,Lisa Annebro,6-0 6-4,,,,,,,,,,,,,,
31-Aug-1992,ITF Bourgas,3,Clay,R32,369,,0,1,,Evelina Petrova,Catarina Bernstein,6-1 0-6 6-3,,,,,,,,,,,,,,
10-Aug-1992,ITF Sopot,3,Clay,R32,376,228,0,,6,Zdenka Malkova,Catarina Bernstein,6-3 6-3,,,,,,,,,,,,,,
27-Jul-1992,ITF Rheda Weiderbruck,3,Clay,Q1,354,478,0,2,,Anke Marchl,Catarina Bernstein,0-6 6-3 6-2,,,,,,,,,,,,,,
20-Jul-1992,ITF Darmstadt,3,Clay,R32,323,236,1,,6,Catarina Bernstein,Agnes Zugasti,7-5 6-3,,,,,,,,,,,,,,
29-Jun-1992,ITF Ronneby,3,Clay,QF,297,299,0,8,,Asa Svensson,Catarina Bernstein,6-4 4-6 6-3,,,,,,,,,,,,,,
29-Jun-1992,ITF Ronneby,3,Clay,R16,297,424,1,8,,Catarina Bernstein,Petra Raclavska,6-4 6-3,,,,,,,,,,,,,,
29-Jun-1992,ITF Ronneby,3,Clay,R32,297,681,1,8,,Catarina Bernstein,Michaela Seibold,6-3 6-3,,,,,,,,,,,,,,
13-Apr-1992,ITF Salerno 1,3,Hard,Q2,297,207,0,,4,Jana Pospisilova,Catarina Bernstein,7-6 6-3,,,,,,,,,,,,,,
13-Apr-1992,ITF Salerno 1,3,Hard,Q1,297,307,1,,,Catarina Bernstein,Janine Humphreys,7-5 2-6 6-1,,,,,,,,,,,,,,
6-Apr-1992,ITF Caserta,3,Clay,R32,299,152,0,,4,Radka Bobkova,Catarina Bernstein,6-2 6-1,,,,,,,,,,,,,,
6-Apr-1992,ITF Caserta,3,Clay,Q3,299,295,0,7,4,Esmir Hoogendoorn,Catarina Bernstein,0-6 6-4 6-3,,,,,,,,,,,,,,
6-Apr-1992,ITF Caserta,3,Clay,Q2,299,355,1,7,,Catarina Bernstein,Sandra Van Der Aa,2-6 6-1 6-1,,,,,,,,,,,,,,
