Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
20-May-2024,W35 Santo Domingo ,3,Hard,QF,456,513,0,4,7,Hiroko Kuwata,Catherine Harrison,3-6 7-5 10-3,,,,,,,,,,,,,,
20-May-2024,W35 Santo Domingo ,3,Hard,R16,456,803,1,4,15,Catherine Harrison,Paris Corley,6-2 6-1,,,,,,,,,,,,,,
20-May-2024,W35 Santo Domingo ,3,Hard,R32,456,1255,1,4,,Catherine Harrison,Solymar Colling,6-1 6-0,,,,,,,,,,,,,,
29-Apr-2024,W50 Lopota,3,Hard,QF,490,125,0,SR,1,Daria Snigur,Catherine Harrison,6-1 6-1,,,,,,,,,,,,,,
29-Apr-2024,W50 Lopota,3,Hard,R16,490,1013,1,SR,Q,Catherine Harrison,Rada Zolotareva,6-0 6-0,,,,,,,,,,,,,,
29-Apr-2024,W50 Lopota,3,Hard,R32,490,735,1,SR,SR,Catherine Harrison,Vitalia Diatchenko,6-2 6-1,,,,,,,,,,,,,,
22-Apr-2024,W50 Lopota,3,Hard,R16,490,345,0,SR,JE,Tereza Valentova,Catherine Harrison,3-6 6-4 6-2,,,,,,,,,,,,,,
22-Apr-2024,W50 Lopota,3,Hard,R32,490,258,1,SR,4,Catherine Harrison,Ankita Raina,6-2 6-0,,,,,,,,,,,,,,
25-Mar-2024,W50 Kofu,3,Hard,F,634,413,1,Q,Q,Catherine Harrison,Ya Hsuan Lee,6-7(8) 6-1 6-1,,,,,,,,,,,,,,
25-Mar-2024,W50 Kofu,3,Hard,SF,634,278,1,Q,,Catherine Harrison,Lanlana Tararudee,6-1 7-6(4),,,,,,,,,,,,,,
25-Mar-2024,W50 Kofu,3,Hard,QF,634,269,1,Q,,Catherine Harrison,Haruka Kaji,4-6 6-4 7-5,,,,,,,,,,,,,,
25-Mar-2024,W50 Kofu,3,Hard,R16,634,610,1,Q,JE,Catherine Harrison,Lea Ma,7-5 6-4,,,,,,,,,,,,,,
25-Mar-2024,W50 Kofu,3,Hard,R32,634,231,1,Q,7,Catherine Harrison,Sijia Wei,7-6(7) 6-4,,,,,,,,,,,,,,
25-Mar-2024,W50 Kofu,3,Hard,Q2,634,447,1,SR,13,Catherine Harrison,Haruna Arakawa,6-1 RET,,,,,,,,,,,,,,
25-Mar-2024,W50 Kofu,3,Hard,Q1,634,403,1,SR,8,Catherine Harrison,Petra Hule,6-3 6-4,,,,,,,,,,,,,,
4-Mar-2024,W15 Brossard,3,Hard,F,716,422,1,5,2,Catherine Harrison,Jessie Aney,4-6 6-1 6-3,,,,,,,,,,,,,,
4-Mar-2024,W15 Brossard,3,Hard,SF,716,1205,1,5,Q,Catherine Harrison,Anna Frey,6-2 6-2,,,,,,,,,,,,,,
4-Mar-2024,W15 Brossard,3,Hard,QF,716,231,1,5,1,Catherine Harrison,Alice Robbe,5-7 6-4 6-4,,,,,,,,,,,,,,
4-Mar-2024,W15 Brossard,3,Hard,R16,716,,1,5,WC,Catherine Harrison,Zoya Chulak,6-3 6-2,,,,,,,,,,,,,,
4-Mar-2024,W15 Brossard,3,Hard,R32,716,1074,1,5,,Catherine Harrison,Rhea Verma,6-2 6-2,,,,,,,,,,,,,,
26-Feb-2024,Austin,3,Hard,Q1,726,143,0,WC,7,Olivia Gadecki,Catherine Harrison,6-3 6-3,0.82,3.2%,4.8%,56.5%,57.1%,33.3%,40.0% (4/10),45.0%,43.6%,9.0%,34.0%,58.1%,25.0% (3/12),1:38
12-Feb-2024,W50 Roehampton,3,Hard,Q1,721,524,0,,13,Malene Helgo,Catherine Harrison,4-6 6-3 6-2,,,,,,,,,,,,,,
5-Feb-2024,W50 Edgbaston,3,Hard,R32,723,471,0,SR,,Kajsa Rinaldo Persson,Catherine Harrison,6-4 6-4,,,,,,,,,,,,,,
8-Jan-2024,W50 Nonthaburi,3,Hard,QF,804,211,0,SR,2,Antonia Ruzic,Catherine Harrison,7-5 6-2,,,,,,,,,,,,,,
8-Jan-2024,W50 Nonthaburi,3,Hard,R16,804,314,1,SR,,Catherine Harrison,Amandine Hesse,6-2 RET,,,,,,,,,,,,,,
8-Jan-2024,W50 Nonthaburi,3,Hard,R32,804,308,1,SR,,Catherine Harrison,Sohyun Park,6-4 6-1,,,,,,,,,,,,,,
1-Jan-2024,W50 Nonthaburi,3,Hard,QF,900,548,0,SR,Q,Ena Shibahara,Catherine Harrison,6-3 6-3,,,,,,,,,,,,,,
1-Jan-2024,W50 Nonthaburi,3,Hard,R16,900,448,1,SR,Q,Catherine Harrison,Peangtarn Plipuech,6-2 2-6 6-4,,,,,,,,,,,,,,
1-Jan-2024,W50 Nonthaburi,3,Hard,R32,900,240,1,SR,3,Catherine Harrison,Lanlana Tararudee,6-3 6-3,,,,,,,,,,,,,,
13-Nov-2023,W25 Austin TX,3,Hard,QF,1007,369,0,WC,,Madison Sieg,Catherine Harrison,7-5 6-3,,,,,,,,,,,,,,
13-Nov-2023,W25 Austin TX,3,Hard,R16,1007,,1,WC,Q,Catherine Harrison,Mao Mushika,6-3 6-4,,,,,,,,,,,,,,
13-Nov-2023,W25 Austin TX,3,Hard,R32,1007,807,1,WC,Q,Catherine Harrison,Kimmi Hance,6-1 6-3,,,,,,,,,,,,,,
30-Oct-2023,Midland 125,3,Hard,Q1,981,217,0,,2,Jana Kolodynska,Catherine Harrison,6-2 3-6 6-4,0.97,2.1%,6.4%,67.0%,63.5%,32.3%,41.7% (5/12),49.4%,45.2%,4.8%,36.0%,58.8%,50.0% (5/10),2:07
23-Oct-2023,W80 Tyler TX,3,Hard,Q1,981,1045,0,9,,Mercedes Aristegui,Catherine Harrison,6-1 1-0 RET,,,,,,,,,,,,,,
16-Oct-2023,W80 Macon GA,3,Hard,R32,776,244,0,WC,,Mccartney Kessler,Catherine Harrison,6-1 7-5,,,,,,,,,,,,,,
9-Oct-2023,W25 Florence SC,3,Hard,R32,772,560,0,Q,,Fiona Crawley,Catherine Harrison,7-6(1) 6-2,,,,,,,,,,,,,,
9-Oct-2023,W25 Florence SC,3,Hard,Q2,772,679,1,9,3,Catherine Harrison,Ava Markham,6-4 7-5,,,,,,,,,,,,,,
9-Oct-2023,W25 Florence SC,3,Hard,Q1,772,961,1,9,,Catherine Harrison,Ariana Arseneault,6-2 6-2,,,,,,,,,,,,,,
25-Sep-2023,W60 Templeton CA,3,Hard,R16,885,171,0,Q,4,Iryna Shymanovich,Catherine Harrison,6-0 7-6(2),,,,,,,,,,,,,,
25-Sep-2023,W60 Templeton CA,3,Hard,R32,885,396,1,Q,LL,Catherine Harrison,Jessie Aney,6-0 6-0,,,,,,,,,,,,,,
25-Sep-2023,W60 Templeton CA,3,Hard,Q2,885,383,1,,8,Catherine Harrison,Maria Fernanda Herazo Gonzalez,6-0 7-5,,,,,,,,,,,,,,
25-Sep-2023,W60 Templeton CA,3,Hard,Q1,885,520,1,,14,Catherine Harrison,Alana Smith,6-3 2-6 6-2,,,,,,,,,,,,,,
18-Sep-2023,W60 Berkeley CA,3,Hard,Q1,885,591,0,,5,Yasmine Kabbaj,Catherine Harrison,6-2 4-6 7-6(1),,,,,,,,,,,,,,
4-Sep-2023,W100 Tokyo,3,Hard,Q1,611,223,0,,2,Xiaodi You,Catherine Harrison,6-3 7-6(4),,,,,,,,,,,,,,
7-Nov-2022,W60 Calgary,3,Hard,R32,299,420,0,8,,Urszula Radwanska,Catherine Harrison,6-2 6-1,,,,,,,,,,,,,,
31-Oct-2022,Midland 125,3,Hard,Q1,282,186,0,,2,Diana Shnaider,Catherine Harrison,6-4 6-2,0.56,5.6%,7.4%,63.0%,67.6%,35.0%,40.0% (2/5),40.6%,25.0%,5.8%,21.1%,35.7%,0.0% (0/1),1:08
17-Oct-2022,W60 Saguenay,3,Hard,QF,259,251,0,4,8,Francesca Di Lorenzo,Catherine Harrison,2-6 7-6(5) 7-6(5),,,,,,,,,,,,,,
17-Oct-2022,W60 Saguenay,3,Hard,R16,259,,1,4,Q,Catherine Harrison,Johanne Christine Svendsen,6-2 6-3,,,,,,,,,,,,,,
17-Oct-2022,W60 Saguenay,3,Hard,R32,259,1044,1,4,WC,Catherine Harrison,Ana Grubor,7-5 6-3,,,,,,,,,,,,,,
10-Oct-2022,W25 Fredericton,3,Hard,R16,217,465,0,2,,Stacey Fung,Catherine Harrison,6-4 3-6 6-3,,,,,,,,,,,,,,
10-Oct-2022,W25 Fredericton,3,Hard,R32,217,,1,2,Q,Catherine Harrison,Nifemi Akinbiyi,6-4 6-2,,,,,,,,,,,,,,
3-Oct-2022,W80 Rancho Santa Fe CA,3,Hard,R32,214,297,0,,SE,Robin Montgomery,Catherine Harrison,6-4 7-6(3),,,,,,,,,,,,,,
26-Sep-2022,W25 Austin TX,3,Hard,R32,215,515,0,3,,Madison Sieg,Catherine Harrison,1-6 6-4 7-6(2),,,,,,,,,,,,,,
29-Aug-2022,US Open,5,Hard,R128,243,6,0,,6,Aryna Sabalenka,Catherine Harrison,6-1 6-3,0.76,0.0%,7.4%,51.9%,50.0%,34.6%,53.8% (7/13),43.1%,43.6%,5.5%,37.1%,55.0%,50.0% (2/4),1:28
29-Aug-2022,US Open,5,Hard,Q3,243,171,1,,,Catherine Harrison,Eva Lys,6-4 6-4,1.32,1.6%,7.8%,68.8%,68.2%,45.0%,66.7% (6/9),56.6%,51.7%,0.0%,46.3%,64.7%,100.0% (5/5),1:29
29-Aug-2022,US Open,5,Hard,Q2,243,228,1,,,Catherine Harrison,Lizette Cabrera,6-3 7-6(2),1.16,0.0%,6.3%,58.7%,59.5%,46.2%,54.5% (6/11),53.7%,53.6%,1.2%,46.4%,67.9%,41.2% (7/17),1:42
29-Aug-2022,US Open,5,Hard,Q1,243,214,1,,,Catherine Harrison,Anastasia Kulikova,6-4 7-6(6),1.15,4.1%,6.8%,60.3%,63.6%,55.2%,50.0% (3/6),52.6%,45.7%,7.4%,36.4%,56.8%,44.4% (4/9),1:42
15-Aug-2022,Vancouver 125,3,Hard,R16,251,87,0,Q,5,Rebecca Peterson,Catherine Harrison,W/O,,,,,,,,,,,,,,
15-Aug-2022,Vancouver 125,3,Hard,R32,251,187,1,Q,,Catherine Harrison,Despina Papamichail,6-1 6-3,1.37,1.7%,10.0%,61.7%,64.9%,47.8%,71.4% (5/7),57.7%,57.1%,1.6%,48.6%,67.9%,46.2% (6/13),1:25
15-Aug-2022,Vancouver 125,3,Hard,Q2,251,450,1,,,Catherine Harrison,Maegan Manasse,6-7(1) 7-6(5) 6-2,1.16,1.7%,9.6%,60.9%,62.9%,35.6%,63.6% (14/22),53.7%,55.3%,4.4%,47.5%,64.2%,58.8% (10/17),2:47
15-Aug-2022,Vancouver 125,3,Hard,Q1,251,200,1,,4,Catherine Harrison,Nao Hibino,5-7 6-4 3-1 RET,1.12,1.7%,11.7%,66.7%,65.0%,35.0%,73.7% (14/19),53.2%,50.6%,2.5%,43.1%,63.3%,66.7% (6/9),2:24
8-Aug-2022,Toronto,3,Hard,Q1,255,273,0,,ALT,Storm Hunter,Catherine Harrison,6-0 7-5,0.70,0.0%,9.5%,50.8%,53.1%,38.7%,58.3% (7/12),42.1%,37.9%,3.4%,31.6%,50.0%,50.0% (1/2),1:24
