Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
6-Apr-2015,Charleston,3,Clay,R32,104,11,0,,3,Andrea Petkovic,Chanelle Scheepers,1-6 6-1 6-2,0.97,1.2%,9.8%,67.1%,56.4%,48.1%,64.7% (11/17),50.0%,45.2%,1.6%,41.7%,57.1%,66.7% (4/6),
6-Apr-2015,Charleston,3,Clay,R64,104,79,1,,,Chanelle Scheepers,Marina Erakovic,6-2 2-6 6-4,1.09,0.0%,10.0%,75.6%,61.8%,63.6%,69.2% (9/13),52.4%,41.0%,1.3%,50.0%,29.4%,45.5% (5/11),
23-Mar-2015,Miami Q,3,Hard,Q2,93,96,0,11,13,Evgeniya Rodina,Chanelle Scheepers,0-6 6-4 6-2,,,,,,,,,,,,,,
23-Mar-2015,Miami Q,3,Hard,Q1,93,122,1,11,,Chanelle Scheepers,Kimiko Date Krumm,6-4 6-0,,,,,,,,,,,,,,
9-Mar-2015,Indian Wells,3,Hard,R128,94,42,0,,,Sloane Stephens,Chanelle Scheepers,7-5 7-5,0.94,0.0%,12.5%,67.2%,62.8%,47.6%,45.5% (5/11),47.9%,39.7%,2.6%,32.1%,56.0%,36.4% (4/11),
16-Feb-2015,Rio Open,3,Clay,R32,82,104,0,8,,Grace Min,Chanelle Scheepers,6-2 6-1,0.70,0.0%,8.7%,54.3%,48.0%,23.8%,45.5% (5/11),41.1%,44.3%,3.3%,41.5%,50.0%,33.3% (2/6),
7-Feb-2015,Fed Cup G2 PO: RSA vs FIN,3,Hard,RR,83,,1,,,Chanelle Scheepers,Ella Leivo,6-2 6-0,,,,,,,,,,,,,,
19-Jan-2015,Australian Open,5,Hard,R128,83,74,0,,,Anna Karolina Schmiedlova,Chanelle Scheepers,6-4 4-6 6-2,0.91,1.1%,6.4%,63.8%,53.3%,50.0%,45.5% (5/11),47.7%,43.6%,3.0%,31.1%,62.5%,40.0% (4/10),
12-Jan-2015,Sydney Q,3,Hard,Q1,81,67,0,,1,Tsvetana Pironkova,Chanelle Scheepers,7-6(5) 4-6 6-2,,,,,,,,,,,,,,
5-Jan-2015,Auckland,3,Hard,R32,77,26,0,,4,Barbora Zahlavova Strycova,Chanelle Scheepers,6-1 3-6 6-2,0.81,0.0%,3.4%,68.2%,61.7%,46.4%,73.3% (11/15),46.0%,34.9%,4.7%,29.2%,42.1%,14.3% (1/7),
15-Sep-2014,Seoul,3,Hard,R16,83,5,0,,1,Agnieszka Radwanska,Chanelle Scheepers,6-0 6-0,0.45,0.0%,12.1%,66.7%,36.4%,0.0%,33.3% (3/9),30.0%,34.0%,2.1%,26.7%,47.1%,0.0% (0/2),
15-Sep-2014,Seoul,3,Hard,R32,83,53,1,,,Chanelle Scheepers,Irina Camelia Begu,6-2 3-6 7-5,1.11,0.0%,8.8%,61.5%,67.9%,45.7%,33.3% (2/6),52.2%,45.2%,5.4%,34.8%,55.3%,42.9% (6/14),
8-Sep-2014,Hong Kong,3,Hard,R32,81,53,0,,7,Jana Cepelova,Chanelle Scheepers,6-2 6-1,0.54,1.9%,5.8%,71.2%,43.2%,40.0%,44.4% (4/9),37.2%,31.0%,4.8%,26.9%,37.5%,0.0% (0/2),
25-Aug-2014,US Open,5,Hard,R128,72,44,0,,,Christina Mchale,Chanelle Scheepers,6-2 1-6 7-6(5),1.05,0.0%,8.2%,71.4%,68.6%,46.4%,50.0% (3/6),51.0%,39.6%,3.1%,31.3%,56.3%,33.3% (3/9),
11-Aug-2014,Cincinnati,3,Hard,R64,76,14,0,Q,13,Flavia Pennetta,Chanelle Scheepers,6-3 6-7(3) 6-2,0.81,1.2%,12.0%,63.9%,58.5%,40.0%,20.0% (2/10),45.3%,39.1%,5.7%,29.4%,52.8%,50.0% (4/8),
14-Jul-2014,Bastad,3,Clay,F,91,61,0,,,Mona Barthel,Chanelle Scheepers,6-3 7-6(3),0.82,0.0%,5.1%,70.9%,58.9%,52.2%,70.0% (7/10),46.4%,35.1%,2.7%,33.3%,40.0%,33.3% (1/3),
14-Jul-2014,Bastad,3,Clay,SF,91,71,1,,,Chanelle Scheepers,Jana Cepelova,7-5 6-2,1.50,0.0%,3.5%,66.7%,68.4%,52.6%,25.0% (1/4),59.1%,55.2%,3.4%,55.6%,54.5%,75.0% (6/8),
14-Jul-2014,Bastad,3,Clay,QF,91,108,1,,,Chanelle Scheepers,Lara Arruabarrena,6-2 4-6 6-3,1.24,5.0%,3.8%,68.8%,67.3%,40.0%,33.3% (2/6),55.1%,51.3%,2.6%,42.9%,65.5%,70.0% (7/10),
14-Jul-2014,Bastad,3,Clay,R16,91,201,1,,Q,Chanelle Scheepers,Laura Siegemund,3-6 6-4 7-5,0.91,1.1%,4.4%,65.6%,50.8%,32.3%,46.7% (7/15),48.0%,50.4%,2.2%,46.0%,58.3%,47.4% (9/19),
14-Jul-2014,Bastad,3,Clay,R32,91,196,1,,,Chanelle Scheepers,Mariana Duque Marino,6-3 6-4,1.25,0.0%,4.2%,66.2%,66.0%,33.3%,63.6% (7/11),55.6%,56.4%,5.5%,38.7%,79.2%,60.0% (6/10),
7-Jul-2014,Bad Gastein,3,Clay,QF,80,14,0,,2,Sara Errani,Chanelle Scheepers,2-6 6-1 6-3,0.84,0.0%,3.8%,66.7%,46.2%,53.8%,40.0% (4/10),46.2%,43.1%,0.0%,35.8%,75.0%,50.0% (4/8),
7-Jul-2014,Bad Gastein,3,Clay,R16,80,38,1,,6,Chanelle Scheepers,Yvonne Meusburger,4-6 6-1 6-2,1.13,1.1%,9.8%,63.0%,62.1%,29.4%,70.0% (14/20),53.3%,56.3%,0.0%,54.9%,59.4%,47.6% (10/21),
7-Jul-2014,Bad Gastein,3,Clay,R32,80,196,1,,,Chanelle Scheepers,Mariana Duque Marino,6-1 6-2,1.66,2.2%,6.7%,66.7%,63.3%,60.0%,66.7% (2/3),62.5%,62.7%,0.0%,55.2%,72.7%,85.7% (6/7),
23-Jun-2014,Wimbledon,5,Grass,R64,94,1,0,,1,Serena Williams,Chanelle Scheepers,6-1 6-1,0.41,0.0%,2.5%,72.5%,41.4%,36.4%,28.6% (2/7),32.5%,24.3%,21.6%,17.4%,35.7%,- (0/0),
23-Jun-2014,Wimbledon,5,Grass,R128,94,48,1,,,Chanelle Scheepers,Christina Mchale,6-3 6-3,1.33,0.0%,3.7%,70.4%,65.8%,56.3%,60.0% (3/5),56.0%,49.1%,7.3%,42.4%,59.1%,55.6% (5/9),
2-Jun-2014,Marseille 100K,3,Clay,R32,96,286,0,3,WC,Irina Ramialison,Chanelle Scheepers,3-6 6-2 6-2,,,,,,,,,,,,,,
26-May-2014,French Open,3,Clay,R128,96,85,0,,,Silvia Soler Espinosa,Chanelle Scheepers,6-2 6-3,0.79,1.3%,6.7%,66.7%,50.0%,36.0%,62.5% (10/16),44.4%,43.3%,6.7%,22.9%,72.0%,33.3% (2/6),
12-May-2014,Rome Italian Open,3,Clay,R64,91,11,0,Q,10,Sara Errani,Chanelle Scheepers,7-5 6-3,0.84,1.6%,3.2%,72.6%,44.4%,70.6%,44.4% (4/9),45.5%,40.7%,1.2%,38.7%,47.4%,25.0% (3/12),
21-Apr-2014,Marrakech,3,Clay,R32,72,107,0,,,Estrella Cabeza Candela,Chanelle Scheepers,6-3 7-6(2),,,,,,,,,,,,,,
7-Apr-2014,Bogota,3,Clay,SF,79,9,0,,1,Jelena Jankovic,Chanelle Scheepers,6-1 7-5,0.65,2.7%,8.1%,58.1%,60.5%,25.8%,60.0% (9/15),41.4%,35.2%,1.9%,27.3%,47.6%,50.0% (2/4),
7-Apr-2014,Bogota,3,Clay,QF,79,77,1,,8,Chanelle Scheepers,Lourdes Dominguez Lino,6-2 6-1,,,,,,,,,,,,,,
7-Apr-2014,Bogota,3,Clay,R16,79,134,1,,,Chanelle Scheepers,Alexandra Panova,6-3 6-2,1.42,0.0%,3.8%,73.1%,55.3%,57.1%,25.0% (1/4),59.5%,62.7%,0.0%,57.9%,71.4%,46.7% (7/15),
7-Apr-2014,Bogota,3,Clay,R32,79,50,1,,3,Chanelle Scheepers,Karin Knapp,6-3 7-6(4),1.14,0.0%,6.8%,64.9%,60.4%,34.6%,58.3% (7/12),53.7%,55.6%,2.2%,47.1%,66.7%,46.7% (7/15),
31-Mar-2014,Charleston,3,Clay,R32,77,28,0,,11,Venus Williams,Chanelle Scheepers,7-5 7-5,0.94,1.3%,5.0%,67.5%,63.0%,34.6%,62.5% (10/16),48.7%,43.4%,2.6%,34.9%,54.5%,57.1% (4/7),
31-Mar-2014,Charleston,3,Clay,R64,77,48,1,,,Chanelle Scheepers,Alison Riske,4-6 6-2 6-3,1.06,0.0%,11.3%,62.3%,59.1%,52.5%,66.7% (6/9),51.4%,46.1%,2.0%,40.0%,68.2%,41.7% (5/12),
17-Mar-2014,Miami,3,Hard,R64,78,17,0,,15,Carla Suarez Navarro,Chanelle Scheepers,6-4 6-1,0.77,0.0%,8.5%,59.2%,54.8%,34.5%,53.8% (7/13),44.1%,41.1%,0.0%,41.5%,40.0%,40.0% (2/5),
17-Mar-2014,Miami,3,Hard,R128,78,90,1,,,Chanelle Scheepers,Silvia Soler Espinosa,6-3 6-0,1.60,1.9%,5.6%,59.3%,59.4%,50.0%,57.1% (4/7),62.6%,71.1%,2.2%,64.0%,80.0%,63.6% (7/11),
3-Mar-2014,Indian Wells,3,Hard,R128,74,64,0,,Q,Yaroslava Shvedova,Chanelle Scheepers,4-6 6-4 6-3,0.96,0.0%,10.3%,60.7%,55.4%,35.7%,59.1% (13/22),49.1%,50.4%,1.7%,45.7%,61.1%,36.8% (7/19),
24-Feb-2014,Florianopolis,3,Hard,R16,77,36,0,,,Garbine Muguruza,Chanelle Scheepers,6-2 6-1,0.54,2.8%,0.0%,66.7%,33.3%,41.7%,16.7% (1/6),35.3%,34.7%,6.1%,32.4%,40.0%,20.0% (1/5),
24-Feb-2014,Florianopolis,3,Hard,R32,77,90,1,,,Chanelle Scheepers,Julia Glushko,4-6 6-0 6-3,1.39,3.0%,6.1%,54.5%,63.9%,50.0%,37.5% (3/8),58.3%,58.9%,0.0%,51.2%,70.0%,81.8% (9/11),
17-Feb-2014,Rio Open,3,Clay,R16,78,70,0,,,Lourdes Dominguez Lino,Chanelle Scheepers,2-6 7-6(7) 6-1,,,,,,,,,,,,,,
17-Feb-2014,Rio Open,3,Clay,R32,78,92,1,,,Chanelle Scheepers,Timea Babos,2-6 6-3 6-2,1.12,0.0%,7.9%,61.8%,56.4%,44.1%,57.1% (8/14),52.8%,54.0%,2.3%,44.2%,68.6%,44.4% (8/18),
