Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
24-May-1971,Roland Garros,5,Clay,Q2,,,0,,,Lany Kaligis,Chantal Langanay,W/O,,,,,,,,,,,,,,
24-May-1971,Roland Garros,5,Clay,Q1,,,1,,,Chantal Langanay,Maylis Burel,W/O,,,,,,,,,,,,,,
25-May-1970,Roland Garros,5,Clay,Q2,,,0,,,Edith Winkens,Chantal Langanay,6-2 6-3,,,,,,,,,,,,,,
26-May-1969,Roland Garros,5,Clay,Q1,,,0,,,Ana Maria Arias,Chantal Langanay,6-2 4-6 6-3,,,,,,,,,,,,,,
30-Sep-1968,French Nationals,3,,QF,,,0,,,Monique Salfati,Chantal Langanay,6-0 6-2,,,,,,,,,,,,,,
30-Sep-1968,French Nationals,3,,R16,,,1,,,Chantal Langanay,Evelyne Terras,7-5 6-3,,,,,,,,,,,,,,
26-Sep-1968,Paris Coupe Poree,3,Clay,QF,,,0,,,Rosie Reyes,Chantal Langanay,6-4 8-10 7-5,,,,,,,,,,,,,,
22-Jul-1968,Deauville,3,Clay,SF,,,0,,,Gail Sherriff,Chantal Langanay,6-2 6-1,,,,,,,,,,,,,,
27-May-1968,Roland Garros,5,Clay,R64,,,0,,,Kerry Harris,Chantal Langanay,W/O,,,,,,,,,,,,,,
27-May-1968,Roland Garros,5,Clay,R128,,,1,,,Chantal Langanay,Judith Dibar,W/O,,,,,,,,,,,,,,
22-Apr-1968,Paris International,3,Clay,R32,,,0,,,Christiane Spinoza,Chantal Langanay,5-7 6-1 7-5,,,,,,,,,,,,,,
1-Apr-1968,Nice,3,Clay,R32,,,0,,,Robin Lloyd,Chantal Langanay,6-3 6-3,,,,,,,,,,,,,,
11-Sep-1967,San Sebastian,3,Clay,QF,,,0,,,Susan Alexander,Chantal Langanay,7-5 8-6,,,,,,,,,,,,,,
12-Jun-1967,Beckenham,3,Grass,R64,,,0,,,Robin Lloyd,Chantal Langanay,6-1 6-4,,,,,,,,,,,,,,
22-May-1967,Roland Garros,5,Clay,R64,,,0,,5,Rosie Casals,Chantal Langanay,6-3 6-4,,,,,,,,,,,,,,
22-May-1967,Roland Garros,5,Clay,R128,,,1,,,Chantal Langanay,Eva Andersson,7-5 6-2,,,,,,,,,,,,,,
24-Apr-1967,Paris International,3,Clay,QF,,,0,,,Esme Emmanuel,Chantal Langanay,6-4 6-0,,,,,,,,,,,,,,
24-Apr-1967,Paris International,3,Clay,R16,,,1,,,Chantal Langanay,Janine Lieffrig,3-6 8-6 6-1,,,,,,,,,,,,,,
