Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
2-Sep-2013,Huy 10K,3,Clay,R32,674,,0,4,Q,Brandy Mina,Charlene Seateun,W/O,,,,,,,,,,,,,,
22-Jul-2013,Les Contamines-Montjoie 25K,3,Hard,R32,629,193,0,,3,Carina Witthoeft,Charlene Seateun,6-4 6-4,,,,,,,,,,,,,,
20-May-2013,Casablanca 25K,3,Clay,R32,401,351,0,,,Anna Zaja,Charlene Seateun,6-4 6-3,,,,,,,,,,,,,,
18-Feb-2013,Macon 10K,3,Hard,R16,402,,0,7,Q,Gaelle Desperrier,Charlene Seateun,4-6 6-1 7-5,,,,,,,,,,,,,,
18-Feb-2013,Macon 10K,3,Hard,R32,402,653,1,7,,Charlene Seateun,Virginie Ayassamy,6-4 5-7 6-1,,,,,,,,,,,,,,
11-Feb-2013,Leimen 10K,3,Hard,R16,408,,0,4,Q,Korina Perkovic,Charlene Seateun,6-2 6-4,,,,,,,,,,,,,,
11-Feb-2013,Leimen 10K,3,Hard,R32,408,516,1,4,,Charlene Seateun,Carolin Daniels,6-3 4-6 6-3,,,,,,,,,,,,,,
4-Feb-2013,Grenoble 25K,3,Hard,R16,411,334,0,WC,Q,Giulia Gatto Monticone,Charlene Seateun,6-4 7-5,,,,,,,,,,,,,,
4-Feb-2013,Grenoble 25K,3,Hard,R32,411,,1,WC,Q,Charlene Seateun,Anais Van Cauter,7-5 6-1,,,,,,,,,,,,,,
17-Sep-2012,Shrewsbury 75K,3,Hard,R16,446,163,0,Q,8,Marta Sirotkina,Charlene Seateun,4-1 RET,,,,,,,,,,,,,,
17-Sep-2012,Shrewsbury 75K,3,Hard,R32,446,463,1,Q,Q,Charlene Seateun,Angelica Moratelli,6-3 6-0,,,,,,,,,,,,,,
23-Jul-2012,Les Contamines-Montjoie 25K,3,Hard,R16,466,340,0,WC,,Dalila Jakupovic,Charlene Seateun,6-4 6-4,,,,,,,,,,,,,,
