Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
6-Jun-2022,W15 Norges-la-Ville,3,Hard,R32,1338,809,0,,5,Manon Leonard,Clarisse Aussert,6-4 6-1,,,,,,,,,,,,,,
30-May-2022,W15 Monastir,3,Hard,R32,1342,,0,,5,Manon Leonard,Clarisse Aussert,6-4 7-5,,,,,,,,,,,,,,
14-Mar-2022,W15 Gonesse,3,Clay,R32,1359,1219,0,Q,Q,Jenifer Anger,Clarisse Aussert,6-0 7-5,,,,,,,,,,,,,,
14-Mar-2022,W15 Gonesse,3,Clay,Q3,1359,,1,12,,Clarisse Aussert,Anna Marie Weissheim,6-4 6-3,,,,,,,,,,,,,,
14-Mar-2022,W15 Gonesse,3,Clay,Q2,1359,,1,12,,Clarisse Aussert,Veronika Podrez,6-4 3-6 10-7,,,,,,,,,,,,,,
14-Mar-2022,W15 Gonesse,3,Clay,Q1,1359,,1,12,,Clarisse Aussert,Emma Jouy,6-2 6-4,,,,,,,,,,,,,,
28-Feb-2022,W25 Joue les Tours,3,Hard,Q1,1358,498,0,,2,Arlinda Rushiti,Clarisse Aussert,6-3 6-2,,,,,,,,,,,,,,
7-Feb-2022,W60 Grenoble,3,Hard,Q1,1358,,0,,2,Ekaterina Makarova,Clarisse Aussert,7-6(4) 6-4,,,,,,,,,,,,,,
24-Jan-2022,W60 Andrezieux-Boutheon,3,Hard,R32,,153,0,Q,6,Anna Blinkova,Clarisse Aussert,6-2 6-3,,,,,,,,,,,,,,
24-Jan-2022,W60 Andrezieux-Boutheon,3,Hard,Q2,,447,1,,5,Clarisse Aussert,Estelle Cascino,6-4 6-4,,,,,,,,,,,,,,
24-Jan-2022,W60 Andrezieux-Boutheon,3,Hard,Q1,,1084,1,,16,Clarisse Aussert,Amandine Monnot,7-6(1) 3-1 RET,,,,,,,,,,,,,,
13-Sep-2021,W15 Dijon,3,Clay,R32,,,0,Q,WC,Jenny Lim,Clarisse Aussert,6-0 6-3,,,,,,,,,,,,,,
13-Sep-2021,W15 Dijon,3,Clay,Q2,,1426,1,,6,Clarisse Aussert,Cosima Trinity Calinescu,6-2 3-6 10-3,,,,,,,,,,,,,,
13-Sep-2021,W15 Dijon,3,Clay,Q1,,1320,1,,9,Clarisse Aussert,Schena Benamar,4-2 RET,,,,,,,,,,,,,,
30-Aug-2021,W15 Aix-en-Provence,3,Clay,Q1,,1447,0,,12,Astrid Cirotte,Clarisse Aussert,6-3 6-2,,,,,,,,,,,,,,
19-Jul-2021,W25 Les Contamines-Montjoie,3,Hard,R32,,365,0,Q,8,Margot Yerolymos,Clarisse Aussert,6-1 6-1,,,,,,,,,,,,,,
19-Jul-2021,W25 Les Contamines-Montjoie,3,Hard,Q2,,736,1,,1,Clarisse Aussert,Sofia Sewing,6-4 6-3,,,,,,,,,,,,,,
8-Mar-2021,W15+H Amiens,3,Clay,Q1,,1142,0,,11,Eline Audenaert,Clarisse Aussert,6-4 6-4,,,,,,,,,,,,,,
