Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
27-Mar-2006,Bath 1 10K,3,Hard,R32,951,668,0,Q,,Piia Suomalainen,Claudia Kuleszka,6-4 6-3,,,,,,,,,,,,,,
6-Feb-2006,Mallorca 1 10K,3,Clay,R16,1066,430,0,Q,4,Nuria Roig Tost,Claudia Kuleszka,6-3 6-1,,,,,,,,,,,,,,
6-Feb-2006,Mallorca 1 10K,3,Clay,R32,1066,572,1,Q,,Claudia Kuleszka,Cristina Celani,4-6 6-2 6-4,,,,,,,,,,,,,,
12-Sep-2005,Torre Del Greco 10K,3,Clay,R16,918,404,0,,4,Emily Stellato,Claudia Kuleszka,7-5 7-6(0),,,,,,,,,,,,,,
12-Sep-2005,Torre Del Greco 10K,3,Clay,R32,918,694,1,,,Claudia Kuleszka,Eleonora Punzo,4-6 6-1 7-5,,,,,,,,,,,,,,
1-Aug-2005,Bad Saulgau 10K,3,Clay,R32,803,425,0,Q,3,Sarah Raab,Claudia Kuleszka,6-2 6-2,,,,,,,,,,,,,,
25-Jul-2005,Horb 10K,3,Clay,R16,756,514,0,Q,,Emilie Bacquet,Claudia Kuleszka,6-2 6-0,,,,,,,,,,,,,,
25-Jul-2005,Horb 10K,3,Clay,R32,756,,1,Q,Q,Claudia Kuleszka,Sabrina Allaut,6-3 6-1,,,,,,,,,,,,,,
11-Jul-2005,Garching 10K,3,Clay,R32,753,507,0,,8,Franziska Etzel,Claudia Kuleszka,7-5 6-4,,,,,,,,,,,,,,
27-Jun-2005,Padova 10K,3,Clay,R32,750,1065,0,,Q,Lenka Broosova,Claudia Kuleszka,6-3 6-3,,,,,,,,,,,,,,
23-May-2005,Bals 10K,3,Clay,R32,747,1142,0,,Q,Maren Kassens,Claudia Kuleszka,6-4 5-7 7-5,,,,,,,,,,,,,,
25-Apr-2005,Bournemouth 10K,3,Clay,R16,747,598,0,,6,Hannah Collin,Claudia Kuleszka,7-5 6-0,,,,,,,,,,,,,,
25-Apr-2005,Bournemouth 10K,3,Clay,R32,747,857,1,,Q,Claudia Kuleszka,Sarah Coles,6-4 4-0 RET,,,,,,,,,,,,,,
4-Apr-2005,Bath 2 10K,3,Hard,R32,735,589,0,,,Verdiana Verardi,Claudia Kuleszka,7-6(3) 3-6 6-3,,,,,,,,,,,,,,
28-Mar-2005,Bath 1 10K,3,Hard,R32,734,,0,,Q,Selma Andrade,Claudia Kuleszka,6-3 2-6 6-3,,,,,,,,,,,,,,
17-Jan-2005,Oberhaching 10K,3,Carpet,R16,739,850,0,,Q,Laura Siegemund,Claudia Kuleszka,6-4 6-2,,,,,,,,,,,,,,
17-Jan-2005,Oberhaching 10K,3,Carpet,R32,739,788,1,,,Claudia Kuleszka,Marielle Weihs,6-4 6-4,,,,,,,,,,,,,,
11-Oct-2004,Mackay Qld 25K,3,Hard,R32,757,720,0,Q,WC,Lara Giltinan,Claudia Kuleszka,7-6(5) 6-2,,,,,,,,,,,,,,
27-Sep-2004,Canberra 25K,3,Clay,R32,774,293,0,,2,Sophie Ferguson,Claudia Kuleszka,4-6 6-4 6-1,,,,,,,,,,,,,,
6-Sep-2004,Presov 10K,3,Clay,R32,729,648,0,,7,Zuzana Zalabska,Claudia Kuleszka,6-4 6-1,,,,,,,,,,,,,,
30-Aug-2004,Warsaw 3 10K,3,Clay,R16,729,624,0,,,Oksana Uzhylovska,Claudia Kuleszka,6-2 6-3,,,,,,,,,,,,,,
30-Aug-2004,Warsaw 3 10K,3,Clay,R32,729,681,1,,,Claudia Kuleszka,Martina Babakova,6-4 6-2,,,,,,,,,,,,,,
23-Aug-2004,Alphen A D Rijn 10K,3,Clay,R32,745,689,0,,Q,Janette Bejlkova,Claudia Kuleszka,6-3 6-1,,,,,,,,,,,,,,
16-Aug-2004,Enschede 10K,3,Clay,R32,740,741,0,Q,Q,Silvia Disderi,Claudia Kuleszka,6-2 6-3,,,,,,,,,,,,,,
26-Jul-2004,Bad Saulgau 10K,3,Clay,SF,814,408,0,Q,4,Greta Arn,Claudia Kuleszka,6-4 7-6(1),,,,,,,,,,,,,,
