Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
13-Nov-2017,Zawada (Near Opole) $K,3,Carpet,R32,,,1,WC,,Constanze Stepan,Nina Alibalic,,,,,,,,,,,,,,,
4-Sep-2017,Sofia $25K,3,Clay,R32,,369,0,WC,,Raluca Georgiana Serban,Constanze Stepan,6-2 6-1,,,,,,,,,,,,,,
14-Aug-2017,Las Palmas de Gran Canaria $15K,3,Clay,R32,,600,0,Q,4,Guiomar Maristany Zuleta De Reales,Constanze Stepan,6-4 6-2,,,,,,,,,,,,,,
12-Dec-2016,Cairo $10K,3,Clay,R32,,1036,0,WC,7,Nermeen Shawky,Constanze Stepan,6-2 6-2,,,,,,,,,,,,,,
5-Dec-2016,Cairo $10K,3,Clay,R32,,776,0,,7,Bojana Marinkovic,Constanze Stepan,6-1 6-1,,,,,,,,,,,,,,
31-Oct-2016,Oslo $10K,3,Hard,R32,1247,285,0,,1,Amanda Carreras,Constanze Stepan,6-0 6-0,,,,,,,,,,,,,,
12-Sep-2016,Bucha $25K,3,Clay,R32,,518,0,WC,Q,Oleksandra Korashvili,Constanze Stepan,6-0 6-1,,,,,,,,,,,,,,
5-Sep-2016,Sofia $25K,3,Clay,R32,,706,0,WC,WC,Petia Arshinkova,Constanze Stepan,6-0 6-4,,,,,,,,,,,,,,
13-Jun-2016,Antalya $10K,3,Hard,R32,,927,0,Q,,Masa Jovanovic,Constanze Stepan,6-1 6-1,,,,,,,,,,,,,,
2-May-2016,Antalya $10K,3,Hard,R32,,462,0,,2,Julia Stamatova,Constanze Stepan,6-1 6-1,,,,,,,,,,,,,,
8-Feb-2016,Antalya $10K,3,Clay,R32,,225,0,Q,1,Anne Schaefer,Constanze Stepan,6-1 6-0,,,,,,,,,,,,,,
16-Nov-2015,Zawada Near Opole $25K,3,Carpet,R32,,471,0,WC,Q,Ekaterina Yashina,Constanze Stepan,5-0 RET,,,,,,,,,,,,,,
26-Oct-2015,Ismaning $10K,3,Carpet,R32,,469,0,WC,2,Adrijana Lekaj,Constanze Stepan,6-0 6-2,,,,,,,,,,,,,,
5-Oct-2015,Sharm El Sheikh $10K,3,Hard,R32,,417,0,WC,1,Anna Morgina,Constanze Stepan,6-4 6-1,,,,,,,,,,,,,,
17-Aug-2015,Sharm El Sheikh $10K,3,Hard,R16,,407,0,WC,1,Anastasia Grymalska,Constanze Stepan,7-5 6-0,,,,,,,,,,,,,,
17-Aug-2015,Sharm El Sheikh $10K,3,Hard,R32,,941,1,WC,,Constanze Stepan,Martina Pradova,6-1 6-4,,,,,,,,,,,,,,
22-Jun-2015,Sharm El Sheikh $10K,3,Hard,R32,,1067,0,Q,,Jasmin Ladurner,Constanze Stepan,5-7 6-2 6-0,,,,,,,,,,,,,,
15-Jun-2015,Sharm El Sheikh $10K,3,Hard,R32,,1051,0,WC,,Sai Samhitha Chamarthi,Constanze Stepan,6-0 6-4,,,,,,,,,,,,,,
8-Jun-2015,Sharm El Sheikh $10K,3,Hard,R32,,,0,,Q,Oksana Uzhylovska,Constanze Stepan,7-6(3) 6-2,,,,,,,,,,,,,,
