Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
17-Jun-2002,Dallas 10K,3,Hard,R16,445,,0,4,WC,Katja Kovac,Courtenay Chapman,6-2 6-3,,,,,,,,,,,,,,
17-Jun-2002,Dallas 10K,3,Hard,R32,445,,1,4,,Courtenay Chapman,Katie Mcglennen,6-0 6-1,,,,,,,,,,,,,,
10-Jun-2002,Allentown PA 25K,3,Hard,R32,441,562,0,,,Ekaterina Afinogenova,Courtenay Chapman,6-2 6-2,,,,,,,,,,,,,,
13-May-2002,Charlottesville VA 25K,3,Clay,R32,445,348,0,,8,Ashley Harkleroad,Courtenay Chapman,6-4 6-1,,,,,,,,,,,,,,
6-May-2002,Sea Island 25K,3,Clay,R32,447,593,0,Q,Q,Salome Devidze,Courtenay Chapman,7-6(3) 6-1,,,,,,,,,,,,,,
15-Apr-2002,Jackson 25K,3,Clay,R32,453,589,0,WC,LL,Lioudmila Skavronskaia,Courtenay Chapman,4-6 6-3 6-2,,,,,,,,,,,,,,
14-Jan-2002,Gainesville 10K,3,Hard,R16,502,581,0,,Q,Whitney Benik,Courtenay Chapman,6-4 6-3,,,,,,,,,,,,,,
14-Jan-2002,Gainesville 10K,3,Hard,R32,502,303,1,,4,Courtenay Chapman,Zuzana Lesenarova,6-2 1-6 6-2,,,,,,,,,,,,,,
7-Jan-2002,Tallahasse 10K,3,Hard,R32,504,312,0,,4,Petra Rampre,Courtenay Chapman,7-6(5) 6-4,,,,,,,,,,,,,,
12-Nov-2001,Hattiesburg 50K,3,Hard,R32,494,189,0,WC,,Nina Duebbers,Courtenay Chapman,6-1 6-3,,,,,,,,,,,,,,
10-Sep-2001,Peachtree City GA 25K,3,Hard,R16,398,214,0,,7,Svetlana Krivencheva,Courtenay Chapman,6-1 6-2,,,,,,,,,,,,,,
10-Sep-2001,Peachtree City GA 25K,3,Hard,R32,398,374,1,,,Courtenay Chapman,Michelle Faucher,3-6 6-1 6-4,,,,,,,,,,,,,,
30-Jul-2001,Harrisonburg VA 10K,3,Hard,R16,396,,0,1,Q,Tanner Cochran,Courtenay Chapman,7-5 7-5,,,,,,,,,,,,,,
30-Jul-2001,Harrisonburg VA 10K,3,Hard,R32,396,,1,1,LL,Courtenay Chapman,Judit Trunkos,6-2 6-3,,,,,,,,,,,,,,
11-Jun-2001,Mount Pleasant SC 25K,3,Hard,R32,392,,0,,,Michelle Faucher,Courtenay Chapman,6-1 6-7(3) 6-4,,,,,,,,,,,,,,
4-Jun-2001,Hilton Head SC 10K,3,Hard,R32,394,,0,,Q,Ahsha Rolle,Courtenay Chapman,6-4 3-6 7-5,,,,,,,,,,,,,,
7-May-2001,Midlothian VA 25K,3,Clay,R32,398,265,0,,,Joanne Moore,Courtenay Chapman,6-4 6-3,,,,,,,,,,,,,,
30-Apr-2001,Dothan AL 25K,3,Clay,R32,397,217,0,,8,Jessica Steck,Courtenay Chapman,6-3 6-1,,,,,,,,,,,,,,
23-Apr-2001,Jackson MS 25K,3,Clay,R32,397,406,0,,,Michelle Summerside,Courtenay Chapman,6-1 4-6 6-3,,,,,,,,,,,,,,
5-Mar-2001,Mexico Circuit 3 40K,3,Hard,R16,396,544,0,8,,Erika Valdes,Courtenay Chapman,W/O,,,,,,,,,,,,,,
5-Mar-2001,Mexico Circuit 3 40K,3,Hard,R32,396,,1,8,,Courtenay Chapman,Marina Petrovic,6-4 6-2,,,,,,,,,,,,,,
5-Mar-2001,Mexico Circuit 4 40K,3,Hard,R32,396,456,0,8,,Nadine Schlotterer,Courtenay Chapman,7-6(6) 6-0,,,,,,,,,,,,,,
6-Jan-2001,Tallahasse FL 10K,3,Hard,R32,407,463,0,,,Alison Nash,Courtenay Chapman,7-5 7-6(2),,,,,,,,,,,,,,
23-Oct-2000,Dallas 50K,3,Hard,R16,496,138,0,Q,,Catalina Castano,Courtenay Chapman,6-2 6-3,,,,,,,,,,,,,,
23-Oct-2000,Dallas 50K,3,Hard,R32,496,249,1,Q,LL,Courtenay Chapman,Kelly Liggan,6-4 3-6 6-4,,,,,,,,,,,,,,
9-Oct-2000,Mexico City 25K,3,Hard,R16,538,311,0,,8,Daniela Olivera,Courtenay Chapman,3-5 4-1 4-1 4-1,,,,,,,,,,,,,,
9-Oct-2000,Mexico City 25K,3,Hard,R32,538,528,1,,,Courtenay Chapman,Paula Racedo,4-2 5-3 1-4 4-5(2) 4-2,,,,,,,,,,,,,,
21-Aug-2000,Toluco 10K,3,Clay,R32,543,625,0,5,,Olga Kalyuzhnaya,Courtenay Chapman,6-2 3-6 7-5,,,,,,,,,,,,,,
14-Aug-2000,Cuernavaca 10K,3,Clay,R16,534,,0,6,,Karla Mancinas,Courtenay Chapman,6-3 6-3,,,,,,,,,,,,,,
14-Aug-2000,Cuernavaca 10K,3,Clay,R32,534,,1,6,LL,Courtenay Chapman,Lesley Kramer,6-1 6-4,,,,,,,,,,,,,,
17-Jul-2000,Baltimore 10K,3,Hard,R32,567,762,0,,,Tzu Ting Weng,Courtenay Chapman,2-6 7-6(7) 6-0,,,,,,,,,,,,,,
10-Jul-2000,Peachtree 25K,3,Hard,R32,565,894,0,WC,Q,Maria Pavlidou,Courtenay Chapman,7-5 1-6 6-2,,,,,,,,,,,,,,
26-Jun-2000,Springfield 10K,3,Hard,R16,605,684,0,,,Lauren Barnikow,Courtenay Chapman,6-1 6-2,,,,,,,,,,,,,,
26-Jun-2000,Springfield 10K,3,Hard,R32,605,,1,,Q,Courtenay Chapman,Keiko Tokuda,3-6 7-6(5) 6-2,,,,,,,,,,,,,,
19-Jun-2000,Easton 10K,3,Hard,R32,698,733,0,,WC,Whitney Laiho,Courtenay Chapman,6-2 6-2,,,,,,,,,,,,,,
12-Jun-2000,Mount Pleasant 25K,3,Hard,R16,695,276,0,Q,6,Wendy Fix,Courtenay Chapman,6-0 6-1,,,,,,,,,,,,,,
12-Jun-2000,Mount Pleasant 25K,3,Hard,R32,695,,1,Q,WC,Courtenay Chapman,Judit Trunkos,6-1 6-1,,,,,,,,,,,,,,
29-May-2000,San Antonio 10K,3,Hard,R16,737,391,0,,7,Joanne Moore,Courtenay Chapman,7-5 6-3,,,,,,,,,,,,,,
29-May-2000,San Antonio 10K,3,Hard,R32,737,,1,,Q,Courtenay Chapman,Allison Baker,6-4 4-6 7-6(3),,,,,,,,,,,,,,
22-May-2000,El Paso 10K,3,Hard,R32,765,330,0,,4,Manisha Malhotra,Courtenay Chapman,6-3 6-4,,,,,,,,,,,,,,
15-May-2000,Jackson 25K,3,Clay,R32,778,208,0,WC,3,Lindsay Lee Waters,Courtenay Chapman,6-2 7-6(5),,,,,,,,,,,,,,
17-Apr-2000,Dalian 10K,3,Hard,R32,829,788,0,,WC,Yan Chen,Courtenay Chapman,6-3 6-2,,,,,,,,,,,,,,
10-Apr-2000,Shenyang 10K,3,Hard,R32,828,750,0,,,Shizu Katsumi,Courtenay Chapman,3-6 6-2 7-5,,,,,,,,,,,,,,
27-Mar-2000,Nanjing 10K,3,Hard,R32,872,609,0,,,Marie Eve Pelletier,Courtenay Chapman,6-4 6-2,,,,,,,,,,,,,,
20-Mar-2000,Nanjing 10K,3,Hard,R32,872,442,0,,8,Tiffany Dabek,Courtenay Chapman,6-1 6-2,,,,,,,,,,,,,,
7-Feb-2000,Rockford 25K,3,Hard,R32,925,,0,WC,WC,Kelly Mccain,Courtenay Chapman,6-3 6-3,,,,,,,,,,,,,,
8-Nov-1999,Monterrey 25K,3,Hard,R32,,284,0,Q,,Rosana De Los Rios,Courtenay Chapman,6-3 3-6 6-3,,,,,,,,,,,,,,
30-Aug-1999,Queretaro 10K,3,Clay,R32,,935,0,LL,,Michelle Summerside,Courtenay Chapman,6-2 6-3,,,,,,,,,,,,,,
