Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
13-May-2024,W75 Kurume,3,Carpet,R16,383,505,0,,Q,Mei Yamaguchi,Dalayna Hewitt,6-1 4-2 RET,,,,,,,,,,,,,,
13-May-2024,W75 Kurume,3,Carpet,R32,383,349,1,,,Dalayna Hewitt,Ya Hsuan Lee,6-4 4-6 6-3,,,,,,,,,,,,,,
6-May-2024,W75 Fukuoka,3,Carpet,Q2,383,448,0,2,9,Eri Shimizu,Dalayna Hewitt,7-6(2) 7-5,,,,,,,,,,,,,,
29-Apr-2024,W100 Gifu,3,Hard,Q1,391,479,0,11,,Mei Yamaguchi,Dalayna Hewitt,4-6 6-3 6-3,,,,,,,,,,,,,,
22-Apr-2024,W100 Tokyo,3,Hard,R32,392,457,0,Q,Q,Erika Sema,Dalayna Hewitt,6-2 1-6 6-3,,,,,,,,,,,,,,
22-Apr-2024,W100 Tokyo,3,Hard,Q2,392,617,1,10,,Dalayna Hewitt,Mayuka Aikawa,6-3 3-6 6-3,,,,,,,,,,,,,,
22-Apr-2024,W100 Tokyo,3,Hard,Q1,392,711,1,10,,Dalayna Hewitt,Kisa Yoshioka,6-4 6-4,,,,,,,,,,,,,,
8-Apr-2024,W35 Osaka,3,Hard,R16,391,265,0,,6,Stacey Fung,Dalayna Hewitt,6-3 6-4,,,,,,,,,,,,,,
8-Apr-2024,W35 Osaka,3,Hard,R32,391,615,1,,Q,Dalayna Hewitt,Mayuka Aikawa,7-5 6-2,,,,,,,,,,,,,,
1-Apr-2024,Charleston,3,Clay,Q1,393,100,0,,1,Varvara Gracheva,Dalayna Hewitt,4-6 6-2 6-3,0.72,5.6%,6.5%,50.0%,63.0%,50.0%,60.0% (6/10),46.4%,31.5%,5.5%,27.9%,36.7%,100.0% (2/2),2:12
11-Mar-2024,Charleston 125,3,Hard,R32,392,74,0,WC,7,Diana Shnaider,Dalayna Hewitt,6-2 6-4,0.81,9.7%,4.8%,58.1%,55.6%,38.5%,61.5% (8/13),45.1%,41.7%,0.0%,37.8%,47.8%,40.0% (2/5),1:17
26-Feb-2024,W35 Spring TX,3,Hard,R32,390,641,0,SE,Q,Maria Kononova,Dalayna Hewitt,4-6 6-3 2-0 RET,,,,,,,,,,,,,,
19-Feb-2024,W50 Mexico City,3,Hard,F,443,351,0,,,Jamie Loeb,Dalayna Hewitt,6-2 6-2,,,,,,,,,,,,,,
19-Feb-2024,W50 Mexico City,3,Hard,SF,443,329,1,,,Dalayna Hewitt,Victoria Hu,7-6(4) 6-4,,,,,,,,,,,,,,
19-Feb-2024,W50 Mexico City,3,Hard,QF,443,252,1,,6,Dalayna Hewitt,Irene Burillo Escorihuela,6-2 6-4,,,,,,,,,,,,,,
19-Feb-2024,W50 Mexico City,3,Hard,R16,443,441,1,,,Dalayna Hewitt,Gabriela Ce,6-4 6-1,,,,,,,,,,,,,,
19-Feb-2024,W50 Mexico City,3,Hard,R32,443,246,1,,4,Dalayna Hewitt,Jana Kolodynska,6-2 7-6(1),,,,,,,,,,,,,,
12-Feb-2024,W50 Morelia,3,Hard,Q2,443,312,0,13,2,Veronica Miroshnichenko,Dalayna Hewitt,6-4 7-6(5),,,,,,,,,,,,,,
12-Feb-2024,W50 Morelia,3,Hard,Q1,443,,1,13,WC,Dalayna Hewitt,Natalia Castaneda Guerrero,6-2 6-0,,,,,,,,,,,,,,
5-Feb-2024,W100 Irapuato,3,Hard,Q2,444,436,0,9,6,Whitney Osuigwe,Dalayna Hewitt,7-6(2) 6-3,,,,,,,,,,,,,,
5-Feb-2024,W100 Irapuato,3,Hard,Q1,444,667,1,9,,Dalayna Hewitt,Isabelle Boulais,6-2 7-6(4),,,,,,,,,,,,,,
29-Jan-2024,W75 Rome GA,3,Hard,R32,449,317,0,Q,,Liv Hovde,Dalayna Hewitt,7-5 6-4,,,,,,,,,,,,,,
29-Jan-2024,W75 Rome GA,3,Hard,Q2,449,857,1,2,16,Dalayna Hewitt,Victoria Flores,6-4 7-5,,,,,,,,,,,,,,
29-Jan-2024,W75 Rome GA,3,Hard,Q1,449,,1,2,,Dalayna Hewitt,Odessa Eisch,6-0 6-0,,,,,,,,,,,,,,
22-Jan-2024,W75+H Porto,3,Hard,Q2,453,250,0,,4,Sonay Kartal,Dalayna Hewitt,6-4 6-0,,,,,,,,,,,,,,
