Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
13-May-2024,W35 Villach,3,Clay,QF,216,287,0,1,6,Ena Shibahara,Dalila Jakupovic,7-5 6-4,,,,,,,,,,,,,,
13-May-2024,W35 Villach,3,Clay,R16,216,588,1,1,LL,Dalila Jakupovic,Natalia Szabanin,W/O,,,,,,,,,,,,,,
13-May-2024,W35 Villach,3,Clay,R32,216,417,1,1,,Dalila Jakupovic,Maria Sara Popa,6-2 4-6 6-4,,,,,,,,,,,,,,
6-May-2024,W75 Trnava,3,Clay,R32,216,249,0,,,Sinja Kraus,Dalila Jakupovic,0-6 6-0 7-5,,,,,,,,,,,,,,
29-Apr-2024,W100 Wiesbaden,3,Clay,Q1,206,426,0,7,,Anna Gabric,Dalila Jakupovic,4-6 6-0 7-6(5),,,,,,,,,,,,,,
15-Apr-2024,Rouen,3,Clay,Q1,207,178,0,,9,Polina Kudermetova,Dalila Jakupovic,7-6(3) 2-6 6-0,0.93,2.0%,4.0%,68.7%,61.8%,35.5%,54.5% (6/11),48.5%,43.3%,4.1%,32.1%,58.5%,44.4% (4/9),2:04
8-Apr-2024,W75 Bellinzona,3,Clay,R16,207,233,0,,,Dejana Radanovic,Dalila Jakupovic,6-0 7-6(8),,,,,,,,,,,,,,
8-Apr-2024,W75 Bellinzona,3,Clay,R32,207,507,1,,Q,Dalila Jakupovic,Lena Rueffer,6-4 6-2,,,,,,,,,,,,,,
1-Apr-2024,Bogota,3,Clay,Q1,200,282,0,5,,Fanny Stollar,Dalila Jakupovic,5-7 6-3 6-3,0.86,2.9%,1.9%,69.5%,53.4%,46.9%,50.0% (7/14),46.9%,41.8%,2.2%,31.6%,58.8%,45.5% (5/11),2:07
25-Mar-2024,San Luis Potosi 125,3,Clay,R32,211,116,0,,,Laura Pigossi,Dalila Jakupovic,7-5 6-3,0.86,0.0%,8.1%,79.7%,47.5%,33.3%,46.2% (6/13),46.1%,47.8%,0.0%,45.8%,52.6%,57.1% (4/7),1:51
11-Mar-2024,W35 Indore,3,Hard,F,213,486,1,2,,Dalila Jakupovic,Shrivalli Rashmikaa Bhamidipaty,6-3 6-2,,,,,,,,,,,,,,
11-Mar-2024,W35 Indore,3,Hard,SF,213,239,1,2,4,Dalila Jakupovic,Mananchaya Sawangkaew,7-6(4) 6-3,,,,,,,,,,,,,,
11-Mar-2024,W35 Indore,3,Hard,QF,213,413,1,2,,Dalila Jakupovic,Thasaporn Naklo,6-0 6-0,,,,,,,,,,,,,,
11-Mar-2024,W35 Indore,3,Hard,R16,213,465,1,2,,Dalila Jakupovic,Mei Yamaguchi,6-4 6-2,,,,,,,,,,,,,,
11-Mar-2024,W35 Indore,3,Hard,R32,213,596,1,2,Q,Dalila Jakupovic,Ayumi Koshiishi,6-3 6-1,,,,,,,,,,,,,,
4-Mar-2024,W35 Nagpur,3,Clay,F,213,525,1,2,,Dalila Jakupovic,Yeon Woo Ku,6-1 6-2,,,,,,,,,,,,,,
4-Mar-2024,W35 Nagpur,3,Clay,SF,213,475,1,2,,Dalila Jakupovic,Dayeon Back,6-4 6-3,,,,,,,,,,,,,,
4-Mar-2024,W35 Nagpur,3,Clay,QF,213,401,1,2,7,Dalila Jakupovic,Miriana Tona,5-7 6-1 6-2,,,,,,,,,,,,,,
4-Mar-2024,W35 Nagpur,3,Clay,R16,213,683,1,2,,Dalila Jakupovic,Akiko Omae,6-3 6-2,,,,,,,,,,,,,,
4-Mar-2024,W35 Nagpur,3,Clay,R32,213,,1,2,WC,Dalila Jakupovic,Sejal Gopal Bhutada,6-0 6-0,,,,,,,,,,,,,,
26-Feb-2024,W35 Gurugram,3,Hard,SF,214,251,0,1,3,Justina Mikulskyte,Dalila Jakupovic,6-4 2-6 7-6(0),,,,,,,,,,,,,,
26-Feb-2024,W35 Gurugram,3,Hard,QF,214,329,1,1,5,Dalila Jakupovic,Sahaja Yamalapalli,7-5 3-6 6-0,,,,,,,,,,,,,,
26-Feb-2024,W35 Gurugram,3,Hard,R16,214,831,1,1,Q,Dalila Jakupovic,Vaishnavi Adkar,7-6(1) 6-3,,,,,,,,,,,,,,
26-Feb-2024,W35 Gurugram,3,Hard,R32,214,500,1,1,,Dalila Jakupovic,Clara Vlasselaer,7-5 6-4,,,,,,,,,,,,,,
12-Feb-2024,W35 Nakhon Si Thammarat,3,Hard,R16,215,486,0,2,,Xinxin Yao,Dalila Jakupovic,7-5 3-6 6-3,,,,,,,,,,,,,,
12-Feb-2024,W35 Nakhon Si Thammarat,3,Hard,R32,215,850,1,2,WC,Dalila Jakupovic,Salakthip Ounmuang,6-2 7-5,,,,,,,,,,,,,,
29-Jan-2024,W50 Indore,3,Hard,F,231,188,0,5,2,Polina Kudermetova,Dalila Jakupovic,3-6 6-2 6-0,,,,,,,,,,,,,,
29-Jan-2024,W50 Indore,3,Hard,SF,231,174,1,5,4,Dalila Jakupovic,Carole Monnet,7-6(5) 4-6 6-4,,,,,,,,,,,,,,
29-Jan-2024,W50 Indore,3,Hard,QF,231,473,1,5,,Dalila Jakupovic,Saki Imamura,6-4 3-6 6-4,,,,,,,,,,,,,,
29-Jan-2024,W50 Indore,3,Hard,R16,231,471,1,5,Q,Dalila Jakupovic,Mei Yamaguchi,6-0 6-3,,,,,,,,,,,,,,
29-Jan-2024,W50 Indore,3,Hard,R32,231,482,1,5,Q,Dalila Jakupovic,Viktoria Morvayova,7-5 3-6 6-2,,,,,,,,,,,,,,
22-Jan-2024,W50 Pune,3,Hard,SF,242,403,0,,Q,Tina Nadine Smith,Dalila Jakupovic,6-7(5) 6-2 6-0,,,,,,,,,,,,,,
22-Jan-2024,W50 Pune,3,Hard,QF,242,243,1,,,Dalila Jakupovic,Anca Alexia Todoni,6-0 1-6 6-4,,,,,,,,,,,,,,
22-Jan-2024,W50 Pune,3,Hard,R16,242,181,1,,4,Dalila Jakupovic,Himeno Sakatsume,6-4 RET,,,,,,,,,,,,,,
22-Jan-2024,W50 Pune,3,Hard,R32,242,449,1,,Q,Dalila Jakupovic,Naiktha Bains,6-3 7-6(6),,,,,,,,,,,,,,
15-Jan-2024,W50 Bengaluru,3,Hard,R16,242,171,0,,4,Moyuka Uchijima,Dalila Jakupovic,6-3 6-3,,,,,,,,,,,,,,
15-Jan-2024,W50 Bengaluru,3,Hard,R32,242,336,1,,WC,Dalila Jakupovic,Sahaja Yamalapalli,6-2 6-3,,,,,,,,,,,,,,
8-Jan-2024,W50 Nonthaburi,3,Hard,QF,242,451,0,1,Q,Sayaka Ishii,Dalila Jakupovic,6-0 6-0,,,,,,,,,,,,,,
8-Jan-2024,W50 Nonthaburi,3,Hard,R16,242,341,1,1,,Dalila Jakupovic,Kyoka Okamura,6-3 4-6 6-4,,,,,,,,,,,,,,
8-Jan-2024,W50 Nonthaburi,3,Hard,R32,242,324,1,1,,Dalila Jakupovic,Katarina Kozarov,6-4 6-2,,,,,,,,,,,,,,
1-Jan-2024,W50 Nonthaburi,3,Hard,R16,237,474,0,4,Q,Sayaka Ishii,Dalila Jakupovic,6-2 6-2,,,,,,,,,,,,,,
1-Jan-2024,W50 Nonthaburi,3,Hard,R32,237,278,1,4,,Dalila Jakupovic,Sapfo Sakellaridi,6-7(3) 6-1 6-0,,,,,,,,,,,,,,
4-Dec-2023,W100 Dubai,3,Hard,R32,236,124,0,,1,Viktoria Hruncakova,Dalila Jakupovic,6-4 6-3,,,,,,,,,,,,,,
6-Nov-2023,W40 Heraklion,3,Clay,R16,229,378,0,5,,Ilinca Dalina Amariei,Dalila Jakupovic,2-6 7-5 6-0,,,,,,,,,,,,,,
6-Nov-2023,W40 Heraklion,3,Clay,R32,229,643,1,5,Q,Dalila Jakupovic,Fabienne Gettwart,6-3 6-0,,,,,,,,,,,,,,
30-Oct-2023,W40 Heraklion,3,Clay,R16,226,306,0,7,,Cristina Dinu,Dalila Jakupovic,6-3 6-1,,,,,,,,,,,,,,
30-Oct-2023,W40 Heraklion,3,Clay,R32,226,458,1,7,Q,Dalila Jakupovic,Anastasia Zolotareva,6-4 6-0,,,,,,,,,,,,,,
23-Oct-2023,W25 Istanbul,3,Hard,R32,226,464,0,3,,Anastasia Gasanova,Dalila Jakupovic,6-2 6-7(5) 7-6(5),,,,,,,,,,,,,,
16-Oct-2023,Cluj Napoca,3,Hard,Q1,227,,0,4,WC,Vivian Heisen,Dalila Jakupovic,6-4 6-1,0.67,0.0%,1.5%,75.0%,54.9%,35.3%,66.7% (8/12),42.6%,33.3%,0.0%,23.7%,56.3%,33.3% (1/3),1:20
9-Oct-2023,Hong Kong,3,Hard,Q2,234,211,0,3,5,Daria Saville,Dalila Jakupovic,4-6 7-5 6-3,0.83,1.0%,1.0%,74.7%,62.2%,52.0%,69.2% (9/13),47.3%,33.3%,3.4%,26.3%,46.7%,42.9% (3/7),2:18
9-Oct-2023,Hong Kong,3,Hard,Q1,234,,1,3,WC,Dalila Jakupovic,Ching Laam Lai,6-0 6-3,1.72,2.5%,0.0%,60.0%,75.0%,50.0%,0.0% (0/2),62.0%,60.3%,0.0%,59.2%,63.2%,58.3% (7/12),1:19
18-Sep-2023,Parma 125,3,Clay,R32,227,166,0,,,Erika Andreeva,Dalila Jakupovic,6-4 6-3,0.87,0.0%,1.5%,83.1%,53.7%,27.3%,58.3% (7/12),46.7%,44.3%,2.9%,40.4%,52.2%,42.9% (3/7),1:35
