Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
4-Jul-2016,Amstelveen $10K,3,Clay,R16,,,0,Q,WC,Dewi Dijkman,Darya Shulzhanok,6-4 6-7(6) 6-3,,,,,,,,,,,,,,
4-Jul-2016,Amstelveen $10K,3,Clay,R32,,508,1,Q,1,Darya Shulzhanok,Deborah Kerfs,6-3 4-6 6-2,,,,,,,,,,,,,,
6-Jun-2016,Antalya $10K,3,Hard,R16,,,0,LL,Q,Suzy Larkin,Darya Shulzhanok,6-1 6-4,,,,,,,,,,,,,,
6-Jun-2016,Antalya $10K,3,Hard,R32,,790,1,LL,7,Darya Shulzhanok,Abbie Myers,6-4 4-2 RET,,,,,,,,,,,,,,
30-May-2016,Antalya $10K,3,Hard,R16,,548,0,Q,5,Raluca Georgiana Serban,Darya Shulzhanok,6-2 6-0,,,,,,,,,,,,,,
30-May-2016,Antalya $10K,3,Hard,R32,,,1,Q,,Darya Shulzhanok,Sasa Klanecek,7-5 6-2,,,,,,,,,,,,,,
3-Nov-2014,Oslo 10K,3,Hard,R32,,877,0,Q,,Daria Lodikova,Darya Shulzhanok,6-2 6-2,,,,,,,,,,,,,,
27-Oct-2014,Oslo 10K,3,Hard,R32,,,0,,Q,Emma Roenholt,Darya Shulzhanok,7-5 7-5,,,,,,,,,,,,,,
21-Jul-2014,Tallinn 10K,3,Clay,R16,,619,0,Q,4,Laetitia Sarrazin,Darya Shulzhanok,6-2 6-7(2) 6-2,,,,,,,,,,,,,,
21-Jul-2014,Tallinn 10K,3,Clay,R32,,,1,Q,WC,Darya Shulzhanok,Liisa Pajumets,6-1 6-2,,,,,,,,,,,,,,
23-Jun-2014,Rome 10K,3,Clay,R32,1272,411,0,Q,1,Martina Caregaro,Darya Shulzhanok,6-2 6-2,,,,,,,,,,,,,,
31-Mar-2014,Heraklion 10K,3,Hard,R16,1250,373,0,LL,3,Anna Zaja,Darya Shulzhanok,6-3 6-1,,,,,,,,,,,,,,
31-Mar-2014,Heraklion 10K,3,Hard,R32,1250,,1,LL,Q,Darya Shulzhanok,Natalie Cvackova,4-6 6-2 6-3,,,,,,,,,,,,,,
4-Nov-2013,Loughborough 10K,3,Hard,R32,1077,834,0,,,Yuriko Miyazaki,Darya Shulzhanok,6-2 6-2,,,,,,,,,,,,,,
16-Sep-2013,Santa Margherita Di Pula 10K,3,Clay,R32,1050,532,0,,1,Jade Suvrijn,Darya Shulzhanok,6-1 6-1,,,,,,,,,,,,,,
22-Jul-2013,Bad Waltersdorf 10K,3,Clay,R32,1068,,0,,WC,Lena Reichel,Darya Shulzhanok,2-6 6-4 6-1,,,,,,,,,,,,,,
15-Jul-2013,Valladolid 10K,3,Hard,R16,1063,734,0,,5,Camilla Rosatello,Darya Shulzhanok,6-0 7-6(2),,,,,,,,,,,,,,
15-Jul-2013,Valladolid 10K,3,Hard,R32,1063,,1,,LL,Darya Shulzhanok,Maria Del Rosario Canero Perez,3-6 7-6(5) 6-1,,,,,,,,,,,,,,
1-Jul-2013,Torun 25K,3,Clay,R32,1062,282,0,Q,,Katarzyna Piter,Darya Shulzhanok,6-1 6-2,,,,,,,,,,,,,,
20-May-2013,MarathonAthens 10K,3,Hard,R32,1035,563,0,,2,Julia Stamatova,Darya Shulzhanok,6-7(4) 6-4 6-2,,,,,,,,,,,,,,
13-May-2013,MarathonAthens 10K,3,Hard,R32,1040,585,0,Q,6,Despina Papamichail,Darya Shulzhanok,6-4 6-2,,,,,,,,,,,,,,
22-Apr-2013,Les Franqueses Del Valles 10K,3,Hard,R16,1055,549,0,,1,Olga Saez Larra,Darya Shulzhanok,6-4 6-1,,,,,,,,,,,,,,
22-Apr-2013,Les Franqueses Del Valles 10K,3,Hard,R32,1055,,1,,Q,Darya Shulzhanok,Melanie Stokke,6-4 7-5,,,,,,,,,,,,,,
18-Feb-2013,Helsingborg 10K,3,Carpet,R32,1058,576,0,LL,5,Alice Balducci,Darya Shulzhanok,3-6 6-2 6-3,,,,,,,,,,,,,,
11-Feb-2013,Linkoping 10K,3,Hard,QF,1062,425,0,,1,Angelica Moratelli,Darya Shulzhanok,6-1 6-4,,,,,,,,,,,,,,
11-Feb-2013,Linkoping 10K,3,Hard,R16,1062,627,1,,5,Darya Shulzhanok,Beatrice Cedermark,6-3 7-6(1),,,,,,,,,,,,,,
11-Feb-2013,Linkoping 10K,3,Hard,R32,1062,784,1,,,Darya Shulzhanok,Michaela Frlicka,6-3 6-4,,,,,,,,,,,,,,
5-Nov-2012,Guimaraes 10K,3,Hard,R32,,865,0,Q,,Natalia Siedliska,Darya Shulzhanok,6-2 6-1,,,,,,,,,,,,,,
29-Oct-2012,Coimbra 10K,3,Hard,R16,,977,0,Q,Q,Josephine Boualem,Darya Shulzhanok,6-4 6-2,,,,,,,,,,,,,,
29-Oct-2012,Coimbra 10K,3,Hard,R32,,759,1,Q,5,Darya Shulzhanok,Barbara Luz,6-2 6-0,,,,,,,,,,,,,,
3-Sep-2012,Antalya 10K,3,Hard,R32,,749,0,Q,,Abbie Myers,Darya Shulzhanok,6-2 6-4,,,,,,,,,,,,,,
28-May-2012,Warsaw 10K,3,Clay,R16,,525,0,Q,6,Vivien Juhaszova,Darya Shulzhanok,6-2 6-1,,,,,,,,,,,,,,
28-May-2012,Warsaw 10K,3,Clay,R32,,,1,Q,WC,Darya Shulzhanok,Marta Smiechowska,6-3 4-6 6-4,,,,,,,,,,,,,,
2-Apr-2012,Antalya Belconti 10K,3,Hard,R32,,1227,0,WC,LL,Ipek Soylu,Darya Shulzhanok,6-2 2-6 6-2,,,,,,,,,,,,,,
20-Feb-2012,Helsingborg 10K,3,Carpet,QF,,1208,0,Q,Q,Karina Isayan,Darya Shulzhanok,4-6 7-5 6-1,,,,,,,,,,,,,,
20-Feb-2012,Helsingborg 10K,3,Carpet,R16,,430,1,Q,1,Darya Shulzhanok,Kim Alice Grajdek,7-6(7) 6-3,,,,,,,,,,,,,,
20-Feb-2012,Helsingborg 10K,3,Carpet,R32,,,1,Q,Q,Darya Shulzhanok,Johanna Hyoty,6-1 6-3,,,,,,,,,,,,,,
31-Oct-2011,Minsk 10K,3,Carpet,R32,,832,0,WC,8,Aliaksandra Sasnovich,Darya Shulzhanok,6-0 6-2,,,,,,,,,,,,,,
6-Jun-2011,Almere 10K,3,Clay,R32,,425,0,Q,2,Karolina Nowak,Darya Shulzhanok,6-1 6-0,,,,,,,,,,,,,,
30-May-2011,Madrid 10K,3,Hard,R32,,478,0,Q,1,Arabela Fernandez Rabener,Darya Shulzhanok,6-3 6-2,,,,,,,,,,,,,,
