Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
29-Nov-1983,Australian Open,5,Grass,Q1,,,0,,,Lori Mcneil,Debbie Freeman,7-6 6-4,,,,,,,,,,,,,,
21-Nov-1983,Sydney,3,Grass,Q1,,,0,,,Nerida Gregory,Debbie Freeman,2-6 6-4 6-2,,,,,,,,,,,,,,
14-Nov-1983,Brisbane,3,Grass,Q2,,,0,,6,Robin White,Debbie Freeman,7-5 6-2,,,,,,,,,,,,,,
14-Nov-1983,Brisbane,3,Grass,Q1,,,1,,,Debbie Freeman,Natalia Leipus,6-2 6-4,,,,,,,,,,,,,,
24-Oct-1983,ITF Sat Tanglewood,3,Hard,R16,,,0,2,,Dee Ann Hansel,Debbie Freeman,6-1 6-4,,,,,,,,,,,,,,
17-Oct-1983,ITF Sydney,3,Hard,R16,,,0,,,Rene Mentz,Debbie Freeman,6-2 6-7 7-6,,,,,,,,,,,,,,
17-Oct-1983,ITF Sydney,3,Hard,R32,,,1,,,Debbie Freeman,Jaime Kaplan,6-7 7-5 6-4,,,,,,,,,,,,,,
10-Oct-1983,ITF Newcastle,3,Grass,R16,,,0,,,Dee Ann Hansel,Debbie Freeman,6-2 6-2,,,,,,,,,,,,,,
10-Oct-1983,ITF Newcastle,3,Grass,R32,,,1,,,Debbie Freeman,Lisa Pennington,6-1 6-2,,,,,,,,,,,,,,
3-Oct-1983,ITF Canberra,3,Grass,R32,,,0,7,,Michelle Parun,Debbie Freeman,1-6 6-4 6-2,,,,,,,,,,,,,,
1-Aug-1983,ITF Cava Tirreni,3,Clay,R16,,,0,,,Csilla Cserepy,Debbie Freeman,6-1 6-1,,,,,,,,,,,,,,
1-Aug-1983,ITF Cava Tirreni,3,Clay,R32,,,1,,,Debbie Freeman,Stefania Cicognani,6-2 1-0 RET,,,,,,,,,,,,,,
24-Jul-1983,ITF Milan,3,Clay,R16,,,0,,,Antonella Canapi,Debbie Freeman,3-6 6-0 6-4,,,,,,,,,,,,,,
