Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
9-May-1960,San Francisco State,3,Hard,QF,,,0,,,Joan Nicholson,Donna Brusco,5-7 6-3 6-2,,,,,,,,,,,,,,
9-May-1960,San Francisco State,3,Hard,R16,,,1,,,Donna Brusco,Andria Miller,7-5 0-6 8-6,,,,,,,,,,,,,,
9-May-1960,San Francisco State,3,Hard,R32,,,1,,,Donna Brusco,Margareta Bonstrom,6-3 6-2,,,,,,,,,,,,,,
25-Feb-1960,San Francisco Class,3,,F,,,1,,,Donna Brusco,Gerry Carter,6-3 6-?,,,,,,,,,,,,,,
25-Feb-1960,San Francisco Class,3,,SF,,,1,,,Donna Brusco,Louise Gates,6-8 6-2 7-5,,,,,,,,,,,,,,
25-Feb-1960,San Francisco Class,3,,QF,,,1,,,Donna Brusco,Bea Conroy,6-2 8-6,,,,,,,,,,,,,,
11-May-1959,San Francisco State,3,,F,,,0,,,Farel Footman,Donna Brusco,6-2 6-0,,,,,,,,,,,,,,
11-May-1959,San Francisco State,3,,SF,,,1,,,Donna Brusco,Arvilla Mcguire,6-1 6-2,,,,,,,,,,,,,,
11-May-1959,San Francisco State,3,,QF,,,1,,,Donna Brusco,Connie Wilford,6-1 6-1,,,,,,,,,,,,,,
2-Mar-1959,San Francisco Golden Gate,3,,F,,,1,,,Donna Brusco,Marge Stevens,6-4 6-3,,,,,,,,,,,,,,
2-Mar-1959,Santa Barbara,3,Hard,SF,,,0,,,Darlene Hard,Donna Brusco,6-2 6-3,,,,,,,,,,,,,,
22-Sep-1958,Berkeley,3,Hard,R16,,,0,,4,Mary Ann Mitchell,Donna Brusco,7-5 6-0,,,,,,,,,,,,,,
18-Aug-1958,San Francisco City,3,,F,,,0,,,Judy Butt,Donna Brusco,6-2 6-1,,,,,,,,,,,,,,
18-Aug-1958,San Francisco City,3,,SF,,,1,,,Donna Brusco,Linda Vail,6-3 6-1,,,,,,,,,,,,,,
21-Jul-1958,Santa Cruz,3,,F,,,0,,,Judy Butt,Donna Brusco,5-7 6-4 8-6,,,,,,,,,,,,,,
21-Jul-1958,Santa Cruz,3,,SF,,,1,,,Donna Brusco,Clare Bowser,6-4 6-1,,,,,,,,,,,,,,
7-Jul-1958,Palo Alto,3,,F,,,1,,,Donna Brusco,Rhoda Herron,6-4 6-3,,,,,,,,,,,,,,
7-Jul-1958,Palo Alto,3,,SF,,,1,,,Donna Brusco,Judy Butt,6-3 6-1,,,,,,,,,,,,,,
17-Mar-1958,Burlingame,3,,QF,,,0,,,Pat Naud,Donna Brusco,6-3 6-2,,,,,,,,,,,,,,
17-Mar-1958,Burlingame,3,,R16,,,1,,,Donna Brusco,June Hurtt,7-5 6-2,,,,,,,,,,,,,,
5-Aug-1957,Alameda,3,,SF,,,0,,,Fay Pettit,Donna Brusco,6-0 6-2,,,,,,,,,,,,,,
22-Sep-1956,Berkeley,3,Hard,R16,,,0,,,Barbara Krase,Donna Brusco,6-3 6-3,,,,,,,,,,,,,,
