Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
28-Jan-2002,Wellington 10K,3,Hard,R32,,277,0,,1,Shelley Bryce,Donna Mcintyre,6-3 4-6 6-4,,,,,,,,,,,,,,
13-Aug-2001,Bangkok 10K,3,Hard,R16,,,0,Q,7,Chisayo Ito,Donna Mcintyre,6-3 6-1,,,,,,,,,,,,,,
13-Aug-2001,Bangkok 10K,3,Hard,R32,,,1,Q,,Donna Mcintyre,Sheethal Goutham,3-6 6-4 6-4,,,,,,,,,,,,,,
6-Aug-2001,Bangkok 10K,3,Hard,R16,,289,0,Q,1,Romana Tedjakusuma,Donna Mcintyre,6-2 6-1,,,,,,,,,,,,,,
6-Aug-2001,Bangkok 10K,3,Hard,R32,,,1,Q,,Donna Mcintyre,Sheethal Goutham,6-2 6-0,,,,,,,,,,,,,,
23-Jul-2001,Vancouver 10K,3,Hard,R16,,397,0,Q,3,Ryoko Takemura,Donna Mcintyre,7-5 0-6 6-0,,,,,,,,,,,,,,
23-Jul-2001,Vancouver 10K,3,Hard,R32,,,1,Q,,Donna Mcintyre,Remi Uda,6-3 7-5,,,,,,,,,,,,,,
29-Jan-2001,Wellington 10K,3,Hard,R32,,,0,,,Svenja Weidemann,Donna Mcintyre,6-3 6-3,,,,,,,,,,,,,,
17-Jul-2000,Jakarta 10K,3,Hard,R32,,668,0,,,Keiko Taguchi,Donna Mcintyre,4-6 6-1 6-1,,,,,,,,,,,,,,
31-Jan-2000,Wellington 10K,3,Hard,R32,,677,0,,8,Diana Gherghi,Donna Mcintyre,6-1 2-6 6-3,,,,,,,,,,,,,,
