Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
11-Jul-1932,Reigate,3,Grass,R64,,,0,,,Dorothy Shaw,E B Fraser,6-2 6-0,,,,,,,,,,,,,,
21-Sep-1931,Sutton,3,Clay,R32,,,0,,,Petronella Cargill,E B Fraser,6-4 6-1,,,,,,,,,,,,,,
24-Sep-1928,Sutton,3,Clay,R16,,,0,,,Margery Elton,E B Fraser,6-3 6-1,,,,,,,,,,,,,,
24-Sep-1928,Sutton,3,Clay,R32,,,1,,,E B Fraser,N J Goring,6-3 6-3,,,,,,,,,,,,,,
24-Sep-1928,Sutton,3,Clay,R64,,,1,,,E B Fraser,F N Fryer,6-3 6-2,,,,,,,,,,,,,,
18-Jun-1928,Queen's Club,3,Grass,R128,,,0,,,L M Bremner,E B Fraser,6-3 6-2,,,,,,,,,,,,,,
11-Jul-1927,Reigate,3,Grass,R32,,,0,,,D M E Gardom,E B Fraser,6-2 6-3,,,,,,,,,,,,,,
7-Jul-1924,Epsom,3,Grass,R16,,,0,,,Katherine Parbury,E B Fraser,6-1 6-1,,,,,,,,,,,,,,
7-Jul-1924,Epsom,3,Grass,R32,,,1,,,E B Fraser,Mrs P Thomas,6-3 6-2,,,,,,,,,,,,,,
12-Sep-1921,Eastbourne,3,Grass,R64,,,0,,,E M Bristowe,E B Fraser,6-2 6-0,,,,,,,,,,,,,,
11-Jul-1921,Frinton-on-Sea,3,Grass,R32,,,0,,,Muriel Hextall,E B Fraser,6-1 6-1,,,,,,,,,,,,,,
