Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
28-May-1934,Malvern,3,,R32,,,0,,,E Ashby Bolton,E M Lestrange,3-6 6-2 6-3,,,,,,,,,,,,,,
21-May-1934,Cirencester 2,3,Clay,R32,,,0,,,A R Beacon,E M Lestrange,4-6 RET,,,,,,,,,,,,,,
24-Jul-1933,Winchester,3,Grass,R32,,,0,,,C H Lydall,E M Lestrange,6-4 6-1,,,,,,,,,,,,,,
23-May-1932,Malvern,3,Grass,R64,,,1,,,E M Lestrange,E Conner,6-4 6-3,,,,,,,,,,,,,,
25-May-1931,Malvern,3,Grass,R64,,,1,,,E M Lestrange,Mrs L M Best,7-5 6-1,,,,,,,,,,,,,,
22-Sep-1930,Gleneagles,3,Clay,R16,,,0,,,Mrs G Hawkins,E M Lestrange,6-4 6-2,,,,,,,,,,,,,,
22-Sep-1930,Gleneagles,3,Clay,R32,,,1,,,E M Lestrange,M E L Cunningham,7-5 6-3,,,,,,,,,,,,,,
23-Sep-1929,Gleneagles,3,Clay,R64,,,0,,,Mrs W Radcliffe,E M Lestrange,6-2 6-1,,,,,,,,,,,,,,
12-Aug-1929,Ross,3,Grass,F,,,0,,,Vera Noott,E M Lestrange,6-2 6-1,,,,,,,,,,,,,,
27-May-1929,Malvern,3,Grass,R32,,,0,,,Mrs C A Smellie,E M Lestrange,6-4 6-0,,,,,,,,,,,,,,
28-May-1928,Malvern,3,Grass,R32,,,0,,,Vera Marshall,E M Lestrange,6-3 6-3,,,,,,,,,,,,,,
24-May-1926,Malvern,3,Grass,R64,,,0,,,Phyllis Whitley,E M Lestrange,6-0 6-3,,,,,,,,,,,,,,
