Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
27-Jun-2022,W15 Los Angeles CA,3,Hard,R16,1009,,0,4,WC,Eryn Cayetano,Eduarda Piai,6-1 6-3,,,,,,,,,,,,,,
27-Jun-2022,W15 Los Angeles CA,3,Hard,R32,1009,1357,1,4,,Eduarda Piai,Katie Codd,7-6(4) 6-2,,,,,,,,,,,,,,
28-Feb-2022,W60 Arcadia CA,3,Hard,Q1,919,1278,0,15,,Rhiann Newborn,Eduarda Piai,6-3 6-4,,,,,,,,,,,,,,
29-Nov-2021,W15 Curitiba,3,Clay,R32,837,949,0,7,,Emily Welker,Eduarda Piai,6-4 6-3,,,,,,,,,,,,,,
9-Mar-2020,W25 Olimpia,3,Clay,R16,679,342,0,WC,,Andrea Lazaro Garcia,Eduarda Piai,7-5 6-2,,,,,,,,,,,,,,
9-Mar-2020,W25 Olimpia,3,Clay,R32,679,,1,WC,Q,Eduarda Piai,Jaleesa Leslie,6-7(6) 6-4 6-1,,,,,,,,,,,,,,
24-Feb-2020,W25 Rancho Santa Fe CA,3,Hard,Q1,674,399,0,,11,Emina Bektas,Eduarda Piai,6-1 7-5,,,,,,,,,,,,,,
10-Feb-2020,W15 Cancun,3,Hard,QF,704,386,0,,1,Thaisa Grana Pedretti,Eduarda Piai,6-2 6-3,,,,,,,,,,,,,,
10-Feb-2020,W15 Cancun,3,Hard,R16,704,832,1,,,Eduarda Piai,Lauren Proctor,6-2 3-6 6-3,,,,,,,,,,,,,,
10-Feb-2020,W15 Cancun,3,Hard,R32,704,509,1,,6,Eduarda Piai,Nathaly Kurata,6-1 2-6 6-4,,,,,,,,,,,,,,
3-Feb-2020,W15 Cancun,3,Hard,QF,717,464,0,7,2,Dasha Ivanova,Eduarda Piai,6-1 6-2,,,,,,,,,,,,,,
3-Feb-2020,W15 Cancun,3,Hard,R16,717,1098,1,7,,Eduarda Piai,Jantje Tilbuerger,6-2 6-7(4) 6-0,,,,,,,,,,,,,,
3-Feb-2020,W15 Cancun,3,Hard,R32,717,814,1,7,,Eduarda Piai,Anastasia Sysoeva,6-2 6-3,,,,,,,,,,,,,,
27-Jan-2020,W15 Cancun,3,Hard,QF,719,1046,0,,,Alexa Noel,Eduarda Piai,6-1 6-4,,,,,,,,,,,,,,
27-Jan-2020,W15 Cancun,3,Hard,R16,719,513,1,,4,Eduarda Piai,Nathaly Kurata,6-4 6-1,,,,,,,,,,,,,,
27-Jan-2020,W15 Cancun,3,Hard,R32,719,,1,,WC,Eduarda Piai,Brittany Collens,6-1 6-1,,,,,,,,,,,,,,
2-Dec-2019,W15 Cancun,3,Hard,R32,719,1023,0,5,,Gabriella Price,Eduarda Piai,6-2 7-6(3),,,,,,,,,,,,,,
18-Nov-2019,W25 Naples FL,3,Clay,Q2,717,1155,0,,,Elvina Kalieva,Eduarda Piai,0-6 6-1 [10-4],,,,,,,,,,,,,,
18-Nov-2019,W25 Naples FL,3,Clay,Q1,717,,1,,,Eduarda Piai,Isabella Robbiani,6-3 6-1,,,,,,,,,,,,,,
11-Nov-2019,W25 Orlando FL,3,Clay,Q1,716,483,0,,,Emma Navarro,Eduarda Piai,6-4 6-2,,,,,,,,,,,,,,
4-Nov-2019,W60 Colina,3,Clay,Q1,711,599,0,,16,Emiliana Arango,Eduarda Piai,6-4 6-4,,,,,,,,,,,,,,
28-Oct-2019,W60 Asuncion,3,Clay,R16,835,417,0,,Q,Teliana Pereira,Eduarda Piai,6-3 6-4,,,,,,,,,,,,,,
28-Oct-2019,W60 Asuncion,3,Clay,R32,835,,1,,WC,Eduarda Piai,Sarah Tami Masi,6-1 6-0,,,,,,,,,,,,,,
28-Oct-2019,W60 Asuncion,3,Clay,Q2,835,428,1,,,Eduarda Piai,Panna Udvardy,7-5 6-3,,,,,,,,,,,,,,
28-Oct-2019,W60 Asuncion,3,Clay,Q1,835,617,1,,13,Eduarda Piai,Ana Lantigua De La Nuez,6-2 7-6(3),,,,,,,,,,,,,,
7-Oct-2019,W15 Buenos Aires,3,Clay,SF,887,928,0,,,Guillermina Naya,Eduarda Piai,6-3 6-0,,,,,,,,,,,,,,
7-Oct-2019,W15 Buenos Aires,3,Clay,QF,887,1117,1,,,Eduarda Piai,Andrea Agostina Farulla Di Palma,6-1 6-2,,,,,,,,,,,,,,
7-Oct-2019,W15 Buenos Aires,3,Clay,R16,887,,1,,,Eduarda Piai,Krystal Blanch,6-2 6-4,,,,,,,,,,,,,,
7-Oct-2019,W15 Buenos Aires,3,Clay,R32,887,1213,1,,,Eduarda Piai,Heydi Doldan,6-0 6-0,,,,,,,,,,,,,,
23-Sep-2019,W15 Sao Paulo,3,Clay,R16,905,1136,0,7,,Mell Elizabeth Reasco Gonzalez,Eduarda Piai,2-6 7-6(4) 6-2,,,,,,,,,,,,,,
23-Sep-2019,W15 Sao Paulo,3,Clay,R32,905,,1,7,,Eduarda Piai,Julia Klimovicz,6-3 6-1,,,,,,,,,,,,,,
16-Sep-2019,W15 Buenos Aires,3,Clay,R32,1032,,0,,,Guillermina Naya,Eduarda Piai,6-1 4-6 7-6(5),,,,,,,,,,,,,,
9-Sep-2019,W15 Buenos Aires,3,Clay,F,937,,0,,WC,Guillermina Naya,Eduarda Piai,6-2 6-2,,,,,,,,,,,,,,
9-Sep-2019,W15 Buenos Aires,3,Clay,SF,937,,1,,WC,Eduarda Piai,Solana Sierra,2-6 6-4 6-3,,,,,,,,,,,,,,
9-Sep-2019,W15 Buenos Aires,3,Clay,QF,937,,1,,,Eduarda Piai,Candela Bugnon,6-3 6-3,,,,,,,,,,,,,,
9-Sep-2019,W15 Buenos Aires,3,Clay,R16,937,,1,,,Eduarda Piai,Lucia Zelenka,6-1 6-4,,,,,,,,,,,,,,
9-Sep-2019,W15 Buenos Aires,3,Clay,R32,937,1197,1,,,Eduarda Piai,Antonia Samudio,6-1 6-4,,,,,,,,,,,,,,
19-Aug-2019,W25 Guayaquil,3,Clay,R32,917,455,0,Q,,Marcela Zacarias,Eduarda Piai,6-4 6-4,,,,,,,,,,,,,,
19-Aug-2019,W25 Guayaquil,3,Clay,Q2,917,,1,,11,Eduarda Piai,Laura Ashley,6-2 6-2,,,,,,,,,,,,,,
12-Aug-2019,W25 Guayaquil,3,Clay,R32,916,305,0,Q,,Renata Zarazua,Eduarda Piai,6-3 6-2,,,,,,,,,,,,,,
12-Aug-2019,W25 Guayaquil,3,Clay,Q2,916,,1,,,Eduarda Piai,Pamela Duran Vinueza,6-0 6-1,,,,,,,,,,,,,,
15-Jul-2019,W15 Cancun,3,Hard,QF,,800,0,8,,Thaisa Grana Pedretti,Eduarda Piai,6-0 6-2,,,,,,,,,,,,,,
15-Jul-2019,W15 Cancun,3,Hard,R16,,,1,8,,Eduarda Piai,Olivia Gram,7-5 6-0,,,,,,,,,,,,,,
15-Jul-2019,W15 Cancun,3,Hard,R32,,,1,8,,Eduarda Piai,Yuval Keren,6-3 6-2,,,,,,,,,,,,,,
8-Jul-2019,W15 Cancun,3,Hard,R32,,,0,,SE,Ingrid Gamarra Martins,Eduarda Piai,7-5 6-3,,,,,,,,,,,,,,
1-Jul-2019,W15 Cancun,3,Hard,R16,,,0,,,Maria Carle,Eduarda Piai,6-3 6-1,,,,,,,,,,,,,,
1-Jul-2019,W15 Cancun,3,Hard,R32,,,1,,LL,Eduarda Piai,Anna Borovinskaya,6-1 6-0,,,,,,,,,,,,,,
24-Jun-2019,W15 Cancun,3,Hard,R16,,,0,5,,Gianna Pielet,Eduarda Piai,6-4 6-2,,,,,,,,,,,,,,
24-Jun-2019,W15 Cancun,3,Hard,R32,,,1,5,,Eduarda Piai,Isabelle Boulais,6-2 6-3,,,,,,,,,,,,,,
27-May-2019,W15 Cancun,3,Hard,R16,,,0,,,Silvia Ambrosio,Eduarda Piai,6-4 2-6 6-1,,,,,,,,,,,,,,
27-May-2019,W15 Cancun,3,Hard,R32,,,1,,Q,Eduarda Piai,Demi Tran,6-1 6-0,,,,,,,,,,,,,,
20-May-2019,W15 Cancun,3,Hard,R32,,,0,,,Andrea Renee Villarreal,Eduarda Piai,6-4 6-0,,,,,,,,,,,,,,
13-May-2019,W15 Cancun,3,Hard,R32,,,0,,7,Kirsten Andrea Weedon,Eduarda Piai,6-2 6-3,,,,,,,,,,,,,,
6-May-2019,W15 Cancun,3,Hard,QF,,513,0,7,,Marcela Zacarias,Eduarda Piai,7-5 6-0,,,,,,,,,,,,,,
6-May-2019,W15 Cancun,3,Hard,R16,,,1,7,Q,Eduarda Piai,Anna Mamalat,6-1 6-4,,,,,,,,,,,,,,
6-May-2019,W15 Cancun,3,Hard,R32,,,1,7,,Eduarda Piai,Amber Washington,4-6 6-3 6-3,,,,,,,,,,,,,,
25-Mar-2019,W25 Campinas,3,Clay,Q1,,561,0,,12,Barbara Gatica,Eduarda Piai,6-2 3-6 [10-6],,,,,,,,,,,,,,
18-Mar-2019,W25 Curitiba,3,Clay,Q1,,402,0,,11,Gabriela Lee,Eduarda Piai,6-3 3-6 [10-8],,,,,,,,,,,,,,
