Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
28-Jul-2008,Gardone Val Trompia 10K,3,Clay,R16,736,912,0,6,,Gabriela Roux,Edyta Cieplucha,7-5 6-2,,,,,,,,,,,,,,
28-Jul-2008,Gardone Val Trompia 10K,3,Clay,R32,736,903,1,6,WC,Edyta Cieplucha,Giulia Gardani,6-3 7-5,,,,,,,,,,,,,,
30-Jun-2008,Torun 25K,3,Clay,R32,703,379,0,WC,,Magdalena Kiszczynska,Edyta Cieplucha,7-6(5) 6-0,,,,,,,,,,,,,,
23-Jun-2008,Budapest 10K,3,Clay,QF,703,396,0,,1,Dominice Ripoll,Edyta Cieplucha,7-6(6) 6-2,,,,,,,,,,,,,,
23-Jun-2008,Budapest 10K,3,Clay,R16,703,,1,,WC,Edyta Cieplucha,Viktorija Golubic,6-4 6-3,,,,,,,,,,,,,,
23-Jun-2008,Budapest 10K,3,Clay,R32,703,625,1,,6,Edyta Cieplucha,Kristina Steiert,6-3 3-0 RET,,,,,,,,,,,,,,
26-May-2008,Olecko 10K,3,Clay,F,817,350,1,,2,Edyta Cieplucha,Magdalena Kiszczynska,6-2 6-0,,,,,,,,,,,,,,
26-May-2008,Olecko 10K,3,Clay,SF,817,569,1,,7,Edyta Cieplucha,Hanne Skak Jensen,4-6 7-5 6-3,,,,,,,,,,,,,,
26-May-2008,Olecko 10K,3,Clay,QF,817,545,1,,6,Edyta Cieplucha,Sylwia Zagorska,6-1 6-3,,,,,,,,,,,,,,
26-May-2008,Olecko 10K,3,Clay,R16,817,303,1,,1,Edyta Cieplucha,Olga Brozda,6-2 6-4,,,,,,,,,,,,,,
26-May-2008,Olecko 10K,3,Clay,R32,817,,1,,Q,Edyta Cieplucha,Eva Husakova,6-3 6-2,,,,,,,,,,,,,,
24-Mar-2008,Athens-Goudi 10K,3,Hard,R32,783,706,0,Q,,Raffaella Bindi,Edyta Cieplucha,3-6 6-3 6-4,,,,,,,,,,,,,,
17-Mar-2008,Porto Rafti 10K,3,Hard,R32,814,527,0,Q,5,Nicole Clerico,Edyta Cieplucha,6-4 6-2,,,,,,,,,,,,,,
10-Mar-2008,Dijon 10K,3,Hard,R16,814,464,0,Q,7,Darija Jurak,Edyta Cieplucha,6-4 6-1,,,,,,,,,,,,,,
10-Mar-2008,Dijon 10K,3,Hard,R32,814,823,1,Q,Q,Edyta Cieplucha,Marlot Meddens,6-1 3-6 6-4,,,,,,,,,,,,,,
18-Feb-2008,Portimao 10K,3,Hard,R32,805,460,0,Q,7,Beatriz Garcia Vidagany,Edyta Cieplucha,6-3 6-2,,,,,,,,,,,,,,
8-Oct-2007,Espinho 10K,3,Clay,R16,848,637,0,,7,Nicole Riner,Edyta Cieplucha,6-1 6-3,,,,,,,,,,,,,,
8-Oct-2007,Espinho 10K,3,Clay,R32,848,,1,,Q,Edyta Cieplucha,Inna Sokolova,7-5 6-0,,,,,,,,,,,,,,
1-Oct-2007,Porto 10K,3,Clay,R32,845,775,0,,7,Sabina Mediano Alvarez,Edyta Cieplucha,6-3 6-4,,,,,,,,,,,,,,
17-Sep-2007,Bratislava 10K,3,Clay,R16,869,658,0,,8,Klaudia Malenovska,Edyta Cieplucha,6-2 7-5,,,,,,,,,,,,,,
17-Sep-2007,Bratislava 10K,3,Clay,R32,869,851,1,,,Edyta Cieplucha,Marlena Metzinger,5-2 RET,,,,,,,,,,,,,,
3-Sep-2007,Kedzierzyn Kozle 10K,3,Clay,R16,918,435,0,,2,Olga Brozda,Edyta Cieplucha,6-2 6-0,,,,,,,,,,,,,,
3-Sep-2007,Kedzierzyn Kozle 10K,3,Clay,R32,918,,1,,SE,Edyta Cieplucha,Dominika Kanakova,6-3 0-6 6-4,,,,,,,,,,,,,,
27-Aug-2007,Enschede 10K,3,Clay,R32,918,641,0,LL,,Marlot Meddens,Edyta Cieplucha,6-1 6-0,,,,,,,,,,,,,,
20-Aug-2007,Vlaardingen 10K,3,Clay,R32,919,311,0,Q,1,Anne Schaefer,Edyta Cieplucha,6-2 6-3,,,,,,,,,,,,,,
6-Aug-2007,Gdynia 25K,3,Clay,R32,968,219,0,WC,2,Vojislava Lukic,Edyta Cieplucha,6-4 7-6(5),,,,,,,,,,,,,,
9-Jul-2007,Torun 25K,3,Clay,R16,1304,249,0,LL,1,Ivana Abramovic,Edyta Cieplucha,6-2 7-5,,,,,,,,,,,,,,
9-Jul-2007,Torun 25K,3,Clay,R32,1304,373,1,LL,Q,Edyta Cieplucha,Michelle Gerards,6-3 7-5,,,,,,,,,,,,,,
28-May-2007,Olecko 10K,3,Clay,R16,,779,0,WC,4,Aleksandra Malyarchikova,Edyta Cieplucha,5-7 6-3 6-2,,,,,,,,,,,,,,
28-May-2007,Olecko 10K,3,Clay,R32,,1103,1,WC,,Edyta Cieplucha,Julija Gotovskyte,6-4 6-1,,,,,,,,,,,,,,
30-Apr-2007,Warsaw Q,3,Clay,Q1,,110,0,WC,,Zuzana Ondraskova,Edyta Cieplucha,6-1 6-1,,,,,,,,,,,,,,
7-Aug-2006,Gdynia 10K,3,Clay,R32,,882,0,WC,,Mariya Malkhasyan,Edyta Cieplucha,6-3 6-3,,,,,,,,,,,,,,
