Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
23-Jun-2003,Elektrostal 10K,3,Carpet,R32,,,0,Q,Q,Irina Kornienko,Egle Petrauskaite,6-3 7-5,,,,,,,,,,,,,,
19-May-2003,Olecko 10K,3,Clay,R32,,715,0,Q,Q,Olga Brozda,Egle Petrauskaite,6-2 6-4,,,,,,,,,,,,,,
28-Apr-2003,Fed Cup G2 RRD: LTU vs MLT,3,Clay,RR,,,1,,,Egle Petrauskaite,Lisa Camenzuli,6-1 3-6 6-3,,,,,,,,,,,,,,
28-Oct-2002,Minsk 10K,3,Carpet,R32,,774,0,Q,8,Anna Chakvetadze,Egle Petrauskaite,6-0 6-2,,,,,,,,,,,,,,
11-Feb-2002,Kaunas 10K,3,Hard,R32,,,0,WC,,Kateryna Bondarenko,Egle Petrauskaite,7-5 6-1,,,,,,,,,,,,,,
18-May-2001,Fed Cup G2 RRD: LTU vs MDA,3,Clay,RR,,,1,,,Egle Petrauskaite,Ludmila Stavila,6-2 6-1,,,,,,,,,,,,,,
15-May-2001,Fed Cup G2 RRD: BOT vs LTU,3,Clay,RR,,,1,,,Egle Petrauskaite,Kelesitse Makgale,6-1 6-0,,,,,,,,,,,,,,
28-Oct-2000,Cairo 10K,3,Clay,R32,,642,0,LL,,Svetlana Mossiakova,Egle Petrauskaite,4-2 3-5 2-4 4-2 4-1,,,,,,,,,,,,,,
19-Jun-2000,Tallinn 10K,3,Clay,R16,,677,0,Q,,Nicola Woodhouse,Egle Petrauskaite,6-3 6-2,,,,,,,,,,,,,,
19-Jun-2000,Tallinn 10K,3,Clay,R32,,598,1,Q,6,Egle Petrauskaite,Irina Kornienko,6-1 6-4,,,,,,,,,,,,,,
