Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
25-Oct-2010,WTA Championships,3,Hard,RR,9,1,0,7,1,Caroline Wozniacki,Elena Dementieva,6-1 6-1,,,,,,,,,,,,,,
25-Oct-2010,WTA Championships,3,Hard,RR,9,6,0,7,4,Francesca Schiavone,Elena Dementieva,6-4 6-2,,,,,,,,,,,,,,
25-Oct-2010,WTA Championships,3,Hard,RR,9,7,1,7,5,Elena Dementieva,Samantha Stosur,4-6 6-4 7-6(4),,,,,,,,,,,,,,
18-Oct-2010,Luxembourg,3,Hard,R16,9,47,0,1,,Polona Hercog,Elena Dementieva,W/O,,,,,,,,,,,,,,
18-Oct-2010,Luxembourg,3,Hard,R32,9,95,1,1,,Elena Dementieva,Shuai Peng,7-5 7-6(3),1.19,2.4%,9.4%,61.2%,73.1%,51.5%,72.7% (8/11),54.0%,42.1%,1.3%,35.6%,64.7%,36.4% (4/11),
4-Oct-2010,Beijing,3,Hard,R16,9,36,0,7,,Ana Ivanovic,Elena Dementieva,7-6(2) 7-6(4),1.08,1.5%,7.4%,57.4%,69.2%,65.5%,33.3% (1/3),48.8%,34.8%,6.5%,28.3%,43.6%,33.3% (2/6),
4-Oct-2010,Beijing,3,Hard,R32,9,57,1,7,,Elena Dementieva,Kimiko Date Krumm,6-3 1-6 6-3,1.13,0.0%,13.5%,60.8%,55.6%,51.7%,25.0% (2/8),53.1%,52.1%,1.4%,43.2%,65.5%,40.0% (6/15),
27-Sep-2010,Tokyo,3,Hard,F,10,2,0,7,1,Caroline Wozniacki,Elena Dementieva,1-6 6-2 6-3 (ch),0.91,2.5%,4.9%,71.6%,60.3%,39.1%,50.0% (5/10),48.1%,41.6%,0.0%,31.3%,58.6%,36.4% (4/11),
27-Sep-2010,Tokyo,3,Hard,SF,10,8,1,7,5,Elena Dementieva,Francesca Schiavone,6-4 7-5,1.21,3.0%,10.6%,47.0%,64.5%,48.6%,33.3% (2/6),54.5%,53.2%,2.6%,47.8%,61.3%,66.7% (6/9),
27-Sep-2010,Tokyo,3,Hard,QF,10,4,1,7,2,Elena Dementieva,Vera Zvonareva,7-5 6-2,1.27,0.0%,5.3%,64.9%,56.8%,55.0%,60.0% (6/10),56.0%,55.8%,3.9%,47.9%,69.0%,53.8% (7/13),
27-Sep-2010,Tokyo,3,Hard,R16,10,22,1,7,,Elena Dementieva,Flavia Pennetta,6-4 6-2,1.39,3.3%,3.3%,58.3%,60.0%,56.0%,72.7% (8/11),58.2%,58.1%,3.2%,56.1%,61.9%,50.0% (6/12),
27-Sep-2010,Tokyo,3,Hard,R32,10,39,1,7,,Elena Dementieva,Yaroslava Shvedova,6-0 6-1 (ch),2.50,2.8%,0.0%,66.7%,75.0%,66.7%,50.0% (1/2),70.8%,69.4%,0.0%,70.0%,68.8%,60.0% (6/10),
30-Aug-2010,US Open,5,Hard,R16,12,6,0,12,5,Samantha Stosur,Elena Dementieva,6-3 2-6 7-6(2) (ch),1.01,2.1%,3.1%,75.0%,51.4%,50.0%,58.8% (10/17),50.2%,49.6%,3.4%,39.7%,65.9%,40.0% (8/20),
30-Aug-2010,US Open,5,Hard,R32,12,26,1,12,24,Elena Dementieva,Daniela Hantuchova,7-5 6-2,1.30,1.6%,4.8%,73.0%,63.0%,52.9%,66.7% (6/9),56.2%,51.7%,1.7%,51.4%,52.2%,100.0% (6/6),
30-Aug-2010,US Open,5,Hard,R64,12,85,1,12,,Elena Dementieva,Sybille Bammer,6-3 6-4,,,,,,,,,,,,,,
30-Aug-2010,US Open,5,Hard,R128,12,49,1,12,,Elena Dementieva,Olga Govortsova,6-1 6-2,1.49,6.7%,10.0%,51.7%,71.0%,58.6%,100.0% (7/7),59.6%,52.3%,0.0%,48.3%,60.0%,80.0% (4/5),
23-Aug-2010,New Haven,3,Hard,SF,13,2,0,4,1,Caroline Wozniacki,Elena Dementieva,1-6 6-3 7-6(5),0.98,3.5%,5.2%,67.8%,60.3%,40.5%,68.8% (11/16),49.8%,45.1%,1.0%,38.6%,59.4%,37.5% (6/16),
23-Aug-2010,New Haven,3,Hard,QF,13,15,1,4,6,Elena Dementieva,Marion Bartoli,6-3 3-6 6-2,1.07,0.9%,6.1%,65.2%,53.3%,50.0%,70.6% (12/17),51.6%,51.0%,1.9%,39.7%,65.2%,35.0% (7/20),
23-Aug-2010,New Haven,3,Hard,R16,13,62,1,4,,Elena Dementieva,Kateryna Bondarenko,7-6(4) 6-7(5) 6-4,1.08,1.6%,9.8%,66.7%,65.9%,39.0%,33.3% (3/9),51.6%,46.5%,3.1%,41.0%,56.8%,53.8% (7/13),
23-Aug-2010,New Haven,3,Hard,R32,13,24,1,4,,Elena Dementieva,Maria Jose Martinez Sanchez,6-1 6-2,1.81,0.0%,6.1%,75.8%,68.0%,50.0%,33.3% (1/3),65.0%,66.0%,2.1%,60.0%,72.7%,70.0% (7/10),
16-Aug-2010,Montreal,3,Hard,R16,8,24,0,4,,Jie Zheng,Elena Dementieva,7-6(3) 6-4,0.84,1.1%,5.7%,70.5%,56.5%,34.6%,63.6% (7/11),46.0%,41.9%,1.2%,38.2%,48.4%,27.3% (3/11),
16-Aug-2010,Montreal,3,Hard,R32,8,38,1,4,,Elena Dementieva,Klara Koukalova,6-2 6-4,,,,,,,,,,,,,,
9-Aug-2010,Cincinnati,3,Hard,R32,6,25,0,3,,Anastasia Pavlyuchenkova,Elena Dementieva,6-1 6-3,0.70,1.6%,6.6%,60.7%,48.6%,25.0%,45.5% (5/11),40.8%,42.4%,3.4%,41.5%,44.4%,25.0% (2/8),
26-Jul-2010,Stanford,3,Hard,QF,6,15,0,2,5,Maria Sharapova,Elena Dementieva,6-4 2-6 6-3,0.94,1.7%,7.0%,60.0%,58.0%,37.0%,60.0% (9/15),48.6%,47.4%,3.1%,36.4%,71.0%,54.5% (6/11),
26-Jul-2010,Stanford,3,Hard,R16,6,61,1,2,,Elena Dementieva,Kimiko Date Krumm,3-6 6-3 6-4,1.13,1.1%,6.4%,61.7%,60.3%,44.4%,40.0% (4/10),53.0%,51.9%,0.0%,44.1%,65.8%,38.9% (7/18),
24-May-2010,Roland Garros,5,Clay,SF,5,17,0,5,17,Francesca Schiavone,Elena Dementieva,7-6(3) RET (ch),0.93,4.1%,8.2%,71.4%,65.7%,35.7%,75.0% (3/4),48.9%,40.0%,2.2%,25.9%,61.1%,100.0% (1/1),
24-May-2010,Roland Garros,5,Clay,QF,5,20,1,5,19,Elena Dementieva,Nadia Petrova,2-6 6-2 6-0,1.19,2.3%,8.0%,65.9%,65.5%,46.7%,72.7% (8/11),54.5%,48.5%,3.0%,45.0%,53.8%,60.0% (6/10),
24-May-2010,Roland Garros,5,Clay,R16,5,131,1,5,Q,Elena Dementieva,Chanelle Scheepers,6-1 6-3,,,,,,,,,,,,,,
24-May-2010,Roland Garros,5,Clay,R32,5,48,1,5,,Elena Dementieva,Aleksandra Wozniak,6-7(2) 6-3 6-4,1.09,0.9%,10.6%,61.1%,52.2%,47.7%,46.7% (7/15),52.2%,53.9%,4.3%,47.1%,64.4%,50.0% (10/20),
24-May-2010,Roland Garros,5,Clay,R64,5,43,1,5,,Elena Dementieva,Anabel Medina Garrigues,6-2 7-6(3),1.13,1.1%,5.7%,64.8%,59.6%,41.9%,71.4% (10/14),53.1%,52.7%,0.0%,52.2%,53.6%,46.2% (6/13),
24-May-2010,Roland Garros,5,Clay,R128,5,68,1,5,,Elena Dementieva,Petra Martic,6-1 6-1,1.81,4.7%,2.3%,53.5%,69.6%,70.0%,- (0/0),61.0%,54.8%,1.6%,48.7%,65.2%,35.7% (5/14),
17-May-2010,Warsaw,3,Clay,R16,5,100,0,2,Q,Tsvetana Pironkova,Elena Dementieva,7-5 4-6 6-4,0.96,2.7%,5.3%,70.8%,57.5%,45.5%,53.8% (7/13),49.3%,44.3%,4.7%,29.1%,60.8%,50.0% (5/10),
10-May-2010,Madrid,3,Clay,R32,6,38,0,6,,Alexandra Dulgheru,Elena Dementieva,6-1 3-6 7-5,0.89,0.0%,2.0%,76.5%,54.7%,26.1%,55.6% (10/18),47.1%,46.2%,1.1%,48.5%,39.1%,46.2% (6/13),
10-May-2010,Madrid,3,Clay,R64,6,45,1,6,,Elena Dementieva,Aleksandra Wozniak,6-0 6-1,1.62,3.6%,1.8%,76.4%,71.4%,30.8%,100.0% (7/7),61.8%,61.8%,0.0%,59.0%,68.8%,75.0% (6/8),
3-May-2010,Rome,3,Clay,R16,6,58,0,6,,Ana Ivanovic,Elena Dementieva,6-1 7-6(5) (ch),0.72,0.0%,5.6%,64.8%,52.2%,32.0%,64.3% (9/14),42.3%,39.4%,4.2%,30.0%,61.9%,60.0% (3/5),
3-May-2010,Rome,3,Clay,R32,6,34,1,6,,Elena Dementieva,Yaroslava Shvedova,6-4 7-5,1.15,3.4%,7.9%,53.9%,72.9%,46.3%,81.8% (9/11),54.2%,45.3%,1.6%,42.5%,50.0%,44.4% (4/9),
24-Apr-2010,Fed Cup WG SF: USA vs RUS,3,Hard,RR,6,129,1,,,Elena Dementieva,Bethanie Mattek Sands,6-4 6-3,,,,,,,,,,,,,,
24-Apr-2010,Fed Cup WG SF: USA vs RUS,3,Hard,RR,6,31,1,,,Elena Dementieva,Melanie Oudin,7-6(4) 0-6 6-3,,,,,,,,,,,,,,
22-Mar-2010,Miami,3,Hard,R64,6,33,0,5,WC,Justine Henin,Elena Dementieva,6-3 6-2,0.92,0.0%,7.2%,64.9%,47.6%,41.2%,53.3% (8/15),47.8%,50.0%,1.8%,48.1%,51.7%,31.6% (6/19),
8-Mar-2010,Indian Wells,3,Hard,QF,7,8,0,4,5,Agnieszka Radwanska,Elena Dementieva,6-4 6-3 (ch),0.76,0.0%,6.0%,66.0%,54.5%,35.3%,20.0% (1/5),43.1%,39.4%,0.0%,36.4%,45.5%,25.0% (2/8),
8-Mar-2010,Indian Wells,3,Hard,R16,7,21,1,4,19,Elena Dementieva,Aravane Rezai,6-3 6-3,1.54,6.3%,8.3%,66.7%,68.8%,50.0%,50.0% (3/6),60.0%,57.7%,0.0%,43.3%,77.3%,85.7% (6/7),
8-Mar-2010,Indian Wells,3,Hard,R32,7,77,1,4,,Elena Dementieva,Kirsten Flipkens,6-4 6-2 (ch),1.23,1.4%,5.8%,59.4%,61.0%,53.6%,71.4% (5/7),55.0%,51.6%,0.0%,45.2%,58.1%,55.6% (5/9),
8-Mar-2010,Indian Wells,3,Hard,R64,7,50,1,4,,Elena Dementieva,Olga Govortsova,6-4 4-6 6-0,1.26,1.2%,7.0%,59.3%,58.8%,48.6%,44.4% (4/9),55.8%,57.1%,1.3%,48.9%,68.8%,66.7% (8/12),
22-Feb-2010,Kuala Lumpur,3,Hard,F,7,29,0,1,4,Alisa Kleybanova,Elena Dementieva,6-3 6-2,0.63,3.6%,5.5%,60.0%,51.5%,45.5%,33.3% (2/6),40.5%,32.1%,7.1%,29.7%,36.8%,50.0% (1/2),
22-Feb-2010,Kuala Lumpur,3,Hard,SF,7,50,1,1,6,Elena Dementieva,Sybille Bammer,6-1 6-3,1.56,0.0%,3.8%,71.7%,73.7%,46.7%,83.3% (5/6),58.5%,52.9%,0.0%,47.1%,68.4%,31.3% (5/16),
22-Feb-2010,Kuala Lumpur,3,Hard,QF,7,55,1,1,7,Elena Dementieva,Magdalena Rybarikova,6-0 6-3,1.90,0.0%,5.4%,73.0%,66.7%,60.0%,60.0% (3/5),65.9%,66.7%,2.0%,59.1%,72.4%,70.0% (7/10),
22-Feb-2010,Kuala Lumpur,3,Hard,R16,7,130,1,1,,Elena Dementieva,Bojana Jovanovski,6-2 6-3,2.02,4.5%,6.8%,70.5%,87.1%,53.8%,100.0% (3/3),59.0%,45.9%,1.6%,42.9%,52.6%,80.0% (4/5),
22-Feb-2010,Kuala Lumpur,3,Hard,R32,7,109,1,1,,Elena Dementieva,Ekaterina Bychkova,6-2 6-1,1.92,2.2%,4.4%,53.3%,75.0%,71.4%,100.0% (1/1),62.8%,51.2%,4.9%,47.4%,54.5%,66.7% (4/6),
15-Feb-2010,Dubai,3,Hard,R32,7,27,0,5,,Daniela Hantuchova,Elena Dementieva,6-4 1-1 RET,0.85,2.1%,4.3%,78.7%,59.5%,30.0%,62.5% (5/8),47.6%,40.0%,5.7%,27.8%,52.9%,100.0% (2/2),
8-Feb-2010,Paris,3,Carpet,F,7,46,1,1,,Elena Dementieva,Lucie Safarova,6-7(5) 6-1 6-4,1.23,9.4%,2.1%,68.8%,72.7%,60.0%,50.0% (1/2),53.6%,38.5%,5.2%,31.7%,51.5%,50.0% (4/8),
8-Feb-2010,Paris,3,Carpet,SF,7,53,1,1,,Elena Dementieva,Melanie Oudin,4-6 6-3 6-3 (ch),1.11,2.3%,2.3%,62.8%,50.0%,59.4%,33.3% (3/9),52.4%,51.5%,1.0%,48.6%,58.6%,61.5% (8/13),
8-Feb-2010,Paris,3,Carpet,QF,7,49,1,1,,Elena Dementieva,Andrea Petkovic,3-6 6-4 6-2,1.06,3.0%,6.0%,69.0%,66.7%,48.4%,76.9% (10/13),51.9%,41.2%,7.1%,27.5%,61.8%,62.5% (5/8),
