Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
6-May-2024,W15 Monastir,3,Hard,R32,1290,789,0,,8,Vaishnavi Adkar,Elena Jamshidi,6-3 6-4,,,,,,,,,,,,,,
29-Apr-2024,W15 Monastir,3,Hard,R32,1293,,0,5,,Iliia Dashkevich,Elena Jamshidi,6-3 6-4,,,,,,,,,,,,,,
22-Apr-2024,W15 Monastir,3,Hard,R16,1293,1018,0,11,4,Patricija Paukstyte,Elena Jamshidi,6-1 7-5,,,,,,,,,,,,,,
22-Apr-2024,W15 Monastir,3,Hard,R32,1293,,1,11,,Elena Jamshidi,Chiara Davi,6-2 6-2,,,,,,,,,,,,,,
15-Apr-2024,W15 Monastir,3,Hard,R16,1263,,0,7,,Daria Gorska,Elena Jamshidi,7-5 6-0,,,,,,,,,,,,,,
15-Apr-2024,W15 Monastir,3,Hard,R32,1263,,1,7,,Elena Jamshidi,Hao Liang,6-2 6-1,,,,,,,,,,,,,,
29-Jan-2024,W50 Indore,3,Hard,Q2,1185,499,0,15,3,Lena Rueffer,Elena Jamshidi,6-0 6-3,,,,,,,,,,,,,,
29-Jan-2024,W50 Indore,3,Hard,Q1,1185,1324,1,15,,Elena Jamshidi,Soha Sadiq,7-6(4) 2-0 RET,,,,,,,,,,,,,,
22-Jan-2024,W50 Pune,3,Hard,Q1,1187,472,0,,7,Saki Imamura,Elena Jamshidi,6-1 6-0,,,,,,,,,,,,,,
15-Jan-2024,W50 Bengaluru,3,Hard,Q1,1187,584,0,,16,Punnin Kovapitukted,Elena Jamshidi,6-0 6-3,,,,,,,,,,,,,,
25-Dec-2023,W40 Navi Mumbai,3,Hard,R16,1264,761,0,13,3,Vicky Van De Peer,Elena Jamshidi,7-5 6-2,,,,,,,,,,,,,,
25-Dec-2023,W40 Navi Mumbai,3,Hard,R32,1264,,1,13,WC,Elena Jamshidi,Kkaira Siddharth Chetnani,6-1 6-0,,,,,,,,,,,,,,
18-Dec-2023,W25 Solapur,3,Hard,R32,1116,546,0,Q,,Daria Kudashova,Elena Jamshidi,6-1 6-3,,,,,,,,,,,,,,
18-Dec-2023,W25 Solapur,3,Hard,Q2,1116,,1,5,12,Elena Jamshidi,Yashaswini Panwar,7-5 1-6 10-7,,,,,,,,,,,,,,
18-Dec-2023,W25 Solapur,3,Hard,Q1,1116,,1,5,,Elena Jamshidi,Harsshali Mandavkar,6-1 6-2,,,,,,,,,,,,,,
27-Nov-2023,W15 Ahmedabad,3,Hard,R32,1109,901,0,,7,Humera Baharmus,Elena Jamshidi,7-5 6-4,,,,,,,,,,,,,,
16-Oct-2023,W15 Monastir,3,Hard,R32,1125,,0,,LL,Francesca Covi,Elena Jamshidi,1-6 6-3 6-3,,,,,,,,,,,,,,
9-Oct-2023,W15 Monastir,3,Hard,R16,1127,503,0,WC,1,Hina Inoue,Elena Jamshidi,6-4 6-2,,,,,,,,,,,,,,
9-Oct-2023,W15 Monastir,3,Hard,R32,1127,1174,1,WC,,Elena Jamshidi,Jennifer Luikham,6-0 4-6 6-4,,,,,,,,,,,,,,
2-Oct-2023,W15 Monastir,3,Hard,R16,1095,,0,2,,Carina Syrtveit,Elena Jamshidi,6-4 3-6 10-7,,,,,,,,,,,,,,
2-Oct-2023,W15 Monastir,3,Hard,R32,1095,925,0,LL,,Marine Szostak,Elena Jamshidi,6-2 6-2,,,,,,,,,,,,,,
2-Oct-2023,W15 Monastir,3,Hard,R32,1095,,1,2,,Elena Jamshidi,Ivana Gombitova,6-1 6-1,,,,,,,,,,,,,,
25-Sep-2023,W15 Monastir,3,Hard,R32,1074,,0,,Q,Anjali Rathi,Elena Jamshidi,6-4 6-4,,,,,,,,,,,,,,
18-Sep-2023,W15 Monastir,3,Hard,R32,1091,977,0,,,Smriti Bhasin,Elena Jamshidi,6-4 6-4,,,,,,,,,,,,,,
11-Sep-2023,W15 Monastir,3,Hard,R16,1094,829,0,,3,Aruzhan Sagandikova,Elena Jamshidi,6-0 6-3,,,,,,,,,,,,,,
11-Sep-2023,W15 Monastir,3,Hard,R32,1094,,1,,WC,Elena Jamshidi,Yoana Moneva,6-0 6-0,,,,,,,,,,,,,,
4-Sep-2023,W15 Monastir,3,Hard,R32,1092,1386,0,,Q,Margaux Komano,Elena Jamshidi,6-4 3-6 7-5,,,,,,,,,,,,,,
24-Jul-2023,W15 Vejle,3,Clay,R32,1097,,0,WC,Q,Johanna Silva,Elena Jamshidi,7-5 6-0,,,,,,,,,,,,,,
1-May-2023,W15 Monastir,3,Hard,R32,995,1214,0,7,,Carola Cavelli,Elena Jamshidi,3-6 6-4 6-4,,,,,,,,,,,,,,
24-Apr-2023,W15 Monastir,3,Hard,R32,995,1320,0,,Q,Emmanuelle Girard,Elena Jamshidi,7-5 6-1,,,,,,,,,,,,,,
17-Apr-2023,W15 Monastir,3,Hard,R32,1005,1322,0,,Q,Maelle Leclercq,Elena Jamshidi,6-4 3-6 6-3,,,,,,,,,,,,,,
10-Apr-2023,W15 Monastir,3,Hard,R16,1009,527,0,,2,Jenna Defalco,Elena Jamshidi,6-4 6-1,,,,,,,,,,,,,,
10-Apr-2023,W15 Monastir,3,Hard,R32,1009,1111,1,,,Elena Jamshidi,Nicole Gadient,7-5 6-1,,,,,,,,,,,,,,
6-Mar-2023,W15 Monastir,3,Hard,R16,1030,617,0,,5,Federica Di Sarra,Elena Jamshidi,6-2 6-2,,,,,,,,,,,,,,
6-Mar-2023,W15 Monastir,3,Hard,R32,1030,1172,1,,Q,Elena Jamshidi,Marente Sijbesma,2-6 6-2 6-4,,,,,,,,,,,,,,
27-Feb-2023,W15 Monastir,3,Hard,R16,1000,659,0,,3,Arianna Zucchini,Elena Jamshidi,6-4 6-4,,,,,,,,,,,,,,
27-Feb-2023,W15 Monastir,3,Hard,R32,1000,,1,,,Elena Jamshidi,Sandugash Kenzhibayeva,6-4 6-3,,,,,,,,,,,,,,
20-Feb-2023,W15 Monastir,3,Hard,Q3,1041,938,0,9,6,Paris Corley,Elena Jamshidi,6-1 7-6(6),,,,,,,,,,,,,,
20-Feb-2023,W15 Monastir,3,Hard,Q2,1041,,1,9,WC,Elena Jamshidi,Zixuan Zeng,6-3 7-5,,,,,,,,,,,,,,
13-Feb-2023,W15 Monastir,3,Hard,QF,1023,921,0,Q,SE,Chiraz Bechri,Elena Jamshidi,6-3 2-6 6-2,,,,,,,,,,,,,,
