Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
13-Jul-2009,Palermo,3,Clay,Q1,384,170,0,,5,Olga Savchuk,Elena Pioppo,6-2 6-1,,,,,,,,,,,,,,
15-Jun-2009,Padova 25K,3,Clay,R16,367,340,0,,Q,Ivana Lisjak,Elena Pioppo,6-1 6-1,,,,,,,,,,,,,,
15-Jun-2009,Padova 25K,3,Clay,R32,367,266,1,,8,Elena Pioppo,Irina Buryachok,6-3 6-2,,,,,,,,,,,,,,
8-Jun-2009,Campobasso 25K,3,Clay,R32,320,277,0,,,Agustina Lepore,Elena Pioppo,6-2 6-0,,,,,,,,,,,,,,
4-May-2009,Florence 25K,3,Clay,R16,334,234,0,,7,Darya Kustova,Elena Pioppo,6-4 7-5,,,,,,,,,,,,,,
4-May-2009,Florence 25K,3,Clay,R32,334,792,1,,LL,Elena Pioppo,Kristyna Pliskova,6-3 6-3,,,,,,,,,,,,,,
27-Apr-2009,Brescia 10K,3,Clay,SF,337,839,0,4,WC,Anna Giulia Remondina,Elena Pioppo,7-6(8) 6-2,,,,,,,,,,,,,,
27-Apr-2009,Brescia 10K,3,Clay,QF,337,905,1,4,Q,Elena Pioppo,Martina Gledacheva,6-4 6-1,,,,,,,,,,,,,,
27-Apr-2009,Brescia 10K,3,Clay,R16,337,501,1,4,,Elena Pioppo,Neda Kozic,6-4 6-0,,,,,,,,,,,,,,
27-Apr-2009,Brescia 10K,3,Clay,R32,337,521,1,4,,Elena Pioppo,Claudia Giovine,6-1 6-3,,,,,,,,,,,,,,
9-Mar-2009,Giza 10K,3,Clay,R32,330,519,0,5,,Fatima El Allami,Elena Pioppo,3-6 6-2 6-4,,,,,,,,,,,,,,
2-Feb-2009,Rancho Mirage CA 25K,3,Hard,SF,379,353,0,Q,Q,Julia Vakulenko,Elena Pioppo,6-1 6-3,,,,,,,,,,,,,,
2-Feb-2009,Rancho Mirage CA 25K,3,Hard,QF,379,527,1,Q,Q,Elena Pioppo,Danielle Harmsen,7-5 2-6 6-0,,,,,,,,,,,,,,
2-Feb-2009,Rancho Mirage CA 25K,3,Hard,R16,379,501,1,Q,Q,Elena Pioppo,Wen Hsin Hsu,6-2 7-5,,,,,,,,,,,,,,
2-Feb-2009,Rancho Mirage CA 25K,3,Hard,R32,379,201,1,Q,5,Elena Pioppo,Sunitha Rao,6-0 6-4,,,,,,,,,,,,,,
8-Dec-2008,Benicarlo 10K,3,Clay,SF,397,573,0,1,8,Ashley Weinhold,Elena Pioppo,6-3 6-1,,,,,,,,,,,,,,
8-Dec-2008,Benicarlo 10K,3,Clay,QF,397,712,1,1,,Elena Pioppo,Chloe Babet,6-2 6-1,,,,,,,,,,,,,,
8-Dec-2008,Benicarlo 10K,3,Clay,R16,397,679,1,1,,Elena Pioppo,Cristina Andreea Mitu,6-1 4-6 6-3,,,,,,,,,,,,,,
8-Dec-2008,Benicarlo 10K,3,Clay,R32,397,910,1,1,SE,Elena Pioppo,Reka Luca Jani,6-2 6-3,,,,,,,,,,,,,,
1-Dec-2008,Vinaros 10K,3,Clay,SF,397,448,0,3,6,Elitsa Kostova,Elena Pioppo,6-7(11) 4-1 RET,,,,,,,,,,,,,,
1-Dec-2008,Vinaros 10K,3,Clay,QF,397,514,1,3,,Elena Pioppo,Sandra Soler Sola,4-6 7-6(7) 7-5,,,,,,,,,,,,,,
1-Dec-2008,Vinaros 10K,3,Clay,R16,397,720,1,3,Q,Elena Pioppo,Lara Arruabarrena,6-2 6-1,,,,,,,,,,,,,,
1-Dec-2008,Vinaros 10K,3,Clay,R32,397,,1,3,Q,Elena Pioppo,Nanuli Pipiya,7-6(4) 6-4,,,,,,,,,,,,,,
20-Oct-2008,Dubrovnik 10K,3,Clay,R32,391,,0,1,Q,Reka Luca Jani,Elena Pioppo,6-0 6-3,,,,,,,,,,,,,,
13-Oct-2008,Dubrovnik 10K,3,Clay,SF,399,699,0,1,,Paola Cigui,Elena Pioppo,7-5 6-4,,,,,,,,,,,,,,
13-Oct-2008,Dubrovnik 10K,3,Clay,QF,399,827,1,1,WC,Elena Pioppo,Matea Mezak,6-1 7-6(6),,,,,,,,,,,,,,
13-Oct-2008,Dubrovnik 10K,3,Clay,R16,399,933,1,1,,Elena Pioppo,Petra Sunic,6-4 6-0,,,,,,,,,,,,,,
13-Oct-2008,Dubrovnik 10K,3,Clay,R32,399,,1,1,WC,Elena Pioppo,Aleksandra Krunic,6-3 6-0,,,,,,,,,,,,,,
6-Oct-2008,Reggio Calabria 25K,3,Clay,R32,391,725,0,,WC,Valentine Confalonieri,Elena Pioppo,7-5 6-3,,,,,,,,,,,,,,
1-Sep-2008,Martina Franca 25K,3,Clay,R32,368,375,0,,,Evelyn Mayr,Elena Pioppo,4-6 7-5 3-0 RET,,,,,,,,,,,,,,
11-Aug-2008,Palic 50K,3,Clay,R32,393,317,0,,,Olga Brozda,Elena Pioppo,4-6 7-6(6) 6-3,,,,,,,,,,,,,,
4-Aug-2008,Monteroni D'Arbia 25K,3,Clay,QF,390,291,0,,5,Nathalie Vierin,Elena Pioppo,6-2 6-2,,,,,,,,,,,,,,
4-Aug-2008,Monteroni D'Arbia 25K,3,Clay,R16,390,421,1,,WC,Elena Pioppo,Verdiana Verardi,6-2 3-6 7-6(5),,,,,,,,,,,,,,
4-Aug-2008,Monteroni D'Arbia 25K,3,Clay,R32,390,443,1,,Q,Elena Pioppo,Debbrich Feys,4-6 6-0 6-0,,,,,,,,,,,,,,
14-Jul-2008,Biella 100K,3,Clay,R16,386,135,0,,6,Yuliana Fedak,Elena Pioppo,6-2 6-2,,,,,,,,,,,,,,
14-Jul-2008,Biella 100K,3,Clay,R32,386,692,1,,Q,Elena Pioppo,Nastassja Burnett,7-6(3) 6-2,,,,,,,,,,,,,,
30-Jun-2008,StuttgartVaihingen 25K,3,Clay,QF,406,394,0,Q,,Anastasia Poltoratskaya,Elena Pioppo,6-7(6) 7-6(4) 6-4,,,,,,,,,,,,,,
30-Jun-2008,StuttgartVaihingen 25K,3,Clay,R16,406,243,1,Q,6,Elena Pioppo,Magda Mihalache,6-2 7-6(9),,,,,,,,,,,,,,
30-Jun-2008,StuttgartVaihingen 25K,3,Clay,R32,406,745,1,Q,LL,Elena Pioppo,Janina Toljan,6-4 6-1,,,,,,,,,,,,,,
9-Jun-2008,Marseille 75K,3,Clay,R16,434,101,0,Q,2,Maret Ani,Elena Pioppo,6-4 6-1,,,,,,,,,,,,,,
9-Jun-2008,Marseille 75K,3,Clay,R32,434,387,1,Q,Q,Elena Pioppo,Veronica Spiegel,7-5 6-3,,,,,,,,,,,,,,
26-May-2008,Tortosa 10K,3,Clay,R16,451,739,0,3,,Amanda Carreras,Elena Pioppo,7-5 6-4,,,,,,,,,,,,,,
26-May-2008,Tortosa 10K,3,Clay,R32,451,735,1,3,,Elena Pioppo,Julia Parasyuk,6-4 6-1,,,,,,,,,,,,,,
19-May-2008,Gorizia 10K,3,Clay,QF,452,356,0,5,2,Lisa Sabino,Elena Pioppo,6-2 6-2,,,,,,,,,,,,,,
19-May-2008,Gorizia 10K,3,Clay,R16,452,533,1,5,,Elena Pioppo,Andrea Koch Benvenuto,6-2 7-6(8),,,,,,,,,,,,,,
19-May-2008,Gorizia 10K,3,Clay,R32,452,832,1,5,Q,Elena Pioppo,Marlena Metzinger,6-2 6-2,,,,,,,,,,,,,,
12-May-2008,Szczecin 25K,3,Clay,R32,446,213,0,Q,2,Michaela Pastikova,Elena Pioppo,7-5 6-1,,,,,,,,,,,,,,
28-Apr-2008,Brescia 10K,3,Clay,QF,426,355,0,,3,Patricia Mayr Achleitner,Elena Pioppo,7-5 5-7 7-6(4),,,,,,,,,,,,,,
28-Apr-2008,Brescia 10K,3,Clay,R16,426,456,1,,8,Elena Pioppo,Stefania Chieppa,6-3 6-3,,,,,,,,,,,,,,
28-Apr-2008,Brescia 10K,3,Clay,R32,426,,1,,WC,Elena Pioppo,Serena Frazzitta,6-1 6-1,,,,,,,,,,,,,,
21-Apr-2008,Torrent 10K,3,Clay,R32,428,620,0,3,,Sandra Soler Sola,Elena Pioppo,6-7(1) 6-4 6-3,,,,,,,,,,,,,,
7-Apr-2008,FoggiaSan Severo 10K,3,Clay,QF,437,468,0,8,,Federica Di Sarra,Elena Pioppo,6-2 4-6 6-1,,,,,,,,,,,,,,
7-Apr-2008,FoggiaSan Severo 10K,3,Clay,R16,437,945,1,8,Q,Elena Pioppo,Martina Di Giuseppe,6-1 6-4,,,,,,,,,,,,,,
7-Apr-2008,FoggiaSan Severo 10K,3,Clay,R32,437,846,1,8,Q,Elena Pioppo,Claudia Giovine,6-1 6-3,,,,,,,,,,,,,,
24-Mar-2008,La Palma 25K,3,Hard,R32,427,159,0,Q,1,Anastasia Yakimova,Elena Pioppo,6-3 6-4,,,,,,,,,,,,,,
25-Feb-2008,Fort Walton Beach FL 25K,3,Hard,R32,425,259,0,Q,,Yurika Sema,Elena Pioppo,2-6 6-3 6-2,,,,,,,,,,,,,,
4-Feb-2008,Vale Do Lobo 10K,3,Hard,R16,415,522,0,6,,Dominika Nociarova,Elena Pioppo,6-4 6-3,,,,,,,,,,,,,,
4-Feb-2008,Vale Do Lobo 10K,3,Hard,R32,415,515,1,6,,Elena Pioppo,Marcella Koek,6-4 6-4,,,,,,,,,,,,,,
1-Oct-2007,Nantes 25K,3,Hard,R32,413,298,0,LL,,Kirsten Flipkens,Elena Pioppo,4-6 6-4 7-5,,,,,,,,,,,,,,
10-Sep-2007,Sofia 25K,3,Clay,R16,443,281,0,Q,,Anna Gerasimou,Elena Pioppo,7-6(1) 7-5,,,,,,,,,,,,,,
10-Sep-2007,Sofia 25K,3,Clay,R32,443,368,1,Q,,Elena Pioppo,Mihaela Buzarnescu,6-3 6-4,,,,,,,,,,,,,,
27-Aug-2007,Moscow 50K,3,Clay,R32,484,283,0,Q,,Oxana Lyubtsova,Elena Pioppo,6-4 6-1,,,,,,,,,,,,,,
20-Aug-2007,Moscow 25K,3,Clay,R32,480,330,0,Q,,Magdalena Kiszczynska,Elena Pioppo,6-2 6-3,,,,,,,,,,,,,,
6-Aug-2007,Jesi 10K,3,Carpet,R16,493,525,0,,,Anna Giulia Remondina,Elena Pioppo,6-0 6-3,,,,,,,,,,,,,,
6-Aug-2007,Jesi 10K,3,Carpet,R32,493,,1,,Q,Elena Pioppo,Linda Agazzi,6-2 6-1,,,,,,,,,,,,,,
23-Jul-2007,Monteroni D'arbia 25K,3,Clay,QF,590,223,0,Q,2,Margit Ruutel,Elena Pioppo,6-4 6-2,,,,,,,,,,,,,,
23-Jul-2007,Monteroni D'arbia 25K,3,Clay,R16,590,470,1,Q,Q,Elena Pioppo,Irina Buryachok,6-3 6-2,,,,,,,,,,,,,,
23-Jul-2007,Monteroni D'arbia 25K,3,Clay,R32,590,606,1,Q,LL,Elena Pioppo,Lisa Tognetti,4-6 6-2 6-3,,,,,,,,,,,,,,
2-Jul-2007,Cremona 10K,3,Clay,F,657,541,0,,7,Anna Giulia Remondina,Elena Pioppo,6-4 2-6 6-2,,,,,,,,,,,,,,
2-Jul-2007,Cremona 10K,3,Clay,SF,657,533,1,,6,Elena Pioppo,Alice Balducci,6-2 6-4,,,,,,,,,,,,,,
2-Jul-2007,Cremona 10K,3,Clay,QF,657,434,1,,2,Elena Pioppo,Lisa Sabino,6-1 4-6 6-4,,,,,,,,,,,,,,
2-Jul-2007,Cremona 10K,3,Clay,R16,657,580,1,,8,Elena Pioppo,Melisa Miranda Otarola,6-0 6-0,,,,,,,,,,,,,,
2-Jul-2007,Cremona 10K,3,Clay,R32,657,723,1,,,Elena Pioppo,Benedetta Davato,6-3 6-2,,,,,,,,,,,,,,
25-Jun-2007,Padova 25K,3,Clay,R32,657,196,0,WC,,Darya Kustova,Elena Pioppo,6-7(3) 6-4 6-2,,,,,,,,,,,,,,
18-Jun-2007,Alkmaar 10K,3,Clay,R16,656,429,0,,2,Lenka Wienerova,Elena Pioppo,6-4 6-0,,,,,,,,,,,,,,
18-Jun-2007,Alkmaar 10K,3,Clay,R32,656,879,1,,,Elena Pioppo,Melanie Oosterhof,6-4 6-1,,,,,,,,,,,,,,
11-Jun-2007,Annaba 10K,3,Clay,R32,801,,0,7,,Chika Terasawa,Elena Pioppo,W/O,,,,,,,,,,,,,,
4-Jun-2007,Birkerod 10K,3,Clay,F,791,478,1,,1,Elena Pioppo,Irina Kuzmina,6-2 6-0,,,,,,,,,,,,,,
4-Jun-2007,Birkerod 10K,3,Clay,SF,791,647,1,,5,Elena Pioppo,Madlen Kadur,6-2 6-2,,,,,,,,,,,,,,
4-Jun-2007,Birkerod 10K,3,Clay,QF,791,,1,,Q,Elena Pioppo,Helene Auensen,6-1 6-0,,,,,,,,,,,,,,
4-Jun-2007,Birkerod 10K,3,Clay,R16,791,962,1,,,Elena Pioppo,Sheila Solsona Carcasona,6-1 6-0,,,,,,,,,,,,,,
4-Jun-2007,Birkerod 10K,3,Clay,R32,791,709,1,,6,Elena Pioppo,Hanne Skak Jensen,6-1 6-4,,,,,,,,,,,,,,
7-May-2007,Mostar 10K,3,Clay,QF,943,925,0,,8,Jelena Stanivuk,Elena Pioppo,1-6 7-5 6-3,,,,,,,,,,,,,,
7-May-2007,Mostar 10K,3,Clay,R16,943,927,1,,,Elena Pioppo,Marlena Metzinger,6-2 7-5,,,,,,,,,,,,,,
7-May-2007,Mostar 10K,3,Clay,R32,943,669,1,,3,Elena Pioppo,Cristina Celani,7-5 6-2,,,,,,,,,,,,,,
30-Apr-2007,Bournemouth 10K,3,Clay,SF,943,,0,Q,Q,Amanda Elliott,Elena Pioppo,W/O,,,,,,,,,,,,,,
30-Apr-2007,Bournemouth 10K,3,Clay,QF,943,1334,1,Q,Q,Elena Pioppo,Elena Kulikova,7-5 7-5,,,,,,,,,,,,,,
30-Apr-2007,Bournemouth 10K,3,Clay,R16,943,814,1,Q,,Elena Pioppo,Marina Cossou,6-1 3-6 6-1,,,,,,,,,,,,,,
30-Apr-2007,Bournemouth 10K,3,Clay,R32,943,550,1,Q,2,Elena Pioppo,Biljana Pawlowa Dimitrova,6-4 6-1,,,,,,,,,,,,,,
9-Apr-2007,Torhout 10K,3,Hard,R32,945,659,0,Q,,Olivia Scarfi,Elena Pioppo,6-1 6-2,,,,,,,,,,,,,,
5-Mar-2007,Quartu Sant Elena 10K,3,Hard,R16,,388,0,Q,2,Andrea Sieveke,Elena Pioppo,6-4 6-2,,,,,,,,,,,,,,
5-Mar-2007,Quartu Sant Elena 10K,3,Hard,R32,,825,1,Q,,Elena Pioppo,Monia Pederzoli,6-0 6-4,,,,,,,,,,,,,,
12-Feb-2007,Mallorca 10K,3,Clay,R16,,645,0,SE,,Rebeca Bou Nogueiro,Elena Pioppo,6-3 6-2,,,,,,,,,,,,,,
12-Feb-2007,Mallorca 10K,3,Clay,R32,,498,1,SE,4,Elena Pioppo,Tatjana Priachin,4-6 6-2 6-4,,,,,,,,,,,,,,
5-Feb-2007,Mallorca 10K,3,Clay,QF,,1040,0,Q,Q,Marta Marrero,Elena Pioppo,6-2 6-3,,,,,,,,,,,,,,
5-Feb-2007,Mallorca 10K,3,Clay,R16,,529,1,Q,6,Elena Pioppo,Oksana Karyshkova,7-6(6) 6-4,,,,,,,,,,,,,,
5-Feb-2007,Mallorca 10K,3,Clay,R32,,711,1,Q,,Elena Pioppo,Oana Elena Golimbioschi,6-2 6-3,,,,,,,,,,,,,,
14-Mar-2005,RomeBorghesiana 10K,3,Clay,R16,,582,0,Q,,Franziska Etzel,Elena Pioppo,6-1 6-1,,,,,,,,,,,,,,
14-Mar-2005,RomeBorghesiana 10K,3,Clay,R32,,493,1,Q,8,Elena Pioppo,Raffaella Bindi,6-4 7-5,,,,,,,,,,,,,,
31-Jan-2005,Ortisei 75K,3,Carpet,R32,,163,0,WC,JE,Michaella Krajicek,Elena Pioppo,6-1 6-1,,,,,,,,,,,,,,
27-Aug-2001,Spoleto 10K,3,Clay,SF,,495,0,Q,,Sonia Delgado Tardif,Elena Pioppo,6-4 6-3,,,,,,,,,,,,,,
27-Aug-2001,Spoleto 10K,3,Clay,QF,,,1,Q,,Elena Pioppo,Sabrina Jolk,6-4 6-4,,,,,,,,,,,,,,
27-Aug-2001,Spoleto 10K,3,Clay,R16,,471,1,Q,8,Elena Pioppo,Monica Scartoni,6-3 1-6 6-3,,,,,,,,,,,,,,
27-Aug-2001,Spoleto 10K,3,Clay,R32,,427,1,Q,,Elena Pioppo,Silvia Disderi,6-2 6-4,,,,,,,,,,,,,,
16-Apr-2001,Cagliari 10K,3,Clay,R16,,367,0,,5,Andreea Ehritt Vanc,Elena Pioppo,2-6 6-0 7-5,,,,,,,,,,,,,,
16-Apr-2001,Cagliari 10K,3,Clay,R32,,,1,,,Elena Pioppo,Nina Nittinger,6-4 6-3,,,,,,,,,,,,,,
4-Oct-1999,Girona 10K,3,Clay,R32,536,,0,,,Carolina Rodriguez Magdalena,Elena Pioppo,6-1 6-3,,,,,,,,,,,,,,
27-Sep-1999,Lerida 10K,3,Clay,R32,544,,0,4,WC,Maria Rosa Sitja Gibert,Elena Pioppo,6-4 6-1,,,,,,,,,,,,,,
20-Sep-1999,Lecce 10K,3,Clay,R32,527,450,0,,,Nathalie Vierin,Elena Pioppo,6-4 6-2,,,,,,,,,,,,,,
7-Jun-1999,Galatina 10K,3,Clay,R32,478,222,0,WC,,Alicia Ortuno,Elena Pioppo,6-1 6-4,,,,,,,,,,,,,,
17-May-1999,Pesaro 10K,3,Clay,R16,484,500,0,,,Evy Last,Elena Pioppo,3-6 6-4 6-3,,,,,,,,,,,,,,
17-May-1999,Pesaro 10K,3,Clay,R32,484,526,1,,,Elena Pioppo,Bettina Auer,6-3 3-6 6-3,,,,,,,,,,,,,,
19-Apr-1999,Bari 10K,3,Clay,R16,494,284,0,,1,Laura Pena,Elena Pioppo,6-3 6-2,,,,,,,,,,,,,,
19-Apr-1999,Bari 10K,3,Clay,R32,494,619,1,,,Elena Pioppo,Marina Petrovic,6-1 6-3,,,,,,,,,,,,,,
12-Apr-1999,San Severo 10K,3,Clay,R16,495,417,0,,,Antoaneta Pandjerova,Elena Pioppo,6-4 2-6 6-3,,,,,,,,,,,,,,
12-Apr-1999,San Severo 10K,3,Clay,R32,495,,1,,Q,Elena Pioppo,Giulia Meruzzi,6-0 6-3,,,,,,,,,,,,,,
5-Apr-1999,Cerignola 10K,3,Clay,R32,495,292,0,,2,Giulia Casoni,Elena Pioppo,6-3 7-5,,,,,,,,,,,,,,
22-Mar-1999,Petroupolis 10K,3,Clay,R16,501,417,0,,5,Ines Heise,Elena Pioppo,6-4 6-2,,,,,,,,,,,,,,
22-Mar-1999,Petroupolis 10K,3,Clay,R32,501,562,1,,,Elena Pioppo,Monica Scartoni,6-1 3-6 6-1,,,,,,,,,,,,,,
1-Mar-1999,Albufeira 10K,3,Hard,R16,539,313,0,Q,4,Laura Pena,Elena Pioppo,7-5 6-1,,,,,,,,,,,,,,
1-Mar-1999,Albufeira 10K,3,Hard,R32,539,1026,1,Q,WC,Elena Pioppo,Katia Rodrigues,6-3 6-3,,,,,,,,,,,,,,
22-Feb-1999,Faro 10K,3,Hard,R16,535,388,0,LL,,Alienor Tricerri,Elena Pioppo,6-4 7-5,,,,,,,,,,,,,,
22-Feb-1999,Faro 10K,3,Hard,R32,535,588,1,LL,Q,Elena Pioppo,Mara Santangelo,1-6 6-1 7-5,,,,,,,,,,,,,,
8-Feb-1999,Birmingham 10K,3,Hard,R16,541,142,0,Q,1,Surina De Beer,Elena Pioppo,6-1 6-2,,,,,,,,,,,,,,
8-Feb-1999,Birmingham 10K,3,Hard,R32,541,582,1,Q,LL,Elena Pioppo,Lydia Perkins,6-4 6-2,,,,,,,,,,,,,,
1-Feb-1999,Sheffield 10K,3,Hard,R32,544,234,0,Q,3,Lucie Ahl,Elena Pioppo,6-3 6-4,,,,,,,,,,,,,,
12-Oct-1998,St Raphael 10K,3,Hard,QF,590,252,0,,1,Katarzyna Nowak,Elena Pioppo,3-6 6-1 6-1,,,,,,,,,,,,,,
12-Oct-1998,St Raphael 10K,3,Hard,R16,590,393,1,,7,Elena Pioppo,Alena Paulenkova,7-6 6-7 6-3,,,,,,,,,,,,,,
12-Oct-1998,St Raphael 10K,3,Hard,R32,590,468,1,,,Elena Pioppo,Elodie Le Bescond,5-7 6-4 6-3,,,,,,,,,,,,,,
15-Sep-1998,Reggio Calabria 10K,3,Clay,QF,639,586,0,6,,Stefanie Haidner,Elena Pioppo,6-4 6-3,,,,,,,,,,,,,,
15-Sep-1998,Reggio Calabria 10K,3,Clay,R16,639,886,1,6,,Elena Pioppo,Jahnavi Parekh,6-3 7-6,,,,,,,,,,,,,,
15-Sep-1998,Reggio Calabria 10K,3,Clay,R32,639,,1,6,WC,Elena Pioppo,Simona Farenza,6-2 6-0,,,,,,,,,,,,,,
