Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
3-Dec-2018,Solarino $15K,3,Carpet,SF,1053,574,0,,2,Lou Adler,Eleni Daniilidou,6-0 2-0 RET,,,,,,,,,,,,,,
3-Dec-2018,Solarino $15K,3,Carpet,QF,1053,1165,1,,,Eleni Daniilidou,Maria Masini,6-1 6-1,,,,,,,,,,,,,,
3-Dec-2018,Solarino $15K,3,Carpet,R16,1053,,1,,,Eleni Daniilidou,Clarissa Gai,6-2 6-1,,,,,,,,,,,,,,
3-Dec-2018,Solarino $15K,3,Carpet,R32,1053,1130,1,,,Eleni Daniilidou,Adelina Baravi,6-2 6-1,,,,,,,,,,,,,,
1-Oct-2018,Antalya $15K,3,Hard,R32,1083,997,0,,,Alise Cernecka,Eleni Daniilidou,6-0 3-2 RET,,,,,,,,,,,,,,
24-Sep-2018,Antalya $15K,3,Hard,QF,1046,,0,,,Romina Oprandi,Eleni Daniilidou,6-3 6-0,,,,,,,,,,,,,,
24-Sep-2018,Antalya $15K,3,Hard,R16,1046,,1,,,Eleni Daniilidou,Sinja Kraus,6-4 6-1,,,,,,,,,,,,,,
24-Sep-2018,Antalya $15K,3,Hard,R32,1046,737,1,,5,Eleni Daniilidou,Vasilisa Aponasenko,6-4 2-6 6-3,,,,,,,,,,,,,,
23-Jul-2018,Schio $15K,3,Clay,R16,1086,875,0,,,Bianca Turati,Eleni Daniilidou,6-4 6-2,,,,,,,,,,,,,,
23-Jul-2018,Schio $15K,3,Clay,R32,1086,,1,,,Eleni Daniilidou,Anastasia Piangerelli,6-4 7-6(7),,,,,,,,,,,,,,
16-Jul-2018,Imola $25K,3,Carpet,R32,1085,362,0,,3,Federica Di Sarra,Eleni Daniilidou,6-4 6-4,,,,,,,,,,,,,,
25-Jun-2018,Alkmaar $15K,3,Clay,R32,1053,,0,,,Eva Vedder,Eleni Daniilidou,6-3 6-1,,,,,,,,,,,,,,
7-May-2018,Monzon $25K,3,Hard,R32,1088,289,0,Q,,Giulia Gatto Monticone,Eleni Daniilidou,6-1 6-0,,,,,,,,,,,,,,
5-Mar-2018,Antalya $15K,3,Clay,R16,1110,474,0,,6,Yana Sizikova,Eleni Daniilidou,4-6 7-5 6-2,,,,,,,,,,,,,,
