Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
20-May-2024,Strasbourg,3,Clay,R16,17,43,0,7,,Clara Burel,Elina Svitolina,7-6(1) 4-6 6-1,0.90,0.0%,4.6%,71.3%,53.2%,48.4%,53.3% (8/15),48.0%,43.5%,3.3%,30.0%,59.5%,38.5% (5/13),2:15
20-May-2024,Strasbourg,3,Clay,R32,17,61,1,7,,Elina Svitolina,Diane Parry,6-3 6-4,1.26,0.0%,3.8%,64.2%,61.8%,57.9%,33.3% (1/3),54.8%,50.0%,6.5%,44.8%,54.5%,50.0% (5/10),1:25
6-May-2024,Rome,3,Clay,R16,19,2,0,16,2,Aryna Sabalenka,Elina Svitolina,4-6 6-1 7-6(7),0.93,2.4%,7.1%,51.8%,65.9%,36.6%,14.3% (1/7),47.8%,44.9%,2.5%,42.4%,51.5%,27.8% (5/18),2:24
6-May-2024,Rome,3,Clay,R32,19,26,1,16,23,Elina Svitolina,Anna Kalinskaya,6-3 6-3,1.37,3.8%,1.9%,61.5%,78.1%,45.0%,66.7% (2/3),56.0%,47.4%,0.0%,41.5%,62.5%,44.4% (4/9),1:13
6-May-2024,Rome,3,Clay,R64,19,93,1,16,WC,Elina Svitolina,Sara Errani,6-0 6-2,1.59,6.5%,6.5%,43.5%,77.8%,40.0%,90.9% (10/11),61.5%,69.0%,0.0%,66.7%,75.0%,75.0% (6/8),1:17
22-Apr-2024,Madrid,3,Clay,R64,18,55,0,16,,Sara Sorribes Tormo,Elina Svitolina,6-3 7-5,0.83,2.7%,1.4%,63.0%,45.7%,40.7%,61.1% (11/18),45.3%,46.7%,0.0%,46.6%,47.1%,44.4% (4/9),2:12
12-Apr-2024,BJK Cup Qualifiers,3,,RR,18,64,0,,,Ana Bogdan,Elina Svitolina,6-4 4-6 6-3,0.96,3.8%,1.5%,65.4%,52.9%,43.5%,65.0% (13/20),49.1%,48.5%,0.0%,39.1%,71.4%,54.5% (6/11),
12-Apr-2024,BJK Cup Qualifiers,3,,RR,18,75,1,,,Elina Svitolina,Jaqueline Cristian,6-3 7-5,1.19,0.0%,1.6%,59.0%,63.9%,48.0%,76.9% (10/13),53.8%,50.7%,1.4%,42.1%,60.6%,50.0% (6/12),
1-Apr-2024,Charleston,3,Clay,R16,17,30,0,7,11,Elise Mertens,Elina Svitolina,6-4 6-1,0.75,5.7%,0.0%,71.4%,60.0%,30.0%,33.3% (2/6),41.8%,36.5%,4.8%,27.5%,52.2%,12.5% (1/8),1:06
1-Apr-2024,Charleston,3,Clay,R32,17,108,1,7,Q,Elina Svitolina,Daria Saville,6-2 6-4,1.24,1.8%,1.8%,67.9%,60.5%,44.4%,0.0% (0/3),55.5%,55.6%,3.2%,51.1%,66.7%,50.0% (6/12),1:21
18-Mar-2024,Miami,3,Hard,R64,17,229,0,15,,Naomi Osaka,Elina Svitolina,6-2 7-6(5),0.84,3.2%,0.0%,64.5%,67.5%,54.5%,40.0% (2/5),46.8%,31.3%,7.8%,28.9%,34.6%,25.0% (1/4),1:30
6-Mar-2024,Indian Wells,3,Hard,R32,17,23,0,16,23,Emma Navarro,Elina Svitolina,6-1 4-6 6-3,0.84,1.1%,4.5%,56.8%,60.0%,36.8%,46.2% (6/13),46.2%,42.2%,0.0%,42.4%,41.7%,66.7% (4/6),2:00
6-Mar-2024,Indian Wells,3,Hard,R64,17,41,1,16,,Elina Svitolina,Katerina Siniakova,6-3 2-6 6-1,1.25,2.4%,6.1%,59.8%,69.4%,51.5%,75.0% (6/8),54.3%,47.3%,0.0%,44.9%,50.0%,36.4% (4/11),1:58
19-Feb-2024,Dubai,3,Hard,R16,20,1,0,15,1,Iga Swiatek,Elina Svitolina,6-1 6-4,0.74,7.7%,1.9%,59.6%,58.1%,28.6%,16.7% (1/6),42.7%,39.7%,6.9%,32.5%,55.6%,33.3% (2/6),1:23
19-Feb-2024,Dubai,3,Hard,R32,20,54,1,15,,Elina Svitolina,Tatjana Maria,6-3 6-3,1.40,5.8%,0.0%,61.5%,71.9%,60.0%,80.0% (4/5),55.8%,45.9%,6.6%,39.4%,53.6%,57.1% (4/7),1:12
19-Feb-2024,Dubai,3,Hard,R64,20,32,1,15,,Elina Svitolina,Anhelina Kalinina,6-3 7-6(7),1.19,9.6%,2.7%,69.9%,82.4%,45.5%,100.0% (3/3),53.1%,34.3%,4.3%,32.0%,40.0%,33.3% (1/3),1:40
15-Jan-2024,Australian Open,5,Hard,R16,23,50,0,19,,Linda Noskova,Elina Svitolina,3-0 RET,0.00,0.0%,3.8%,50.0%,53.8%,30.8%,33.3% (1/3),36.7%,0.0%,25.0%,0.0%,0.0%,- (0/0),0:23
15-Jan-2024,Australian Open,5,Hard,R32,23,85,1,19,,Elina Svitolina,Viktorija Golubic,6-2 6-3,1.44,4.0%,4.0%,60.0%,76.7%,45.0%,33.3% (1/3),58.0%,52.0%,2.0%,45.7%,66.7%,62.5% (5/8),1:04
15-Jan-2024,Australian Open,5,Hard,R64,23,70,1,19,,Elina Svitolina,Viktoriya Tomova,6-1 6-3,1.72,2.3%,2.3%,67.4%,69.0%,57.1%,50.0% (2/4),62.2%,60.0%,1.8%,62.2%,55.6%,85.7% (6/7),1:05
15-Jan-2024,Australian Open,5,Hard,R128,23,201,1,19,WC,Elina Svitolina,Taylah Preston,6-2 6-2,1.74,4.8%,0.0%,57.1%,70.8%,55.6%,0.0% (0/2),63.2%,62.3%,3.8%,51.5%,80.0%,60.0% (6/10),0:59
1-Jan-2024,Auckland,3,Hard,F,25,3,0,2,1,Coco Gauff,Elina Svitolina,6-7(4) 6-3 6-3,0.81,0.0%,2.8%,60.6%,57.6%,48.8%,53.8% (7/13),46.3%,37.0%,3.3%,28.3%,53.1%,50.0% (3/6),2:35
1-Jan-2024,Auckland,3,Hard,SF,25,71,1,2,,Elina Svitolina,Xiyu Wang,2-6 6-4 6-3,0.96,6.7%,3.4%,69.7%,64.5%,44.4%,60.0% (6/10),49.4%,39.8%,2.4%,27.3%,53.8%,40.0% (4/10),2:23
1-Jan-2024,Auckland,3,Hard,QF,25,36,1,2,5,Elina Svitolina,Marie Bouzkova,6-0 6-3,1.76,6.1%,2.0%,61.2%,63.3%,68.4%,66.7% (2/3),63.5%,61.1%,0.0%,42.9%,86.7%,55.6% (5/9),1:05
1-Jan-2024,Auckland,3,Hard,R16,25,301,1,2,WC,Elina Svitolina,Emma Raducanu,6-7(5) 7-6(3) 6-1,1.11,8.6%,2.3%,68.0%,64.4%,48.8%,69.2% (9/13),53.0%,45.2%,5.8%,39.1%,55.0%,42.9% (6/14),2:49
1-Jan-2024,Auckland,3,Hard,R32,25,256,1,2,WC,Elina Svitolina,Caroline Wozniacki,6-4 6-3,1.14,6.7%,1.3%,58.7%,56.8%,54.8%,66.7% (6/9),53.2%,50.0%,1.5%,44.4%,56.7%,50.0% (5/10),1:44
28-Aug-2023,US Open,5,Hard,R32,26,3,0,26,3,Jessica Pegula,Elina Svitolina,6-4 4-6 6-2,0.86,4.4%,4.4%,57.8%,71.2%,52.6%,62.5% (5/8),48.3%,31.7%,11.0%,24.5%,44.8%,33.3% (1/3),1:51
28-Aug-2023,US Open,5,Hard,R64,26,98,1,26,,Elina Svitolina,Anastasia Pavlyuchenkova,5-7 6-4 6-4,1.13,10.0%,9.0%,55.0%,80.0%,42.2%,50.0% (3/6),51.9%,41.8%,2.7%,34.9%,51.1%,26.7% (4/15),2:47
28-Aug-2023,US Open,5,Hard,R128,26,90,1,26,,Elina Svitolina,Anna Lena Friedsam,6-3 6-1,3.25,10.3%,0.0%,64.1%,88.0%,78.6%,100.0% (1/1),65.2%,50.0%,2.0%,42.1%,75.0%,80.0% (4/5),0:59
7-Aug-2023,Montreal,3,Hard,R64,27,49,0,,Q,Danielle Collins,Elina Svitolina,6-2 6-2,0.68,6.0%,6.0%,66.0%,63.6%,35.3%,50.0% (4/8),42.6%,31.4%,5.9%,33.3%,29.2%,0.0% (0/2),1:11
31-Jul-2023,Washington,3,Hard,QF,27,4,0,WC,1,Jessica Pegula,Elina Svitolina,4-6 6-3 6-4,0.85,4.7%,3.5%,62.4%,73.6%,50.0%,60.0% (3/5),46.6%,30.1%,3.2%,20.4%,40.9%,14.3% (1/7),2:08
31-Jul-2023,Washington,3,Hard,R16,27,11,1,WC,5,Elina Svitolina,Daria Kasatkina,6-2 6-2,1.22,1.2%,4.8%,65.1%,68.5%,44.8%,100.0% (10/10),55.2%,48.3%,1.7%,36.1%,66.7%,44.4% (4/9),1:36
31-Jul-2023,Washington,3,Hard,R32,27,19,1,WC,,Elina Svitolina,Victoria Azarenka,7-6(2) 6-4,1.04,6.6%,8.2%,59.0%,52.8%,24.0%,20.0% (2/10),51.9%,61.4%,1.4%,62.5%,60.0%,81.8% (9/11),1:47
