Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
17-Jul-1983,Fed Cup WG PO: POR vs NOR,3,Clay,RR,,,1,,,Ellen Grindvold,Fatima Santiago,6-7 6-1 13-11,,,,,,,,,,,,,,
17-Jul-1983,Fed Cup WG R1: USA vs NOR,3,Clay,RR,,,0,,,Andrea Jaeger,Ellen Grindvold,6-0 6-1,,,,,,,,,,,,,,
22-May-1980,Hamburg,3,,QF,,,0,,,Gabriela Dinu,Ellen Grindvold,7-5 6-2,,,,,,,,,,,,,,
22-May-1980,Hamburg,3,,R16,,,1,,,Ellen Grindvold,Dagmar Stoltenberg,6-1 6-3,,,,,,,,,,,,,,
22-May-1980,Hamburg,3,,R32,,,1,,,Ellen Grindvold,Petra Van Oyen,7-5 5-7 6-0,,,,,,,,,,,,,,
19-May-1980,Fed Cup WG ConR: HUN vs NOR,3,Clay,RR,,,0,,,Judith Szorenyi,Ellen Grindvold,6-0 6-1,,,,,,,,,,,,,,
19-May-1980,Fed Cup WG R1: NOR vs AUS,3,Clay,RR,,,0,,,Wendy Turnbull,Ellen Grindvold,6-3 6-2,,,,,,,,,,,,,,
30-Apr-1979,Fed Cup WG ConR: ESP vs NOR,3,Clay,RR,,,0,,,Carmen Perea Alcala,Ellen Grindvold,6-4 6-2,,,,,,,,,,,,,,
30-Apr-1979,Fed Cup WG R1: NOR vs JPN,3,Clay,RR,,,0,,,Sonoe Yonezawa,Ellen Grindvold,6-4 6-1,,,,,,,,,,,,,,
27-Nov-1978,Fed Cup WG R1: YUG vs NOR,3,,RR,,,0,,,Mima Jausovec,Ellen Grindvold,6-1 6-2,,,,,,,,,,,,,,
13-Jun-1977,Fed Cup WG ConR: NOR vs INA,3,Grass,RR,,,1,,,Ellen Grindvold,Yolanda Sumarno,6-4 6-0,,,,,,,,,,,,,,
13-Jun-1977,Fed Cup WG ConR: NOR vs URU,3,Grass,RR,,,0,,,Fiorella Bonicelli,Ellen Grindvold,6-1 6-3,,,,,,,,,,,,,,
13-Jun-1977,Fed Cup WG R1: SUI vs NOR,3,Grass,RR,,,0,,,Petra Delhees Jauch,Ellen Grindvold,6-4 6-2,,,,,,,,,,,,,,
6-Feb-1977,Copenhagen,3,Carpet,F,,,0,,,Anne Hobbs,Ellen Grindvold,7-5 6-4,,,,,,,,,,,,,,
6-Feb-1977,Copenhagen,3,Carpet,SF,,,1,,,Ellen Grindvold,Margareta Strandberg,6-4 1-6 7-7,,,,,,,,,,,,,,
6-Feb-1977,Copenhagen,3,Carpet,QF,,,1,,,Ellen Grindvold,Anne Mette Sorensen,7-6 6-2,,,,,,,,,,,,,,
22-Aug-1976,Fed Cup WG R1: YUG vs NOR,3,Carpet,RR,,,0,,,Mima Jausovec,Ellen Grindvold,6-3 6-2,,,,,,,,,,,,,,
19-May-1975,Hamburg,3,Clay,R32,,,0,,,Lita Liem,Ellen Grindvold,6-3 6-1,,,,,,,,,,,,,,
5-May-1975,Fed Cup WG R1: NOR vs RSA,3,Clay,RR,,,0,,,Ilana Kloss,Ellen Grindvold,4-6 6-2 6-4,,,,,,,,,,,,,,
6-Jan-1975,Stockholm Indoors,3,Carpet,F,,,1,,,Ellen Grindvold,Helena Anliot,0-6 7-6 6-2,,,,,,,,,,,,,,
13-May-1974,Fed Cup WG ConR: ARG vs NOR,3,Clay,RR,,,0,,,Raquel Giscafre,Ellen Grindvold,6-1 6-3,,,,,,,,,,,,,,
13-May-1974,Fed Cup WG ConR: NOR vs ISR,3,Clay,RR,,,0,,,Paulina Peisachov,Ellen Grindvold,6-4 6-0,,,,,,,,,,,,,,
13-May-1974,Fed Cup WG R1: NOR vs CHI,3,Clay,RR,,,1,,,Ellen Grindvold,Ana Maria Arias,6-3 2-6 6-1,,,,,,,,,,,,,,
13-May-1974,Fed Cup WG R2: GBR vs NOR,3,Clay,RR,,,0,,,Virginia Wade,Ellen Grindvold,6-4 6-3,,,,,,,,,,,,,,
28-Jan-1974,Oslo,3,Carpet,F,,,0,,,Lesley Charles,Ellen Grindvold,6-4 6-4,,,,,,,,,,,,,,
4-May-1973,Fed Cup WG ConR: SWE vs NOR,3,Clay,RR,,,0,,,Ingrid Bentzer,Ellen Grindvold,6-3 6-0,,,,,,,,,,,,,,
30-Apr-1973,Fed Cup WG R1: NOR vs KOR,3,Clay,RR,,,0,,,Jeong Soon Yang,Ellen Grindvold,6-3 7-5,,,,,,,,,,,,,,
22-Jan-1973,Bremen,3,Carpet,R16,,,0,,,Dagmar Stoltenberg,Ellen Grindvold,5-7 6-4 6-2,,,,,,,,,,,,,,
5-Jul-1972,Travemunde,3,Clay,SF,,,0,,,Judith Szorenyi,Ellen Grindvold,6-1 6-0,,,,,,,,,,,,,,
5-Jul-1972,Travemunde,3,Clay,QF,,,1,,,Ellen Grindvold,Heidi Eisterlehner,6-2 7-6,,,,,,,,,,,,,,
27-Mar-1972,Johannesburg,3,Hard,R128,,,0,,,Daphne Pattison,Ellen Grindvold,6-4 6-2,,,,,,,,,,,,,,
22-Mar-1972,Fed Cup WG ConR: RHO vs NOR,3,Hard,RR,,,0,,,Daphne Pattison,Ellen Grindvold,6-2 6-4,,,,,,,,,,,,,,
21-Mar-1972,Fed Cup WG R2: NOR vs ITA,3,Hard,RR,,,0,,,Maria Teresa Nasuelli,Ellen Grindvold,6-3 6-2,,,,,,,,,,,,,,
20-Mar-1972,Fed Cup WG R1: NOR vs TPE,3,Hard,RR,,,0,,,Ching Ling Chang,Ellen Grindvold,8-6 5-7 6-2,,,,,,,,,,,,,,
29-Jan-1972,Copenhagen,3,Carpet,R16,,,0,,,Ingrid Bentzer,Ellen Grindvold,5-7 6-4 6-2,,,,,,,,,,,,,,
29-Jan-1972,Copenhagen,3,Carpet,R32,,,1,,,Ellen Grindvold,Dorte Ekner,6-2 2-6 6-3,,,,,,,,,,,,,,
1-Jul-1971,Travemunde,3,Clay,QF,,,0,,,Helga Masthoff,Ellen Grindvold,6-1 6-1,,,,,,,,,,,,,,
30-Jan-1971,Bremen,3,Carpet,R16,,,0,,,Monique Van Haver,Ellen Grindvold,6-4 9-7,,,,,,,,,,,,,,
23-May-1970,Fed Cup WG ConR: JPN vs NOR,3,Clay,RR,,,0,,,Kazuko Sawamatsu,Ellen Grindvold,6-2 6-2,,,,,,,,,,,,,,
19-May-1970,Fed Cup WG R1: CAN vs NOR,3,Clay,RR,,,0,,,Andree Martin,Ellen Grindvold,3-6 6-2 6-4,,,,,,,,,,,,,,
19-Jan-1970,Munich Indoors,3,Carpet,QF,,,0,,,Virginia Wade,Ellen Grindvold,6-2 6-3,,,,,,,,,,,,,,
19-Jan-1970,Munich Indoors,3,Carpet,R16,,,1,,,Ellen Grindvold,Katja Ebbinghaus,6-3 6-2,,,,,,,,,,,,,,
19-Jan-1970,Munich Indoors,3,Carpet,Q1,,,1,,,Ellen Grindvold,Baerbel Wuestl,6-3 6-4,,,,,,,,,,,,,,
15-Sep-1969,Turin,3,Clay,R32,,,0,,,Marina Chuvirina,Ellen Grindvold,6-0 6-3,,,,,,,,,,,,,,
6-Jul-1969,Bastad,3,Clay,QF,,,0,,,Peaches Bartkowicz,Ellen Grindvold,6-1 6-4,,,,,,,,,,,,,,
23-Jun-1969,Wimbledon,5,Grass,Q1,,,0,,,Tine Zwaan,Ellen Grindvold,6-2 6-3,,,,,,,,,,,,,,
21-May-1968,Fed Cup WG R1: TCH vs NOR,3,Clay,RR,,,0,,,Jitka Horcickova,Ellen Grindvold,6-3 6-3,,,,,,,,,,,,,,
26-Jan-1968,Bremen,3,Carpet,R32,,,0,,,Edda Buding,Ellen Grindvold,6-2 7-5,,,,,,,,,,,,,,
8-Jun-1967,Fed Cup WG R2: NOR vs RSA,3,Clay,RR,,,0,,,Glenda Swan,Ellen Grindvold,6-4 6-3,,,,,,,,,,,,,,
20-Mar-1967,Monte Carlo,3,Clay,R32,,,0,,,Gail Sherriff,Ellen Grindvold,6-2 6-1,,,,,,,,,,,,,,
30-Jan-1967,Stockholm,3,Carpet,R16,,,0,,,Ann Jones,Ellen Grindvold,6-2 6-0,,,,,,,,,,,,,,
16-Jan-1967,Cologne,3,Hard,R16,,,0,,,Katja Ebbinghaus,Ellen Grindvold,6-1 6-4,,,,,,,,,,,,,,
6-Feb-1966,Oslo,3,Carpet,QF,,,0,,,Liv Hubert,Ellen Grindvold,7-5 6-3,,,,,,,,,,,,,,
5-Jul-1964,Bastad,3,Clay,R32,,,0,,,Christina Sandberg,Ellen Grindvold,6-1 6-0,,,,,,,,,,,,,,
