Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
9-Oct-2023,W15 Sharm ElSheikh,3,Hard,R16,1336,,0,5,,Alisa Kummel,Emma Martellenghi,6-4 6-2,,,,,,,,,,,,,,
9-Oct-2023,W15 Sharm ElSheikh,3,Hard,R32,1336,,1,5,,Emma Martellenghi,Annabelle Lammas,6-3 6-0,,,,,,,,,,,,,,
2-Oct-2023,W15 Sharm ElSheikh,3,Hard,R16,1345,,0,2,,Diana Yakovleva,Emma Martellenghi,2-6 6-4 10-7,,,,,,,,,,,,,,
2-Oct-2023,W15 Sharm ElSheikh,3,Hard,R32,1345,,1,2,,Emma Martellenghi,Lara Charles,6-2 6-0,,,,,,,,,,,,,,
19-Jun-2023,W15 Monastir,3,Hard,R32,,1257,0,,3,Rikke De Koning,Emma Martellenghi,6-3 2-6 11-9,,,,,,,,,,,,,,
19-Jun-2023,W15 Monastir,3,Hard,R64,,,1,,,Emma Martellenghi,Ivana Gombitova,6-1 6-2,,,,,,,,,,,,,,
12-Jun-2023,W15 Monastir,3,Hard,R16,,825,0,Q,4,Julita Saner,Emma Martellenghi,6-4 6-4,,,,,,,,,,,,,,
12-Jun-2023,W15 Monastir,3,Hard,R16,,,1,16,6,Emma Martellenghi,Ferdaous Bahri,3-6 6-0 11-9,,,,,,,,,,,,,,
12-Jun-2023,W15 Monastir,3,Hard,R32,,1140,1,Q,,Emma Martellenghi,Doga Turkmen,6-3 6-4,,,,,,,,,,,,,,
12-Jun-2023,W15 Monastir,3,Hard,R32,,,1,16,,Emma Martellenghi,Nika Novikova,6-3 6-3,,,,,,,,,,,,,,
17-Apr-2023,W15 Monastir,3,Hard,R32,,1155,0,,2,Mihaela Djakovic,Emma Martellenghi,6-2 1-6 13-11,,,,,,,,,,,,,,
17-Apr-2023,W15 Monastir,3,Hard,R64,,,1,,,Emma Martellenghi,Sarah Hawkshaw,6-1 6-4,,,,,,,,,,,,,,
10-Apr-2023,W15 Monastir,3,Hard,R32,,1263,0,,6,Alice Battesti,Emma Martellenghi,6-1 6-4,,,,,,,,,,,,,,
10-Apr-2023,W15 Monastir,3,Hard,R64,,,1,,,Emma Martellenghi,Kseniia Piskareva,6-3 6-3,,,,,,,,,,,,,,
31-Oct-2022,W15 Solarino,3,Carpet,QF,,515,0,Q,1,Jacqueline Cabaj Awad,Emma Martellenghi,7-5 RET,,,,,,,,,,,,,,
31-Oct-2022,W15 Solarino,3,Carpet,R16,,,1,Q,Q,Emma Martellenghi,Gaia Greco,6-2 6-1,,,,,,,,,,,,,,
31-Oct-2022,W15 Solarino,3,Carpet,R32,,882,1,Q,5,Emma Martellenghi,Lian Tran,2-6 6-4 6-3,,,,,,,,,,,,,,
31-Oct-2022,W15 Solarino,3,Carpet,Q2,,,1,,WC,Emma Martellenghi,Alessandra Xibilia,W/O,,,,,,,,,,,,,,
31-Oct-2022,W15 Solarino,3,Carpet,Q1,,,1,,2,Emma Martellenghi,Georgia Kalamaris,6-1 6-4,,,,,,,,,,,,,,
