Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
25-Jan-2021,W15 Cairo,3,Clay,Q1,,,0,,,Magdalena Hedrzak,Engy Abouelseoud,6-0 6-0,,,,,,,,,,,,,,
18-Jan-2021,W15 Cairo,3,Clay,Q1,,,0,,WC,Elena Grekul,Engy Abouelseoud,6-3 6-3,,,,,,,,,,,,,,
11-Jan-2021,W15 Cairo,3,Clay,Q1,,,0,,,Anna Borovinskaya,Engy Abouelseoud,6-3 6-1,,,,,,,,,,,,,,
7-Dec-2020,W15 Cairo,3,Clay,Q1,,,0,,,Aya El Aouni,Engy Abouelseoud,6-0 6-1,,,,,,,,,,,,,,
30-Nov-2020,W15 Cairo,3,Clay,Q1,,,0,,,Amira Badawi,Engy Abouelseoud,6-3 6-1,,,,,,,,,,,,,,
23-Nov-2020,W15 Cairo,3,Clay,Q1,,1296,0,,7,Saumya Vig,Engy Abouelseoud,6-1 6-2,,,,,,,,,,,,,,
27-Jan-2020,W15 Cairo,3,Clay,Q2,,,0,,4,Kamila Kerimbayeva,Engy Abouelseoud,6-0 6-0,,,,,,,,,,,,,,
27-Jan-2020,W15 Cairo,3,Clay,Q1,,,1,,,Engy Abouelseoud,Habiba Mossad,6-4 6-3,,,,,,,,,,,,,,
20-Jan-2020,W15 Cairo,3,Clay,Q2,,,0,,1,Michaela Kadleckova,Engy Abouelseoud,6-0 6-0,,,,,,,,,,,,,,
20-Jan-2020,W15 Cairo,3,Clay,Q1,,,1,,,Engy Abouelseoud,Mariam Abd El Salam,6-1 6-2,,,,,,,,,,,,,,
