Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
24-Apr-1935,Kingston,3,,SF,,,0,,,Marion Wortley,Ethel Poulle,6-2 6-3,,,,,,,,,,,,,,
19-Nov-1934,Kingstone All-Jamaican Chps,3,,F,,,1,,,Ethel Poulle,Madge Farquharson,6-2 11-9,,,,,,,,,,,,,,
19-Nov-1934,Kingstone All-Jamaican Chps,3,,SF,,,1,,,Ethel Poulle,Mrs Richardson,6-2 0-6 6-4,,,,,,,,,,,,,,
21-Feb-1934,Kingston Test Matches,3,,RR,,,0,,,Kay Stammers,Ethel Poulle,6-1 6-1,,,,,,,,,,,,,,
20-Apr-1933,Kingston,3,,SF,,,0,,,Loris Delgado,Ethel Poulle,6-4 7-5,,,,,,,,,,,,,,
4-Sep-1932,Kingston,3,,SF,,,0,,,Jean Mcnair,Ethel Poulle,1-6 10-8 6-2,,,,,,,,,,,,,,
20-Apr-1931,Kingston,3,,F,,,0,,,Dorothy Watson,Ethel Poulle,6-2 8-6,,,,,,,,,,,,,,
20-Apr-1931,Kingston,3,,SF,,,1,,,Ethel Poulle,Jean Mcnair,8-6 6-1,,,,,,,,,,,,,,
23-Apr-1930,Kingston,3,,F,,,0,,,Gloria Calder,Ethel Poulle,6-4 7-5,,,,,,,,,,,,,,
23-Apr-1930,Kingston,3,,SF,,,1,,,Ethel Poulle,Dorothy Watson,6-3 7-5,,,,,,,,,,,,,,
10-Apr-1929,Kingston,3,,SF,,,0,,,Maud Farquharson,Ethel Poulle,5-7 6-3 9-7,,,,,,,,,,,,,,
25-Apr-1927,Kingston,3,,F,,,0,,,Maud Farquharson,Ethel Poulle,6-3 3-6 6-1,,,,,,,,,,,,,,
25-Apr-1927,Kingston,3,,SF,,,1,,,Ethel Poulle,Muriel Lucie Smith,6-2 6-3,,,,,,,,,,,,,,
10-Apr-1926,Kingston All-Jamaican,3,,SF,,,0,,,Maud Farquharson,Ethel Poulle,8-6 RET,,,,,,,,,,,,,,
6-May-1925,Kingston All-Jamaican,3,,SF,,,0,,,Maud Farquharson,Ethel Poulle,6-1 6-2,,,,,,,,,,,,,,
26-Apr-1924,Kingston,3,,F,,,0,,,Maud Farquharson,Ethel Poulle,6-2 6-2,,,,,,,,,,,,,,
