Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
23-Oct-2023,W15 Monastir (Coaching Trial),3,Hard,R32,,,0,2,,Eva Marie Desvignes,Eugenia Jazmin Ceinos,6-4 4-6 10-4,,,,,,,,,,,,,,
16-Oct-2023,W15 Monastir (Coaching Trial),3,Hard,R16,1207,800,0,,5,Anja Wildgruber,Eugenia Jazmin Ceinos,6-4 6-2,,,,,,,,,,,,,,
16-Oct-2023,W15 Monastir (Coaching Trial),3,Hard,R32,1207,,1,,WC,Eugenia Jazmin Ceinos,Diana Maria Mihail,4-6 6-3 6-3,,,,,,,,,,,,,,
9-Oct-2023,W15 Monastir (Coaching Trial),3,Hard,R32,1212,,0,,Q,Elisabeth Iila,Eugenia Jazmin Ceinos,6-2 6-4,,,,,,,,,,,,,,
21-Aug-2023,W15 Wanfercee-Baulet,3,Clay,R16,1197,,0,5,,Vivien Sandberg,Eugenia Jazmin Ceinos,6-3 6-2,,,,,,,,,,,,,,
21-Aug-2023,W15 Wanfercee-Baulet,3,Clay,R32,1197,,1,5,,Eugenia Jazmin Ceinos,Aminata Sall,6-4 7-6(5),,,,,,,,,,,,,,
12-Jun-2023,W15 Norges-la-Ville,3,Hard,R32,1151,1029,0,,,Katharina Hering,Eugenia Jazmin Ceinos,6-0 6-1,,,,,,,,,,,,,,
8-May-2023,W25 Platja D'Aro,3,Clay,Q2,1135,625,0,,9,Sebastianna Scilipoti,Eugenia Jazmin Ceinos,6-1 6-2,,,,,,,,,,,,,,
8-May-2023,W25 Platja D'Aro,3,Clay,Q1,1135,1112,1,,,Eugenia Jazmin Ceinos,Wozuko Mdlulwa,6-1 6-3,,,,,,,,,,,,,,
24-Apr-2023,W15 Telde,3,Clay,Q2,1127,,0,4,12,Elena Giessler,Eugenia Jazmin Ceinos,6-1 4-6 10-6,,,,,,,,,,,,,,
24-Apr-2023,W15 Telde,3,Clay,Q1,1127,,1,4,,Eugenia Jazmin Ceinos,Gabriela Paun,3-6 6-1 11-9,,,,,,,,,,,,,,
17-Apr-2023,W15 Telde,3,Clay,Q2,1124,,0,7,,Alicia Martial,Eugenia Jazmin Ceinos,6-3 6-4,,,,,,,,,,,,,,
17-Apr-2023,W15 Telde,3,Clay,Q1,1124,,1,7,WC,Eugenia Jazmin Ceinos,Laura Garcia Astudillo,6-1 6-2,,,,,,,,,,,,,,
27-Feb-2023,W25 Tucuman,3,Clay,R32,1225,446,0,Q,13,Solana Sierra,Eugenia Jazmin Ceinos,6-2 7-5,,,,,,,,,,,,,,
27-Feb-2023,W25 Tucuman,3,Clay,R64,1225,1053,1,Q,,Eugenia Jazmin Ceinos,Gala Arangio,6-1 6-1,,,,,,,,,,,,,,
27-Feb-2023,W25 Tucuman,3,Clay,Q2,1225,,1,4,14,Eugenia Jazmin Ceinos,Isidora Cereso,6-2 6-1,,,,,,,,,,,,,,
27-Feb-2023,W25 Tucuman,3,Clay,Q1,1225,,1,4,WC,Eugenia Jazmin Ceinos,Maria Florencia Escobedo Quaglio,6-0 6-0,,,,,,,,,,,,,,
