Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
17-Jun-2019,W25 Montpellier,3,Clay,Q1,,658,0,,,Marie Temin,Eva Wacanno,6-1 6-1,,,,,,,,,,,,,,
5-Nov-2018,Limoges,3,Hard,Q1,,325,0,,5,Marina Melnikova,Eva Wacanno,6-2 6-4,0.75,1.4%,4.3%,58.6%,63.4%,31.0%,64.3% (9/14),44.2%,37.3%,1.7%,27.8%,52.2%,33.3% (2/6),1:09
27-Jun-2016,Middelburg $25K,3,Clay,R32,552,135,0,Q,1,Richel Hogenkamp,Eva Wacanno,6-2 7-5,,,,,,,,,,,,,,
15-Feb-2016,Surprise AZ $25K,3,Hard,R32,492,263,0,,,Danielle Lao,Eva Wacanno,Â,,,,,,,,,,,,,,
9-Nov-2015,Equeurdreville $25K,3,Hard,R16,418,239,0,,2,Lesley Kerkhove,Eva Wacanno,6-4 2-1 RET,,,,,,,,,,,,,,
9-Nov-2015,Equeurdreville $25K,3,Hard,R32,418,339,1,,,Eva Wacanno,Julia Terziyska,6-3 7-5,,,,,,,,,,,,,,
26-Oct-2015,Toronto $50K,3,Hard,R16,457,254,0,Q,,Amra Sadikovic,Eva Wacanno,6-3 7-6(2),,,,,,,,,,,,,,
26-Oct-2015,Toronto $50K,3,Hard,R32,457,150,1,Q,2,Eva Wacanno,Jessica Pegula,7-6(4) 7-5,,,,,,,,,,,,,,
28-Sep-2015,Clermont Ferrand $25K,3,Hard,R32,475,255,0,Q,,Alberta Brianti,Eva Wacanno,7-5 6-4,,,,,,,,,,,,,,
7-Sep-2015,Alphen A D Rijn $25K,3,Clay,R32,497,217,0,WC,3,Lesley Kerkhove,Eva Wacanno,6-2 6-3,,,,,,,,,,,,,,
24-Aug-2015,Caslano $10K,3,Clay,F,515,387,0,2,1,Georgia Brescia,Eva Wacanno,6-4 6-1,,,,,,,,,,,,,,
24-Aug-2015,Caslano $10K,3,Clay,SF,515,582,1,2,3,Eva Wacanno,Vanda Lukacs,2-6 6-0 7-6(7),,,,,,,,,,,,,,
24-Aug-2015,Caslano $10K,3,Clay,QF,515,651,1,2,5,Eva Wacanno,Carla Touly,1-6 6-1 6-0,,,,,,,,,,,,,,
24-Aug-2015,Caslano $10K,3,Clay,R16,515,1002,1,2,,Eva Wacanno,Margaux Deagostini,6-2 6-4,,,,,,,,,,,,,,
24-Aug-2015,Caslano $10K,3,Clay,R32,515,,1,2,WC,Eva Wacanno,Michelle Fux,6-0 6-0,,,,,,,,,,,,,,
27-Jul-2015,Parnu MOVED FROM 20 JULY $10K,3,Clay,F,552,,0,3,Q,Joana Eidukonyte,Eva Wacanno,6-2 6-3,,,,,,,,,,,,,,
27-Jul-2015,Parnu MOVED FROM 20 JULY $10K,3,Clay,SF,552,929,1,3,8,Eva Wacanno,India Maggen,7-6(2) 3-6 6-3,,,,,,,,,,,,,,
27-Jul-2015,Parnu MOVED FROM 20 JULY $10K,3,Clay,QF,552,746,1,3,7,Eva Wacanno,Yana Sizikova,6-4 6-1,,,,,,,,,,,,,,
27-Jul-2015,Parnu MOVED FROM 20 JULY $10K,3,Clay,R16,552,,1,3,WC,Eva Wacanno,Birgit Burk,6-1 6-2,,,,,,,,,,,,,,
27-Jul-2015,Parnu MOVED FROM 20 JULY $10K,3,Clay,R32,552,1016,1,3,,Eva Wacanno,Gabriela Horackova,6-1 7-5,,,,,,,,,,,,,,
20-Jul-2015,Maaseik $10K,3,Clay,R16,551,681,0,7,,Mandy Wagemaker,Eva Wacanno,6-3 6-0,,,,,,,,,,,,,,
20-Jul-2015,Maaseik $10K,3,Clay,R32,551,1154,1,7,WC,Eva Wacanno,Anna Gabric,6-1 6-1,,,,,,,,,,,,,,
22-Jun-2015,Sharm El Sheikh $10K,3,Hard,QF,559,1044,0,3,WC,Yana Sizikova,Eva Wacanno,6-3 6-4,,,,,,,,,,,,,,
22-Jun-2015,Sharm El Sheikh $10K,3,Hard,R16,559,,1,3,,Eva Wacanno,Aimee Gibson,6-3 7-5,,,,,,,,,,,,,,
22-Jun-2015,Sharm El Sheikh $10K,3,Hard,R32,559,,1,3,,Eva Wacanno,Vera Ploner,6-0 7-5,,,,,,,,,,,,,,
15-Jun-2015,Sharm El Sheikh $10K,3,Hard,F,554,910,0,1,,Sara Tomic,Eva Wacanno,6-4 6-1,,,,,,,,,,,,,,
15-Jun-2015,Sharm El Sheikh $10K,3,Hard,SF,554,657,1,1,4,Eva Wacanno,Sri Vaishnavi Peddi Reddy,7-5 6-3,,,,,,,,,,,,,,
15-Jun-2015,Sharm El Sheikh $10K,3,Hard,QF,554,1041,1,1,,Eva Wacanno,Jenny Claffey,W/O,,,,,,,,,,,,,,
