Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
23-Jul-2001,Puerto Ordaz 10K,3,Hard,R32,,,0,WC,,Virginia Tomatis,Fabiana Taverna,6-1 7-6(4),,,,,,,,,,,,,,
17-Jul-2000,Caracas 10K,3,Hard,R32,,694,0,,,Sabrina Eisenberg,Fabiana Taverna,7-5 6-0,,,,,,,,,,,,,,
2-Aug-1999,Caracas 10K,3,Hard,QF,970,357,0,,2,Alienor Tricerri,Fabiana Taverna,6-3 6-1,,,,,,,,,,,,,,
2-Aug-1999,Caracas 10K,3,Hard,R16,970,,1,,,Fabiana Taverna,Jenny Andrade,6-1 6-1,,,,,,,,,,,,,,
2-Aug-1999,Caracas 10K,3,Hard,R32,970,568,1,,7,Fabiana Taverna,Maria Eugenia Rojas,7-6 7-6,,,,,,,,,,,,,,
16-Nov-1998,Caracas 25K,3,Hard,R32,906,874,0,WC,LL,Caroline Germar,Fabiana Taverna,7-6 6-2,,,,,,,,,,,,,,
7-Sep-1998,Lima 10K,3,Clay,R16,,515,0,LL,5,Marina Caiazzo,Fabiana Taverna,6-0 6-2,,,,,,,,,,,,,,
7-Sep-1998,Lima 10K,3,Clay,R32,,660,1,LL,,Fabiana Taverna,Keiko Tameishi,6-2 6-0,,,,,,,,,,,,,,
31-Aug-1998,Guayaquil 10K,3,Clay,R32,,,0,,,Natalia Gussoni,Fabiana Taverna,6-3 6-3,,,,,,,,,,,,,,
11-May-1998,Caracas 10K,3,Hard,R16,,,0,,,Nelly Pardo,Fabiana Taverna,6-1 6-2,,,,,,,,,,,,,,
11-May-1998,Caracas 10K,3,Hard,R32,,1030,1,,6,Fabiana Taverna,Analia Longoni,6-1 6-0,,,,,,,,,,,,,,
17-Nov-1997,Caracas 10K,3,Hard,R32,,442,0,WC,2,Joanne Moore,Fabiana Taverna,6-1 6-4,,,,,,,,,,,,,,
