Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
6-Feb-2009,Fed Cup G1 RRA: GBR vs LUX,3,Hard,RR,,99,0,,,Melanie South,Fabienne Thill,6-0 6-2,,,,,,,,,,,,,,
20-Sep-1999,Luxembourg Q,3,Carpet,Q1,932,531,0,WC,,Agnieszka Abram,Fabienne Thill,6-3 6-4,,,,,,,,,,,,,,
21-Apr-1999,Fed Cup G1 RRD: GEO vs LUX,3,Clay,RR,949,,0,,,Margalita Chakhnashvili,Fabienne Thill,6-3 4-6 7-5,,,,,,,,,,,,,,
20-Apr-1999,Fed Cup G1 RRD: LUX vs SLO,3,Clay,RR,949,140,0,,,Tina Krizan,Fabienne Thill,7-5 6-1,,,,,,,,,,,,,,
19-Apr-1999,Fed Cup G1 RRD: LUX vs POL,3,Clay,RR,949,347,1,,,Fabienne Thill,Anna Bielen Zarska,6-4 6-2,,,,,,,,,,,,,,
1-Mar-1999,Albufeira 10K,3,Hard,R16,,322,0,Q,7,Ana Salas Lozano,Fabienne Thill,6-1 7-6,,,,,,,,,,,,,,
1-Mar-1999,Albufeira 10K,3,Hard,R32,,546,1,Q,Q,Fabienne Thill,Susie Starrett,6-3 6-1,,,,,,,,,,,,,,
16-Nov-1998,Deauville 10K,3,Carpet,R32,,202,0,LL,2,Gabriela Kucerova,Fabienne Thill,6-1 6-2,,,,,,,,,,,,,,
26-Oct-1998,Luxembourg Q,3,Carpet,Q1,,51,0,WC,1,Sylvia Plischke,Fabienne Thill,6-1 6-3,,,,,,,,,,,,,,
11-May-1997,Fed Cup G2 RRD: CYP vs LUX,3,Clay,RR,,,1,,,Fabienne Thill,Elya Constanta,6-1 6-0,,,,,,,,,,,,,,
9-May-1997,Fed Cup G2 RRD: LUX vs MAD,3,Clay,RR,,797,0,,,Natacha Randriantefy,Fabienne Thill,3-6 6-1 6-1,,,,,,,,,,,,,,
8-May-1997,Fed Cup G2 RRD: LUX vs MKD,3,Clay,RR,,,1,,,Fabienne Thill,Zdenka Videnova,6-1 6-1,,,,,,,,,,,,,,
7-May-1997,Fed Cup G2 RRD: LUX vs MLT,3,Clay,RR,,,0,,,Helen Asciak,Fabienne Thill,6-3 6-3,,,,,,,,,,,,,,
5-May-1997,Fed Cup G2 RRD: BOT vs LUX,3,Clay,RR,,,1,,,Fabienne Thill,Kelesitse Makgale,6-1 6-0,,,,,,,,,,,,,,
30-Mar-1996,Fed Cup G2 QF: FIN vs LUX,3,Hard,RR,,720,0,,,Hanna Katri Aalto,Fabienne Thill,6-4 6-4,,,,,,,,,,,,,,
27-Mar-1996,Fed Cup G2 RRC: LUX vs MKD,3,Hard,RR,,545,0,,,Ivona Mihailova,Fabienne Thill,6-3 6-2,,,,,,,,,,,,,,
26-Mar-1996,Fed Cup G2 RRC: LUX vs EST,3,Hard,RR,,,0,,,Helene Holter,Fabienne Thill,6-2 6-1,,,,,,,,,,,,,,
25-Mar-1996,Fed Cup G2 RRC: LUX vs ZIM,3,Hard,RR,,,1,,,Fabienne Thill,Julia Muir,6-1 3-6 6-3,,,,,,,,,,,,,,
