Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
5-Jun-1939,Weybridge,3,Grass,R32,,,0,,,Phyllis Mudford,G Maynard,6-1 6-0,,,,,,,,,,,,,,
29-May-1939,Malvern,3,Grass,QF,,,0,,,Betty Cooke,G Maynard,6-3 6-4,,,,,,,,,,,,,,
29-May-1939,Malvern,3,Grass,R16,,,1,,,G Maynard,H Knight,UNK,,,,,,,,,,,,,,
29-May-1939,Malvern,3,Grass,R32,,,1,,,G Maynard,C M Slack,6-4 6-2,,,,,,,,,,,,,,
24-Apr-1939,Withdean,3,Clay,R32,,,0,,,Phyllis Grover,G Maynard,6-2 3-6 6-0,,,,,,,,,,,,,,
17-Apr-1939,Kensington,3,Clay,R64,,,0,,,Muriel Bray,G Maynard,8-6 1-6 6-0,,,,,,,,,,,,,,
30-May-1938,Weybridge,3,Grass,R64,,,0,,,Effie Hemmant,G Maynard,6-4 6-1,,,,,,,,,,,,,,
23-May-1938,Malvern,3,Grass,R64,,,0,,,Mrs N Mellor,G Maynard,8-6 6-4,,,,,,,,,,,,,,
11-Apr-1938,Melbury,3,Clay,R32,,,0,,,Mary Hardwick,G Maynard,6-1 6-2,,,,,,,,,,,,,,
11-Apr-1938,Melbury,3,Clay,R64,,,1,,,G Maynard,N Micklem,6-1 6-4,,,,,,,,,,,,,,
31-May-1937,Weybridge,3,Grass,R32,,,0,,,Betty Hobson,G Maynard,7-5 3-6 6-3,,,,,,,,,,,,,,
24-May-1937,Chiswick,3,Grass,R64,,,0,,,Kay Winthrop Mckean,G Maynard,6-2 6-4,,,,,,,,,,,,,,
17-May-1937,Surbiton,3,Grass,R32,,,0,,,Alice Marble,G Maynard,6-0 6-0,,,,,,,,,,,,,,
17-May-1937,Surbiton,3,Grass,R64,,,1,,,G Maynard,Mrs S M Goodrich,0-6 6-4 13-11,,,,,,,,,,,,,,
26-Apr-1937,Bournemouth,3,Clay,R32,,,0,,,Nancy Lyle,G Maynard,6-0 6-1,,,,,,,,,,,,,,
26-Apr-1937,Bournemouth,3,Clay,R64,,,1,,,G Maynard,Gertrude Valentine Brown,6-4 1-6 7-5,,,,,,,,,,,,,,
19-Apr-1937,Brighton,3,Clay,R16,,,0,,,Yvonne Brown,G Maynard,6-3 6-3,,,,,,,,,,,,,,
19-Apr-1937,Brighton,3,Clay,R32,,,1,,,G Maynard,Margaret Engel,6-4 6-4,,,,,,,,,,,,,,
12-Apr-1937,Kensington,3,Clay,R64,,,0,,,Sheila Paterson,G Maynard,6-2 6-0,,,,,,,,,,,,,,
12-Apr-1937,Kensington,3,Clay,R128,,,1,,,G Maynard,Elsie Pittman,W/O,,,,,,,,,,,,,,
1-Jun-1936,Weybridge,3,,R32,,,0,,,Mary Hardwick,G Maynard,6-4 6-1,,,,,,,,,,,,,,
4-May-1936,Hurlingham,3,Clay,QF,,,0,,,Madeleine Moss,G Maynard,6-1 5-7 6-0,,,,,,,,,,,,,,
4-May-1936,Hurlingham,3,Clay,R16,,,1,,,G Maynard,L E Porteous,8-6 6-3,,,,,,,,,,,,,,
4-May-1936,Hurlingham,3,Clay,R32,,,1,,,G Maynard,Mrs J Cortlandt Anderson,6-1 9-7,,,,,,,,,,,,,,
4-May-1936,Hurlingham,3,Clay,R64,,,1,,,G Maynard,Audrey Richardson,W/O,,,,,,,,,,,,,,
27-Apr-1936,Bournemouth,3,Clay,R64,,,0,,,Pat Oconnell,G Maynard,6-2 6-2,,,,,,,,,,,,,,
13-Apr-1936,Kensington,3,Clay,R32,,,0,,,Sonia Mavrogordato,G Maynard,6-3 8-6,,,,,,,,,,,,,,
3-Jun-1935,Weybridge,3,,R64,,,0,,,Pat Brazier,G Maynard,4-6 9-7 6-1,,,,,,,,,,,,,,
4-Jun-1934,Weybridge,3,,R64,,,0,,,Monica Ricketts,G Maynard,5-7 6-2 6-1,,,,,,,,,,,,,,
18-Apr-1932,Ealing 1,3,Clay,R64,,,0,,,Mrs G Hawkins,G Maynard,6-1 6-4,,,,,,,,,,,,,,
