Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
19-Sep-1994,ITF Porec,3,Clay,R32,,320,0,,1,Ivona Horvat,Gabriela Vesela,6-2 4-6 7-5,,,,,,,,,,,,,,
27-Jun-1994,ITF Prague Pruhonice,3,Clay,R32,,725,0,,,Martina Hautova,Gabriela Vesela,6-2 6-4,,,,,,,,,,,,,,
28-Sep-1992,ITF Mali Losin,3,Clay,QF,,501,0,,2,Marketa Stuskova,Gabriela Vesela,6-4 6-4,,,,,,,,,,,,,,
28-Sep-1992,ITF Mali Losin,3,Clay,R16,,,1,,,Gabriela Vesela,Tonka Doric,6-2 6-4,,,,,,,,,,,,,,
28-Sep-1992,ITF Mali Losin,3,Clay,R32,,,1,,,Gabriela Vesela,Petra Zavadilova,6-1 7-6,,,,,,,,,,,,,,
21-Sep-1992,ITF Adriatic,3,Clay,R32,,545,0,,5,Karin Lusnic,Gabriela Vesela,6-1 6-2,,,,,,,,,,,,,,
13-Jul-1992,ITF Frinton,3,Grass,R32,,,0,,,Cristina Alfred,Gabriela Vesela,7-5 6-0,,,,,,,,,,,,,,
17-Feb-1992,ITF Reims,3,Clay,R16,,,0,,,Anne Chauzu,Gabriela Vesela,4-6 6-2 6-3,,,,,,,,,,,,,,
17-Feb-1992,ITF Reims,3,Clay,R32,,614,1,,6,Gabriela Vesela,Martine Bunschoten,6-2 6-0,,,,,,,,,,,,,,
21-Oct-1991,ITF Flensburg,3,Carpet,R32,,426,0,,4,Antonia Homolya,Gabriela Vesela,4-6 6-2 6-1,,,,,,,,,,,,,,
12-Aug-1991,ITF Rebecq,3,Clay,R32,,,0,,,Katarzyna Teodorowicz Lisowska,Gabriela Vesela,7-6(1) 7-5,,,,,,,,,,,,,,
5-Aug-1991,ITF Paderborn,3,Clay,R32,,,0,,,Una Bushevitsa,Gabriela Vesela,6-0 6-2,,,,,,,,,,,,,,
22-Jul-1991,ITF Sezze,3,Clay,Q2,,,0,,,Maria Garcia Lazaro,Gabriela Vesela,6-1 4-6 6-1,,,,,,,,,,,,,,
15-Jul-1991,ITF Subiaco,3,Clay,R32,,,0,,,Stefania Pifferi,Gabriela Vesela,0-6 6-4 6-4,,,,,,,,,,,,,,
1-Apr-1991,ITF Sibenik,3,Clay,R32,,,0,,,Lucie Ludvigova,Gabriela Vesela,6-0 6-1,,,,,,,,,,,,,,
25-Mar-1991,ITF Supetar,3,Clay,QF,,,0,,,Irina Sukhova,Gabriela Vesela,1-6 6-3 6-3,,,,,,,,,,,,,,
25-Mar-1991,ITF Supetar,3,Clay,R16,,,1,,,Gabriela Vesela,Csilla Dobo,6-4 6-1,,,,,,,,,,,,,,
25-Mar-1991,ITF Supetar,3,Clay,R32,,463,1,,7,Gabriela Vesela,Ivona Horvat,4-6 6-3 6-1,,,,,,,,,,,,,,
18-Mar-1991,ITF Bol,3,Clay,R16,,340,0,,3,Magdalena Feistel,Gabriela Vesela,6-1 6-0,,,,,,,,,,,,,,
18-Mar-1991,ITF Bol,3,Clay,R32,,,1,,,Gabriela Vesela,Sylvia Czopek,7-5 6-4,,,,,,,,,,,,,,
7-Jan-1991,ITF Bamberg,3,Carpet,R32,,359,0,,7,Klara Blahova,Gabriela Vesela,6-1 6-0,,,,,,,,,,,,,,
29-Oct-1990,ITF Wels 2,3,Clay,R32,,,0,,,Katarina Studenikova,Gabriela Vesela,6-1 6-2,,,,,,,,,,,,,,
22-Oct-1990,ITF Neumunster,3,Clay,R32,,,0,,,Tanja Stegkamper,Gabriela Vesela,6-0 1-6 6-2,,,,,,,,,,,,,,
15-Oct-1990,ITF Supetar,3,Clay,R16,,,0,,,Ivona Horvat,Gabriela Vesela,6-2 6-3,,,,,,,,,,,,,,
15-Oct-1990,ITF Supetar,3,Clay,R32,,,1,,,Gabriela Vesela,Dominika Gorecka,6-2 6-1,,,,,,,,,,,,,,
24-Sep-1990,ITF Mali Losin,3,Clay,R32,,517,0,,7,Svetlana Krivencheva,Gabriela Vesela,6-3 3-6 6-2,,,,,,,,,,,,,,
17-Sep-1990,ITF Rabac,3,Clay,R16,,,0,,,Katarina Studenikova,Gabriela Vesela,6-4 6-2,,,,,,,,,,,,,,
17-Sep-1990,ITF Rabac,3,Clay,R32,,527,1,,8,Gabriela Vesela,Anna Mirza,6-3 6-2,,,,,,,,,,,,,,
13-Aug-1990,ITF Rebecq,3,Clay,R32,,438,0,,6,Virginia Humphreys Davies,Gabriela Vesela,6-4 6-3,,,,,,,,,,,,,,
26-Feb-1990,ITF Wels 1,3,Clay,Q1,,,0,,,Ivona Matulikova,Gabriela Vesela,6-3 6-4,,,,,,,,,,,,,,
