Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
2-Sep-1991,ITF Arzachena,3,Hard,Q1,449,395,0,,,Birgit Arming,Giovanna Carotenuto,6-3 7-5,,,,,,,,,,,,,,
12-Aug-1991,ITF Pisticci,3,Hard,R32,454,238,0,,8,Viktoria Milvidskaia,Giovanna Carotenuto,6-4 6-1,,,,,,,,,,,,,,
5-Aug-1991,ITF Nicolosi,3,Hard,R32,465,464,0,7,,Rita Grande,Giovanna Carotenuto,6-4 2-1 RET,,,,,,,,,,,,,,
29-Jul-1991,ITF Acireale,3,Clay,R32,451,482,0,,,Birgit Arming,Giovanna Carotenuto,3-6 6-2 6-2,,,,,,,,,,,,,,
27-May-1991,ITF Brindisi,3,Clay,R32,399,416,0,,,Irina Spirlea,Giovanna Carotenuto,6-2 6-2,,,,,,,,,,,,,,
15-Apr-1991,ITF Caserta,3,Clay,Q2,390,415,0,,,Mirijam Schweda,Giovanna Carotenuto,6-3 7-6,,,,,,,,,,,,,,
15-Apr-1991,ITF Caserta,3,Clay,Q1,390,,1,,,Giovanna Carotenuto,Alessia Vesuvio,6-0 6-0,,,,,,,,,,,,,,
8-Apr-1991,ITF Torino,3,Clay,Q2,378,376,0,,4,Andrea Noszaly,Giovanna Carotenuto,1-6 6-1 7-6,,,,,,,,,,,,,,
8-Apr-1991,ITF Torino,3,Clay,Q1,378,427,1,,,Giovanna Carotenuto,Sandrine Bregnard,6-4 6-4,,,,,,,,,,,,,,
1-Apr-1991,ITF Bari,3,Clay,R32,388,,0,6,,Claudia Piccini,Giovanna Carotenuto,7-6(6) 5-7 6-3,,,,,,,,,,,,,,
25-Mar-1991,ITF Putignano,3,Hard,SF,388,440,0,5,8,Cecilia Bargagni,Giovanna Carotenuto,6-0 6-3,,,,,,,,,,,,,,
25-Mar-1991,ITF Putignano,3,Hard,QF,388,446,1,5,,Giovanna Carotenuto,Gloria Pizzichini,6-4 6-3,,,,,,,,,,,,,,
25-Mar-1991,ITF Putignano,3,Hard,R16,388,,1,5,,Giovanna Carotenuto,Francesca Morini,6-1 6-3,,,,,,,,,,,,,,
25-Mar-1991,ITF Putignano,3,Hard,R32,388,,1,5,,Giovanna Carotenuto,Aurora Gima,6-2 6-2,,,,,,,,,,,,,,
25-Feb-1991,ITF Lisbon 3,3,Clay,R16,386,433,0,5,,Monika Kratochvilova,Giovanna Carotenuto,4-6 6-2 6-4,,,,,,,,,,,,,,
25-Feb-1991,ITF Lisbon 3,3,Clay,R32,386,,1,5,,Giovanna Carotenuto,Joana Pedroso,7-6(4) 6-3,,,,,,,,,,,,,,
18-Feb-1991,ITF Lisbon 2,3,Clay,R32,383,,0,7,,Stefania Indemini,Giovanna Carotenuto,3-6 6-2 6-2,,,,,,,,,,,,,,
10-Sep-1990,ITF Agliana,3,Clay,R16,353,,0,4,,Susanna Attili,Giovanna Carotenuto,6-4 3-6 6-2,,,,,,,,,,,,,,
